"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"projectTags"	"numberOfAnnotatedLibraries"	"protocol"	"protocolType"	"GSE"	"Bioproject"	"PMID"	"PMID_url"	"comment"
"SRP169832"	"Mid and hindgut transcriptome profiling analysis of Atlantic salmon (Salmon salar) under unpredictable chronic stress"	"Identifying gene expression patterns (RNA-Seq) in the midgut and hindgut of Atlantic salmon exposed to unpredictable chronic stress"	"SRA"	"total"	"Atlantic salmon"	14				"PRJNA506138"	32257316	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7062075/"	
"GSE30352"	"The evolution of gene expression levels in mammalian organs"	"Changes in gene expression are thought to underlie many of the phenotypic differences between species. However, large-scale analyses of gene expression evolution were until recently prevented by technological limitations. Here we report the sequencing of polyadenylated RNA from six organs across ten species that represent all major mammalian lineages (placentals, marsupials and monotremes) and birds (the evolutionary outgroup), with the goal of understanding the dynamics of mammalian transcriptome evolution. We show that the rate of gene expression evolution varies among organs, lineages and chromosomes, owing to differences in selective pressures: transcriptome change was slow in nervous tissues and rapid in testes, slower in rodents than in apes and monotremes, and rapid for the X chromosome right after its formation. Although gene expression evolution in mammals was strongly shaped by purifying selection, we identify numerous potentially selectively driven expression switches, which occurred at different rates across lineages and tissues and which probably contributed to the specific organ biology of various mammals. Our transcriptome data provide a valuable resource for functional and evolutionary analyses of mammalian genomes."	"GEO"	"total"									
"GSE30611"	"[E-MTAB-513] Illumina Human Body Map 2.0 Project"	"Transcription profiling by high throughput sequencing of individual and mixture of 16 human tissues RNA."	"GEO"	"total"	"SEGreg (Human BodyMap 2.0 Project)"								"ERP000546 (RefEx)"
"GSE30617"	"[E-MTAB-599] Mouse Transcriptome"	"Sequencing the transcriptome of DBAxC57BL/6J mice. To study the regulation of transcription, splicing and RNA turnover we have sequenced the transcriptomes of tissues collected DBAxC57BL/6J mice."	"GEO"	"total"									"ERP000591"
"GSE36026"	"RNA-seq from ENCODE/LICR"	"Using RNA-Seq (Mortazavi et al., 2008), high-resolution genome-wide maps of the mouse transcriptome across multiple mouse (C57Bl/6) tissues and primary cells were generated."	"GEO"	"partial"									
"GSE37452"	"RNA sequencing reveals diverse and dynamic repertoire of the Xenopus tropicalis transcriptome over development."	"Examination of the transcriptome of Xenopus tropicalis from a 2-cell fertilized embryo to a stage 45 feeding tapole"	"GEO"	"total"									
"#GSE38605"	"Genome-wide small RNA profiling and mRNA profiling of Xenopus embryos"	"Examination of small RNAs and mRNA at 3 stages of Xenopus embryonic development."	"GEO"	"total"									
"GSE41338"	"The evolutionary landscape of alternative splicing in vertebrate species"	"How species with similar repertoires of protein coding genes differ so dramatically at the phenotypic level is poorly understood. From comparing the transcriptomes of multiple organs from vertebrate species spanning ~350 million years of evolution, we observe significant differences in alternative splicing complexity between the main vertebrate lineages, with the highest complexity in the primate lineage. Moreover, within as little as six million years, the splicing profiles of physiologically-equivalent organs have diverged to the extent that they are more strongly related to the identity of a species than they are to organ type. Most vertebrate species-specific splicing patterns are governed by the highly variable use of a largely conserved cis-regulatory code. However, a smaller number of pronounced species-dependent splicing changes are predicted to remodel interactions involving factors acting at multiple steps in gene regulation. These events are expected to further contribute to the dramatic diversification of alternative splicing as well as to other gene regulatory changes that contribute to phenotypic differences among vertebrate species."	"GEO"	"total"									"annotation of Tetraodon nigroviridis (one sample) done april 2017. Was not yet annotated but 'total' was already reported anyway. Now it is consistent (ANN)"
"GSE41637"	"Evolutionary dynamics of gene and isoform regulation in mammalian tissues"	"Most mammalian genes produce multiple distinct mRNAs through alternative splicing, but the extent of splicing conservation is not clear. To assess tissue-specific transcriptome variation across mammals, we sequenced cDNA from 9 tissues from 4 mammals and one bird in biological triplicate, at unprecedented depth. We find that while tissue-specific gene expression programs are largely conserved, alternative splicing is well conserved in only a subset of tissues and is frequently lineage-specific. Thousands of novel, lineage-specific and conserved alternative exons were identified; widely conserved alternative exons had signatures of binding by MBNL, PTB, RBFOX, STAR and TIA family splicing factors, implicating them as ancestral mammalian splicing regulators. Our data also indicates that alternative splicing is often used to alter protein phosphorylatability, delimiting the scope of kinase signaling."	"GEO"	"total"									"SRP016501, PRJNA177791"
"GSE43520"	"The evolution of lncRNA repertoires and expression patterns in tetrapods"	"To broaden our understanding of lncRNA evolution, we used an extensive RNA-seq dataset to establish lncRNA repertoires and homologous gene families in 11 tetrapod species. We analyzed the poly- adenylated transcriptomes of 8 organs (cortex/whole brain without cerebellum, cerebellum, heart, kidney, liver, placenta, ovary and testis) and 11 species (human, chimpanzee, bonobo, gorilla, orangutan, macaque, mouse, opossum, platypus, chicken and the frog Xenopus tropicalis), which shared a common ancestor ~370 millions of years (MY) ago. Our dataset included 47 strand-specific samples, which allowed us to confirm the orientation of gene predictions and to address the evolution of sense-antisense transcripts. See also GSE43721 (Soumillon et al, Cell Reports, 2013) for three strand-specific samples for mouse brain, liver and testis."	"GEO"	"total"									
"GSE43652"	"A Genome-Wide Survey of Maternal and Embryonic Transcripts during Xenopus tropicalis Development"	"Profiles of polyadenylated mRNA (6 stages) and ribosomal RNA-depleted total RNA (3 stages) through early Xenopus tropicalis development"	"GEO"	"total"									
