#libraryId	experimentId	platform	SRSId	anatId	anatName	stageId	stageName	url_GSM	infoOrgan	infoStage	anatAnnotationStatus	anatBiologicalStatus	stageAnnotationStatus	sex	strain	genotype	speciesId	protocol	protocolType	RNASelection	globin_reduction	replicate	sampleTitle	PATOid	PATOname	comment	condition	annotatorId	lastModificationDate
SRX001872	SRP000401	Illumina Genome Analyzer	SRS001788	UBERON:0002548	larva	WBls:0000027	L2 larva Ce		larva	mid-L2 stage	perfect match	full sampling	other	H	N2		6239			polyA						http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx  And pmid:19181841		ANN	2021-05-10
SRX001873	SRP000401	Illumina Genome Analyzer	SRS001789	UBERON:0007023	adult organism	WBls:0000064	1-day post-L4 adult hermaphrodite Ce (C elegans)		generic sample	Young Adult for 46 hours	perfect match	full sampling	perfect match	H	N2		6239			polyA						http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx  And pmid:19181841		ANN	2021-05-10
SRX001874	SRP000401	Illumina Genome Analyzer	SRS001791	UBERON:0002548	larva	WBls:0000038	L4 larva Ce		larva	larva L4	perfect match	full sampling	perfect match	H	N2		6239			polyA						http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx  And pmid:19181841		ANN	2021-05-10
SRX001875	SRP000401	Illumina Genome Analyzer	SRS001790	UBERON:0002548	larva	WBls:0000035	L3 larva Ce		larva	larva L3	perfect match	full sampling	perfect match	H	N2		6239			polyA						http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx  And pmid:19181841		ANN	2021-05-10
SRX004863	SRP000401	Illumina Genome Analyzer II	SRS003001	UBERON:0019248	early embryo	WBls:0000004	proliferating embryo Ce		embryo	early embryo	perfect match	not documented	perfect match	H	N2		6239			polyA		5				Caenorhabditis elegans; from Wormbase, by Seb		ANN	2021-05-10
SRX004864	SRP000401	Illumina Genome Analyzer II	SRS003002	UBERON:0019248	early embryo	WBls:0000004	proliferating embryo Ce		embryo	early embryo	perfect match	full sampling	perfect match	H	N2		6239			polyA		2				http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx  And pmid:19181841		ANN	2021-05-10
SRX004865	SRP000401	Illumina Genome Analyzer II	SRS003003	UBERON:0000323	late embryo	WBls:0000021	fully-elongated embryo Ce		embryo	late embryo	perfect match	full sampling	perfect match	H	N2		6239			polyA						http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx  And pmid:19181841		ANN	2021-05-10
SRX004866	SRP000401	Illumina Genome Analyzer II	SRS003004	UBERON:0000323	late embryo	WBls:0000021	fully-elongated embryo Ce		generic sample	late embryo	perfect match	not documented	perfect match	H	N2		6239			polyA						Caenorhabditis elegans; from Wormbase, by Seb		ANN	2021-05-10
SRX004867	SRP000401	Illumina Genome Analyzer II	SRS003005	UBERON:0002548	larva	WBls:0000024	L1 larva Ce		larva	larva L1	perfect match	full sampling	perfect match	H	N2		6239			polyA								ANN	2021-05-10
SRX004868	SRP000401	Illumina Genome Analyzer II	SRS003000	UBERON:0002548	larva	WBls:0000038	L4 larva Ce		larva	larva L4	perfect match	full sampling	perfect match	M	N2		6239			polyA								ANN	2021-05-10
SRX006984	GSE16552	Illumina Genome Analyzer	SRS004375	UBERON:0000922	embryo	WBls:0000003	embryo Ce		whole embryo	embryo	perfect match	full sampling	perfect match	NA	N2		6239			polyA						Caenorhabditis elegans; from Wormbase, by Seb; 3 technical replicates; see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33		ANN	2018-01-30
SRX006985	GSE16552	Illumina Genome Analyzer	SRS004376	UBERON:0000922	embryo	WBls:0000003	embryo Ce		whole embryo	embryo	perfect match	full sampling	perfect match	NA	N2		6239			polyA						Caenorhabditis elegans; from Wormbase, by Seb; 3 technical replicates; see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33		ANN	2018-01-30
