libraryId	experimentId	speciesId
ERX008931	GSE30606	9940
ERX008942	GSE30606	9940
ERX1790087	ERP019546	9940
ERX1790090	ERP019546	9940
ERX1790091	ERP019546	9940
ERX1790094	ERP019546	9940
ERX1790095	ERP019546	9940
ERX2073445	ERP023706	9913
ERX2173942	ERP024551	7227
ERX2756284	ERP024551	7227
ERX2757115	ERP024551	7227
ERX2757116	ERP024551	7227
ERX2757117	ERP024551	7227
ERX2757118	ERP024551	7227
ERX2757119	ERP024551	7227
ERX2757120	ERP024551	7227
ERX2757121	ERP024551	7227
ERX2757122	ERP024551	7227
ERX3439272	ERP116137	13616
ERX3439276	ERP116137	13616
ERX3439282	ERP116137	13616
ERX3444752	ERP024551	7227
ERX3449526	ERP024551	7227
ERX3542453	ERP117343	8030
SRX018673	SRP002215	9823
SRX018710	SRP002222	9823
SRX054589	SRP006209	9823
SRX054590	SRP006209	9823
SRX054591	SRP006209	9823
SRX054592	SRP006209	9823
SRX054593	SRP006209	9823
SRX054594	SRP006209	9823
SRX054596	SRP006209	9823
SRX054600	SRP006209	9823
SRX054603	SRP006209	9823
SRX054604	SRP006209	9823
SRX054605	SRP006209	9823
SRX100000	SRP000401	6239
SRX1059695	SRP058340	9823
SRX1059696	SRP058340	9823
SRX1059697	SRP058340	9823
SRX10646861	SRP315595	28377
SRX10646887	SRP315595	28377
SRX1270466	SRP063942	7918
SRX1270467	SRP063942	7918
SRX1270468	SRP063942	7918
SRX1270470	SRP063942	7918
SRX1270471	SRP063942	7918
SRX1438278	SRP066400	9823
SRX1438285	SRP066400	9823
SRX1438287	SRP066400	9823
SRX1438288	SRP066400	9823
SRX1438289	SRP066400	9823
SRX1438290	SRP066400	9823
SRX1464307	SRP067001	9913
SRX1464308	SRP067001	9913
SRX1464309	SRP067001	9913
SRX1464310	SRP067001	9913
SRX1464311	SRP067001	9913
SRX1464312	SRP067001	9913
SRX1464313	SRP067001	9913
SRX1464314	SRP067001	9913
SRX1464315	SRP067001	9913
SRX1464316	SRP067001	9913
SRX1464317	SRP067001	9913
SRX1464318	SRP067001	9913
SRX1464319	SRP067001	9913
SRX1464320	SRP067001	9913
SRX1464321	SRP067001	9913
SRX1464322	SRP067001	9913
SRX1464323	SRP067001	9913
SRX1464324	SRP067001	9913
SRX1464325	SRP067001	9913
SRX1464326	SRP067001	9913
SRX1464327	SRP067001	9913
SRX1464328	SRP067001	9913
SRX1464329	SRP067001	9913
SRX1464330	SRP067001	9913
SRX1464331	SRP067001	9913
SRX1464332	SRP067001	9913
SRX1464333	SRP067001	9913
SRX1464334	SRP067001	9913
SRX1464335	SRP067001	9913
SRX1464336	SRP067001	9913
SRX1464337	SRP067001	9913
SRX1464338	SRP067001	9913
SRX1464339	SRP067001	9913
SRX1464340	SRP067001	9913
SRX1464341	SRP067001	9913
SRX1464342	SRP067001	9913
SRX1464343	SRP067001	9913
SRX1464344	SRP067001	9913
SRX1464345	SRP067001	9913
SRX1464346	SRP067001	9913
SRX1464347	SRP067001	9913
SRX1464348	SRP067001	9913
SRX1464349	SRP067001	9913
SRX1464350	SRP067001	9913
SRX1464351	SRP067001	9913
SRX1464352	SRP067001	9913
SRX1464353	SRP067001	9913
SRX1464354	SRP067001	9913
SRX1464355	SRP067001	9913
SRX1464356	SRP067001	9913
SRX1464357	SRP067001	9913
SRX1464358	SRP067001	9913
SRX1464359	SRP067001	9913
SRX1464360	SRP067001	9913
SRX1464361	SRP067001	9913
SRX1464362	SRP067001	9913
SRX1464363	SRP067001	9913
SRX1464364	SRP067001	9913
SRX1464365	SRP067001	9913
SRX1464366	SRP067001	9913
SRX1464367	SRP067001	9913
SRX1464368	SRP067001	9913
SRX1464369	SRP067001	9913
SRX1464370	SRP067001	9913
SRX1464371	SRP067001	9913
SRX1464372	SRP067001	9913
SRX1464373	SRP067001	9913
SRX1464374	SRP067001	9913
SRX1464375	SRP067001	9913
SRX1464376	SRP067001	9913
SRX1464377	SRP067001	9913
SRX1464378	SRP067001	9913
SRX1464379	SRP067001	9913
SRX1464380	SRP067001	9913
SRX1464381	SRP067001	9913
SRX1464382	SRP067001	9913
SRX1464383	SRP067001	9913
SRX1464384	SRP067001	9913
SRX1464385	SRP067001	9913
SRX1464386	SRP067001	9913
SRX1464387	SRP067001	9913
SRX1464388	SRP067001	9913
SRX1464389	SRP067001	9913
SRX1464390	SRP067001	9913
SRX1464391	SRP067001	9913
SRX1464392	SRP067001	9913
SRX1464393	SRP067001	9913
SRX1464394	SRP067001	9913
SRX1464395	SRP067001	9913
SRX1464396	SRP067001	9913
SRX1464397	SRP067001	9913
SRX1464398	SRP067001	9913
SRX1464399	SRP067001	9913
SRX1464400	SRP067001	9913
SRX1464401	SRP067001	9913
SRX1464402	SRP067001	9913
SRX1464403	SRP067001	9913
SRX1464404	SRP067001	9913
SRX1464405	SRP067001	9913
SRX1464406	SRP067001	9913
SRX1464407	SRP067001	9913
SRX1464408	SRP067001	9913
SRX1464409	SRP067001	9913
SRX1464410	SRP067001	9913
SRX1464411	SRP067001	9913
