libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	pValueCutoff	meanIntergenic	sdIntergenic	speciesId
SRX001872	23.0945	14.0521064301552	6591	46904	30.9444802139567	6248	20191	3.02325581395349	117	3870	0.05	7.19687037331049	2.03155617544443	6239
SRX001873	4.95621	25.2430496332935	11840	46904	56.4063196473676	11389	20191	0.723514211886305	28	3870	0.05	1.86443789751486	1.81181262038484	6239
SRX001874	6.81773	24.3070953436807	11401	46904	54.5688673171215	11018	20191	0.904392764857881	35	3870	0.05	2.33939420323872	1.91568224501385	6239
SRX001875	9.302193104	22.2966058331912	10458	46904	50.0272398593433	10101	20191	0.956072351421189	37	3870	0.05	3.14416759507584	1.93363712182698	6239
SRX004864	1.29532	30.3385638751492	14230	46904	66.0393244514883	13334	20191	3.41085271317829	132	3870	0.05	0.506615869006637	1.76954161891362	6239
SRX004865	7.38294	25.2004093467508	11820	46904	56.1388737556337	11335	20191	0.516795865633075	20	3870	0.05	2.97922724629719	1.73620858008035	6239
SRX004867	1.15052	32.2232645403377	15114	46904	65.2964191966718	13184	20191	2.55813953488372	99	3870	0.05	0.340475394980745	2.09635108016016	6239
SRX004868	1.18559	33.9224799590653	15911	46904	74.5777821801793	15058	20191	2.91989664082687	113	3870	0.05	0.393736737651856	1.95422784719901	6239
SRX047469	0.202062	37.7643697765649	17713	46904	82.368381952355	16631	20191	3.43669250645995	133	3870	0.05	0.0289616824677632	3.25671332143042	6239
SRX047787	0.18924	33.9736483029166	15935	46904	74.983903719479	15140	20191	2.01550387596899	78	3870	0.05	0.0278783789129936	3.2024985839534	6239
SRX085111	0.342863	25.1577690602081	11800	46904	52.0776583626368	10515	20191	1.91214470284238	74	3870	0.05	0.0621800952762456	2.82328505839546	6239
SRX085112	0.87939	20.5440900562852	9636	46904	44.5445990787975	8994	20191	0.62015503875969	24	3870	0.05	0.184957593571843	2.57974312211697	6239
SRX085218	0.295307	26.5307862868838	12444	46904	53.1722054380665	10736	20191	2.84237726098191	110	3870	0.05	0.0471328493746694	3.05123061331718	6239
SRX085219	0.530244	14.2717039058502	6694	46904	32.0043583774949	6462	20191	3.38501291989664	131	3870	0.05	0.0754003619929987	3.27332566791303	6239
SRX085220	0.5520491	16.9068736141907	7930	46904	37.6652964191967	7605	20191	5.34883720930233	207	3870	0.05	0.0696778075786968	3.51941113505662	6239
SRX092371	0.850506	20.5014497697425	9616	46904	44.8467138824229	9055	20191	0.645994832041344	25	3870	0.05	0.150431815223339	2.86621550239593	6239
SRX092372	0.433593	23.247484223094	10904	46904	49.7251250557179	10040	20191	1.52454780361757	59	3870	0.05	0.0875302512654369	2.64476605538254	6239
SRX092477	0.660104	19.3736141906874	9087	46904	42.8309642910207	8648	20191	0.258397932816538	10	3870	0.05	0.127973136192035	2.71063133762514	6239
SRX092478	0.191537	24.5181647620672	11500	46904	52.2658610271903	10553	20191	1.29198966408269	50	3870	0.05	0.0336632961193623	2.87780391805986	6239
SRX092479	0.486936	30.8587753709705	14474	46904	66.0739933633797	13341	20191	2.0671834625323	80	3870	0.05	0.0997233715362048	2.61961582702497	6239
SRX092480	0.634461	22.8829097731537	10733	46904	48.8286860482393	9859	20191	1.55038759689922	60	3870	0.05	0.12897721274029	2.63394836268271	6239
SRX099973	0.460631	34.8285860480982	16336	46904	70.1649249665693	14167	20191	2.97157622739018	115	3870	0.05	0.0806399889449274	2.8843333938452	6239
SRX099974	0.943935	28.5114275967934	13373	46904	63.3698182358477	12795	20191	1.3953488372093	54	3870	0.05	0.21509522990358	2.45670036387007	6239
SRX099975	0.581719	33.2658195463073	15603	46904	68.7633103858155	13884	20191	2.71317829457364	105	3870	0.05	0.11859092366204	2.62799269266665	6239
SRX099976	1.17939	27.7758826539314	13028	46904	61.9533455499975	12509	20191	1.18863049095607	46	3870	0.05	0.271781640217511	2.44065584887757	6239
SRX099977	0.93123	28.7779293876855	13498	46904	63.9443316329058	12911	20191	1.62790697674419	63	3870	0.05	0.209628833709454	2.47481867861484	6239
SRX099978	0.468578	38.6939280231963	18149	46904	73.5228567183399	14845	20191	4.72868217054264	183	3870	0.05	0.0912376319847811	2.70218826829538	6239
