libraryId	reads	min_read_size	max_read_size	number_aligned	number_unique_aligned	prop_aligned	prop_unique_aligned	number_targets	start_time	kallisto_version
SRX001872	116018617	36	36	47734422	24538748	41.1	21.2	65321	Tue Feb  6 16:55:08 2024	0.46.0
SRX001873	60903898	36	36	37176740	17838277	61	29.3	65321	Tue Feb  6 17:06:11 2024	0.46.0
SRX001874	45510048	36	36	28967810	14627225	63.7	32.1	65321	Tue Feb  6 17:12:18 2024	0.46.0
SRX001875	69342585	36	36	35958949	17336897	51.9	25	65321	Tue Feb  6 17:16:51 2024	0.46.0
SRX004864	52360066	36	36	37340094	17045509	71.3	32.6	65321	Tue Feb  6 18:25:48 2024	0.46.0
SRX004865	65651994	36	36	39212338	16144314	59.7	24.6	65321	Tue Feb  6 18:31:10 2024	0.46.0
SRX004867	59153008	36	36	33306111	14797192	56.3	25	65321	Tue Feb  6 18:38:35 2024	0.46.0
SRX004868	54044843	36	36	30040995	14575174	55.6	27	65321	Tue Feb  6 18:52:50 2024	0.46.0
SRX047469	34996150	76	76	26075589	12740408	74.5	36.4	65321	Tue Feb  6 18:57:28 2024	0.46.0
SRX047787	29879154	76	76	25859408	11161753	86.5	37.4	65321	Tue Feb  6 18:59:30 2024	0.46.0
SRX085111	13037975	100	100	12767240	6255198	97.9	48	65321	Tue Feb  6 19:00:56 2024	0.46.0
SRX085112	2510020	76	76	2461698	1205505	98.1	48	65321	Tue Feb  6 19:02:10 2024	0.46.0
SRX085218	22299990	100	100	21874870	10377320	98.1	46.5	65321	Tue Feb  6 19:02:33 2024	0.46.0
SRX085219	36143752	36	36	28666213	16957509	79.3	46.9	65321	Tue Feb  6 19:04:30 2024	0.46.0
SRX085220	112903239	36	36	93170001	53103435	82.5	47	65321	Tue Feb  6 19:06:25 2024	0.46.0
SRX092371	2602842	76	76	2539977	1260618	97.6	48.4	65321	Tue Feb  6 18:25:22 2024	0.46.0
SRX092372	6284520	100	100	6124204	3043988	97.4	48.4	65321	Tue Feb  6 18:25:47 2024	0.46.0
SRX092477	2355433	76	76	2317158	1121659	98.4	47.6	65321	Tue Feb  6 18:26:31 2024	0.46.0
SRX092478	15829964	100	100	15544903	7525658	98.2	47.5	65321	Tue Feb  6 18:26:54 2024	0.46.0
SRX092479	5597552	100	100	5460572	2688987	97.6	48	65321	Tue Feb  6 18:28:31 2024	0.46.0
SRX092480	3830232	76	76	3743880	1850575	97.7	48.3	65321	Tue Feb  6 18:29:16 2024	0.46.0
SRX099973	10711761	100	100	10395928	5215923	97.1	48.7	65321	Tue Feb  6 18:29:48 2024	0.46.0
SRX099974	7704765	101	101	7444992	3447660	96.6	44.7	65321	Tue Feb  6 18:31:08 2024	0.46.0
SRX099975	6569082	100	100	6402801	2995102	97.5	45.6	65321	Tue Feb  6 18:31:46 2024	0.46.0
SRX099976	2057345	100	100	1966300	860411	95.6	41.8	65321	Tue Feb  6 18:32:39 2024	0.46.0
SRX099977	12441424	101	101	12055040	5266948	96.9	42.3	65321	Tue Feb  6 18:33:00 2024	0.46.0
SRX099978	18079143	100	100	17621429	8385746	97.5	46.4	65321	Tue Feb  6 18:33:52 2024	0.46.0
SRX099979	17072897	100	100	16604243	8027604	97.3	47	65321	Tue Feb  6 18:35:54 2024	0.46.0
SRX099980	12394245	100	100	11912062	5628541	96.1	45.4	65321	Tue Feb  6 18:37:43 2024	0.46.0
SRX099981	11677637	100	100	11459085	5643926	98.1	48.3	65321	Tue Feb  6 18:39:04 2024	0.46.0
SRX099982	16134381	100	100	15641083	7841930	96.9	48.6	65321	Tue Feb  6 18:25:22 2024	0.46.0
SRX099983	1117272	100	100	1043416	483707	93.4	43.3	65321	Tue Feb  6 18:26:59 2024	0.46.0
SRX099984	13662472	100	100	13421108	6714243	98.2	49.1	65321	Tue Feb  6 18:27:16 2024	0.46.0
SRX099985	26344268	100	100	24647681	12873401	93.6	48.9	65321	Tue Feb  6 18:28:49 2024	0.46.0
SRX099986	14260971	100	100	9738032	5198174	68.3	36.5	65321	Tue Feb  6 18:31:37 2024	0.46.0
SRX099987	278940	101	101	186495	93210	66.9	33.4	65321	Tue Feb  6 18:34:00 2024	0.46.0
SRX099988	6197330	100	100	5938088	3012750	95.8	48.6	65321	Tue Feb  6 18:34:14 2024	0.46.0
SRX099989	2885411	100	100	2722609	1279874	94.4	44.4	65321	Tue Feb  6 18:35:06 2024	0.46.0
SRX099990	17304500	101	101	16470700	7734188	95.2	44.7	65321	Tue Feb  6 18:35:32 2024	0.46.0
SRX099991	5222447	100	100	5068323	2458324	97	47.1	65321	Tue Feb  6 18:36:40 2024	0.46.0
SRX099992	2845080	100	100	2724714	1235543	95.8	43.4	65321	Tue Feb  6 18:37:24 2024	0.46.0
SRX099993	19464408	101	101	18822116	8522876	96.7	43.8	65321	Tue Feb  6 18:37:45 2024	0.46.0
SRX099994	14250410	100	100	13905740	6491448	97.6	45.6	65321	Tue Feb  6 18:38:56 2024	0.46.0
SRX099995	13624879	100	100	13194462	8640579	96.8	63.4	65321	Tue Feb  6 18:40:33 2024	0.46.0
SRX099996	12738106	100	100	12328509	5678249	96.8	44.6	65321	Tue Feb  6 18:42:01 2024	0.46.0
SRX099997	1634853	100	100	1562577	677581	95.6	41.4	65321	Tue Feb  6 18:25:22 2024	0.46.0
SRX099998	14912490	101	101	14409330	6284830	96.6	42.1	65321	Tue Feb  6 18:25:39 2024	0.46.0
SRX099999	12941125	100	100	12283742	6680669	94.9	51.6	65321	Tue Feb  6 18:26:28 2024	0.46.0
SRX100001	1834700	101	101	1745320	887512	95.1	48.4	65321	Tue Feb  6 18:28:10 2024	0.46.0
SRX100002	19709571	100	100	19201333	9629602	97.4	48.9	65321	Tue Feb  6 18:28:26 2024	0.46.0
SRX100003	4344420	100	100	4001404	2046693	92.1	47.1	65321	Tue Feb  6 18:30:38 2024	0.46.0
SRX100004	4440054	100	100	4026133	1909458	90.7	43	65321	Tue Feb  6 18:31:20 2024	0.46.0
SRX100005	20900964	101	101	19060060	9066216	91.2	43.4	65321	Tue Feb  6 18:31:50 2024	0.46.0
SRX100006	16318162	100	100	15772807	7699361	96.7	47.2	65321	Tue Feb  6 18:33:15 2024	0.46.0
SRX100819	13015986	100	100	12507001	6192865	96.1	47.6	65321	Tue Feb  6 18:35:11 2024	0.46.0
SRX1020630	19549213	100	100	16084396	8933270	82.3	45.7	65321	Tue Feb  6 18:36:38 2024	0.46.0
SRX1020631	219953	50	50	176854	89291	80.4	40.6	65321	Tue Feb  6 18:39:20 2024	0.46.0
SRX1020632	47677763	100	100	28033840	15422859	58.8	32.3	65321	Tue Feb  6 18:39:33 2024	0.46.0
SRX1020633	279404	50	50	158470	80206	56.7	28.7	65321	Tue Feb  6 18:47:01 2024	0.46.0
SRX1020634	22922040	100	100	20338344	11078301	88.7	48.3	65321	Tue Feb  6 16:54:21 2024	0.46.0
SRX1020635	176043	50	50	154787	75350	87.9	42.8	65321	Tue Feb  6 16:57:22 2024	0.46.0
SRX1020636	20976967	100	100	17657509	9406562	84.2	44.8	65321	Tue Feb  6 16:57:35 2024	0.46.0
SRX1020637	169546	50	50	134334	68070	79.2	40.1	65321	Tue Feb  6 17:00:26 2024	0.46.0
SRX1020638	21623392	100	100	15459906	8349523	71.5	38.6	65321	Tue Feb  6 17:00:40 2024	0.46.0
SRX1020639	197042	50	50	136875	68935	69.5	35	65321	Tue Feb  6 17:03:59 2024	0.46.0
SRX1020640	25039161	100	100	17920637	9744966	71.6	38.9	65321	Tue Feb  6 17:04:12 2024	0.46.0
SRX1020641	189581	50	50	135023	66657	71.2	35.2	65321	Tue Feb  6 17:08:05 2024	0.46.0
SRX1022566	14855030	100	100	10960871	5871813	73.8	39.5	65321	Tue Feb  6 17:08:18 2024	0.46.0
SRX1022567	283509	50	50	213485	99235	75.3	35	65321	Tue Feb  6 17:10:37 2024	0.46.0
SRX1022568	15197400	100	100	12568236	7015339	82.7	46.2	65321	Tue Feb  6 17:10:52 2024	0.46.0
SRX1022569	221263	50	50	191282	91286	86.5	41.3	65321	Tue Feb  6 17:13:02 2024	0.46.0
SRX1022570	19848284	100	100	16227497	8636107	81.8	43.5	65321	Tue Feb  6 17:13:16 2024	0.46.0
SRX1022571	244311	50	50	201534	95351	82.5	39	65321	Tue Feb  6 17:15:59 2024	0.46.0
SRX1022572	24779988	100	100	18466329	9294187	74.5	37.5	65321	Tue Feb  6 17:16:13 2024	0.46.0
SRX1022573	159696	50	50	111678	51511	69.9	32.3	65321	Tue Feb  6 18:25:25 2024	0.46.0
SRX1022574	18769320	100	100	16885017	9100246	90	48.5	65321	Tue Feb  6 18:25:38 2024	0.46.0
SRX1022575	243594	50	50	222817	107620	91.5	44.2	65321	Tue Feb  6 18:27:55 2024	0.46.0
SRX1022576	33861468	100	100	32575562	16484980	96.2	48.7	65321	Tue Feb  6 18:28:08 2024	0.46.0
SRX1022577	268966	50	50	257539	119243	95.8	44.3	65321	Tue Feb  6 18:31:14 2024	0.46.0
SRX1022578	49527180	100	100	47634132	22880573	96.2	46.2	65321	Tue Feb  6 18:31:29 2024	0.46.0
SRX1022579	236550	50	50	224823	99001	95	41.9	65321	Tue Feb  6 18:36:00 2024	0.46.0
SRX1022580	16508109	100	100	14698711	7935197	89	48.1	65321	Tue Feb  6 18:36:14 2024	0.46.0
SRX1022581	206280	50	50	186467	88860	90.4	43.1	65321	Tue Feb  6 18:38:21 2024	0.46.0
SRX1022582	27916768	100	100	26582954	13794369	95.2	49.4	65321	Tue Feb  6 18:38:32 2024	0.46.0
SRX1022583	195715	50	50	184259	88426	94.1	45.2	65321	Tue Feb  6 18:41:22 2024	0.46.0
SRX1022584	19068616	100	100	15913042	8568807	83.5	44.9	65321	Tue Feb  6 18:41:33 2024	0.46.0
SRX1022585	314512	50	50	266371	125862	84.7	40	65321	Tue Feb  6 18:44:03 2024	0.46.0
SRX1022586	38272017	100	100	36394179	18384975	95.1	48	65321	Tue Feb  6 18:44:16 2024	0.46.0
SRX1022587	232041	50	50	216124	101974	93.1	43.9	65321	Tue Feb  6 18:47:52 2024	0.46.0
SRX1022588	31929900	100	100	31008540	15615192	97.1	48.9	65321	Tue Feb  6 16:54:36 2024	0.46.0
SRX1022589	281897	50	50	270099	126391	95.8	44.8	65321	Tue Feb  6 16:57:34 2024	0.46.0
SRX1022592	28232832	100	100	27236624	13590660	96.5	48.1	65321	Tue Feb  6 16:57:48 2024	0.46.0
SRX1022593	195737	50	50	186826	86885	95.4	44.4	65321	Tue Feb  6 17:00:35 2024	0.46.0
SRX1022595	17400249	100	100	13046231	7264289	75	41.7	65321	Tue Feb  6 17:00:49 2024	0.46.0
SRX1022596	209121	50	50	164237	84892	78.5	40.6	65321	Tue Feb  6 17:03:27 2024	0.46.0
SRX1022597	26793796	100	100	15168350	8967794	56.6	33.5	65321	Tue Feb  6 17:03:41 2024	0.46.0
SRX1022598	193692	50	50	123641	68850	63.8	35.5	65321	Tue Feb  6 17:08:11 2024	0.46.0
SRX1022599	12254432	100	100	8446246	5586024	68.9	45.6	65321	Tue Feb  6 17:08:24 2024	0.46.0
SRX1022600	11718993	100	100	9272023	5715739	79.1	48.8	65321	Tue Feb  6 17:10:26 2024	0.46.0
SRX1022601	9549481	100	100	7391997	4317317	77.4	45.2	65321	Tue Feb  6 17:12:13 2024	0.46.0
SRX1022602	15519562	100	100	4238275	2483164	27.3	16	65321	Tue Feb  6 17:13:46 2024	0.46.0
SRX1022603	10902536	100	100	8376256	4375062	76.8	40.1	65321	Tue Feb  6 17:16:51 2024	0.46.0
SRX1022604	12454810	100	100	9649765	4907379	77.5	39.4	65321	Tue Feb  6 17:18:39 2024	0.46.0
SRX1022605	10031752	100	100	8020430	4912806	80	49	65321	Tue Feb  6 17:20:41 2024	0.46.0
SRX1022607	12642119	100	100	11502622	6059898	91	47.9	65321	Tue Feb  6 16:54:56 2024	0.46.0
SRX1022608	16571940	100	100	9717895	5159966	58.6	31.1	65321	Tue Feb  6 16:56:43 2024	0.46.0
SRX1022609	14859930	100	100	9139377	4915006	61.5	33.1	65321	Tue Feb  6 16:59:42 2024	0.46.0
SRX1022610	9566372	100	100	8644734	4670491	90.4	48.8	65321	Tue Feb  6 17:02:20 2024	0.46.0
