libraryId	min_read_length	max_read_length	average_read_length
SRX001872	36.0	36.0	36.0
SRX001873	36.0	36.0	36.0
SRX001874	36.0	36.0	36.0
SRX001875	36.0	36.0	36.0
SRX004863	36.0	36.0	36.0
SRX004864	36.0	36.0	36.0
SRX004865	36.0	36.0	36.0
SRX004866	36.0	36.0	36.0
SRX004867	36.0	50.0	43.0
SRX004868	36.0	36.0	36.0
SRX006984	34.0	34.0	34.0
SRX006985	34.0	34.0	34.0
SRX006986	34.0	34.0	34.0
SRX006987	34.0	34.0	34.0
SRX006988	34.0	34.0	34.0
SRX006989	34.0	34.0	34.0
SRX008144	36.0	36.0	36.0
SRX026728	76.0	76.0	76.0
SRX026729	76.0	76.0	76.0
SRX028190	36.0	36.0	36.0
SRX030932	36	36	36
SRX030933	36	36	36
SRX030934	36	36	36
SRX030935	36	36	36
SRX030936	36	36	36
SRX030937	36	36	36
SRX030938	36	36	36
SRX030939	36	36	36
SRX030940	36	36	36
SRX030941	36	36	36
SRX030942	36	36	36
SRX030943	36	36	36
SRX030944	36	36	36
SRX030945	36	36	36
SRX030946	36	36	36
SRX030947	36	36	36
SRX036881	76.0	76.0	76.0
SRX037186	76.0	76.0	76.0
SRX037288	76.0	76.0	76.0
SRX047446	76.0	76.0	76.0
SRX047469	76.0	76.0	76.0
SRX047653	76.0	76.0	76.0
SRX047787	76.0	76.0	76.0
SRX085111	100.0	100.0	100.0
SRX085112	76.0	76.0	76.0
SRX085217	76.0	76.0	76.0
SRX085218	100.0	100.0	100.0
SRX085219	36.0	36.0	36.0
SRX085220	36.0	36.0	36.0
SRX085286	100.0	100.0	100.0
SRX085287	76.0	76.0	76.0
SRX092371	76.0	76.0	76.0
SRX092372	100.0	100.0	100.0
SRX092477	76.0	76.0	76.0
SRX092478	100.0	100.0	100.0
SRX092479	100.0	100.0	100.0
SRX092480	76.0	76.0	76.0
SRX099902	101.0	101.0	101.0
SRX099907	100.0	100.0	100.0
SRX099908	101.0	101.0	101.0
SRX099915	101.0	101.0	101.0
SRX099973	100.0	100.0	100.0
SRX099974	101.0	101.0	101.0
SRX099975	100.0	100.0	100.0
SRX099976	100.0	100.0	100.0
SRX099977	101.0	101.0	101.0
SRX099978	100.0	100.0	100.0
SRX099979	100.0	100.0	100.0
SRX099980	100.0	100.0	100.0
SRX099981	100.0	100.0	100.0
SRX099982	100.0	100.0	100.0
SRX099983	100.0	100.0	100.0
SRX099984	100.0	100.0	100.0
SRX099985	100.0	100.0	100.0
SRX099986	100.0	100.0	100.0
SRX099987	101.0	101.0	101.0
SRX099988	100.0	100.0	100.0
SRX099989	100.0	100.0	100.0
SRX099990	101.0	101.0	101.0
SRX099991	100.0	100.0	100.0
SRX099992	100.0	100.0	100.0
SRX099993	101.0	101.0	101.0
SRX099994	100.0	100.0	100.0
SRX099995	100.0	100.0	100.0
SRX099996	100.0	100.0	100.0
SRX099997	100.0	100.0	100.0
