strain	species
(DSSC) 14011-0121.94	Drosophila pseudoobscura
(DSSC) 14021-0251.011	Drosophila simulans
(DSSC) 14021-0251.198	Drosophila simulans
(DSSC) 14021-0251.199	Drosophila simulans
(DSSC) 14021-0261.01	Drosophila yakuba
(DSSC) 14024-0371.13	Drosophila ananassae
(DSSC) 15010-1051.87	Drosophila virilis
(DSSC) 15081-1352.22	Drosophila mojavensis
129	Mus musculus
129 ES cell backcrossed onto C57BL/6 for 4 generations	Mus musculus
129/B6	Mus musculus
129/BL6 mixed background	Mus musculus
129/Black Swiss	Mus musculus
129/C57BL/6	Mus musculus
129/Sv	Mus musculus
129/SvEv	Mus musculus
129/SvEv and C57BL/6	Mus musculus
129S1/SvImJ	Mus musculus
129S1/SvJae	Mus musculus
129S2	Mus musculus
129S2/SvPasCrlf	Mus musculus
129S5	Mus musculus
129S6	Mus musculus
129S6 x CBA/CaJ	Mus musculus
129S6/SvEvTac	Mus musculus
129SvJ	Mus musculus
129SvJae	Mus musculus
129X1/SvJ	Mus musculus
A.BY-H2bc H2-T18f/SnJ	Mus musculus
A/J	Mus musculus
A/J x C57BL/6	Mus musculus
AB	Danio rerio
AB x TUB	Danio rerio
AB/TL	Danio rerio
AB/WIK	Danio rerio
ACS/Beagle	Canis lupus familiaris
African American	Homo sapiens
AKR/J	Mus musculus
AKR/J x FVB/NJ	Mus musculus
AKR/N	Mus musculus
american indian or alaska native	Homo sapiens
Antigua	Drosophila melanogaster
Arabian	Equus caballus
Asian	Homo sapiens
B10.D2	Mus musculus
B6.CAST	Mus musculus
B6/129	Mus musculus
B6/C3H F1 hybrid	Mus musculus
B6/CBF1J	Mus musculus
B6By.C.132.54	Mus musculus
B6C3F1	Mus musculus
B6C3F1/Crl	Mus musculus
B6CBACa	Mus musculus
B6D2	Mus musculus
B6D2F1	Mus musculus
back-crossed to C57BL/6 for 6 generations	Mus musculus
BALB	Mus musculus
BALB/c	Mus musculus
BALB/c AJ	Mus musculus
BALB/cA	Mus musculus
BALB/cByJ	Mus musculus
BALB/cByJ Jcl	Mus musculus
BALB/cJ	Mus musculus
bambara	Homo sapiens
BB	Drosophila melanogaster
beagle	Canis lupus familiaris
Belgian Shepherd	Canis lupus familiaris
Bengal	Felis catus
Berlin	Drosophila melanogaster
Bernese Mountain Dog	Canis lupus familiaris
Bl/6	Mus musculus
BL/6-129	Mus musculus
BL/6/FVB	Mus musculus
black	Homo sapiens
black/hispanic	Homo sapiens
BN/SsNHsd	Rattus norvegicus
Border Collie	Canis lupus familiaris
Bristol N2	Caenorhabditis elegans
British/Irish European	Homo sapiens
Brown Norway	Rattus norvegicus
BTBR	Mus musculus
BTBRT T(+) tf/J	Mus musculus
BTBR_T+_tf/J	Mus musculus
BUB/BnJ	Mus musculus
Bulldog	Canis lupus familiaris
BXD1	Mus musculus
BXD100	Mus musculus
BXD12	Mus musculus
BXD14	Mus musculus
BXD16	Mus musculus
BXD19	Mus musculus
BXD2	Mus musculus
BXD21	Mus musculus
BXD22	Mus musculus
BXD25	Mus musculus
BXD27	Mus musculus
BXD31	Mus musculus
BXD32	Mus musculus
BXD33	Mus musculus
BXD34	Mus musculus
BXD39	Mus musculus
BXD40	Mus musculus
BXD42	Mus musculus
BXD43	Mus musculus
BXD45	Mus musculus
BXD48	Mus musculus
BXD50	Mus musculus
BXD51	Mus musculus
BXD55	Mus musculus
BXD56	Mus musculus
BXD6	Mus musculus
BXD60	Mus musculus
BXD62	Mus musculus
BXD65	Mus musculus
BXD66	Mus musculus
BXD68	Mus musculus
BXD69	Mus musculus
BXD70	Mus musculus
BXD71	Mus musculus
BXD73	Mus musculus
BXD75	Mus musculus
BXD83	Mus musculus
BXD84	Mus musculus
BXD86	Mus musculus
BXD87	Mus musculus
BXD89	Mus musculus
BXD9	Mus musculus
BXD90	Mus musculus
BXD96	Mus musculus
BXD97	Mus musculus
BXD98	Mus musculus
BXD99	Mus musculus
BXH10	Mus musculus
BXH14	Mus musculus
BXH19	Mus musculus
BXH2	Mus musculus
BXH4	Mus musculus
BXH6	Mus musculus
BXH7	Mus musculus
BXH8	Mus musculus
BXH9	Mus musculus
BXHF1	Mus musculus
C.129S2(B6)-Il8rbtm1Mwm/J (Il8rb-/-)	Mus musculus
C3H	Mus musculus
C3H-HeOuJ	Mus musculus
C3H/HeJ	Mus musculus
C3H/HeJBir	Mus musculus
C3HeB/FeJ	Mus musculus
C56BL/6	Mus musculus
C56BL/6J	Mus musculus
C57	Mus musculus
C57 DBA FVB mixed	Mus musculus
C57 on a 129 background	Mus musculus
C57/129	Mus musculus
C57/B6	Mus musculus
C57/SV129 (mixed background)	Mus musculus
C57B/SV129	Mus musculus
C57B6/J	Mus musculus
C57B6/SJL	Mus musculus
C57B6/SJL x C57B6/129SV	Mus musculus
C57BJ/6	Mus musculus
C57BL	Mus musculus
C57BL x 129S6/SvEv	Mus musculus
C57BL/10	Mus musculus
C57BL/10ScSn	Mus musculus
C57BL/10SnJ	Mus musculus
C57BL/6	Mus musculus
C57BL/6 / CBA	Mus musculus
C57BL/6 and 129/Sv	Mus musculus
C57BL/6 and 129/Sv mixed	Mus musculus
C57BL/6 x 129/IB10	Mus musculus
C57BL/6 x 129/Sv mixed	Mus musculus
C57BL/6 x 129/Sv x 129/Ola	Mus musculus
C57BL/6 x C3H	Mus musculus
C57BL/6 x CBA/J	Mus musculus
C57BL/6 x DBA2	Mus musculus
C57BL/6, 129/Sv and C3H	Mus musculus
