ID	ENSEMBL_ID	NAME	DESCRIPTION	SPECIES_ID
552338	ENSOCUG00000000001	ADH6	alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255]	9986
552339	ENSOCUG00000000003	SLC6A13	solute carrier family 6 (neurotransmitter transporter), member 13 [Source:HGNC Symbol;Acc:HGNC:11046]	9986
552340	ENSOCUG00000000004	FGD1	FYVE, RhoGEF and PH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3663]	9986
552341	ENSOCUG00000000005	MDM4	MDM4, p53 regulator [Source:HGNC Symbol;Acc:HGNC:6974]	9986
552342	ENSOCUG00000000006	INPP1	inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]	9986
552343	ENSOCUG00000000007	GLIPR2	GLI pathogenesis-related 2 [Source:HGNC Symbol;Acc:HGNC:18007]	9986
552344	ENSOCUG00000000008	CCIN	calicin [Source:HGNC Symbol;Acc:HGNC:1568]	9986
552345	ENSOCUG00000000009	CLTA	clathrin, light chain A [Source:HGNC Symbol;Acc:HGNC:2090]	9986
552346	ENSOCUG00000000010	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase [Source:HGNC Symbol;Acc:HGNC:23657]	9986
552347	ENSOCUG00000000012		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SCE7]	9986
552348	ENSOCUG00000000013	RAD18	RAD18, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18278]	9986
552349	ENSOCUG00000000014	FTL	Oryctolagus cuniculus ferritin, light polypeptide (FTL), mRNA [Source:RefSeq mRNA;Acc:NM_001101688]	9986
552350	ENSOCUG00000000015	GYS1	glycogen synthase 1 [Source:HGNC Symbol;Acc:HGNC:4706]	9986
552351	ENSOCUG00000000016		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1TNH8]	9986
