libraryId	experimentId	cellTypeName	cellTypeId	speciesId	platform	protocol	protocolType	libraryType	infoOrgan	stageId	uberonId	sex	strain	readLength	organism
SRX1457054	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457055	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457056	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457057	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457058	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457059	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457060	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457061	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457062	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457063	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457064	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457065	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457066	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457067	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457068	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457069	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457070	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457071	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457072	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457073	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
