sample_accession	experiment_id	library_id	run_accession	read_count	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	submitted_ftp
SAMEA9307178	ERP130174	ERX5790721	ERR6153965	86288	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/005/ERR6153965/ERR6153965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/005/ERR6153965/ERR6153965_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6153965/FCA_P53_female_ovary_C2_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6153965/FCA_P53_female_ovary_C2_L004_R2.fastq.gz
SAMEA9307196	ERP130174	ERX5790739	ERR6153983	8418284	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/003/ERR6153983/ERR6153983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/003/ERR6153983/ERR6153983_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6153983/FCA_P53_female_ovary_D1_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6153983/FCA_P53_female_ovary_D1_L004_R2.fastq.gz
SAMEA9307231	ERP130174	ERX5790774	ERR6154018	3567336	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/008/ERR6154018/ERR6154018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/008/ERR6154018/ERR6154018_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154018/FCA_P53_female_ovary_E7_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154018/FCA_P53_female_ovary_E7_L004_R2.fastq.gz
SAMEA9307284	ERP130174	ERX5790827	ERR6154071	8789012	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/001/ERR6154071/ERR6154071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/001/ERR6154071/ERR6154071_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154071/FCA_P53_female_ovary_H12_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154071/FCA_P53_female_ovary_H12_L004_R2.fastq.gz
SAMEA9307498	ERP130174	ERX5791041	ERR6154285	4389620	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/005/ERR6154285/ERR6154285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/005/ERR6154285/ERR6154285_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154285/FCA_P59_Wnt4_ovary_A10_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154285/FCA_P59_Wnt4_ovary_A10_L004_R2.fastq.gz
SAMEA9307534	ERP130174	ERX5791077	ERR6154321	6829136	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/001/ERR6154321/ERR6154321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/001/ERR6154321/ERR6154321_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154321/FCA_P59_Wnt4_ovary_B21_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154321/FCA_P59_Wnt4_ovary_B21_L004_R2.fastq.gz
SAMEA9307544	ERP130174	ERX5791087	ERR6154331	6372826	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/001/ERR6154331/ERR6154331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/001/ERR6154331/ERR6154331_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154331/FCA_P59_Wnt4_ovary_B8_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154331/FCA_P59_Wnt4_ovary_B8_L004_R2.fastq.gz
SAMEA9307547	ERP130174	ERX5791090	ERR6154334	9806514	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/004/ERR6154334/ERR6154334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/004/ERR6154334/ERR6154334_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154334/FCA_P59_Wnt4_ovary_C11_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154334/FCA_P59_Wnt4_ovary_C11_L004_R2.fastq.gz
SAMEA9307550	ERP130174	ERX5791093	ERR6154337	9206724	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/007/ERR6154337/ERR6154337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/007/ERR6154337/ERR6154337_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154337/FCA_P59_Wnt4_ovary_C14_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154337/FCA_P59_Wnt4_ovary_C14_L004_R2.fastq.gz
SAMEA9307551	ERP130174	ERX5791094	ERR6154338	3942168	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/008/ERR6154338/ERR6154338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR615/008/ERR6154338/ERR6154338_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154338/FCA_P59_Wnt4_ovary_C15_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR615/ERR6154338/FCA_P59_Wnt4_ovary_C15_L004_R2.fastq.gz
