libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	pValueCutoff	meanIntergenic	sdIntergenic	speciesId
ERX1226326	2.16975e-08	15.3848118725893	12046	78298	42.4958616884311	9242	21748	0	0	61577	0.05	2.25583190474744	2.32887923175035	10090
ERX1226327	1.43252e-07	8.62601854453498	6754	78298	24.8896450248299	5413	21748	0	0	61577	0.05	2.27494858893421	2.25601007707689	10090
ERX1226328	3.05123e-09	15.0770134613911	11805	78298	39.8335479124517	8663	21748	0	0	61577	0.05	1.42868707633911	2.34617728943139	10090
ERX1226329	3.12608e-09	14.8650029374952	11639	78298	41.8245355894795	9096	21748	0	0	61577	0.05	1.64781245626559	2.22430799356885	10090
ERX1226330	3.50093e-09	13.9582109376996	10929	78298	37.8425602354239	8230	21748	0	0	61577	0.05	1.06805533391744	2.37137876359409	10090
ERX1226331	1.40834e-08	15.1728013486935	11880	78298	40.4267059039912	8792	21748	0	0	61577	0.05	1.59174290616364	2.8652914711275	10090
ERX1226332	1.48409e-08	12.6887021379856	9935	78298	36.4033474342468	7917	21748	0	0	61577	0.05	1.81482636555412	1.77364758060489	10090
ERX1226333	3.14909e-08	13.2429947125086	10369	78298	38.1690270369689	8301	21748	0	0	61577	0.05	2.66419995188028	2.37473987902387	10090
ERX1226334	5.32119e-08	12.0897085493882	9466	78298	35.3503770461652	7688	21748	0	0	61577	0.05	2.53982432792623	1.72986807555845	10090
ERX1226335	6.10619e-09	14.3388081432476	11227	78298	38.5092882104102	8375	21748	0	0	61577	0.05	0.887335251633243	2.51525360779019	10090
ERX1226336	5.979e-08	11.4166389946103	8939	78298	29.8464226595549	6491	21748	0	0	61577	0.05	1.49700823973769	2.82761004807521	10090
ERX1226337	7.36722e-09	15.1434263965874	11857	78298	39.553062350561	8602	21748	0	0	61577	0.05	1.04477261472409	2.41827020944956	10090
ERX1226338	5.45899e-09	15.2175023627679	11915	78298	39.640426705904	8621	21748	0	0	61577	0.05	0.81416720898879	2.61762303379505	10090
