libraryId	reads	min_read_size	max_read_size	number_aligned	number_unique_aligned	prop_aligned	prop_unique_aligned	number_targets	start_time	kallisto_version
ERX1226326	1097561	125	125	851580	378548	77.6	34.5	339952	Thu Jul 10 16:23:43 2025	0.51.0
ERX1226327	1025929	125	125	831998	386469	81.1	37.7	339952	Thu Jul 10 16:25:28 2025	0.51.0
ERX1226328	1775305	125	125	1388093	586669	78.2	33	339952	Thu Jul 10 16:26:57 2025	0.51.0
ERX1226329	1396350	125	125	1162701	553549	83.3	39.6	339952	Thu Jul 10 16:29:01 2025	0.51.0
ERX1226330	2087470	125	125	1769839	746404	84.8	35.8	339952	Thu Jul 10 16:30:51 2025	0.51.0
ERX1226331	1892358	125	125	1449859	663075	76.6	35	339952	Thu Jul 10 16:33:01 2025	0.51.0
ERX1226332	1082723	125	125	935438	428458	86.4	39.6	339952	Thu Jul 10 16:35:19 2025	0.51.0
ERX1226333	743333	125	125	616112	264185	82.9	35.5	339952	Thu Jul 10 16:36:54 2025	0.51.0
ERX1226334	731057	125	125	639810	249357	87.5	34.1	339952	Thu Jul 10 16:38:23 2025	0.51.0
ERX1226335	2535983	125	125	2156643	916889	85	36.2	339952	Thu Jul 10 16:39:49 2025	0.51.0
ERX1226336	1865256	125	125	1459682	696319	78.3	37.3	339952	Thu Jul 10 16:42:12 2025	0.51.0
ERX1226337	2266434	125	125	1853176	750147	81.8	33.1	339952	Thu Jul 10 16:44:27 2025	0.51.0
ERX1226338	3272613	125	125	2812098	1199187	85.9	36.6	339952	Thu Jul 10 16:46:41 2025	0.51.0
ERX1226339	2498474	125	125	2128763	952895	85.2	38.1	339952	Thu Jul 10 16:49:24 2025	0.51.0
ERX1226340	1774359	125	125	1508783	638804	85	36	339952	Thu Jul 10 16:51:43 2025	0.51.0
ERX1226341	1139117	125	125	980048	417802	86	36.7	339952	Thu Jul 10 16:53:45 2025	0.51.0
ERX1226342	1607223	125	125	1338379	588352	83.3	36.6	339952	Thu Jul 10 16:55:28 2025	0.51.0
ERX1226343	4946933	125	125	4269166	1791296	86.3	36.2	339952	Thu Jul 10 16:57:23 2025	0.51.0
ERX1226344	5715744	125	125	5020156	2056251	87.8	36	339952	Thu Jul 10 17:00:27 2025	0.51.0
ERX1226345	6765764	125	125	5828332	2173471	86.1	32.1	339952	Thu Jul 10 17:03:31 2025	0.51.0
ERX1226346	3714225	125	125	2941550	1273563	79.2	34.3	339952	Thu Jul 10 17:07:38 2025	0.51.0
ERX1226347	2469110	125	125	2029365	833875	82.2	33.8	339952	Thu Jul 10 17:10:33 2025	0.51.0
ERX1226348	3153282	125	125	2462662	1043613	78.1	33.1	339952	Thu Jul 10 17:12:54 2025	0.51.0
ERX1226349	2239420	125	125	1850266	773843	82.6	34.6	339952	Thu Jul 10 17:15:37 2025	0.51.0
ERX1226350	1051460	125	125	891936	395126	84.8	37.6	339952	Thu Jul 10 17:17:35 2025	0.51.0
ERX1226351	2936713	125	125	2389554	1105238	81.4	37.6	339952	Thu Jul 10 17:19:05 2025	0.51.0
ERX1226352	3962411	125	125	3414753	1455454	86.2	36.7	339952	Thu Jul 10 17:21:36 2025	0.51.0
ERX1226353	3245860	125	125	2765721	1169826	85.2	36	339952	Thu Jul 10 17:24:05 2025	0.51.0
ERX1226354	3849360	125	125	3363895	1403062	87.4	36.4	339952	Thu Jul 10 17:26:18 2025	0.51.0
ERX1226355	4236517	125	125	3470984	1491340	81.9	35.2	339952	Thu Jul 10 17:28:51 2025	0.51.0
ERX1226356	1068040	125	125	923560	396761	86.5	37.1	339952	Thu Jul 10 17:31:58 2025	0.51.0
ERX1226357	1918682	125	125	1534472	699043	80	36.4	339952	Thu Jul 10 17:33:27 2025	0.51.0
ERX1226358	4216982	125	125	3704752	1592145	87.9	37.8	339952	Thu Jul 10 17:35:29 2025	0.51.0
ERX1226359	4660033	125	125	3916345	1781855	84	38.2	339952	Thu Jul 10 17:38:09 2025	0.51.0
ERX1226360	4041193	125	125	3354827	1535707	83	38	339952	Thu Jul 10 17:40:53 2025	0.51.0
ERX1226361	5895509	125	125	4778116	2354582	81	39.9	339952	Thu Jul 10 17:43:30 2025	0.51.0
ERX1226362	6235141	125	125	5472395	2289923	87.8	36.7	339952	Thu Jul 10 17:46:42 2025	0.51.0
ERX1226363	4753353	125	125	3935694	1737587	82.8	36.6	339952	Thu Jul 10 17:49:42 2025	0.51.0
ERX1226364	4448523	125	125	3672700	1563609	82.6	35.1	339952	Thu Jul 10 17:52:35 2025	0.51.0
ERX1226365	2554310	125	125	2122903	976008	83.1	38.2	339952	Thu Jul 10 17:55:28 2025	0.51.0
ERX1226366	971707	125	125	770395	431535	79.3	44.4	339952	Thu Jul 10 17:57:43 2025	0.51.0
ERX1226367	2576005	125	125	2189931	971521	85	37.7	339952	Thu Jul 10 17:59:05 2025	0.51.0
ERX1226368	2688298	125	125	2304409	1002394	85.7	37.3	339952	Thu Jul 10 18:01:04 2025	0.51.0
ERX1226369	5028690	125	125	4314881	1747924	85.8	34.8	339952	Thu Jul 10 18:03:06 2025	0.51.0
ERX1226370	4302991	125	125	3588151	1787011	83.4	41.5	339952	Thu Jul 10 18:05:48 2025	0.51.0
ERX1226371	3827795	125	125	3141444	1377129	82.1	36	339952	Thu Jul 10 18:08:16 2025	0.51.0
ERX1226372	4843392	125	125	4030875	1729634	83.2	35.7	339952	Thu Jul 10 18:11:00 2025	0.51.0
ERX1226373	1020181	125	125	795694	367527	78	36	339952	Thu Jul 10 18:13:56 2025	0.51.0
ERX1226374	2780449	125	125	2343456	1035795	84.3	37.3	339952	Thu Jul 10 18:15:26 2025	0.51.0
ERX1226375	4825272	125	125	4059813	1759099	84.1	36.5	339952	Thu Jul 10 18:17:36 2025	0.51.0
ERX1226376	9244781	125	125	8008827	3756667	86.6	40.6	339952	Thu Jul 10 18:20:25 2025	0.51.0
ERX1226377	4296840	125	125	3722559	1546505	86.6	36	339952	Thu Jul 10 18:24:27 2025	0.51.0
ERX1226378	2738311	125	125	2281853	1112405	83.3	40.6	339952	Thu Jul 10 16:23:41 2025	0.51.0
ERX1226379	2892187	125	125	2427986	1060497	83.9	36.7	339952	Thu Jul 10 16:25:44 2025	0.51.0
ERX1226380	2354156	125	125	1952482	812972	82.9	34.5	339952	Thu Jul 10 16:27:47 2025	0.51.0
ERX1226381	1646071	125	125	1415186	598510	86	36.4	339952	Thu Jul 10 16:29:43 2025	0.51.0
ERX1226382	2753337	125	125	2306125	1022947	83.8	37.2	339952	Thu Jul 10 16:31:20 2025	0.51.0
ERX1226383	6205543	125	125	5069170	2367051	81.7	38.1	339952	Thu Jul 10 16:33:28 2025	0.51.0
ERX1226384	4767830	125	125	4017959	1699025	84.3	35.6	339952	Thu Jul 10 16:36:33 2025	0.51.0
ERX1226385	5112102	125	125	4342624	1789379	84.9	35	339952	Thu Jul 10 16:39:11 2025	0.51.0
ERX1226386	6308053	125	125	5013887	2567698	79.5	40.7	339952	Thu Jul 10 16:41:56 2025	0.51.0
ERX1226387	4663817	125	125	3856258	1563654	82.7	33.5	339952	Thu Jul 10 16:45:08 2025	0.51.0
ERX1226388	2316696	125	125	1905296	753957	82.2	32.5	339952	Thu Jul 10 16:47:57 2025	0.51.0
ERX1226389	1323141	125	125	1137936	507252	86	38.3	339952	Thu Jul 10 16:50:01 2025	0.51.0
ERX1226390	1890593	125	125	1574360	686381	83.3	36.3	339952	Thu Jul 10 16:51:30 2025	0.51.0
ERX1226391	3604904	125	125	3053590	1307140	84.7	36.3	339952	Thu Jul 10 16:53:12 2025	0.51.0
ERX1226392	4698907	125	125	3913928	1647926	83.3	35.1	339952	Thu Jul 10 16:55:27 2025	0.51.0
ERX1226393	4310889	125	125	3694545	1512649	85.7	35.1	339952	Thu Jul 10 16:58:13 2025	0.51.0
ERX1226394	2260521	125	125	1927604	813472	85.3	36	339952	Thu Jul 10 17:00:56 2025	0.51.0
ERX1226395	475876	125	125	316343	129478	66.5	27.2	339952	Thu Jul 10 17:02:55 2025	0.51.0
ERX1226396	1032584	125	125	848314	363636	82.2	35.2	339952	Thu Jul 10 17:04:10 2025	0.51.0
ERX1226397	1572484	125	125	1379190	567866	87.7	36.1	339952	Thu Jul 10 17:05:43 2025	0.51.0
ERX1226398	1433887	125	125	1189855	529395	83	36.9	339952	Thu Jul 10 17:07:21 2025	0.51.0
