#libraryId	excluded	comment	annotatorId	lastModificationDate
ERX5793217	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793232	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793264	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793289	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793313	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793323	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793326	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793334	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793352	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793353	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793365	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793393	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793429	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793452	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793453	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793459	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793472	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793489	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793505	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793509	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793510	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793518	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793519	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793521	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793558	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793567	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793573	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793586	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793587	TRUE	not processed by BgeeCall	JW	2026-02-02
ERX5793589	TRUE	not processed by BgeeCall	JW	2026-02-02
SRX259205	TRUE	not processed by BgeeCall	JW	2026-02-02
SRX259206	TRUE	not processed by BgeeCall	JW	2026-02-02
SRX259207	TRUE	not processed by BgeeCall	JW	2026-02-02
SRX259208	TRUE	not processed by BgeeCall	JW	2026-02-02
SRX259209	TRUE	not processed by BgeeCall	JW	2026-02-02
SRX259253	TRUE	not processed by BgeeCall	JW	2026-02-02
SRX3807071	TRUE	not processed by BgeeCall	JW	2026-02-02
SRX7499115	TRUE	not processed by BgeeCall	JW	2026-02-02
SRX7499129	TRUE	not processed by BgeeCall	JW	2026-02-02
SRX7499301	TRUE	not processed by BgeeCall	JW	2026-02-02
SRX7499326	TRUE	not processed by BgeeCall	JW	2026-02-02
