libraryId	experimentId	cellTypeName	cellTypeId	speciesId	platform	protocol	protocolType	libraryType	infoOrgan	stageId	anatId	sex	strain	readLength	genotype	organism
ERX1226326	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226327	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226328	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226329	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226330	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226331	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226332	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226333	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226334	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226335	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226336	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226337	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226338	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226339	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000017	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226340	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000017	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226341	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226342	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226343	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226344	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226345	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226346	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226347	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226348	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000017	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226349	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226350	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226351	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226352	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
