libraryId	experimentId	platform	uberonId	uberonName	cellTypeId	cellTypeName	markers	stageId	stageName	infoOrgan	infoCellType	infoStage	sampleTitle	sampleSource	sampleDescription	sampleCharacteristics	cellTypeAnnotationStatus	stageAnnotationStatus	stageBiologicalStatus	sex	strain	speciesId	comment	annotatorId	lastModificationDate	replicate	infoReplicate	SRSId	tags	protocol	protocolType	whiteList	name_sample_id
SRX259169	SRP020490	Illumina HiSeq 2000	UBERON:0019252	8-cell stage embryo	CL:0000353	blastoderm cell		MmusDv:0000006	Theiler stage 03	8-cell embryo	8-cell stage blastomere	8-cell stage blastomere	GSM1112554	NA	NA	NA	perfect match	missing child term	not documented	M	CAST/EiJ(mother) x C57BL/6J(father)	10090	PMID:24408435 All analyzed embryos were derived from 4  to 8  week-old  CAST/EiJ  (CAST) females mated to C57BL/6J (C57) males..Embryos  at  different  stages  of preimplantation   development   were   collected   at   defined   time   periods   after   hCG administration: 20–24 h after hCG (zygotes), 31–32 h (early 2-cell), 39-40 h (mid 2-cell), 46–48 h (late 2-cell), 54–56 h (4-cell), 68–70 h (8-cell), 76–78 h (16-cell), 86–88 h (early blastocysts),  92–94  h  (mid  blastocysts),  and  100–102  h  (late  blastocysts).  The  isolated embryos were further selected and assigned to appropriate samples based on cell numbers (up   to   16-cell   stage)   or   morphology   (blastocysts)...To isolate individual cells from embryos, we first removed the zona pellucida using acid  Tyrode’s  solution  (Sigma),  and  washed  embryos  twice  with  M 2  medium  (Sigma). We  then  used  TrypLE  (Invitrogen)  to  dissociate  embryos  into  single  cells. Incubation time  varied  from  30  seconds  to  5  minutes  depending  on  the  embryonic  stage.  For dissociation  of  blastocyst  embryos,  we  applied  an  additional  mechanical  di ssociation  by mouth pipetting, with a finely pulled glass capillary following TrypLE digestion. Single cells  were  washed  with  DMEM/F12  medium  (Invitrogen)  before  manually  picked  into hypotonic  Smart-seq  lysis  buffer.  We  either  directly  prepared  Smart-seq  cDNA  libraries or snap-froze samples on dry ice and kept at -80°C for future preparation.	ANN	2019-11-26	NA	NA	SRS406839	scRNA-seq	SMART_seq	Full-length	NA	NA
SRX259170	SRP020490	Illumina HiSeq 2000	UBERON:0019252	8-cell stage embryo	CL:0000353	blastoderm cell		MmusDv:0000006	Theiler stage 03	8-cell embryo	8-cell stage blastomere	8-cell stage blastomere	GSM1112555	NA	NA	NA	perfect match	missing child term	not documented	M	CAST/EiJ(mother) x C57BL/6J(father)	10090	PMID:24408435 All analyzed embryos were derived from 4  to 8  week-old  CAST/EiJ  (CAST) females mated to C57BL/6J (C57) males..Embryos  at  different  stages  of preimplantation   development   were   collected   at   defined   time   periods   after   hCG administration: 20–24 h after hCG (zygotes), 31–32 h (early 2-cell), 39-40 h (mid 2-cell), 46–48 h (late 2-cell), 54–56 h (4-cell), 68–70 h (8-cell), 76–78 h (16-cell), 86–88 h (early blastocysts),  92–94  h  (mid  blastocysts),  and  100–102  h  (late  blastocysts).  The  isolated embryos were further selected and assigned to appropriate samples based on cell numbers (up   to   16-cell   stage)   or   morphology   (blastocysts)...To isolate individual cells from embryos, we first removed the zona pellucida using acid  Tyrode’s  solution  (Sigma),  and  washed  embryos  twice  with  M 2  medium  (Sigma). We  then  used  TrypLE  (Invitrogen)  to  dissociate  embryos  into  single  cells. Incubation time  varied  from  30  seconds  to  5  minutes  depending  on  the  embryonic  stage.  For dissociation  of  blastocyst  embryos,  we  applied  an  additional  mechanical  di ssociation  by mouth pipetting, with a finely pulled glass capillary following TrypLE digestion. Single cells  were  washed  with  DMEM/F12  medium  (Invitrogen)  before  manually  picked  into hypotonic  Smart-seq  lysis  buffer.  We  either  directly  prepared  Smart-seq  cDNA  libraries or snap-froze samples on dry ice and kept at -80°C for future preparation.	ANN	2019-11-26	NA	NA	SRS406840	scRNA-seq	SMART_seq	Full-length	NA	NA
SRX259171	SRP020490	Illumina HiSeq 2000	UBERON:0019252	8-cell stage embryo	CL:0000353	blastoderm cell		MmusDv:0000006	Theiler stage 03	8-cell embryo	8-cell stage blastomere	8-cell stage blastomere	GSM1112556	NA	NA	NA	perfect match	missing child term	not documented	M	CAST/EiJ(mother) x C57BL/6J(father)	10090	PMID:24408435 All analyzed embryos were derived from 4  to 8  week-old  CAST/EiJ  (CAST) females mated to C57BL/6J (C57) males..Embryos  at  different  stages  of preimplantation   development   were   collected   at   defined   time   periods   after   hCG administration: 20–24 h after hCG (zygotes), 31–32 h (early 2-cell), 39-40 h (mid 2-cell), 46–48 h (late 2-cell), 54–56 h (4-cell), 68–70 h (8-cell), 76–78 h (16-cell), 86–88 h (early blastocysts),  92–94  h  (mid  blastocysts),  and  100–102  h  (late  blastocysts).  The  isolated embryos were further selected and assigned to appropriate samples based on cell numbers (up   to   16-cell   stage)   or   morphology   (blastocysts)...To isolate individual cells from embryos, we first removed the zona pellucida using acid  Tyrode’s  solution  (Sigma),  and  washed  embryos  twice  with  M 2  medium  (Sigma). We  then  used  TrypLE  (Invitrogen)  to  dissociate  embryos  into  single  cells. Incubation time  varied  from  30  seconds  to  5  minutes  depending  on  the  embryonic  stage.  For dissociation  of  blastocyst  embryos,  we  applied  an  additional  mechanical  di ssociation  by mouth pipetting, with a finely pulled glass capillary following TrypLE digestion. Single cells  were  washed  with  DMEM/F12  medium  (Invitrogen)  before  manually  picked  into hypotonic  Smart-seq  lysis  buffer.  We  either  directly  prepared  Smart-seq  cDNA  libraries or snap-froze samples on dry ice and kept at -80°C for future preparation.	ANN	2019-11-26	NA	NA	SRS406841	scRNA-seq	SMART_seq	Full-length	NA	NA
SRX259172	SRP020490	Illumina HiSeq 2000	UBERON:0019252	8-cell stage embryo	CL:0000353	blastoderm cell		MmusDv:0000006	Theiler stage 03	8-cell embryo	8-cell stage blastomere	8-cell stage blastomere	GSM1112557	NA	NA	NA	perfect match	missing child term	not documented	M	CAST/EiJ(mother) x C57BL/6J(father)	10090	PMID:24408435 All analyzed embryos were derived from 4  to 8  week-old  CAST/EiJ  (CAST) females mated to C57BL/6J (C57) males..Embryos  at  different  stages  of preimplantation   development   were   collected   at   defined   time   periods   after   hCG administration: 20–24 h after hCG (zygotes), 31–32 h (early 2-cell), 39-40 h (mid 2-cell), 46–48 h (late 2-cell), 54–56 h (4-cell), 68–70 h (8-cell), 76–78 h (16-cell), 86–88 h (early blastocysts),  92–94  h  (mid  blastocysts),  and  100–102  h  (late  blastocysts).  The  isolated embryos were further selected and assigned to appropriate samples based on cell numbers (up   to   16-cell   stage)   or   morphology   (blastocysts)...To isolate individual cells from embryos, we first removed the zona pellucida using acid  Tyrode’s  solution  (Sigma),  and  washed  embryos  twice  with  M 2  medium  (Sigma). We  then  used  TrypLE  (Invitrogen)  to  dissociate  embryos  into  single  cells. Incubation time  varied  from  30  seconds  to  5  minutes  depending  on  the  embryonic  stage.  For dissociation  of  blastocyst  embryos,  we  applied  an  additional  mechanical  di ssociation  by mouth pipetting, with a finely pulled glass capillary following TrypLE digestion. Single cells  were  washed  with  DMEM/F12  medium  (Invitrogen)  before  manually  picked  into hypotonic  Smart-seq  lysis  buffer.  We  either  directly  prepared  Smart-seq  cDNA  libraries or snap-froze samples on dry ice and kept at -80°C for future preparation.	ANN	2019-11-26	NA	NA	SRS406842	scRNA-seq	SMART_seq	Full-length	NA	NA
SRX259173	SRP020490	Illumina HiSeq 2000	UBERON:0019252	8-cell stage embryo	CL:0000353	blastoderm cell		MmusDv:0000006	Theiler stage 03	8-cell embryo	8-cell stage blastomere	8-cell stage blastomere	GSM1112558	NA	NA	NA	perfect match	missing child term	not documented	M	CAST/EiJ(mother) x C57BL/6J(father)	10090	PMID:24408435 All analyzed embryos were derived from 4  to 8  week-old  CAST/EiJ  (CAST) females mated to C57BL/6J (C57) males..Embryos  at  different  stages  of preimplantation   development   were   collected   at   defined   time   periods   after   hCG administration: 20–24 h after hCG (zygotes), 31–32 h (early 2-cell), 39-40 h (mid 2-cell), 46–48 h (late 2-cell), 54–56 h (4-cell), 68–70 h (8-cell), 76–78 h (16-cell), 86–88 h (early blastocysts),  92–94  h  (mid  blastocysts),  and  100–102  h  (late  blastocysts).  The  isolated embryos were further selected and assigned to appropriate samples based on cell numbers (up   to   16-cell   stage)   or   morphology   (blastocysts)...To isolate individual cells from embryos, we first removed the zona pellucida using acid  Tyrode’s  solution  (Sigma),  and  washed  embryos  twice  with  M 2  medium  (Sigma). We  then  used  TrypLE  (Invitrogen)  to  dissociate  embryos  into  single  cells. Incubation time  varied  from  30  seconds  to  5  minutes  depending  on  the  embryonic  stage.  For dissociation  of  blastocyst  embryos,  we  applied  an  additional  mechanical  di ssociation  by mouth pipetting, with a finely pulled glass capillary following TrypLE digestion. Single cells  were  washed  with  DMEM/F12  medium  (Invitrogen)  before  manually  picked  into hypotonic  Smart-seq  lysis  buffer.  We  either  directly  prepared  Smart-seq  cDNA  libraries or snap-froze samples on dry ice and kept at -80°C for future preparation.	ANN	2019-11-26	NA	NA	SRS406843	scRNA-seq	SMART_seq	Full-length	NA	NA
SRX259174	SRP020490	Illumina HiSeq 2000	UBERON:0019252	8-cell stage embryo	CL:0000353	blastoderm cell		MmusDv:0000006	Theiler stage 03	8-cell embryo	8-cell stage blastomere	8-cell stage blastomere	GSM1112559	NA	NA	NA	perfect match	missing child term	not documented	M	CAST/EiJ(mother) x C57BL/6J(father)	10090	PMID:24408435 All analyzed embryos were derived from 4  to 8  week-old  CAST/EiJ  (CAST) females mated to C57BL/6J (C57) males..Embryos  at  different  stages  of preimplantation   development   were   collected   at   defined   time   periods   after   hCG administration: 20–24 h after hCG (zygotes), 31–32 h (early 2-cell), 39-40 h (mid 2-cell), 46–48 h (late 2-cell), 54–56 h (4-cell), 68–70 h (8-cell), 76–78 h (16-cell), 86–88 h (early blastocysts),  92–94  h  (mid  blastocysts),  and  100–102  h  (late  blastocysts).  The  isolated embryos were further selected and assigned to appropriate samples based on cell numbers (up   to   16-cell   stage)   or   morphology   (blastocysts)...To isolate individual cells from embryos, we first removed the zona pellucida using acid  Tyrode’s  solution  (Sigma),  and  washed  embryos  twice  with  M 2  medium  (Sigma). We  then  used  TrypLE  (Invitrogen)  to  dissociate  embryos  into  single  cells. Incubation time  varied  from  30  seconds  to  5  minutes  depending  on  the  embryonic  stage.  For dissociation  of  blastocyst  embryos,  we  applied  an  additional  mechanical  di ssociation  by mouth pipetting, with a finely pulled glass capillary following TrypLE digestion. Single cells  were  washed  with  DMEM/F12  medium  (Invitrogen)  before  manually  picked  into hypotonic  Smart-seq  lysis  buffer.  We  either  directly  prepared  Smart-seq  cDNA  libraries or snap-froze samples on dry ice and kept at -80°C for future preparation.	ANN	2019-11-26	NA	NA	SRS406844	scRNA-seq	SMART_seq	Full-length	NA	NA
SRX259175	SRP020490	Illumina HiSeq 2000	UBERON:0019252	8-cell stage embryo	CL:0000353	blastoderm cell		MmusDv:0000006	Theiler stage 03	8-cell embryo	8-cell stage blastomere	8-cell stage blastomere	GSM1112560	NA	NA	NA	perfect match	missing child term	not documented	M	CAST/EiJ(mother) x C57BL/6J(father)	10090	PMID:24408435 All analyzed embryos were derived from 4  to 8  week-old  CAST/EiJ  (CAST) females mated to C57BL/6J (C57) males..Embryos  at  different  stages  of preimplantation   development   were   collected   at   defined   time   periods   after   hCG administration: 20–24 h after hCG (zygotes), 31–32 h (early 2-cell), 39-40 h (mid 2-cell), 46–48 h (late 2-cell), 54–56 h (4-cell), 68–70 h (8-cell), 76–78 h (16-cell), 86–88 h (early blastocysts),  92–94  h  (mid  blastocysts),  and  100–102  h  (late  blastocysts).  The  isolated embryos were further selected and assigned to appropriate samples based on cell numbers (up   to   16-cell   stage)   or   morphology   (blastocysts)...To isolate individual cells from embryos, we first removed the zona pellucida using acid  Tyrode’s  solution  (Sigma),  and  washed  embryos  twice  with  M 2  medium  (Sigma). We  then  used  TrypLE  (Invitrogen)  to  dissociate  embryos  into  single  cells. Incubation time  varied  from  30  seconds  to  5  minutes  depending  on  the  embryonic  stage.  For dissociation  of  blastocyst  embryos,  we  applied  an  additional  mechanical  di ssociation  by mouth pipetting, with a finely pulled glass capillary following TrypLE digestion. Single cells  were  washed  with  DMEM/F12  medium  (Invitrogen)  before  manually  picked  into hypotonic  Smart-seq  lysis  buffer.  We  either  directly  prepared  Smart-seq  cDNA  libraries or snap-froze samples on dry ice and kept at -80°C for future preparation.	ANN	2019-11-26	NA	NA	SRS406845	scRNA-seq	SMART_seq	Full-length	NA	NA
SRX259176	SRP020490	Illumina HiSeq 2000	UBERON:0019252	8-cell stage embryo	CL:0000353	blastoderm cell		MmusDv:0000006	Theiler stage 03	8-cell embryo	8-cell stage blastomere	8-cell stage blastomere	GSM1112561	NA	NA	NA	perfect match	missing child term	not documented	M	CAST/EiJ(mother) x C57BL/6J(father)	10090	PMID:24408435 All analyzed embryos were derived from 4  to 8  week-old  CAST/EiJ  (CAST) females mated to C57BL/6J (C57) males..Embryos  at  different  stages  of preimplantation   development   were   collected   at   defined   time   periods   after   hCG administration: 20–24 h after hCG (zygotes), 31–32 h (early 2-cell), 39-40 h (mid 2-cell), 46–48 h (late 2-cell), 54–56 h (4-cell), 68–70 h (8-cell), 76–78 h (16-cell), 86–88 h (early blastocysts),  92–94  h  (mid  blastocysts),  and  100–102  h  (late  blastocysts).  The  isolated embryos were further selected and assigned to appropriate samples based on cell numbers (up   to   16-cell   stage)   or   morphology   (blastocysts)...To isolate individual cells from embryos, we first removed the zona pellucida using acid  Tyrode’s  solution  (Sigma),  and  washed  embryos  twice  with  M 2  medium  (Sigma). We  then  used  TrypLE  (Invitrogen)  to  dissociate  embryos  into  single  cells. Incubation time  varied  from  30  seconds  to  5  minutes  depending  on  the  embryonic  stage.  For dissociation  of  blastocyst  embryos,  we  applied  an  additional  mechanical  di ssociation  by mouth pipetting, with a finely pulled glass capillary following TrypLE digestion. Single cells  were  washed  with  DMEM/F12  medium  (Invitrogen)  before  manually  picked  into hypotonic  Smart-seq  lysis  buffer.  We  either  directly  prepared  Smart-seq  cDNA  libraries or snap-froze samples on dry ice and kept at -80°C for future preparation.	ANN	2019-11-26	NA	NA	SRS406846	scRNA-seq	SMART_seq	Full-length	NA	NA
SRX259177	SRP020490	Illumina HiSeq 2000	UBERON:0019252	8-cell stage embryo	CL:0000353	blastoderm cell		MmusDv:0000006	Theiler stage 03	8-cell embryo	8-cell stage blastomere	8-cell stage blastomere	GSM1112562	NA	NA	NA	perfect match	missing child term	not documented	M	CAST/EiJ(mother) x C57BL/6J(father)	10090	PMID:24408435 All analyzed embryos were derived from 4  to 8  week-old  CAST/EiJ  (CAST) females mated to C57BL/6J (C57) males..Embryos  at  different  stages  of preimplantation   development   were   collected   at   defined   time   periods   after   hCG administration: 20–24 h after hCG (zygotes), 31–32 h (early 2-cell), 39-40 h (mid 2-cell), 46–48 h (late 2-cell), 54–56 h (4-cell), 68–70 h (8-cell), 76–78 h (16-cell), 86–88 h (early blastocysts),  92–94  h  (mid  blastocysts),  and  100–102  h  (late  blastocysts).  The  isolated embryos were further selected and assigned to appropriate samples based on cell numbers (up   to   16-cell   stage)   or   morphology   (blastocysts)...To isolate individual cells from embryos, we first removed the zona pellucida using acid  Tyrode’s  solution  (Sigma),  and  washed  embryos  twice  with  M 2  medium  (Sigma). We  then  used  TrypLE  (Invitrogen)  to  dissociate  embryos  into  single  cells. Incubation time  varied  from  30  seconds  to  5  minutes  depending  on  the  embryonic  stage.  For dissociation  of  blastocyst  embryos,  we  applied  an  additional  mechanical  di ssociation  by mouth pipetting, with a finely pulled glass capillary following TrypLE digestion. Single cells  were  washed  with  DMEM/F12  medium  (Invitrogen)  before  manually  picked  into hypotonic  Smart-seq  lysis  buffer.  We  either  directly  prepared  Smart-seq  cDNA  libraries or snap-froze samples on dry ice and kept at -80°C for future preparation.	ANN	2019-11-26	NA	NA	SRS406847	scRNA-seq	SMART_seq	Full-length	NA	NA
SRX259178	SRP020490	Illumina HiSeq 2000	UBERON:0019252	8-cell stage embryo	CL:0000353	blastoderm cell		MmusDv:0000006	Theiler stage 03	8-cell embryo	8-cell stage blastomere	8-cell stage blastomere	GSM1112563	NA	NA	NA	perfect match	missing child term	not documented	M	CAST/EiJ(mother) x C57BL/6J(father)	10090	PMID:24408435 All analyzed embryos were derived from 4  to 8  week-old  CAST/EiJ  (CAST) females mated to C57BL/6J (C57) males..Embryos  at  different  stages  of preimplantation   development   were   collected   at   defined   time   periods   after   hCG administration: 20–24 h after hCG (zygotes), 31–32 h (early 2-cell), 39-40 h (mid 2-cell), 46–48 h (late 2-cell), 54–56 h (4-cell), 68–70 h (8-cell), 76–78 h (16-cell), 86–88 h (early blastocysts),  92–94  h  (mid  blastocysts),  and  100–102  h  (late  blastocysts).  The  isolated embryos were further selected and assigned to appropriate samples based on cell numbers (up   to   16-cell   stage)   or   morphology   (blastocysts)...To isolate individual cells from embryos, we first removed the zona pellucida using acid  Tyrode’s  solution  (Sigma),  and  washed  embryos  twice  with  M 2  medium  (Sigma). We  then  used  TrypLE  (Invitrogen)  to  dissociate  embryos  into  single  cells. Incubation time  varied  from  30  seconds  to  5  minutes  depending  on  the  embryonic  stage.  For dissociation  of  blastocyst  embryos,  we  applied  an  additional  mechanical  di ssociation  by mouth pipetting, with a finely pulled glass capillary following TrypLE digestion. Single cells  were  washed  with  DMEM/F12  medium  (Invitrogen)  before  manually  picked  into hypotonic  Smart-seq  lysis  buffer.  We  either  directly  prepared  Smart-seq  cDNA  libraries or snap-froze samples on dry ice and kept at -80°C for future preparation.	ANN	2019-11-26	NA	NA	SRS406848	scRNA-seq	SMART_seq	Full-length	NA	NA
