sample_accession	experiment_id	library_id	run_accession	read_count	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	submitted_ftp	source
SAMEA5041143	ERP111594	ERX2860947	ERR2854358	162512756	9606	Homo sapiens	Illumina HiSeq 2500	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2854358/Retina_1.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2854358/Retina_1.bam.bai	EBI
SAMEA5041144	ERP111594	ERX2860948	ERR2854359	117058175	9606	Homo sapiens	Illumina HiSeq 2500	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2854359/Retina_2A.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2854359/Retina_2A.bam.bai	EBI
SAMEA5041145	ERP111594	ERX2860949	ERR2854360	120987555	9606	Homo sapiens	Illumina HiSeq 2500	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2854360/Retina_2B.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2854360/Retina_2B.bam.bai	EBI
SAMEA5041146	ERP111594	ERX2860950	ERR2854361	245707353	9606	Homo sapiens	Illumina HiSeq 2500	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2854361/Retina_3A.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2854361/Retina_3A.bam.bai	EBI
SAMEA5041147	ERP111594	ERX2860951	ERR2854362	251211033	9606	Homo sapiens	Illumina HiSeq 2500	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2854362/Retina_3B.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2854362/Retina_3B.bam.bai	EBI
SAMEA5694098	ERP115651	ERX3382888	ERR3358381	311055364	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358381/4861STDY7135911.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358381/4861STDY7135911.bam.bai	EBI
SAMEA5694099	ERP115651	ERX3382889	ERR3358382	357490542	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358382/4861STDY7135912.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358382/4861STDY7135912.bam.bai	EBI
SAMEA5694100	ERP115651	ERX3382890	ERR3358383	335929030	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358383/4861STDY7135913.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358383/4861STDY7135913.bam.bai	EBI
SAMEA5694101	ERP115651	ERX3382891	ERR3358384	341035179	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358384/4861STDY7135914.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358384/4861STDY7135914.bam.bai	EBI
SAMEA5694102	ERP115651	ERX3382892	ERR3358385	325723050	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358385/4861STDY7135915.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358385/4861STDY7135915.bam.bai	EBI
