sample_accession	experiment_id	library_id	run_accession	read_count	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	submitted_ftp	source
SAMEA9135850	ERP129698	ERX5671943	ERR6032674		7227	Drosophila melanogaster		PAIRED	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L002_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L002_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L002_R2_001.fastq.gz	FCA
SAMEA9135850	ERP129698	ERX5671943	ERR6032676		7227	Drosophila melanogaster		PAIRED	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L004_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L004_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L004_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L004_R2_001.fastq.gz	FCA
SAMEA9135858	ERP129698	ERX5671951	ERR6032687		7227	Drosophila melanogaster		PAIRED	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21_L002_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21_L002_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21_L002_R2_001.fastq.gz	FCA
SAMEA9135858	ERP129698	ERX5671951	ERR6032689		7227	Drosophila melanogaster		PAIRED	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29_L002_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29_L002_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29_L002_R2_001.fastq.gz	FCA
SAMEA9135858	ERP129698	ERX5671951	ERR6032688		7227	Drosophila melanogaster		PAIRED	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23_L002_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23_L002_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23_L002_R2_001.fastq.gz	FCA
SAMEA9135858	ERP129698	ERX5671951	ERR6032690		7227	Drosophila melanogaster		PAIRED	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33_L002_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33_L002_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33_L002_R2_001.fastq.gz	FCA
SAMEA9135862	ERP129698	ERX5671952	ERR6032691		7227	Drosophila melanogaster		PAIRED	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46_L003_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46_L003_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46_L003_R2_001.fastq.gz	FCA
SAMEA9135862	ERP129698	ERX5671952	ERR6032692		7227	Drosophila melanogaster		PAIRED	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52_L003_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52_L003_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52_L003_R2_001.fastq.gz	FCA
SAMEA9135862	ERP129698	ERX5671952	ERR6032693		7227	Drosophila melanogaster		PAIRED	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53_L003_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53_L003_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53_L003_R2_001.fastq.gz	FCA
SAMEA9135862	ERP129698	ERX5671952	ERR6032694		7227	Drosophila melanogaster		PAIRED	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54_L003_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54_L003_R1_001.fastq.gz;ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54_L003_R2_001.fastq.gz	FCA
