experimentId	experimentName	experimentDescription	experimentSource	experimentStatus	RNAseqTags	numberOfAnnotatedLibraries	protocol	protocolType	GSE	Bioproject	PMID	PMID_url	comment
SRP125768	A single-cell transcriptome atlas of the ageing Drosophila brain	Overall design: scRNA-seq (10x Genomics CHROMIUM Single Cell 3' Solution V2 Chemistry and Drop-seq) of adult brains from Drosophila melanogaster at various ages; SMART-seq2 on FAC-sorted R23E10-Gal4 positive neurons of adult brains from Drosophila melanogaster; Adapted SMART-seq2 on FAC-sorted R23E10-Gal4 positive neurons of adult brains from Drosophila melanogaster; CEL-seq2 on FAC-sorted R23E10-Gal4 positive neurons of adult brains from Drosophila melanogaster; Bulk RNA-seq of adult brains from Drosophila melanogaster; ATAC-seq of young (0 days) and old (50 days) adult brains from Drosophila melanogaster	SRA	partial	scRNA-seq	111 scRNA-Seq libraries (34 libraries Adapted SMART-Seq and 45 libraries SMART-Seq and 31 libraries 10x Genomics CHROMIUM, and 1 CEL-seq2), 11 ATC-Seq, 6 bulk RNA-Seq	Smart-Seq2, 10X Genomics, CEL-seq	Full-length and 3'end					GSE107451; Some non scRNA-Seq librairies excluded, full-length librairies are R23E10-Gal4 x UAS-CD8::GFP and currently commented, CEL-Seq2 library commented because no link between barcodes and cell types was found) CAUTION, PMID:29909982 claims 'We applied CEL-Seq2 on 22 FAC-sorted cells and two variants of SMART-Seq2 on 45 (standard protocol) and 34 (adapted protocol) cells....All CEL-Seq2 libraries were sequenced on a NextSeq instrument (Illumina)....SMART-Seq2 libraries were sequenced on the HiSeq4000', and this is not reported the same in the SRA file: only one CEL-Seq2 is available, all SMART_seq2_R23E10_Cell are reported on NextSeq 500
SRP135999	The Human Testis Cell Atlas via Single-cell RNA-seq (Healthy men scRNA-seq data set)	Overall design: We isolated single testicular cell from three healthy men of peak reproductive age. Two technical replicates were performed for each individual.	SRA	total	scRNA-seq	6 libraries	10X Genomics	3'end					GSE112013
SRP149989	Dissecting the human liver cellular landscape by single cell RNA-seq reveals novel intrahepatic monocyte/ macrophage populations	Overall design: Primary liver samples from 5 patients were used for single cell RNA sequencing by 10X Genomics	SRA	total	scRNA-seq	5 libraries	10X Genomics	3'end					GSE115469, PRJNA475114
SRP131661	Tabula Muris: Transcriptomic characterization of 20 organs and tissues from Mus musculus at single cell resolution	We have created a resource of single cell transcriptome data from the model organism Mus musculus. Contributor: The Tabula Muris Consortium The full list of contributors to this dataset can be found in the corresponding publication. Overall design: Single cell RNA sequencing of single cells across 20 tissues of 3 month aged mice	SRA	total	scRNA-seq	46 libraries (28 SMART_seq2 and 28 10X Genomics)	Smart-Seq2, 10X Genomics	Full-length and 3'end					GSE109774, PRJNA432002
ERP117745	Human fetal liver, skin and kidney single cell transcriptome data	This is a droplet-based single cell transcriptome data set from 13 human fetal livers (6-18 PCW) and 8 skin and kidney samples (6-12 PCW). It includes 199,642 cells with a mean detected gene number of 3000.	SRA	partial	scRNA-seq	80 libraries (but only 69 with barcodes)	10X Genomics	3'end					E-MTAB-7407, PRJEB34784
ERP120466	Spatio-temporal immune zonation of the human kidney	Tissue-resident immune cells are important for organ homeostasis and defense. The epithelium may contribute to these functions directly, or via crosstalk with immune cells. We resolved the spatio-temporal immune topology of the human kidney with a scRNAseq dataset from 40,268 mature and 27,203 fetal kidney cells. Within the epithelial compartment there were zonated patterns of immune gene expression, with pelvic epithelial anti-microbial peptide expression in mature but not fetal kidneys. Tissue-resident immune cells were evident in both fetal and mature kidney, with post-natal acquisition of infection-defense capabilities. Epithelial-immune signalling orchestrated localization of macrophages and neutrophils to regions of the kidney susceptible to infection.	HCA	total	scRNA-seq	22 libraries	10X Genomics	3'end					PRJEB37165
SRP201320	Droplet-based single-cell RNA-sequencing of mouse and naked mole-rat spleen and circulating immune cells, in natural conditions, following lipopolysaccharide (LPS) challenge, and saline control	Single-cell RNA-sequencing was performed in the mouse and naked mole-rat immune systems in order to map and compare their immune cell repertoirs and their cell-specific gene-expression responses to LPS challenge Overall design: Single-cell RNA-sequencing was obtained from: 1. 4 adult mouse and 4 adult naked mole-rat spleens in duplicate; 2. 4 adult mouse and 3 adult naked mole-rat circulating immune cells; 3. 2 adult mouse and 2 adult naked mole-rat spleens following LPS challenege in duplicate; 4. 2 adult mouse and 2 adult naked mole-rat spleens following saline administration in duplicate; 5. 2 adult mouse and 2 adult naked mole-rat circulating immune cells following LPS challenege in duplicate; 4. 2 adult mouse and 2 adult naked mole-rat circulating immune cells following saline administration in duplicate;	SRA	partial	scRNA-seq	39 libraries	10X Genomics	3'end					GSE132642, PRJNA548723 (there are 4 bulk RNA-seq libraries annotated in the correspondant annotation file)
ERP119519	Single cell RNA on hemocytes from wandering larvae of Drosophila melanogaster not infested and infested by Leptopilina boulardi	We aimed at characterizing the diverse hemocyte populations present in the hemolymph of the Drosophila larvae. The hemocytes were collected from wandering larvae infested by wasp (WI) or not infested (NI). The hemocytes were then sequenced using 10x genomics technology.	SRA	partial	scRNA-seq	1 library	10X Genomics	3' end					E-MTAB-8698, PRJEB36341, PMID:32162708 (1 wasp infected larva library excluded)
SRP222001	Single-cell Transcriptomic Atlas of the Human Retina Identifies Cell Types Associated with Age-Related Macular Degeneration [Microfluidics]	Here we perform massively parallel single-cell RNA sequencing (scRNA-seq) of human retinas using two independent platforms, and report the single-cell transcriptomic atlas of the human retina. Using a multi-resolution network-based analysis, we identify all major retinal cell types, and their corresponding gene expression signatures. Overall design: Three replicates of macula and peripheral retinas.	SRA	total	scRNA-seq	6 libraries	10X Genomics	3'end					GSE137537, PRJNA565928, PMID: 31653841
SRP329970	A human breast transcriptome atlas	The breast is a dynamic organ whose response to physiological and pathophysiological conditions alters its disease susceptibility, yet the specific effects of these clinical variables on cell state remain poorly annotated. We present a unified, high-resolution breast atlas by integrating single-cell RNA-seq, mass cytometry, and cyclic immunofluorescence, encompassing a myriad of states. We define cell subtypes within the alveolar, hormone-sensing, and basal epithelial lineages, delineating associations of several subtypes with cancer risk factors, including age, parity, and BRCA2 germline mutation. Of particular interest is a subset of alveolar cells termed basal-luminal (BL) cells, which exhibit poor transcriptional lineage fidelity, accumulate with age, and carry a gene signature associated with basal-like breast cancer. We further utilize a medium-depletion approach to identify molecular factors regulating cell-subtype proportion in organoids. Together, these data are a rich resource to elucidate diverse mammary cell states. Overall design: A total of 16 breast samples were assayed (4 samples from reductive mammoplasties and 12 from prophylactic mastectomies).	SRA	total	scRNA-seq	3 (13 commented)	10X Genomics	3'end					GSE180878, PRJNA749859, PMID: 35617956 (all annotated in TB file but 13 commented due to non-normal conditions)
