libraryId	experimentId	platform	SRSId	anatId	anatName	cellTypeId	cellTypeName	stageId	stageName	url_GSM	infoOrgan	infoCellType_abInitio	infoCellType_inferred	clusterId	clusterName	infoStage	anatAnnotationStatus	cellTypeAnnotationStatus	stageAnnotationStatus	sex	strain	genotype	speciesId	RNAseqTags	protocol	protocolType	lib_name	sampleTitle	comment	condition	annotatorId	lastModificationDate
SRX22232272	SRP467631	Illumina NovaSeq 6000	SRS19286768	UBERON:0002728	entorhinal cortex			MmusDv:0000155	9-week-old stage		ENT: Entorhinal area					69 days	perfect match		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201022_01_C06	SAMN37926948		Light	SAC	2025-01-10
SRX22232271	SRP467631	Illumina NovaSeq 6000	SRS19286801	UBERON:0013531	retrosplenial region			MmusDv:0000155	9-week-old stage		RSP: Retrosplenial area					69 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201022_01_B07	SAMN37926951		Dark	SAC	2025-01-10
SRX22232270	SRP467631	Illumina NovaSeq 6000	SRS19286788	UBERON:0009835	anterior cingulate cortex			MmusDv:0000155	9-week-old stage		ACA: Anterior cingulate area					63 days	perfect match		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201016_01_C04	SAMN37926946		Light	SAC	2025-01-10
SRX22232269	SRP467631	Illumina NovaSeq 6000	SRS19286372	UBERON:8440030	striatum-like amygdalar nuclei			MmusDv:0000154	8-week-old stage		STR - sAMY: Striatum - Striatum-like amygdalar nuclei					57 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_200820_01_F02	SAMN37926649		Light	SAC	2025-01-10
SRX22232268	SRP467631	Illumina NovaSeq 6000	SRS19286866	UBERON:0002259	corpora quadrigemina			MmusDv:0000155	9-week-old stage		MB - SC-IC: Midbrain - Superior colliculus - Inferior colliculus 					67 days	perfect match		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201210_01_B04	SAMN37927010		Dark	SAC	2025-01-10
SRX22232267	SRP467631	Illumina NovaSeq 6000	SRS19286867	UBERON:0001870	frontal cortex			MmusDv:0000152	7-week-old stage		PL-ILA-ORB: Prelimbic area - Infralimbic area - Orbital area					55 days	other		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201008_01_G10	SAMN37926939		Dark	SAC	2025-01-10
SRX22232266	SRP467631	Illumina NovaSeq 6000	SRS19286834	UBERON:0002728	entorhinal cortex			MmusDv:0000155	9-week-old stage		ENT: Entorhinal area					69 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201029_01_C10	SAMN37926952		Light	SAC	2025-01-10
SRX22232265	SRP467631	Illumina NovaSeq 6000	SRS19286841	UBERON:0000988	pons			MmusDv:0000154	8-week-old stage		PONS - Pmot-Psat ant: Pons - Pons, motor related - Pons, behavioral state related anterior					59 days	other		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201119_01_C08	SAMN37926987		Dark	SAC	2025-01-10
SRX22232264	SRP467631	Illumina NovaSeq 6000	SRS19286865	UBERON:0035886	posterior parietal association areas			MmusDv:0000154	8-week-old stage		VIS-PTLp: Visual areas - Posterior parietal association areas					61 days	perfect match		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201204_01_E01	SAMN37926995		Dark	SAC	2025-01-10
SRX22232263	SRP467631	Illumina NovaSeq 6000	SRS19286864	UBERON:0035886	posterior parietal association areas			MmusDv:0000152	7-week-old stage		VIS-PTLp: Visual areas - Posterior parietal association areas					54 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201204_01_A02	SAMN37927007		Light	SAC	2025-01-10
