libraryId	reads	min_read_size	max_read_size	number_aligned	number_unique_aligned	prop_aligned	prop_unique_aligned	number_targets	start_time	kallisto_version
ERX2860947	162512756	26	98	89173295	27244109	54.9	16.8	0	Fri Jan 12 14:01:30 2024	0.46.0
ERX2860948	117058175	26	98	66878453	19588636	57.1	16.7	0	Fri Jan 12 14:02:29 2024	0.46.0
ERX2860949	120987555	26	98	68081272	20192233	56.3	16.7	0	Fri Jan 12 14:02:44 2024	0.46.0
ERX2860950	245707353	26	98	140233359	41790264	57.1	17	0	Fri Jan 12 14:04:30 2024	0.46.0
ERX2860951	251211033	26	98	144303355	43657161	57.4	17.4	0	Fri Jan 12 14:03:44 2024	0.46.0
ERX3382888	311055364	26	98	179173230	47901571	57.6	15.4	0	Fri Jan 12 13:55:59 2024	0.46.0
ERX3382889	357490542	26	98	256900746	116887749	71.9	32.7	0	Fri Jan 12 13:47:58 2024	0.46.0
ERX3382890	335929030	26	98	193225040	39793000	57.5	11.8	0	Fri Jan 12 13:46:58 2024	0.46.0
ERX3382891	341035179	26	98	195309126	44972788	57.3	13.2	0	Fri Jan 12 13:45:43 2024	0.46.0
ERX3382892	325723050	26	98	190601736	52709759	58.5	16.2	0	Fri Jan 12 13:55:59 2024	0.46.0
ERX3382893	362853868	26	98	265182647	122498212	73.1	33.8	0	Fri Jan 12 13:44:43 2024	0.46.0
ERX3382894	364292009	26	98	216347774	61625647	59.4	16.9	0	Fri Jan 12 13:42:42 2024	0.46.0
ERX3382895	478380740	26	98	356590979	174837040	74.5	36.5	0	Fri Jan 12 13:56:59 2024	0.46.0
ERX3382896	390267448	26	98	240761693	64713562	61.7	16.6	0	Fri Jan 12 13:47:43 2024	0.46.0
ERX3382897	403784286	26	98	316595868	178329857	78.4	44.2	0	Fri Jan 12 13:53:59 2024	0.46.0
ERX3382898	371492553	26	98	218612444	43628610	58.8	11.7	0	Fri Jan 12 13:47:43 2024	0.46.0
ERX3382899	356450578	26	98	206687555	52608416	58	14.8	0	Fri Jan 12 13:42:58 2024	0.46.0
ERX3382900	368552013	26	98	212451477	63039066	57.6	17.1	0	Fri Jan 12 13:43:57 2024	0.46.0
ERX3382901	356632513	26	98	273208676	151382523	76.6	42.4	0	Fri Jan 12 13:46:28 2024	0.46.0
ERX3382902	353834533	26	98	219369928	64832124	62	18.3	0	Fri Jan 12 13:43:58 2024	0.46.0
ERX3382903	386059476	26	98	297839487	167232949	77.1	43.3	0	Fri Jan 12 13:58:15 2024	0.46.0
ERX3382904	291568757	26	98	160033720	42619946	54.9	14.6	0	Fri Jan 12 13:58:44 2024	0.46.0
ERX3382905	311881171	26	98	214902764	105232989	68.9	33.7	0	Fri Jan 12 13:59:59 2024	0.46.0
ERX3382906	419013472	26	98	240531637	48470052	57.4	11.6	0	Fri Jan 12 13:53:44 2024	0.46.0
ERX3382907	376951439	26	98	224004636	48410050	59.4	12.8	0	Fri Jan 12 13:59:44 2024	0.46.0
ERX3382908	198312302	26	98	113809088	36893836	57.4	18.6	0	Fri Jan 12 13:47:43 2024	0.46.0
ERX3382909	350795984	26	98	249499542	129486998	71.1	36.9	0	Fri Jan 12 14:00:14 2024	0.46.0
ERX3382910	311829252	26	98	185762663	43396813	59.6	13.9	0	Fri Jan 12 13:48:59 2024	0.46.0
ERX3382911	322885605	26	98	224962464	102217139	69.7	31.7	0	Fri Jan 12 13:51:58 2024	0.46.0
ERX3581434	784726887	75	75	576251199	108119170	73.4	13.8	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581436	747143448	75	75	573623914	118546400	76.8	15.9	0	Fri Jan 12 12:03:33 2024	0.46.0
ERX3581437	755704229	75	75	609813542	69940581	80.7	9.3	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581438	633403448	75	75	473938462	87401991	74.8	13.8	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581439	661674672	75	75	509553720	67988512	77	10.3	0	Fri Jan 12 12:03:30 2024	0.46.0
ERX3581440	660675857	75	75	442164107	79875102	66.9	12.1	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581441	605027402	75	75	447622496	54132075	74	8.9	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581442	647664150	75	75	437057457	72894838	67.5	11.3	0	Fri Jan 12 12:03:34 2024	0.46.0
ERX3581443	649688980	75	75	438782178	86443461	67.5	13.3	0	Fri Jan 12 12:03:33 2024	0.46.0
ERX3581444	642288359	75	75	421764281	77158100	65.7	12	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581445	671731995	75	75	479841433	105230140	71.4	15.7	0	Fri Jan 12 12:03:30 2024	0.46.0
ERX3581446	649340879	75	75	500550557	68518463	77.1	10.6	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581447	642628020	75	75	443675448	89650168	69	14	0	Fri Jan 12 12:03:30 2024	0.46.0
ERX3581448	650974952	75	75	453545228	72803281	69.7	11.2	0	Fri Jan 12 12:03:33 2024	0.46.0
ERX3581449	380459226	26	98	268769025	58494120	70.6	15.4	0	Fri Jan 12 12:03:30 2024	0.46.0
ERX3581450	376653323	26	98	273779281	42150352	72.7	11.2	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581451	352170041	26	98	271557344	28205790	77.1	8	0	Fri Jan 12 12:03:30 2024	0.46.0
ERX3581452	353053394	26	98	274738446	62379896	77.8	17.7	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581453	365003099	26	98	277297183	38564403	76	10.6	0	Fri Jan 12 12:03:33 2024	0.46.0
ERX3581454	360797617	26	98	276139493	62626022	76.5	17.4	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581455	369470659	26	98	283074831	35467686	76.6	9.6	0	Fri Jan 12 12:03:33 2024	0.46.0
ERX3581456	358366078	26	98	243422606	55052063	67.9	15.4	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581457	362613560	26	98	232367248	44234134	64.1	12.2	0	Fri Jan 12 12:03:32 2024	0.46.0
