libraryId	min_read_length	max_read_length	average_read_length
ERX1226326	125	125	125
ERX1226327	125	125	125
ERX1226328	125	125	125
ERX1226329	125	125	125
ERX1226330	125	125	125
ERX1226331	125	125	125
ERX1226332	125	125	125
ERX1226333	125	125	125
ERX1226334	125	125	125
ERX1226335	125	125	125
ERX1226336	125	125	125
ERX1226337	125	125	125
ERX1226338	125	125	125
ERX1226339	125	125	125
ERX1226340	125	125	125
ERX1226341	125	125	125
ERX1226342	125	125	125
ERX1226343	125	125	125
ERX1226344	125	125	125
ERX1226345	125	125	125
ERX1226346	125	125	125
ERX1226347	125	125	125
ERX1226348	125	125	125
ERX1226349	125	125	125
ERX1226350	125	125	125
ERX1226351	125	125	125
ERX1226352	125	125	125
ERX1226353	125	125	125
ERX1226354	125	125	125
ERX1226355	125	125	125
ERX1226356	125	125	125
ERX1226357	125	125	125
ERX1226358	125	125	125
ERX1226359	125	125	125
ERX1226360	125	125	125
ERX1226361	125	125	125
ERX1226362	125	125	125
ERX1226363	125	125	125
ERX1226364	125	125	125
ERX1226365	125	125	125
ERX1226366	125	125	125
ERX1226367	125	125	125
ERX1226368	125	125	125
ERX1226369	125	125	125
ERX1226370	125	125	125
ERX1226371	125	125	125
ERX1226372	125	125	125
ERX1226373	125	125	125
ERX1226374	125	125	125
ERX1226375	125	125	125
ERX1226376	125	125	125
ERX1226377	125	125	125
ERX1226378	125	125	125
ERX1226379	125	125	125
ERX1226380	125	125	125
ERX1226381	125	125	125
ERX1226382	125	125	125
ERX1226383	125	125	125
ERX1226384	125	125	125
ERX1226385	125	125	125
ERX1226386	125	125	125
ERX1226387	125	125	125
ERX1226388	125	125	125
ERX1226389	125	125	125
ERX1226390	125	125	125
ERX1226391	125	125	125
ERX1226392	125	125	125
ERX1226393	125	125	125
ERX1226394	125	125	125
ERX1226395	125	125	125
ERX1226396	125	125	125
ERX1226397	125	125	125
ERX1226398	125	125	125
ERX1226399	125	125	125
ERX1226400	125	125	125
ERX1226401	125	125	125
ERX1226402	125	125	125
ERX1226403	125	125	125
ERX1226404	125	125	125
ERX1226405	125	125	125
ERX1226406	125	125	125
ERX1226407	125	125	125
ERX1226408	125	125	125
ERX1226409	125	125	125
ERX1226410	125	125	125
ERX1226411	125	125	125
ERX1226412	125	125	125
ERX1226413	125	125	125
ERX1226414	125	125	125
ERX1226415	125	125	125
ERX1226416	125	125	125
ERX1226417	125	125	125
ERX1226418	125	125	125
ERX1226419	125	125	125
ERX1226420	125	125	125
ERX1226421	125	125	125
ERX1226422	125	125	125
ERX1226423	125	125	125
ERX1226424	125	125	125
ERX1226425	125	125	125
ERX1226426	125	125	125
ERX1226427	125	125	125
ERX1226428	125	125	125
ERX1226429	125	125	125
ERX1226430	125	125	125
ERX1226431	125	125	125
ERX1226432	125	125	125
ERX1226433	125	125	125
ERX1226434	125	125	125
ERX1226435	125	125	125
ERX1226436	125	125	125
ERX1226437	125	125	125
ERX1226438	125	125	125
ERX1226439	125	125	125
ERX1226440	125	125	125
ERX1226441	125	125	125
ERX1226442	125	125	125
ERX1226443	125	125	125
ERX1226444	125	125	125
ERX1226445	125	125	125
ERX1226446	125	125	125
ERX1226447	125	125	125
ERX1226448	125	125	125
ERX1226449	125	125	125
ERX1226450	125	125	125
ERX1226451	125	125	125
ERX1226452	125	125	125
ERX1226453	125	125	125
ERX1226454	125	125	125
ERX1226455	125	125	125
ERX1226456	125	125	125
ERX1226457	125	125	125
ERX1226458	125	125	125
ERX1226459	125	125	125
ERX1226460	125	125	125
ERX1226461	125	125	125
ERX1226462	125	125	125
ERX1226463	125	125	125
ERX1226464	125	125	125
ERX1226465	125	125	125
ERX1226466	125	125	125
ERX1226467	125	125	125
ERX1226468	125	125	125
ERX1226469	125	125	125
ERX1226470	125	125	125
ERX1226471	125	125	125
ERX1226472	125	125	125
ERX1226473	125	125	125
ERX1226474	125	125	125
ERX1226475	125	125	125
ERX1226476	125	125	125
ERX1226477	125	125	125
ERX1226478	125	125	125
ERX1226479	125	125	125
ERX1226480	125	125	125
ERX1226481	125	125	125
ERX1226482	125	125	125
ERX1226483	125	125	125
ERX1226484	125	125	125
ERX1226485	125	125	125
ERX1226486	125	125	125
ERX1226487	125	125	125
ERX1226488	125	125	125
ERX1226489	125	125	125
ERX1226490	125	125	125
ERX1226491	125	125	125
ERX1226492	125	125	125
ERX1226493	125	125	125
ERX1226494	125	125	125
ERX1226495	125	125	125
ERX1226496	125	125	125
ERX1226497	125	125	125
ERX1226498	125	125	125
ERX1226499	125	125	125
ERX1226500	125	125	125
ERX1226501	125	125	125
ERX1226502	125	125	125
ERX1226503	125	125	125
ERX1226504	125	125	125
ERX1226505	125	125	125
ERX1226506	125	125	125
ERX1226507	125	125	125
ERX1226508	125	125	125
ERX1226509	125	125	125
ERX1226510	125	125	125
ERX1226511	125	125	125
ERX1226512	125	125	125
ERX1226513	125	125	125
ERX1226514	125	125	125
ERX1226515	125	125	125
ERX1226516	125	125	125
ERX1226517	125	125	125
ERX1226518	125	125	125
ERX1226519	125	125	125
ERX1226520	125	125	125
ERX1226521	125	125	125
ERX1226522	125	125	125
ERX1226523	125	125	125
ERX1226524	125	125	125
ERX1226525	125	125	125
ERX1226526	125	125	125
ERX1226527	125	125	125
ERX1226528	125	125	125
ERX1226529	125	125	125
ERX1226530	125	125	125
ERX1226531	125	125	125
ERX1226532	125	125	125
ERX1226533	125	125	125
ERX1226534	125	125	125
ERX1226535	125	125	125
ERX1226536	125	125	125
ERX1226537	125	125	125
ERX1226538	125	125	125
ERX1226539	125	125	125
ERX1226540	125	125	125
ERX1226541	125	125	125
ERX1226542	125	125	125
ERX1226543	125	125	125
ERX1226544	125	125	125
ERX1226545	125	125	125
ERX1226546	125	125	125
ERX1226547	125	125	125
ERX1226548	125	125	125
ERX1226549	125	125	125
ERX1226550	125	125	125
ERX1226551	125	125	125
ERX1226552	125	125	125
ERX1226553	125	125	125
ERX1226554	125	125	125
ERX1226555	125	125	125
ERX1226556	125	125	125
ERX1226557	125	125	125
ERX1226558	125	125	125
ERX1226559	125	125	125
ERX1226560	125	125	125
ERX1226561	125	125	125
ERX1226562	125	125	125
ERX1226563	125	125	125
ERX1226564	125	125	125
ERX1226565	125	125	125
ERX1226566	125	125	125
ERX1226567	125	125	125
ERX1226568	125	125	125
ERX1226569	125	125	125
ERX1226570	125	125	125
ERX1226571	125	125	125
ERX1226572	125	125	125
ERX1226573	125	125	125
ERX1226574	125	125	125
ERX1226575	125	125	125
ERX1226576	125	125	125
ERX1226577	125	125	125
ERX1226578	125	125	125
ERX1226579	125	125	125
ERX1226580	125	125	125
ERX1226581	125	125	125
ERX1226582	125	125	125
ERX1226583	125	125	125
ERX1226584	125	125	125
ERX1226585	125	125	125
ERX1226586	125	125	125
ERX1226587	125	125	125
ERX1226588	125	125	125
ERX1226589	125	125	125
ERX1226590	125	125	125
ERX1226591	125	125	125
ERX1226592	125	125	125
ERX1226593	125	125	125
ERX1226594	125	125	125
ERX1226595	125	125	125
ERX1226596	125	125	125
ERX1226597	125	125	125
ERX1226598	125	125	125
ERX1226599	125	125	125
ERX1226600	125	125	125
ERX1226601	125	125	125
ERX1226602	125	125	125
ERX1226603	125	125	125
ERX1226604	125	125	125
ERX1226605	125	125	125
ERX1226606	125	125	125
ERX1226607	125	125	125
ERX1226608	125	125	125
ERX1226609	125	125	125
ERX1226610	125	125	125
ERX1226611	125	125	125
ERX1226612	125	125	125
ERX1226613	125	125	125
ERX1226614	125	125	125
ERX1226615	125	125	125
ERX1226616	125	125	125
ERX1226617	125	125	125
ERX1226618	125	125	125
ERX1226619	125	125	125
