sample_accession	experiment_accession	run_accession	read_count	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	submitted_ftp
SAMEA3680200	ERX1226594	ERR1147590	3238518	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147590/ERR1147590.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147590/SLX-8351.N701_N503.C677MANXX.s_1.r_1.fq.gz
SAMEA3680201	ERX1226595	ERR1147591	3621774	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147591/ERR1147591.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147591/SLX-8351.N701_N504.C677MANXX.s_1.r_1.fq.gz
SAMEA3680202	ERX1226596	ERR1147592	3581718	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147592/ERR1147592.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147592/SLX-8351.N701_N505.C677MANXX.s_1.r_1.fq.gz
SAMEA3680203	ERX1226597	ERR1147593	3187600	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147593/ERR1147593.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147593/SLX-8351.N701_N506.C677MANXX.s_1.r_1.fq.gz
SAMEA3680204	ERX1226598	ERR1147594	3554118	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147594/ERR1147594.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147594/SLX-8351.N701_N517.C677MANXX.s_1.r_1.fq.gz
SAMEA3680205	ERX1226599	ERR1147595	3255106	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147595/ERR1147595.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147595/SLX-8351.N702_N503.C677MANXX.s_1.r_1.fq.gz
SAMEA3680206	ERX1226600	ERR1147596	3370367	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147596/ERR1147596.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147596/SLX-8351.N702_N506.C677MANXX.s_1.r_1.fq.gz
SAMEA3680207	ERX1226601	ERR1147597	3176084	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147597/ERR1147597.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147597/SLX-8351.N702_N507.C677MANXX.s_1.r_1.fq.gz
SAMEA3680208	ERX1226602	ERR1147598	2501544	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147598/ERR1147598.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147598/SLX-8351.N702_N508.C677MANXX.s_1.r_1.fq.gz
SAMEA3680209	ERX1226603	ERR1147599	2723242	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147599/ERR1147599.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147599/SLX-8351.N702_N517.C677MANXX.s_1.r_1.fq.gz
SAMEA3680210	ERX1226604	ERR1147600	4839638	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147600/ERR1147600.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147600/SLX-8351.N703_N503.C677MANXX.s_1.r_1.fq.gz
SAMEA3680211	ERX1226605	ERR1147601	3455436	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147601/ERR1147601.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147601/SLX-8351.N703_N504.C677MANXX.s_1.r_1.fq.gz
SAMEA3680212	ERX1226606	ERR1147602	1119385	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147602/ERR1147602.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147602/SLX-8351.N703_N505.C677MANXX.s_1.r_1.fq.gz
SAMEA3680213	ERX1226607	ERR1147603	3502611	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147603/ERR1147603.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147603/SLX-8351.N703_N506.C677MANXX.s_1.r_1.fq.gz
SAMEA3680214	ERX1226608	ERR1147604	2951442	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147604/ERR1147604.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147604/SLX-8351.N703_N507.C677MANXX.s_1.r_1.fq.gz
SAMEA3680215	ERX1226609	ERR1147605	3632976	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147605/ERR1147605.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147605/SLX-8351.N703_N508.C677MANXX.s_1.r_1.fq.gz
SAMEA3680216	ERX1226610	ERR1147606	3197161	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147606/ERR1147606.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147606/SLX-8351.N703_N517.C677MANXX.s_1.r_1.fq.gz
SAMEA3680217	ERX1226611	ERR1147607	2900507	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147607/ERR1147607.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147607/SLX-8351.N704_N502.C677MANXX.s_1.r_1.fq.gz
SAMEA3680218	ERX1226612	ERR1147608	2639770	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147608/ERR1147608.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147608/SLX-8351.N704_N503.C677MANXX.s_1.r_1.fq.gz
SAMEA3680219	ERX1226613	ERR1147609	2695935	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147609/ERR1147609.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147609/SLX-8351.N704_N504.C677MANXX.s_1.r_1.fq.gz
SAMEA3680220	ERX1226614	ERR1147610	2279446	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147610/ERR1147610.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147610/SLX-8351.N704_N505.C677MANXX.s_1.r_1.fq.gz
SAMEA3680221	ERX1226615	ERR1147611	3141365	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147611/ERR1147611.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147611/SLX-8351.N704_N506.C677MANXX.s_1.r_1.fq.gz
SAMEA3680222	ERX1226616	ERR1147612	3437374	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147612/ERR1147612.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147612/SLX-8351.N704_N508.C677MANXX.s_1.r_1.fq.gz
SAMEA3680223	ERX1226617	ERR1147613	3263436	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147613/ERR1147613.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147613/SLX-8351.N705_N502.C677MANXX.s_1.r_1.fq.gz
SAMEA3680224	ERX1226618	ERR1147614	3090426	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147614/ERR1147614.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147614/SLX-8351.N705_N503.C677MANXX.s_1.r_1.fq.gz
SAMEA3680225	ERX1226619	ERR1147615	2153597	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147615/ERR1147615.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147615/SLX-8351.N705_N504.C677MANXX.s_1.r_1.fq.gz
SAMEA3680226	ERX1226620	ERR1147616	2324917	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147616/ERR1147616.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147616/SLX-8351.N705_N505.C677MANXX.s_1.r_1.fq.gz
SAMEA3680227	ERX1226621	ERR1147617	3589411	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147617/ERR1147617.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147617/SLX-8351.N705_N506.C677MANXX.s_1.r_1.fq.gz
SAMEA3680228	ERX1226622	ERR1147618	3069140	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147618/ERR1147618.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147618/SLX-8351.N705_N517.C677MANXX.s_1.r_1.fq.gz
SAMEA3680229	ERX1226623	ERR1147619	2633630	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147619/ERR1147619.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147619/SLX-8351.N706_N502.C677MANXX.s_1.r_1.fq.gz
SAMEA3680230	ERX1226624	ERR1147620	2937718	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147620/ERR1147620.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147620/SLX-8351.N706_N505.C677MANXX.s_1.r_1.fq.gz
SAMEA3680231	ERX1226625	ERR1147621	5367037	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147621/ERR1147621.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147621/SLX-8351.N706_N506.C677MANXX.s_1.r_1.fq.gz
SAMEA3680232	ERX1226626	ERR1147622	2586086	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147622/ERR1147622.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147622/SLX-8351.N706_N507.C677MANXX.s_1.r_1.fq.gz
