sample_accession	experiment_accession	run_accession	read_count	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	submitted_ftp
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
NA	NA	NA	NA	NA	NA	Illumina HiSeq 4000	NA	1	NA
