"libraryId"	"experimentId"	"platform"	"SRSId"	"anatId"	"anatName"	"cellTypeId"	"cellTypeName"	"stageId"	"stageName"	"url_GSM"	"infoOrgan"	"infoCellType_abInitio"	"infoCellType_inferred"	"clusterId"	"clusterName"	"infoStage"	"anatAnnotationStatus"	"cellTypeAnnotationStatus"	"stageAnnotationStatus"	"sex"	"strain"	"genotype"	"speciesId"	"RNAseqTags"	"protocol"	"protocolType"	"lib_name"	"sampleTitle"	"comment"	"condition"	"annotatorId"	"lastModificationDate"	"run_accession"	"read_count"	"tax_id"	"scientific_name"	"library_layout"
"ERX2860947"	"ERP111594"	"Illumina HiSeq 2500"	"ERS2852885"	"UBERON:0003902"	"retinal neural layer"	"CL:0002371"	"somatic cell"	"HsapDv:0000206"	"80-year-old stage"	""	"neural retina, right eye"	""	NA	NA	NA	"80 years"	""	"perfect match"	"perfect match"	"F"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"Retina 1, 17-010-R-A"	"SAMEA5041143"	"PRJEB29298, E-MTAB-7316, PMID: 31436334, the left eye had cataract"	""	"MAT"	"2022-12-30"	"ERR2854358"	162512756	9606	"Homo sapiens"	"SINGLE"
"ERX2860948"	"ERP111594"	"Illumina HiSeq 2500"	"ERS2852886"	"UBERON:0003902"	"retinal neural layer"	"CL:0002371"	"somatic cell"	"HsapDv:0000136"	"42-year-old stage"	""	"neural retina, left eye"	""	NA	NA	NA	"42 years"	""	"perfect match"	"perfect match"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"Retina 2, SC-L-A"	"SAMEA5041144"	"PRJEB29298, E-MTAB-7316, PMID: 31436334"	""	"MAT"	"2022-12-30"	"ERR2854359"	117058175	9606	"Homo sapiens"	"SINGLE"
"ERX2860949"	"ERP111594"	"Illumina HiSeq 2500"	"ERS2852887"	"UBERON:0003902"	"retinal neural layer"	"CL:0002371"	"somatic cell"	"HsapDv:0000136"	"42-year-old stage"	""	"neural retina, left eye"	""	NA	NA	NA	"42 years"	""	"perfect match"	"perfect match"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"Retina 2, SC-L-B"	"SAMEA5041145"	"PRJEB29298, E-MTAB-7316, PMID: 31436334"	""	"MAT"	"2022-12-30"	"ERR2854360"	120987555	9606	"Homo sapiens"	"SINGLE"
"ERX2860950"	"ERP111594"	"Illumina HiSeq 2500"	"ERS2852888"	"UBERON:0003902"	"retinal neural layer"	"CL:0002371"	"somatic cell"	"HsapDv:0000147"	"53-year-old stage"	""	"neural retina, right eye"	""	NA	NA	NA	"53 years"	""	"perfect match"	"perfect match"	"F"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"Retina 3, 17-011-R-A"	"SAMEA5041146"	"PRJEB29298, E-MTAB-7316, PMID: 31436334"	""	"MAT"	"2022-12-30"	"ERR2854361"	245707353	9606	"Homo sapiens"	"SINGLE"
"ERX2860951"	"ERP111594"	"Illumina HiSeq 2500"	"ERS2852889"	"UBERON:0003902"	"retinal neural layer"	"CL:0002371"	"somatic cell"	"HsapDv:0000147"	"53-year-old stage"	""	"neural retina, right eye"	""	NA	NA	NA	"53 years"	""	"perfect match"	"perfect match"	"F"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"Retina 3, 17-011-R-B"	"SAMEA5041147"	"PRJEB29298, E-MTAB-7316, PMID: 31436334"	""	"MAT"	"2022-12-30"	"ERR2854362"	251211033	9606	"Homo sapiens"	"SINGLE"
"ERX3382888"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498059"	"UBERON:0001153"	"caecum"	"CL:0000624"	"CD4-positive, alpha-beta T cell"	"HsapDv:0000241"	"seventh decade stage"	""	"caecum"	"CD4-positive, alpha-beta T cell"	NA	NA	NA	"60 to 64"	""	"perfect match"	"other"	"F"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY135911"	"SAMEA5694098"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358381"	311055364	9606	"Homo sapiens"	"SINGLE"
"ERX3382889"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498060"	"UBERON:0001153"	"caecum"	"CL:0000738"	"leukocyte"	"HsapDv:0000241"	"seventh decade stage"	""	"caecum"	"CD45-positive, CD4-negative immune cell"	NA	NA	NA	"60 to 64"	""	"missing child term"	"other"	"F"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY135912"	"SAMEA5694099"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358382"	357490542	9606	"Homo sapiens"	"SINGLE"
"ERX3382890"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498061"	"UBERON:0002509"	"mesenteric lymph node"	"CL:0000624"	"CD4-positive, alpha-beta T cell"	"HsapDv:0000241"	"seventh decade stage"	""	"mesenteric lymph node"	"CD4-positive, alpha-beta T cell"	NA	NA	NA	"60 to 64"	""	"perfect match"	"other"	"F"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY135913"	"SAMEA5694100"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358383"	335929030	9606	"Homo sapiens"	"SINGLE"
"ERX3382891"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498062"	"UBERON:0002509"	"mesenteric lymph node"	"CL:0000738"	"leukocyte"	"HsapDv:0000241"	"seventh decade stage"	""	"mesenteric lymph node"	"CD45-positive, CD4-negative immune cell"	NA	NA	NA	"60 to 64"	""	"missing child term"	"other"	"F"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY135914"	"SAMEA5694101"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358384"	341035179	9606	"Homo sapiens"	"SINGLE"
"ERX3382892"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498063"	"UBERON:0001159"	"sigmoid colon"	"CL:0000624"	"CD4-positive, alpha-beta T cell"	"HsapDv:0000241"	"seventh decade stage"	""	"sigmoid colon"	"CD4-positive, alpha-beta T cell"	NA	NA	NA	"60 to 64"	""	"perfect match"	"other"	"F"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY135915"	"SAMEA5694102"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358385"	325723050	9606	"Homo sapiens"	"SINGLE"
