libraryId	experimentId	cellTypeName	cellTypeId	speciesId	platform	whiteList	protocol	protocolType	name_sample_id	infoOrgan	stageId	uberonId	sex	strain	libraryType	organism
ERX1226326	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226327	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226328	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226329	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226330	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226331	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226332	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226333	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226334	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226335	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226336	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226337	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226338	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226339	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000017	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226340	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000017	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226341	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226342	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226343	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226344	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226345	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226346	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226347	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226348	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000017	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226349	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226350	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226351	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226352	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226353	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226354	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226355	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226356	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000017	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226357	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000017	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
