speciesId	genus	species	speciesCommonName	displayOrder	genomeFilePath	genomeVersion	dataSourceId	genomeSpeciesId	fakeGeneIdPrefix	keywords	comment
109280	hippocampus	comes	tiger tail seahorse		hippocampus_comes/Hippocampus_comes.H_comes_QL1_v1	H_comes_QL1_v1	2	109280			
1825980	gopherus	evgoodei	Goodes thornscrub tortoise		gopherus_evgoodei/Gopherus_evgoodei.rGopEvg1_v1.p	rGopEvg1_v1.p	2	1825980			
10020	dipodomys	ordii	Ord's kangaroo rat		dipodomys_ordii/Dipodomys_ordii.Dord_2.0	Dord_2.0	2	10020		dipord|ord's kangaroo rat|kangaroo_rat|kangaroo rat|dordii|10020|dipodomysordii|ords kangaroo rat|dord|dipodomys ordii	
37293	aotus	nancymaae	Ma's night monkey		aotus_nancymaae/Aotus_nancymaae.Anan_2.0	Anan_2.0	2	37293			
61621	rhinopithecus	bieti	Black snub-nosed monkey		rhinopithecus_bieti/Rhinopithecus_bieti.ASM169854v1	ASM169854v1	2	61621			
30732	oryzias	melastigma	Indian medaka		oryzias_melastigma/Oryzias_melastigma.Om_v0.7.RACA	Om_v0.7.RACA	2	30732			
9305	sarcophilus	harrisii	Tasmanian devil		sarcophilus_harrisii/Sarcophilus_harrisii.mSarHar1.11	mSarHar1.11	2	9305			
7719	ciona	intestinalis	Sea squirt Ciona intestinalis		ciona_intestinalis/Ciona_intestinalis.KH	KH	2	7719		cioint|ciona intestinalis|7719|c.intestinalis|sea squirt ciona intestinalis|cint|cintestinalis|ciona	
10089	mus	caroli	Ryukyu mouse		mus_caroli/Mus_caroli.CAROLI_EIJ_v1.1	CAROLI_EIJ_v1.1	2	10089		mcar|mcaroli|ryukyu mouse|muscar|mus caroli|10089	
210632	parambassis	ranga	Indian glassy fish		parambassis_ranga/Parambassis_ranga.fParRan2.2	fParRan2.2	2	210632			
1608454	sinocyclocheilus	anshuiensis	blind barbel		sinocyclocheilus_anshuiensis/Sinocyclocheilus_anshuiensis.SAMN03320099.WGS_v1.1	SAMN03320099.WGS_v1.1	2	1608454			
9691	panthera	pardus	leopard		panthera_pardus/Panthera_pardus.PanPar1.0	PanPar1.0	2	9691		leopard	
299123	lonchura	striata domestica	Bengalese finch		lonchura_striata_domestica/Lonchura_striata_domestica.LonStrDom1	LonStrDom1	2	299123			
13489	dicentrarchus	labrax	European seabass		dicentrarchus_labrax/Dicentrarchus_labrax.dlabrax2021	dlabrax2021	2	13489			
