speciesId	genus	species	speciesCommonName	displayOrder	genomeFilePath	genomeVersion	dataSourceId	genomeSpeciesId	fakeGeneIdPrefix	keywords	comment
9606	homo	sapiens	human	1	homo_sapiens/Homo_sapiens.GRCh38	GRCh38	2	9606	NA	enshs|homo|hsap|9606|hsapiens|human|homo sapiens|h_sapiens|homsap	
10090	mus	musculus	mouse	2	mus_musculus/Mus_musculus.GRCm39	GRCm39	2	10090	NA	m_musculus|mmusculus|mmus|ensmm|house mouse|mouse|musmus|mus musculus|mus|10090	
7955	danio	rerio	zebrafish	3	danio_rerio/Danio_rerio.GRCz11	GRCz11	2	7955	NA	zfish|danio|drer|drerio|danio rerio|zebrafish|7955|d_rerio|danrer	
7227	drosophila	melanogaster	Fruit fly	4	drosophila_melanogaster/Drosophila_melanogaster.BDGP6.46	BDGP6.46	2	7227	NA	dmel|d. melanogaster|d.mel	
6239	caenorhabditis	elegans	C.elegans	5	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	WBcel235	2	6239	NA	caeele|celegans|elegans|cele|caenorhabditis_elegans_prjna13758|c.elegans	
8355	Xenopus	laevis	African clawed frog	33	xenopus_laevis/xenopus_laevis_GCF_017654675.1_Xenopus_laevis_v10.1	Xenopus_laevis_v10.1	37	8355	NA	Bufo laevis|XENLA|Xenopus leavis|clawed frog|common platanna|platanna	Use RefSeq assembly BUT several GeneID are duplicated
60711	chlorocebus	sabaeus	African green monkey	28	chlorocebus_sabaeus/Chlorocebus_sabaeus.ChlSab1.1	ChlSab1.1	2	60711	NA	csab|african green monkey|chlsab|chlorocebus sabeus|vervet monkey|chlorocebus sabaeus|csabaeus|60711|vervet-agm|agm|chlorocebus_sabeus	
7740	branchiostoma	lanceolatum	Amphioxus	49	branchiostoma_lanceolatum/Branchiostoma_lanceolatum.BraLan2	BraLan2	24	7740	NA		
8049	gadus	morhua	Atlantic cod	41	gadus_morhua/Gadus_morhua.gadMor3.0	gadMor3.0	2	8049	NA		
8030	salmo	salar	Atlantic salmon	40	salmo_salar/Salmo_salar.Ssal_v3.1	Ssal_v3.1	2	8030	NA		
9597	pan	paniscus	bonobo	25	pan_paniscus/Pan_paniscus.panpan1.1	panpan1.1	2	9597	NA		
9913	bos	taurus	cattle	10	bos_taurus/Bos_taurus.ARS-UCD1.3	ARS-UCD1.3	2	9913	NA	9913|cow|cattle|btaurus|btau|domestic cattle|domestic cow|bovine|bos.tau|bos taurus	
9031	gallus	gallus	chicken	15	gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b	bGalGal1.mat.broiler.GRCg7b	2	9031	NA	gallus gallus|galgal|ggallus|9031|chicken|ggal|g_gallus	
9598	pan	troglodytes	chimpanzee	26	pan_troglodytes/Pan_troglodytes.Pan_tro_3.0	Pan_tro_3.0	2	9598	NA	ptroglodytes|common chimpanzee|chimpanzee|ptro|pan troglodytes|9598|chimp|pantro	
7897	latimeria	chalumnae	coelacanth	50	latimeria_chalumnae/Latimeria_chalumnae.LatCha1	LatCha1	2	7897	NA	lchalumnae|living fossil|lamineria|coelacanth|latcha|7897|lcha|latimeria chalumnae	
9541	macaca	fascicularis	Crab-eating macaque	20	macaca_fascicularis/Macaca_fascicularis.Macaca_fascicularis_6.0	Macaca_fascicularis_6.0	2	9541	NA		
9615	canis	lupus familiaris	dog	6	canis_lupus_familiaris/Canis_lupus_familiaris.ROS_Cfam_1.0	ROS_Cfam_1.0	2	9615	NA	dog|canis familiaris|canis lupus familiaris	
9685	felis	catus	domestic cat	7	felis_catus/Felis_catus.Felis_catus_9.0	Felis_catus_9.0	2	9685	NA	felis catus|9685|fcat|felcat|cat|fcatus|domestic cat	
10141	cavia	porcellus	domestic guinea pig	14	cavia_porcellus/Cavia_porcellus.Cavpor3.0	Cavpor3.0	2	10141	NA	10141|cporcellus|cavia porcellus|domestic guinea pig|cpor|cavpor|guinea_pig|guinea pig	
8154	astatotilapia	calliptera	eastern happy	44	astatotilapia_calliptera/Astatotilapia_calliptera.fAstCal1.3	fAstCal1.3	2	8154	NA		
7936	Anguilla	anguilla	European freshwater eel	37	anguilla_anguilla/anguilla_anguilla_GCF_013347855.1_fAngAng1.pri	fAngAng1.pri	37	7936	NA	ANGAN|Angill angill|Anguilla anguilla anguilla|European eel|Muraena anguilla	Use RefSeq assembly
7240	drosophila	simulans	Fruit fly	52	drosophila_simulans/Drosophila_simulans.ASM75419v3	ASM75419v3	24	7240	NA		
7237	drosophila	pseudoobscura	Fruit fly	51	drosophila_pseudoobscura_gca009870125v2rs/Drosophila_pseudoobscura_gca009870125v2rs.UCI_Dpse_MV25	UCI_Dpse_MV25	24	7237	NA		
9925	capra	hircus	Goat	11	capra_hircus/Capra_hircus.ARS1	ARS1	2	9925	NA		
30608	microcebus	murinus	gray mouse lemur	27	microcebus_murinus/Microcebus_murinus.Mmur_3.0	Mmur_3.0	2	30608	NA	mouse_lemur|micmur|gray mouse lemur|mmurinus|grey mouse lemur|mmur|microcebus murinus|30608|mouse lemur	
13616	monodelphis	domestica	gray short-tailed opossum	32	monodelphis_domestica/Monodelphis_domestica.ASM229v1	ASM229v1	2	13616	NA	13616|monodelphis domestica|mdom|gray short-tailed opossum|broado5|mdomestica|mondom|opossum	
28377	anolis	carolinensis	green anole	35	anolis_carolinensis/Anolis_carolinensis.AnoCar2.0v2	AnoCar2.0v2	2	28377	NA		
8081	poecilia	reticulata	guppy	42	poecilia_reticulata/Poecilia_reticulata.Guppy_female_1.0_MT	Guppy_female_1.0_MT	2	8081	NA		
9796	equus	caballus	horse	8	equus_caballus/Equus_caballus.EquCab3.0	EquCab3.0	2	9796	NA	ecab|ecaballus|horse|9796|equus caballus|equcab|equuscaballus	
8090	oryzias	latipes	Japanese medaka HdrR	43	oryzias_latipes/Oryzias_latipes.ASM223467v1	ASM223467v1	2	8090	NA	olat|8090|orylat|oryzias latipes|medaka|japanese medaka|olatipes	
32507	neolamprologus	brichardi	lyretail cichlid	45	neolamprologus_brichardi/Neolamprologus_brichardi.NeoBri1.0	NeoBri1.0	2	32507	NA		
9544	macaca	mulatta	Macaque	21	macaca_mulatta/Macaca_mulatta.Mmul_10	Mmul_10	2	9544	NA		
9974	Manis	javanica	Malayan pangolin	29	manis_javanica/manis_javanica_GCF_014570535.1_YNU_ManJav_2.0	YNU_ManJav_2.0	37	9974	NA	MANJA	Use RefSeq assembly
7994	astyanax	mexicanus	Mexican tetra	38	astyanax_mexicanus/Astyanax_mexicanus.Astyanax_mexicanus-2.0	Astyanax_mexicanus-2.0	2	7994	NA	amexicanus|astmex|amex|astyanax mexicanus|7994|cave fish	
10181	heterocephalus	glaber	naked mole-rat	31	heterocephalus_glaber/Heterocephalus_glaber.Naked_mole-rat_maternal	Naked_mole-rat_maternal	2	10181	NA		
8010	esox	lucius	northern pike	39	esox_lucius/Esox_lucius.fEsoLuc1.pri	fEsoLuc1.pri	2	8010	NA		
10116	rattus	norvegicus	Norway rat	30	rattus_norvegicus/Rattus_norvegicus.mRatBN7.2	mRatBN7.2	2	10116	NA	rat|rattus norvegicus	
9555	papio	anubis	olive baboon	23	papio_anubis/Papio_anubis.Panubis1.0	Panubis1.0	2	9555	NA	kenya baboon|olive baboon|doguera baboon|papio anubis	
9823	sus	scrofa	pig	9	sus_scrofa/Sus_scrofa.Sscrofa11.1	Sscrofa11.1	2	9823	NA	pig|sus scrofa|swine|pigs|9823|wild boar|sscr|sscrofa	
9545	macaca	nemestrina	Pig-tailed macaque	22	macaca_nemestrina/Macaca_nemestrina.Mnem_1.0	Mnem_1.0	2	9545	NA		
9258	ornithorhynchus	anatinus	platypus	17	ornithorhynchus_anatinus/Ornithorhynchus_anatinus.mOrnAna1.p.v1	mOrnAna1.p.v1	2	9258	NA		
9986	oryctolagus	cuniculus	rabbit	13	oryctolagus_cuniculus/Oryctolagus_cuniculus.OryCun2.0	OryCun2.0	2	9986	NA	oryctolagus cuniculus|9986|orycun|ocuniculus|ocun|rabbit	
9940	ovis	aries	sheep	12	ovis_aries/Ovis_aries.ARS-UI_Ramb_v2.0	ARS-UI_Ramb_v2.0	2	9940	NA		
9531	cercocebus	atys	Sooty mangabey	19	cercocebus_atys/Cercocebus_atys.Caty_1.0	Caty_1.0	2	9531	NA		
7918	lepisosteus	oculatus	Spotted gar	36	lepisosteus_oculatus/Lepisosteus_oculatus.LepOcu1	LepOcu1	2	7918	NA	7918|locu|loculatus|lepisosteus oculatus|spotted gar|lepocu	
69293	gasterosteus	aculeatus	three-spined stickleback	47	gasterosteus_aculeatus/Gasterosteus_aculeatus.GAculeatus_UGA_version5	GAculeatus_UGA_version5	2	69293	NA		
8364	xenopus	tropicalis	tropical clawed frog	34	xenopus_tropicalis/Xenopus_tropicalis.UCB_Xtro_10.0	UCB_Xtro_10.0	2	8364	NA		
52904	scophthalmus	maximus	turbot	46	scophthalmus_maximus/Scophthalmus_maximus.ASM1334776v1	ASM1334776v1	2	52904	NA		
9103	meleagris	gallopavo	turkey	16	meleagris_gallopavo/Meleagris_gallopavo.Turkey_5.1	Turkey_5.1	2	9103	NA		
105023	nothobranchius	furzeri	turquoise killifish	48	nothobranchius_furzeri/Nothobranchius_furzeri.Nfu_20140520	Nfu_20140520	2	105023	NA		
9593	gorilla	gorilla	Western Lowland Gorilla	24	gorilla_gorilla/Gorilla_gorilla.gorGor4	gorGor4	2	9593	NA	gorilla gorilla gorilla|gorilla gorilla|ggor|western gorilla|9595|gorilla_gorilla_gorilla|gorgor|ggorilla|9593|gorilla	
9483	callithrix	jacchus	white-tufted-ear marmoset	18	callithrix_jacchus/Callithrix_jacchus.mCalJac1.pat.X	mCalJac1.pat.X	2	9483	NA	callithrix jacchus|marmoset|white-tufted-ear marmoset	
