species count	all taxon count	LCA taxon count
52	498	44
----------Looking for species with no sex information: 
----------All species inserted: 
speciesId	genus	species	speciesCommonName	speciesDisplayOrder	taxonId	genomeFilePath	genomeVersion	dataSourceId	genomeSpeciesId
6239	Caenorhabditis	elegans	nematode	5	6237	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	WBcel235	2	0
7227	Drosophila	melanogaster	fruit fly	4	32351	drosophila_melanogaster/Drosophila_melanogaster.BDGP6.28	BDGP6.28	2	0
7237	Drosophila	pseudoobscura		26	32358	drosophila_pseudoobscura/Drosophila_pseudoobscura.Dpse_3.0	Dpse_3.0	24	0
7240	Drosophila	simulans		27	32351	drosophila_simulans/Drosophila_simulans.ASM75419v3	ASM75419v3	24	0
7740	Branchiostoma	lanceolatum	Common lancelet	28	7737	branchiostoma_lanceolatum/Branchiostoma_lanceolatum.BraLan2	BraLan2	24	0
7897	Latimeria	chalumnae	Coelacanth	29	7896	latimeria_chalumnae/Latimeria_chalumnae.LatCha1	LatCha1	2	0
7918	Lepisosteus	oculatus	Spotted gar	30	7916	lepisosteus_oculatus/Lepisosteus_oculatus.LepOcu1	LepOcu1	2	0
7936	Anguilla	anguilla	European freshwater eel	53	7935	anguilla_anguilla/anguilla_anguilla_GCF_013347855.1_fAngAng1.pri	fAngAng1.pri	37	0
7955	Danio	rerio	zebrafish	3	7954	danio_rerio/Danio_rerio.GRCz11	GRCz11	2	0
7994	Astyanax	mexicanus	Blind cave fish	31	7993	astyanax_mexicanus/Astyanax_mexicanus.Astyanax_mexicanus-2.0	Astyanax_mexicanus-2.0	2	0
8010	Esox	lucius	Northern pike	32	8009	esox_lucius/Esox_lucius.Eluc_v4	Eluc_v4	2	0
8030	Salmo	salar	Atlantic salmon	33	8028	salmo_salar/Salmo_salar.ICSASG_v2	ICSASG_v2	2	0
8049	Gadus	morhua	Atlantic cod	34	8048	gadus_morhua/Gadus_morhua.gadMor1	gadMor1	2	0
8081	Poecilia	reticulata	Guppy	35	8080	poecilia_reticulata/Poecilia_reticulata.Guppy_female_1.0_MT	Guppy_female_1.0_MT	2	0
8090	Oryzias	latipes	Japanese rice fish	36	8089	oryzias_latipes/Oryzias_latipes.ASM223467v1	ASM223467v1	2	0
8154	Astatotilapia	calliptera	Eastern happy	37	8152	astatotilapia_calliptera/Astatotilapia_calliptera.fAstCal1.2	fAstCal1.2	2	0
8355	Xenopus	laevis	African clawed frog	54	262014	xenopus_laevis/xenopus_laevis_GCF_001663975.1_Xenopus_laevis_v2	xenLae2	37	0
8364	Xenopus	tropicalis	western clawed frog	23	8363	xenopus_tropicalis/Xenopus_tropicalis.Xenopus_tropicalis_v9.1	Xenopus_tropicalis_v9.1	2	0
9031	Gallus	gallus	chicken	21	9030	gallus_gallus/Gallus_gallus.GRCg6a	GRCg6a	2	0
9103	Meleagris	gallopavo	Wild turkey	38	9102	meleagris_gallopavo/Meleagris_gallopavo.Turkey_2.01	Turkey_2.01	2	0
9258	Ornithorhynchus	anatinus	platypus	20	9257	ornithorhynchus_anatinus/Ornithorhynchus_anatinus.mOrnAna1.p.v1	mOrnAna1.p.v1	2	0
9483	Callithrix	jacchus	White-tufted-ear marmoset	39	1965096	callithrix_jacchus/Callithrix_jacchus.ASM275486v1	ASM275486v1	2	0
9531	Cercocebus	atys	Sooty mangabey	40	9529	cercocebus_atys/Cercocebus_atys.Caty_1.0	Caty_1.0	2	0
9541	Macaca	fascicularis	Crab-eating macaque	41	9539	macaca_fascicularis/Macaca_fascicularis.Macaca_fascicularis_5.0	Macaca_fascicularis_5.0	2	0
9544	Macaca	mulatta	macaque	9	9539	macaca_mulatta/Macaca_mulatta.Mmul_10	Mmul_10	2	0
9545	Macaca	nemestrina	Pig-tailed macaque	42	9539	macaca_nemestrina/Macaca_nemestrina.Mnem_1.0	Mnem_1.0	2	0
9555	Papio	anubis	Olive baboon	43	9554	papio_anubis/Papio_anubis.Panu_3.0	Panu_3.0	2	0
9593	Gorilla	gorilla	gorilla	8	9592	gorilla_gorilla/Gorilla_gorilla.gorGor4	gorGor4	2	0
9597	Pan	paniscus	bonobo	7	9596	pan_paniscus/Pan_paniscus.panpan1.1	panpan1.1	2	0
9598	Pan	troglodytes	chimpanzee	6	9596	pan_troglodytes/Pan_troglodytes.Pan_tro_3.0	Pan_tro_3.0	2	0
9606	Homo	sapiens	human	1	9605	homo_sapiens/Homo_sapiens.GRCh38	GRCh38.p13	2	0
9615	Canis	lupus familiaris	dog	15	9612	canis_lupus_familiaris/Canis_lupus_familiaris.CanFam3.1	CanFam3.1	2	0
9685	Felis	catus	cat	16	9682	felis_catus/Felis_catus.Felis_catus_9.0	Felis_catus_9.0	2	0
9796	Equus	caballus	horse	13	35510	equus_caballus/Equus_caballus.EquCab3.0	EquCab3.0	2	0
9823	Sus	scrofa	pig	12	9822	sus_scrofa/Sus_scrofa.Sscrofa11.1	Sscrofa11.1	2	0
9913	Bos	taurus	cattle	11	9903	bos_taurus/Bos_taurus.ARS-UCD1.2	ARS-UCD1.2	2	0
9925	Capra	hircus	Goat	44	9922	capra_hircus/Capra_hircus.ARS1	ARS1	2	0
9940	Ovis	aries	Sheep	45	9935	ovis_aries/Ovis_aries.Oar_v3.1	Oar_v3.1	2	0
9974	Manis	javanica	Malayan pangolin	55	9973	manis_javanica/manis_javanica_GCF_014570535.1_YNU_ManJav_2.0	YNU_ManJav_2.0	37	0
9986	Oryctolagus	cuniculus	rabbit	14	9984	oryctolagus_cuniculus/Oryctolagus_cuniculus.OryCun2.0	OryCun2.0	2	0
10090	Mus	musculus	mouse	2	862507	mus_musculus/Mus_musculus.GRCm38	GRCm38.p6	2	0
10116	Rattus	norvegicus	rat	10	10114	rattus_norvegicus/Rattus_norvegicus.Rnor_6.0	Rnor_6.0	2	0
10141	Cavia	porcellus	guinea pig	17	10140	cavia_porcellus/Cavia_porcellus.Cavpor3.0	Cavpor3.0	2	0
10181	Heterocephalus	glaber	Naked mole rat	46	10180	heterocephalus_glaber_female/Heterocephalus_glaber_female.HetGla_female_1.0	HetGla_female_1.0	2	0
13616	Monodelphis	domestica	opossum	19	13615	monodelphis_domestica/Monodelphis_domestica.ASM229v1	ASM229v1	2	0
28377	Anolis	carolinensis	green anole	22	28376	anolis_carolinensis/Anolis_carolinensis.AnoCar2.0	AnoCar2.0	2	0
30608	Microcebus	murinus	Gray mouse lemur	47	13149	microcebus_murinus/Microcebus_murinus.Mmur_3.0	Mmur_3.0	2	0
32507	Neolamprologus	brichardi	Fairy cichlid	48	32506	neolamprologus_brichardi/Neolamprologus_brichardi.NeoBri1.0	NeoBri1.0	2	0
52904	Scophthalmus	maximus	Turbot	49	52903	scophthalmus_maximus/Scophthalmus_maximus.ASM318616v1	ASM318616v1	2	0
60711	Chlorocebus	sabaeus	Green monkey	50	392815	chlorocebus_sabaeus/Chlorocebus_sabaeus.ChlSab1.1	ChlSab1.1	2	0
69293	Gasterosteus	aculeatus	Three-spined stickleback	51	69292	gasterosteus_aculeatus/Gasterosteus_aculeatus.BROADS1	BROAD S1	2	0
105023	Nothobranchius	furzeri	Turquoise killifish	52	28779	nothobranchius_furzeri/Nothobranchius_furzeri.Nfu_20140520	Nfu_20140520	2	0
----------Species least common ancestors: 
taxonId	taxonScientificName	taxonCommonName	taxonLeftBound	taxonRightBound	taxonLevel	bgeeSpeciesLCA
33213	Bilateria	NULL	7	984	7	1
7711	Chordata	chordates	9	728	9	1
117571	Euteleostomi	bony vertebrates	52	719	14	1
41665	Neopterygii	NULL	69	278	17	1
32443	Teleostei	teleost fishes	82	277	18	1
186625	Clupeocephala	NULL	102	269	20	1
1489388	Euteleosteomorpha	NULL	103	240	21	1
123368	Acanthomorphata	NULL	107	220	25	1
1489872	Percomorphaceae	NULL	109	204	27	1
1489908	Ovalentaria	NULL	154	203	28	1
1489913	Atherinomorphae	NULL	155	184	29	1
28738	Cyprinodontiformes	killifishes and others	168	183	30	1
318546	Pseudocrenilabrinae	NULL	189	198	33	1
41705	Protacanthopterygii	NULL	224	239	22	1
186626	Otophysi	NULL	243	266	23	1
8287	Sarcopterygii	NULL	289	718	15	1
32523	Tetrapoda	tetrapods	301	716	17	1
32524	Amniota	amniotes	302	683	18	1
40674	Mammalia	mammals	303	580	19	1
32525	Theria	NULL	314	579	20	1
1437010	Boreoeutheria	NULL	324	553	22	1
314146	Euarchontoglires	NULL	325	446	23	1
314147	Glires	Rodents and rabbits	326	373	24	1
9989	Rodentia	rodent	333	372	25	1
33550	Hystricomorpha	guinea pigs and others	338	347	26	1
39107	Murinae	NULL	361	368	29	1
9443	Primates	NULL	374	445	24	1
314293	Simiiformes	NULL	376	431	26	1
9526	Catarrhini	NULL	377	414	27	1
9528	Cercopithecinae	NULL	380	389	30	1
9539	Macaca	macaques	385	386	31	1
207598	Homininae	NULL	394	405	30	1
9596	Pan	chimpanzees	403	404	31	1
314145	Laurasiatheria	NULL	447	552	23	1
91561	Artiodactyla	whales, hippos, ruminants, pigs, camels etc.	448	501	24	1
9895	Bovidae	NULL	451	462	27	1
9963	Caprinae	NULL	456	461	28	1
33554	Carnivora	carnivores	502	523	24	1
32561	Sauria	diapsids	582	681	20	1
9005	Phasianidae	turkeys	607	616	31	1
8353	Xenopus	NULL	690	695	24	1
1206794	Ecdysozoa	NULL	767	928	9	1
32341	Sophophora	NULL	864	881	32	1
32351	melanogaster subgroup	NULL	872	875	34	1
----------All taxa inserted: 
taxonId	taxonScientificName	taxonCommonName	taxonLeftBound	taxonRightBound	taxonLevel	bgeeSpeciesLCA
1	root	NULL	1	996	1	0
131567	cellular organisms	NULL	2	995	2	0
2759	Eukaryota	eucaryotes	3	994	3	0
33154	Opisthokonta	NULL	4	993	4	0
33208	Metazoa	metazoans	5	992	5	0
6072	Eumetazoa	NULL	6	989	6	0
33213	Bilateria	NULL	7	984	7	1
33511	Deuterostomia	NULL	8	749	8	0
7711	Chordata	chordates	9	728	9	1
7735	Cephalochordata	NULL	10	15	10	0
7736	Branchiostomidae	lancelets	11	14	11	0
7737	Branchiostoma	NULL	12	13	12	0
89593	Craniata	NULL	16	723	10	0
7742	Vertebrata	vertebrates	17	722	11	0
1476529	Cyclostomata	jawless vertebrates	18	35	12	0
117569	Hyperoartia	NULL	19	22	13	0
7745	Petromyzontiformes	NULL	20	21	14	0
117565	Hyperotreti	NULL	23	34	13	0
7761	Myxiniformes	NULL	24	33	14	0
7762	Myxinidae	hagfishes	25	32	15	0
110551	Myxininae	NULL	26	31	16	0
110555	Myxine	NULL	27	30	17	0
7769	Myxine glutinosa	Atlantic hagfish	28	29	18	0
7776	Gnathostomata	jawed vertebrates	36	721	12	0
7777	Chondrichthyes	cartilaginous fishes	37	50	13	0
7778	Elasmobranchii	elasmobranchs	38	45	14	0
117893	Batoidea	rays	39	40	15	0
119203	Selachii	sharks	41	44	15	0
118040	Squalomorphii	NULL	42	43	16	0
7863	Holocephali	NULL	46	49	14	0
7864	Chimaeriformes	chimaeras	47	48	15	0
117570	Teleostomi	NULL	51	720	13	0
117571	Euteleostomi	bony vertebrates	52	719	14	1
7898	Actinopterygii	ray-finned fishes	53	288	15	0
186623	Actinopteri	NULL	54	279	16	0
32440	Chondrostei	NULL	55	68	17	0
7899	Acipenseriformes	sturgeons and paddlefish	56	67	18	0
186622	Acipenseroidei	NULL	57	66	19	0
7900	Acipenseridae	sturgeons	58	65	20	0
124129	Acipenserinae	NULL	59	64	21	0
124130	Acipenserini	NULL	60	63	22	0
7901	Acipenser	NULL	61	62	23	0
41665	Neopterygii	NULL	69	278	17	1
1489100	Holostei	bowfins and gars	70	81	18	0
7921	Amiiformes	NULL	71	74	19	0
7922	Amiidae	bowfins	72	73	20	0
7914	Semionotiformes	NULL	75	80	19	0
7915	Lepisosteidae	gars	76	79	20	0
7916	Lepisosteus	NULL	77	78	21	0
32443	Teleostei	teleost fishes	82	277	18	1
1489340	Elopocephalai	NULL	83	100	19	0
186624	Elopocephala	NULL	84	99	20	0
32521	Elopomorpha	NULL	85	98	21	0
7933	Anguilliformes	true eels	86	97	22	0
7934	Anguillidae	freshwater eels	87	90	23	0
7935	Anguilla	NULL	88	89	24	0
46660	Muraenidae	moray eels	91	96	23	0
182222	Muraeninae	NULL	92	95	24	0
189497	Echidna	NULL	93	94	25	0
1489341	Osteoglossocephalai	NULL	101	276	19	0
186625	Clupeocephala	NULL	102	269	20	1
1489388	Euteleosteomorpha	NULL	103	240	21	1
123365	Neoteleostei	NULL	104	223	22	0
123366	Eurypterygia	NULL	105	222	23	0
123367	Ctenosquamata	NULL	106	221	24	0
123368	Acanthomorphata	NULL	107	220	25	1
123369	Euacanthomorphacea	NULL	108	205	26	0
1489872	Percomorphaceae	NULL	109	204	27	1
1489904	Carangaria	NULL	110	119	28	0
8252	Pleuronectiformes	flatfishes	111	118	29	0
30942	Pleuronectoidei	NULL	112	117	30	0
52902	Scophthalmidae	NULL	113	116	31	0
52903	Scophthalmus	NULL	114	115	32	0
1489922	Eupercaria	NULL	120	147	28	0
8111	Perciformes	perches and others	121	130	29	0
8100	Cottioidei	NULL	122	129	30	0
1490020	Gasterosteales	NULL	123	128	31	0
69291	Gasterosteidae	sticklebacks & tubesnouts	124	127	32	0
69292	Gasterosteus	NULL	125	126	33	0
31022	Tetraodontiformes	pufferfishes and others	131	146	29	0
31028	Tetraodontoidei	NULL	132	145	30	0
32517	Tetradontoidea	NULL	133	144	31	0
31031	Tetraodontidae	puffers	134	143	32	0
31032	Takifugu	NULL	135	138	33	0
31033	Takifugu rubripes	torafugu	136	137	34	0
47144	Tetraodon	NULL	139	142	33	0
99883	Tetraodon nigroviridis	spotted green pufferfish	140	141	34	0
1489873	Ophidiaria	NULL	148	153	28	0
94929	Ophidiiformes	cusk-eels and others	149	152	29	0
181400	Bythitoidei	NULL	150	151	30	0
1489908	Ovalentaria	NULL	154	203	28	1
1489913	Atherinomorphae	NULL	155	184	29	1
8075	Atheriniformes	NULL	156	157	30	0
76071	Beloniformes	medakas, needlefish and others	158	167	30	0
28781	Adrianichthyoidei	NULL	159	166	31	0
47757	Adrianichthyidae	NULL	160	165	32	0
8088	Oryziinae	medakas	161	164	33	0
8089	Oryzias	NULL	162	163	34	0
28738	Cyprinodontiformes	killifishes and others	168	183	30	1
45443	Aplocheiloidei	NULL	169	174	31	0
405002	Nothobranchiidae	NULL	170	173	32	0
28779	Nothobranchius	NULL	171	172	33	0
8087	Cyprinodontoidei	NULL	175	182	31	0
8079	Poeciliidae	livebearers	176	181	32	0
586240	Poeciliinae	NULL	177	180	33	0
8080	Poecilia	NULL	178	179	34	0
1489910	Cichlomorphae	NULL	185	202	29	0
1489911	Cichliformes	cichlids and convict blennies	186	201	30	0
