Uberon ID	Uberon name	is_a/part_of relations	Reason for removal
AEO:0000078	lumen of tube	is_a AEO:0000221 open anatomical space	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
AEO:0000079	lumen of epithelial sac	is_a AEO:0000222 enclosed anatomical space	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
AEO:0000080	foramen	is_a UBERON:0000015 anatomical surface	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
AEO:0000161	groove	is_a UBERON:0000015 anatomical surface	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
AEO:0000162	ridge	is_a UBERON:0000015 anatomical surface	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
AEO:0000186	body cavity	is_a UBERON:0000464 anatomical space	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
AEO:0000204	pit	is_a UBERON:0000015 anatomical surface	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
AEO:0000205	protuberance	is_a UBERON:0000015 anatomical surface	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
AEO:0000215	open cavity	is_a AEO:0000221 open anatomical space	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
AEO:0000221	open anatomical space	is_a UBERON:0000464 anatomical space	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
AEO:0000222	enclosed anatomical space	is_a UBERON:0000464 anatomical space	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
ATO:0002124	ATO_0002124		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
AcarDv:0000006	aged stage (anolis)	part_of UBERON:0000113 post-juvenile adult stage - is_a UBERON:0000105 life cycle stage	Removal of subgraph with root ID OlatDv:0000010 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
BFO:0000003	occurrent		Removal of subgraph with root ID BFO:0000003 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
BFO:0000015	process	is_a BFO:0000003 occurrent	Removal of subgraph with root ID BFO:0000003 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
BFO:0000019	quality	is_a BFO:0000020 specifically dependent continuant	Removal of subgraph with root ID BFO:0000019 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
BFO:0000141	BFO_0000141	is_a BFO:0000004 independent continuant	Removal of subgraph with root ID BFO:0000141 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
BTO:0004046	BTO_0004046		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
BtauDv:0000006	aged stage (cow)	part_of UBERON:0000113 post-juvenile adult stage - is_a UBERON:0000105 life cycle stage	Removal of subgraph with root ID OlatDv:0000010 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CARO:0000003	anatomical structure	is_a CARO:0000006 material anatomical entity	Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
CARO:0000062	cell space	is_a UBERON:0000464 anatomical space	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CARO:0000077	epithelial cell	is_a CL:0000063 obsolete cell by histology	Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
CARO:0001001	CARO_0001001		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
CARO:0010000	CARO_0010000		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
CEPH:0000006	adult stage	is_a UBERON:0000105 life cycle stage	Removal of subgraph with root ID BFO:0000003 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000016	arm formula	is_a CEPH:0001059 appendage trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000019	a-seriation	is_a CEPH:0001064 head trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000020	autotomy plane	is_a UBERON:0000466 immaterial anatomical entity	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000036	brooding	is_a CEPH:0001058 reproductive trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000047	calcareous	is_a CEPH:0001061 shell trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000064	cirrate octopod measurements	is_a CEPH:0001065 whole organism trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000075	counterillumination	is_a CEPH:0001062 integument trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000084	demersal	is_a CEPH:0001060 habitat trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000086	diel vertical migration	is_a CEPH:0001060 habitat trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000091	doratopsis stage	is_a CEPH:0000194 paralarval stage	Removal of subgraph with root ID BFO:0000003 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000100	epithelial pigmentation	is_a CEPH:0001062 integument trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000105	fin angle	is_a CEPH:0001063 fin trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000108	fin length	is_a CEPH:0001063 fin trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000110	fin position	is_a CEPH:0001063 fin trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000111	fin shape	is_a CEPH:0001063 fin trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000127	hatchling stage	is_a UBERON:0000105 life cycle stage	Removal of subgraph with root ID BFO:0000003 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000129	head-mantle fusion	is_a CEPH:0001064 head trait - is_a CEPH:0001065 whole organism trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000144	jet propulsion	is_a GO:0040011 locomotion	Removal of subgraph with root ID BFO:0000003 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000147	lateral funnel adductor muscle	is_a UBERON:0000952 obsolete adductor muscle	Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
CEPH:0000160	mantle length	is_a CEPH:0001065 whole organism trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000163	mature stage	is_a UBERON:0000105 life cycle stage	Removal of subgraph with root ID BFO:0000003 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000185	ontogenetic descent	is_a CEPH:0001060 habitat trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000194	paralarval stage	is_a UBERON:0000105 life cycle stage	Removal of subgraph with root ID BFO:0000003 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000199	photophore location	is_a CEPH:0001062 integument trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000219	saddle-shaped	is_a CEPH:0001065 whole organism trait - is_a CEPH:0001061 shell trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000226	semelparous	is_a CEPH:0001058 reproductive trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000246	subadult stage	is_a UBERON:0000105 life cycle stage	Removal of subgraph with root ID BFO:0000003 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000261	tentacle thickness	is_a CEPH:0001059 appendage trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000300	cephalopod trait		Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0000309	cephalopod size	is_a CEPH:0001065 whole organism trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001001	bullet-shaped mantle	is_a CEPH:0001065 whole organism trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001010	gill length	is_a CEPH:0001066 gill trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001040	web depth	is_a CEPH:0000300 cephalopod trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001041	beak length	is_a CEPH:0001064 head trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001042	lower rostral length	is_a CEPH:0001041 beak length	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001043	upper rostral length	is_a CEPH:0001041 beak length	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001054	Ammonoidea	is_a NCBITaxon:6605 Cephalopoda	Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
CEPH:0001055	Goniatitida	is_a CEPH:0001054 Ammonoidea	Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
CEPH:0001056	Ceratitida	is_a CEPH:0001054 Ammonoidea	Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
CEPH:0001057	Ammonitida	is_a CEPH:0001054 Ammonoidea	Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
CEPH:0001058	reproductive trait	is_a CEPH:0000300 cephalopod trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001059	appendage trait	is_a CEPH:0000300 cephalopod trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001060	habitat trait	is_a CEPH:0000300 cephalopod trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001061	shell trait	is_a CEPH:0000300 cephalopod trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001062	integument trait	is_a CEPH:0000300 cephalopod trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001063	fin trait	is_a CEPH:0000300 cephalopod trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001064	head trait	is_a CEPH:0000300 cephalopod trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001065	whole organism trait	is_a CEPH:0000300 cephalopod trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001066	gill trait	is_a CEPH:0000300 cephalopod trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001067	iteroparous	is_a CEPH:0001058 reproductive trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001070	sexual size dimorphism	is_a CEPH:0001071 sexual dimorphism	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CEPH:0001071	sexual dimorphism	is_a CEPH:0001058 reproductive trait	Removal of subgraph with root ID CEPH:0000300 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:3311	calcium carbonate	is_a CHEBI:46721 carbonate salt - is_a CHEBI:64708 one-carbon compound - is_a CHEBI:35156 calcium salt	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:5254	galactolipid	is_a CHEBI:33563 glycolipid	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:5686	heterocyclic compound	is_a CHEBI:33595 cyclic compound	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:6495	lipoprotein	is_a CHEBI:33837 conjugated protein - is_a CHEBI:39024 clathrate compound	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:8337	porphyrin	is_a CHEBI:35794 tetrapyrrole fundamental parent - is_a CHEBI:26214 porphyrins	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:15440	squalene	is_a CHEBI:35191 triterpene	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:16247	phospholipid	is_a CHEBI:37734 phosphoric ester - is_a CHEBI:25703 organic phosphate - is_a CHEBI:18059 lipid	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:16526	carbon dioxide	is_a CHEBI:64708 one-carbon compound - is_a CHEBI:23014 carbon oxide	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:16646	carbohydrate	is_a CHEBI:78616 carbohydrates and carbohydrate derivatives	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:16990	bilirubin	is_a CHEBI:35692 dicarboxylic acid - is_a CHEBI:36735 biladienes	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:17029	chitin	is_a CHEBI:22506 aminoglycan - is_a CHEBI:21638 N-acylglucosamine	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:17089	glycoprotein	is_a CHEBI:33837 conjugated protein - is_a CHEBI:63299 carbohydrate derivative	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:17761	ceramide	is_a CHEBI:37622 carboxamide - is_a CHEBI:26739 sphingolipid	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:18059	lipid	is_a CHEBI:50860 organic molecular entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:18085	glycosaminoglycan	is_a CHEBI:22506 aminoglycan	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:18154	polysaccharide	is_a CHEBI:16646 carbohydrate - is_a CHEBI:33694 biomacromolecule	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:18246	(1->4)-beta-D-glucan	is_a CHEBI:28793 beta-D-glucan	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:21638	N-acylglucosamine	is_a CHEBI:24271 glucosamines - is_a CHEBI:21656 N-acyl-hexosamine	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:21656	N-acyl-hexosamine	is_a CHEBI:24586 hexosamine	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:22506	aminoglycan	is_a CHEBI:35352 organonitrogen compound - is_a CHEBI:65212 polysaccharide derivative	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:22868	bile salt	is_a CHEBI:36078 cholanoid - is_a CHEBI:38700 organic sodium salt	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:22985	calcium molecular entity	is_a CHEBI:33299 alkaline earth molecular entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:23014	carbon oxide	is_a CHEBI:25701 organic oxide - is_a CHEBI:36963 organooxygen compound	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:23016	carbonates	is_a CHEBI:36963 organooxygen compound	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:23044	carotenoid	is_a CHEBI:26935 tetraterpenoid	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:23045	carotenol	is_a CHEBI:27325 xanthophyll	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:23079	cerebroside	is_a CHEBI:17761 ceramide - is_a CHEBI:25513 neutral glycosphingolipid	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:23213	choline ester	is_a CHEBI:35701 ester	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:23217	cholines	is_a CHEBI:35267 quaternary ammonium ion	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:23367	molecular entity	is_a BFO:0000030 object - is_a CHEBI:24431 chemical entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:24271	glucosamines	is_a CHEBI:24586 hexosamine	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:24402	glycosphingolipid	is_a CHEBI:26739 sphingolipid - is_a CHEBI:33563 glycolipid	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:24431	chemical entity		Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:24532	organic heterocyclic compound	is_a CHEBI:5686 heterocyclic compound - is_a CHEBI:33285 heteroorganic entity - is_a CHEBI:33832 organic cyclic compound	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:24586	hexosamine	is_a CHEBI:60926 amino monosaccharide	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:24632	hydrocarbon	is_a CHEBI:33245 organic fundamental parent	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:24651	hydroxides	is_a CHEBI:25806 oxygen molecular entity - is_a CHEBI:33608 hydrogen molecular entity - is_a CHEBI:37577 heteroatomic molecular entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:24833	oxoacid	is_a CHEBI:24651 hydroxides	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:24866	salt	is_a CHEBI:37577 heteroatomic molecular entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:24868	organic salt	is_a CHEBI:24866 salt	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:24870	ion	is_a CHEBI:23367 molecular entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:24913	isoprenoid	is_a CHEBI:18059 lipid	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:25046	linear tetrapyrrole	is_a CHEBI:26932 tetrapyrrole	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:25367	molecule	is_a CHEBI:36357 polyatomic entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:25513	neutral glycosphingolipid	is_a CHEBI:24402 glycosphingolipid	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:25585	nonmetal atom	is_a CHEBI:33250 atom	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:25701	organic oxide	is_a CHEBI:25741 oxide	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:25703	organic phosphate	is_a CHEBI:26020 phosphate - is_a CHEBI:25710 organophosphorus compound	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:25704	organic sulfate	is_a CHEBI:33261 organosulfur compound - is_a CHEBI:26820 sulfates	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:25710	organophosphorus compound	is_a CHEBI:33285 heteroorganic entity - is_a CHEBI:26082 phosphorus molecular entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:25741	oxide	is_a CHEBI:25806 oxygen molecular entity - is_a CHEBI:37577 heteroatomic molecular entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:25805	oxygen atom	is_a CHEBI:25585 nonmetal atom - is_a CHEBI:33303 chalcogen	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:25806	oxygen molecular entity	is_a CHEBI:33304 chalcogen molecular entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:26020	phosphate	is_a CHEBI:26079 phosphoric acid derivative	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:26079	phosphoric acid derivative	is_a CHEBI:36359 phosphorus oxoacid derivative	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:26082	phosphorus molecular entity	is_a CHEBI:33302 pnictogen molecular entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
