Uberon ID	Uberon name	female	male	hermaphrodite
AEO:0000013	single-cell tissue	F	F	F
AEO:0000078	lumen of tube	F	F	F
AEO:0000079	lumen of epithelial sac	F	F	F
AEO:0000080	foramen	F	F	F
AEO:0000081	matrix-based tissue	F	F	F
AEO:0000082	bone	F	F	F
AEO:0000083	endochondral bone	F	F	F
AEO:0000085	membrane bone	F	F	F
AEO:0000086	sesamoid bone	F	F	F
AEO:0000087	cartilage	F	F	F
AEO:0000090	ligament	F	F	F
AEO:0000091	tendon	F	F	F
AEO:0000092	aponeurosis	F	F	F
AEO:0000093	non-connected functional system	F	F	F
AEO:0000094	sense organ	F	F	F
AEO:0000095	fluid-based anatomical entity	F	F	F
AEO:0000096	gland	F	F	F
AEO:0000097	ducted gland	F	F	F
AEO:0000098	ductless gland	F	F	F
AEO:0000099	keratin-based structure	F	F	F
AEO:0000100	chitin-based structure	F	F	F
AEO:0000103	body	F	F	F
AEO:0000106	head	F	F	F
AEO:0000108	neck	F	F	F
AEO:0000109	tail	F	F	F
AEO:0000111	mesothelium	F	F	F
AEO:0000114	epithelial tube	F	F	F
AEO:0000115	epithelial sac	F	F	F
AEO:0000117	arborising epithelial duct system	F	F	F
AEO:0000118	epithelial plexus	F	F	F
AEO:0000119	epithelial vesicle	F	F	F
AEO:0000122	muscle tissue	F	F	F
AEO:0000123	neural tissue	F	F	F
AEO:0000125	developing anatomical structure	F	F	F
AEO:0000126	larva	F	F	F
AEO:0000127	apoptosing developing anatomical entity	F	F	F
AEO:0000129	functioning and developing structure	F	F	F
AEO:0000131	developing structure with stem cells	F	F	F
AEO:0000132	transitional anatomical structure	F	F	F
AEO:0000135	ganglion	F	F	F
AEO:0000136	neuronal nucleus	F	F	F
AEO:0000137	nerve	F	F	F
AEO:0000138	nerve plexus	F	F	F
AEO:0000139	nerve fiber tract	F	F	F
AEO:0000140	striated muscle tissue	F	F	F
AEO:0000141	smooth muscle tissue	F	F	F
AEO:0000142	cardiac muscle tissue	F	F	F
AEO:0000143	smooth muscle sphincter	F	F	F
AEO:0000144	striated muscle sphincter	F	F	F
AEO:0000145	mesenchymal tissue	F	F	F
AEO:0000146	dense mesenchyme tissue	F	F	F
AEO:0000147	cartilagenous condensation	F	F	F
AEO:0000148	developing mesenchymal condensation	F	F	F
AEO:0000149	pre-muscle condensation	F	F	F
AEO:0000150	pre-cartilage condensation	F	F	F
AEO:0000151	loose mesenchyme tissue	F	F	F
AEO:0000152	migrating mesenchyme population	F	F	F
AEO:0000153	mesenchymal tissue with stem cells	F	F	F
AEO:0000154	organism surfacef	F	F	F
AEO:0000161	groove	F	F	F
AEO:0000162	ridge	F	F	F
AEO:0000168	skeletal system	F	F	F
AEO:0000169	embryo	F	F	F
AEO:0000170	anlage	F	F	F
AEO:0000171	primordium	F	F	F
AEO:0000172	limb	F	F	F
AEO:0000173	surface sense organ	F	F	F
AEO:0000174	gender-specific anatomical structure	F	F	F
AEO:0000175	male anatomical structure	F	F	F
AEO:0000176	female anatomical structure	F	F	F
AEO:0000177	hermaphrodite anatomical structure	F	F	F
AEO:0000178	fibrous joint	F	F	F
AEO:0000179	joint-associated cartilage	F	F	F
AEO:0000180	non-joint-associated cartilage	F	F	F
AEO:0000181	synovial membrane	F	F	F
AEO:0000183	synovial joint	F	F	F
AEO:0000185	exoskeletal tissue	F	F	F
AEO:0000186	body cavity	F	F	F
AEO:0000187	multi-tissue structure with stem cells	F	F	F
AEO:0000188	acellular fluid anatomical entity	F	F	F
AEO:0000189	epithelial tissue with stem cells	F	F	F
AEO:0000193	appendage	F	F	F
AEO:0000194	conceptus	F	F	F
AEO:0000195	extraembryonic component	F	F	F
AEO:0000196	larval anatomical structure	F	F	F
AEO:0000198	antenna	F	F	F
AEO:0000199	mucous membrane	F	F	F
AEO:0000200	regenerating anatomical structure	F	F	F
AEO:0000201	afferent nerve	F	F	F
AEO:0000202	efferent nerve	F	F	F
AEO:0000203	syncytium	F	F	F
AEO:0000204	pit	F	F	F
AEO:0000205	protuberance	F	F	F
AEO:0000206	migrating epithelium	F	F	F
AEO:0000207	blood vessel	F	F	F
AEO:0000208	artery	F	F	F
AEO:0000209	vein	F	F	F
AEO:0000210	row	F	F	F
AEO:0000211	non-connected developing functional system	F	F	F
AEO:0000212	sclerotome	F	F	F
AEO:0000213	bone condensation	F	F	F
AEO:0000214	dermomyotome	F	F	F
AEO:0000215	open cavity	F	F	F
AEO:0000216	epithelial cord	F	F	F
AEO:0000217	migrating developing tissue	F	F	F
AEO:0000218	developing epithelial placode	F	F	F
AEO:0000219	vascular plexus	F	F	F
AEO:0000220	tooth	F	F	F
AEO:0000221	open anatomical space	F	F	F
AEO:0000222	enclosed anatomical space	F	F	F
AEO:0000493	fat tissue	F	F	F
AEO:0001000	sensory ganglion	F	F	F
AEO:0001001	autonomic ganglion	F	F	F
AEO:0001002	capillary bed	F	F	F
AEO:0001003	acellular extracellular matrix	F	F	F
AEO:0001004	fin	F	F	F
AEO:0001005	secretion	F	F	F
AEO:0001006	excreta	F	F	F
AEO:0001007	developing epithelium	F	F	F
AEO:0001008	neuroepithelium	F	F	F
AEO:0001009	proliferating neuroepithelium	F	F	F
AEO:0001010	differentiating neuroepithelium	F	F	F
AEO:0001011	neuronal white matter	F	F	F
AEO:0001012	neuronal grey matter	F	F	F
AEO:0001013	neuronal column	F	F	F
AEO:0001014	differentiating neuronal condensation	F	F	F
AEO:0001015	somite	F	F	F
AEO:0001016	developing mesenchymal structure	F	F	F
AEO:0001017	dermatome	F	F	F
AEO:0001018	myotome	F	F	F
AEO:0001019	developing germ cell population	F	F	F
AEO:0001020	reproductive cell population	F	F	F
AEO:0001021	stem cell population	F	F	F
CARO:0000013		F	F	F
CARO:0000048	gonochoristic organism	F	F	F
CARO:0000049	protandrous hermaphroditic organism	F	F	T
CARO:0000050	protogynous hermaphroditic organism	F	F	T
CARO:0000062	cell space	F	F	F
CARO:0000063	asexual organism	F	F	F
CARO:0000064	single cell organism	F	F	F
CEPH:0000000	eyelid	F	F	F
CEPH:0000002	cephalopod eye	F	F	F
CEPH:0000004	accessory gland complex	F	T	F
CEPH:0000005	acetabulum	F	F	F
CEPH:0000009	anal flap	F	F	T
CEPH:0000011	anterior salivary gland	F	F	F
CEPH:0000012	antitragus	F	F	F
CEPH:0000014	areolar spot	F	F	F
CEPH:0000015	arm	F	F	F
CEPH:0000017	arm IV	F	F	F
CEPH:0000018	armature of the arms	F	F	F
CEPH:0000020	autotomy plane	F	F	F
CEPH:0000021	basal shelf	F	F	F
CEPH:0000023	beak	F	F	F
CEPH:0000024	beak step	F	F	F
CEPH:0000028	branchial canal	F	F	F
CEPH:0000029	brachial crown	F	F	F
CEPH:0000030	brachial lobe of brain	F	F	F
CEPH:0000031	branchial gland	F	F	F
CEPH:0000032	branchial heart	F	F	F
CEPH:0000033	brachial photophore	F	F	F
CEPH:0000034	brachial pillar	F	F	F
CEPH:0000035	cephalopod brain	F	F	F
CEPH:0000037	buccal connective	F	F	F
CEPH:0000038	buccal crown	F	F	F
CEPH:0000039	buccal mass	F	F	F
CEPH:0000040	buccal membrane	F	F	F
CEPH:0000041	buccal sucker	F	F	F
CEPH:0000044	bursa copulatrix	T	F	T
CEPH:0000045	caecal sac	F	F	F
CEPH:0000046	caecum	F	F	F
CEPH:0000048	calamus	F	T	F
CEPH:0000050	cement body	F	F	F
CEPH:0000051	carpal sucker	F	F	F
CEPH:0000052	carpal knob	F	F	F
CEPH:0000053	carpus	F	F	F
CEPH:0000054	carpal locking apparatus	F	F	F
CEPH:0000055	cartilaginous tubercle	F	F	F
CEPH:0000056	cephalic cartilage	F	F	F
CEPH:0000057	cephalic vein	F	F	F
CEPH:0000059	chitin	F	F	F
CEPH:0000061	chromatophore	F	F	F
CEPH:0000062	circularis muscle	F	F	F
CEPH:0000063	cirrate male reproductive system	F	T	F
CEPH:0000066	arm cirrus	F	F	F
CEPH:0000067	cephalopod coelom	F	F	F
CEPH:0000068	collar	F	F	F
CEPH:0000069	photophore color filter	F	F	F
CEPH:0000072	conus	F	F	F
CEPH:0000073	conus field	F	F	F
CEPH:0000074	cornea	F	F	F
CEPH:0000076	crest of hectocotylus	F	T	F
CEPH:0000078	crop	F	F	F
CEPH:0000079	ctenoglossan radula	F	F	F
CEPH:0000080	cupped coil	F	F	F
CEPH:0000081	cusp	F	F	F
CEPH:0000082	cuttlebone	F	F	F
CEPH:0000083	dactylus	F	F	F
CEPH:0000085	demibranch	F	F	F
CEPH:0000087	digestive gland	F	F	F
CEPH:0000088	digestive gland duct appendages (digda)	F	F	F
CEPH:0000090	distal oviduct	T	F	F
CEPH:0000093	dorsal mantle cavity	F	F	F
CEPH:0000094	efferent vein	F	F	F
CEPH:0000095	efferent nerve	F	F	F
CEPH:0000096	egg mass	F	F	F
CEPH:0000097	ejaculatory apparatus	F	F	F
CEPH:0000098	end organ	F	T	F
CEPH:0000102	eye pore	F	F	F
CEPH:0000104	eyelid sinus	F	F	F
CEPH:0000106	fin attachment	F	F	F
CEPH:0000107	fin cartilage	F	F	F
CEPH:0000109	fin lobe	F	F	F
CEPH:0000112	fin	F	F	F
CEPH:0000114	foveola	F	F	F
CEPH:0000116	funnel	F	F	F
CEPH:0000117	funnel groove	F	F	F
CEPH:0000118	funnel-mantle locking-apparatus	F	F	F
CEPH:0000119	funnel organ	F	F	F
CEPH:0000120	funnel retractor muscle	F	F	F
CEPH:0000121	funnel valve	F	F	F
CEPH:0000122	gill	F	F	F
CEPH:0000123	gill lamella	F	F	F
CEPH:0000124	gladius	F	F	F
CEPH:0000126	half-orange gill	F	F	F
CEPH:0000130	hectocotylus	F	T	F
CEPH:0000131	heterodont radula	F	F	F
CEPH:0000132	homodont radula	F	F	F
CEPH:0000134	hook	F	F	F
CEPH:0000135	horizontal arm septum	F	F	F
CEPH:0000136	sucker ring	F	F	F
CEPH:0000137	inferior frontal lobe system	F	F	F
CEPH:0000138	infundibilum	F	F	F
CEPH:0000139	ink sac	F	F	F
CEPH:0000145	keel	F	F	F
CEPH:0000148	lateral membrane of arm IV	F	F	F
CEPH:0000149	lateral-line analogue	F	F	F
CEPH:0000150	photophore lens	F	F	F
CEPH:0000152	light guides	F	F	F
CEPH:0000153	ligula	F	T	F
CEPH:0000154	lip	F	F	F
CEPH:0000155	living chamber	F	F	F
CEPH:0000156	locking-apparatus of tentacular stalk	F	F	F
CEPH:0000159	mantle locking-apparatus	F	F	F
CEPH:0000161	mantle septum	F	F	F
CEPH:0000162	manus of tentacular club	F	F	F
CEPH:0000169	molluscan foot	F	F	F
