Experiment	Tissue	Life stage	Sex	Treatment	GEO Record	Platform
WBPaper00024532:N2_1	whole animal	WBls:0000002	N.A.	N.A.	N.A.	GPL200
WBPaper00024532:N2_2	whole animal	WBls:0000002	N.A.	N.A.	N.A.	GPL200
WBPaper00024654:Total_RNA_N2_1	whole animal	N.A.	N.A.	N.A.	N.A.	GPL200
WBPaper00024654:Total_RNA_N2_2	whole animal	N.A.	N.A.	N.A.	N.A.	GPL200
WBPaper00024654:Total_RNA_N2_3	whole animal	N.A.	N.A.	N.A.	N.A.	GPL200
WBPaper00025032:N2_0_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00025032:N2_23_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00025032:N2_41_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00025032:N2_53_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00025032:N2_66_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00025032:N2_83_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00025032:N2_101_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00025032:N2_122_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00025032:N2_143_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00025032:N2_186_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00025040:DMR28_N2_1	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00025040:DMR30_N2_2	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00025040:DMR32_N2_3	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00025040:DMR34_N2_4	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00026714:wt_1	whole animal	N.A.	N.A.	N.A.	N.A.	GPL200
WBPaper00026714:wt_2	whole animal	N.A.	N.A.	N.A.	N.A.	GPL200
WBPaper00026714:wt_3	whole animal	N.A.	N.A.	N.A.	N.A.	GPL200
WBPaper00026714:wt_4	whole animal	N.A.	N.A.	N.A.	N.A.	GPL200
WBPaper00026830:N2_no_tunicamycin_1	whole animal	N.A.	N.A.	N.A.	N.A.	GPL200
WBPaper00026830:N2_no_tunicamycin_2	whole animal	N.A.	N.A.	N.A.	N.A.	GPL200
WBPaper00026830:N2_no_tunicamycin_3	whole animal	N.A.	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:Em_N2-1	whole animal	WBls:0000003	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:Em_N2-2	whole animal	WBls:0000003	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:Em_N2-3	whole animal	WBls:0000003	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:L1_N2-1	whole animal	WBls:0000024	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:L1_N2-2	whole animal	WBls:0000024	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:L2_N2-1	whole animal	WBls:0000027	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:L2_N2-2	whole animal	WBls:0000027	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:L3_N2-1	whole animal	WBls:0000035	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:L3_N2-2	whole animal	WBls:0000035	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:L4_N2-1	whole animal	WBls:0000038	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:L4_N2-2	whole animal	WBls:0000038	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:Oocyte_N2	WBbt:0006797	N.A.	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:YA_N2-1	whole animal	WBls:0000041	N.A.	N.A.	N.A.	GPL200
WBPaper00026950:YA_N2-2	whole animal	WBls:0000041	N.A.	N.A.	N.A.	GPL200
WBPaper00027111:N2_1	whole animal	WBls:0000002	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00027111:N2_2	whole animal	WBls:0000002	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00027111:N2_3	whole animal	WBls:0000002	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00028809:control_rep1	whole animal	WBls:0000023	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00028809:control_rep2	whole animal	WBls:0000023	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00028809:control_rep3	whole animal	WBls:0000023	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00029115:N2_A-class_rep1	WBbt:0005278|WBbt:0005339	WBls:0000027	Hermaphrodite	N.A.	GEO record: GSM803567	GPL200
WBPaper00029115:N2_A-class_rep2	WBbt:0005278|WBbt:0005339	WBls:0000027	Hermaphrodite	N.A.	GEO record: GSM803568	GPL200
WBPaper00029115:N2_A-class_rep3	WBbt:0005278|WBbt:0005339	WBls:0000027	Hermaphrodite	N.A.	GEO record: GSM803569	GPL200
WBPaper00029190:N2_worms_at_embryonic_stage_rep1	whole animal	WBls:0000003	N.A.	N.A.	N.A.	GPL200
WBPaper00029190:N2_worms_at_embryonic_stage_rep2	whole animal	WBls:0000003	N.A.	N.A.	N.A.	GPL200
WBPaper00029190:N2_worms_at_embryonic_stage_rep3	whole animal	WBls:0000003	N.A.	N.A.	N.A.	GPL200
WBPaper00029190:N2_worms_at_L1_stage_rep1	whole animal	WBls:0000024	N.A.	N.A.	N.A.	GPL200
WBPaper00029190:N2_worms_at_L1_stage_rep2	whole animal	WBls:0000024	N.A.	N.A.	N.A.	GPL200
WBPaper00029190:N2_worms_at_L1_stage_rep3	whole animal	WBls:0000024	N.A.	N.A.	N.A.	GPL200
WBPaper00029190:N2_worms_at_L4_stage_rep1	whole animal	WBls:0000038	N.A.	N.A.	N.A.	GPL200
WBPaper00029190:N2_worms_at_L4_stage_rep2	whole animal	WBls:0000038	N.A.	N.A.	N.A.	GPL200
WBPaper00029190:N2_worms_at_L4_stage_rep3	whole animal	WBls:0000038	N.A.	N.A.	N.A.	GPL200
WBPaper00029226:N2_1	whole animal	WBls:0000027	N.A.	N.A.	N.A.	GPL200
WBPaper00029226:N2_2	whole animal	WBls:0000027	N.A.	N.A.	N.A.	GPL200
WBPaper00029226:N2_3	whole animal	WBls:0000027	N.A.	N.A.	N.A.	GPL200
WBPaper00029437:N2	whole animal	WBls:0000041	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00030839:Embryonic_Reference_Rep1_Set1	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00030839:Embryonic_Reference_Rep2_Set1	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00030839:Embryonic_Reference_Rep3_Set1	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00030839:Embryonic_Reference_Rep4_Set1	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00030839:Larval_Reference_Rep1_Set1	whole animal	WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00030839:Larval_Reference_Rep1_Set3	whole animal	WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00030839:Larval_Reference_Rep2_Set1	whole animal	WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
