#Experiment	Tissue	Life_stage	Sex	Treatment	GSM	Platform
WBPaper00032976	UBERON:0001062	WBls:0000003	Hermaphrodite	Wild Type controls for XO_TY2222-E.	GSM365580	GPL200
WBPaper00032976	UBERON:0001062	WBls:0000003	Hermaphrodite	Wild Type controls for XO_TY2222-E.	GSM365581	GPL200
WBPaper00032976	UBERON:0001062	WBls:0000003	Hermaphrodite	Wild Type controls for XO_TY2222-E.	GSM365582	GPL200
WBPaper00032976	UBERON:0001062	WBls:0000003	Hermaphrodite	Wild Type controls for XO_TY2222-E.	GSM365583	GPL200
WBPaper00032976	UBERON:0001062	WBls:0000003	Hermaphrodite	Wild Type controls for XO_TY2222-E.	GSM365584	GPL200
WBPaper00032976	UBERON:0001062	WBls:0000003	Hermaphrodite	Wild Type controls for XO_TY2222-E.	GSM365585	GPL200
WBPaper00032976	UBERON:0001062	WBls:0000003	Hermaphrodite	Wild Type control for dpy-27.	GSM365595	GPL200
WBPaper00032976	UBERON:0001062	WBls:0000003	Hermaphrodite	Wild Type control for dpy-27.	GSM365596	GPL200
WBPaper00032976	UBERON:0001062	WBls:0000003	Hermaphrodite	Wild Type control for dpy-27.	GSM365597	GPL200
WBPaper00032976	UBERON:0001062	WBls:0000003	Hermaphrodite	Wild Type controls for sdc-2. N2 worms were fed Ahringer library feeding bacteria bearing a plasmid lacking an insert.	GSM365589	GPL200
WBPaper00032976	UBERON:0001062	WBls:0000003	Hermaphrodite	Wild Type controls for sdc-2. N2 worms were fed Ahringer library feeding bacteria bearing a plasmid lacking an insert.	GSM365590	GPL200
WBPaper00032976	UBERON:0001062	WBls:0000003	Hermaphrodite	Wild Type controls for sdc-2. N2 worms were fed Ahringer library feeding bacteria bearing a plasmid lacking an insert.	GSM365591	GPL200
WBPaper00035891	UBERON:0001062	WBls:0000064	Hermaphrodite	control, OP50.	GSM1220540	GPL200
WBPaper00035891	UBERON:0001062	WBls:0000064	Hermaphrodite	control, OP50.	GSM1220544	GPL200
WBPaper00035891	UBERON:0001062	WBls:0000064	Hermaphrodite	control, OP50.	GSM1220548	GPL200
WBPaper00035891	UBERON:0001062	WBls:0000064	Hermaphrodite	control, PA14.	GSM1220541	GPL200
WBPaper00035891	UBERON:0001062	WBls:0000064	Hermaphrodite	control, PA14.	GSM1220545	GPL200
WBPaper00035891	UBERON:0001062	WBls:0000064	Hermaphrodite	control, PA14.	GSM1220549	GPL200
WBPaper00036383	UBERON:0001062	WBls:0000070	Hermaphrodite	control empty vector	GSM756685	GPL200
WBPaper00036383	UBERON:0001062	WBls:0000070	Hermaphrodite	control empty vector	GSM756686	GPL200
WBPaper00036383	UBERON:0001062	WBls:0000035	Hermaphrodite	control empty vector	GSM756612	GPL200
WBPaper00036383	UBERON:0001062	WBls:0000035	Hermaphrodite	control empty vector	GSM756613	GPL200
WBPaper00036383	UBERON:0001062	WBls:0000035	Hermaphrodite	control empty vector	GSM756614	GPL200
WBPaper00037695	UBERON:0001062	WBls:0000041	Hermaphrodite	N.A.	GSM589355	GPL200
WBPaper00037695	UBERON:0001062	WBls:0000041	Hermaphrodite	N.A.	GSM589360	GPL200
WBPaper00037695	UBERON:0001062	WBls:0000041	Hermaphrodite	N.A.	GSM589356	GPL200
WBPaper00037695	UBERON:0001062	WBls:0000041	Hermaphrodite	N.A.	GSM589361	GPL200
WBPaper00037695	UBERON:0001062	WBls:0000041	Hermaphrodite	N.A.	GSM589352	GPL200
WBPaper00038060	UBERON:0001062	WBls:0000024	Hermaphrodite	N.A.	GSM499032	GPL200
WBPaper00038060	UBERON:0001062	WBls:0000024	Hermaphrodite	N.A.	GSM499033	GPL200
WBPaper00038060	UBERON:0001062	WBls:0000024	Hermaphrodite	N.A.	GSM499034	GPL200
WBPaper00038172	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM627440	GPL200
WBPaper00038172	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM627441	GPL200
WBPaper00038172	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM627442	GPL200
WBPaper00038180	UBERON:0001062	WBls:0000024	Hermaphrodite	N.A.	GSM634543	GPL200
WBPaper00038180	UBERON:0001062	WBls:0000024	Hermaphrodite	N.A.	GSM634544	GPL200
WBPaper00038180	UBERON:0001062	WBls:0000024	Hermaphrodite	N.A.	GSM634545	GPL200
WBPaper00038180	UBERON:0001062	WBls:0000003	Hermaphrodite	N.A.	GSM635241	GPL200
WBPaper00038180	UBERON:0001062	WBls:0000003	Hermaphrodite	N.A.	GSM635242	GPL200
WBPaper00038180	UBERON:0001062	WBls:0000003	Hermaphrodite	N.A.	GSM635243	GPL200
WBPaper00038304	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM688037	GPL200
WBPaper00038304	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM688038	GPL200
WBPaper00038304	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM688039	GPL200
WBPaper00038462	UBERON:0001062	WBls:0000069	Hermaphrodite	N.A.	GSM542655	GPL200
WBPaper00038462	UBERON:0001062	WBls:0000069	Hermaphrodite	N.A.	GSM542656	GPL200
WBPaper00038462	UBERON:0001062	WBls:0000069	Hermaphrodite	N.A.	GSM542657	GPL200
WBPaper00038462	UBERON:0001062	WBls:0000074	Hermaphrodite	N.A.	GSM542658	GPL200
WBPaper00038462	UBERON:0001062	WBls:0000074	Hermaphrodite	N.A.	GSM542659	GPL200
WBPaper00038462	UBERON:0001062	WBls:0000074	Hermaphrodite	N.A.	GSM542660	GPL200
WBPaper00038462	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM542652	GPL200
WBPaper00038462	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM542653	GPL200
WBPaper00038462	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM542654	GPL200
WBPaper00040185	UBERON:0001062	WBls:0000027	Hermaphrodite	N.A.	GSM794220	GPL200
WBPaper00040185	UBERON:0001062	WBls:0000027	Hermaphrodite	N.A.	GSM794221	GPL200
WBPaper00040185	UBERON:0001062	WBls:0000027	Hermaphrodite	N.A.	GSM794222	GPL200
WBPaper00040603	UBERON:0001062	UBERON:0000104	Hermaphrodite	N.A.	GSM842065	GPL200
WBPaper00040603	UBERON:0001062	UBERON:0000104	Hermaphrodite	N.A.	GSM842066	GPL200
WBPaper00040603	UBERON:0001062	UBERON:0000104	Hermaphrodite	N.A.	GSM842067	GPL200
WBPaper00040821	UBERON:0001062	WBls:0000035	Hermaphrodite	Control.	GSM805419	GPL200
WBPaper00040821	UBERON:0001062	WBls:0000035	Hermaphrodite	Control.	GSM805420	GPL200
WBPaper00040821	UBERON:0001062	WBls:0000035	Hermaphrodite	Control.	GSM805421	GPL200
WBPaper00041163	UBERON:0001062	WBls:0000035	Hermaphrodite	N.A.	GSM840606	GPL200
WBPaper00041163	UBERON:0001062	WBls:0000035	Hermaphrodite	N.A.	GSM840607	GPL200
WBPaper00041163	UBERON:0001062	WBls:0000035	Hermaphrodite	N.A.	GSM840608	GPL200
WBPaper00041191	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM919250	GPL200
WBPaper00041191	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM919251	GPL200
WBPaper00041191	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM919252	GPL200
WBPaper00041370	UBERON:0001062	WBls:0000038	Hermaphrodite	Worms were fed control (RNAi) and harvested at L4 stage.	GSM936472	GPL200
WBPaper00041370	UBERON:0001062	WBls:0000038	Hermaphrodite	Worms were fed control (RNAi) and harvested at L4 stage.	GSM936476	GPL200
WBPaper00041370	UBERON:0001062	WBls:0000038	Hermaphrodite	Worms were fed control (RNAi) and harvested at L4 stage.	GSM936480	GPL200
WBPaper00042128	UBERON:0001062	WBls:0000027	Hermaphrodite	N.A.	GSM986045	GPL200
WBPaper00042128	UBERON:0001062	WBls:0000027	Hermaphrodite	N.A.	GSM986047	GPL200
WBPaper00042128	UBERON:0001062	WBls:0000027	Hermaphrodite	N.A.	GSM986049	GPL200
WBPaper00042234	UBERON:0001062	WBls:0000002	Hermaphrodite	N.A.	GSM958827	GPL200
WBPaper00042234	UBERON:0001062	WBls:0000002	Hermaphrodite	N.A.	GSM958828	GPL200
WBPaper00042234	UBERON:0001062	WBls:0000002	Hermaphrodite	N.A.	GSM958829	GPL200
WBPaper00042234	UBERON:0001062	WBls:0000002	Hermaphrodite	N.A.	GSM958830	GPL200
WBPaper00042234	UBERON:0001062	WBls:0000002	Hermaphrodite	N.A.	GSM958831	GPL200
WBPaper00042258	UBERON:0001062	WBls:0000065	Hermaphrodite	N.A.	GSM1074935	GPL200
WBPaper00042258	UBERON:0001062	WBls:0000065	Hermaphrodite	N.A.	GSM1074936	GPL200
WBPaper00042258	UBERON:0001062	WBls:0000065	Hermaphrodite	N.A.	GSM1074937	GPL200
WBPaper00042258	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1074938	GPL200
WBPaper00042258	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1074939	GPL200
WBPaper00042258	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1074940	GPL200
WBPaper00042404	UBERON:0001062	WBls:0000064	Hermaphrodite	Nematode Growth Medium, Control	GSM1083003	GPL200
WBPaper00042404	UBERON:0001062	WBls:0000064	Hermaphrodite	Nematode Growth Medium, Control	GSM1083004	GPL200
WBPaper00042404	UBERON:0001062	WBls:0000064	Hermaphrodite	Nematode Growth Medium, Control	GSM1083005	GPL200
WBPaper00042404	UBERON:0001062	WBls:0000064	Hermaphrodite	Nematode Growth Medium, Control	GSM1083006	GPL200
WBPaper00042574	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1008087	GPL200
WBPaper00042574	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1008088	GPL200
WBPaper00042574	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1008089	GPL200
WBPaper00042574	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1008090	GPL200
WBPaper00043980	UBERON:0001062	WBls:0000035	Hermaphrodite	N.A.	GSM953772	GPL200
WBPaper00043980	UBERON:0001062	WBls:0000035	Hermaphrodite	N.A.	GSM953773	GPL200
WBPaper00043980	UBERON:0001062	WBls:0000035	Hermaphrodite	N.A.	GSM953774	GPL200
WBPaper00044163	UBERON:0001062	WBls:0000002	Hermaphrodite	N.A.	GSM956921	GPL200
WBPaper00044163	UBERON:0001062	WBls:0000002	Hermaphrodite	N.A.	GSM956922	GPL200
WBPaper00044163	UBERON:0001062	WBls:0000002	Hermaphrodite	N.A.	GSM956923	GPL200
WBPaper00044163	UBERON:0001062	WBls:0000002	Hermaphrodite	N.A.	GSM956924	GPL200
WBPaper00044197	UBERON:0001062	WBls:0000003	Hermaphrodite	N.A.	GSM1175369	GPL200
WBPaper00044197	UBERON:0001062	WBls:0000003	Hermaphrodite	N.A.	GSM1175370	GPL200
WBPaper00044197	UBERON:0001062	WBls:0000003	Hermaphrodite	N.A.	GSM1175371	GPL200
WBPaper00044545	WBbt:0005784	WBls:0000064	Hermaphrodite	N.A.	GSM1258141	GPL200
WBPaper00044545	WBbt:0005784	WBls:0000064	Hermaphrodite	N.A.	GSM1258142	GPL200
WBPaper00044545	WBbt:0005784	WBls:0000064	Hermaphrodite	N.A.	GSM1258143	GPL200
WBPaper00045263	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1305989	GPL200
WBPaper00045263	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1305990	GPL200
WBPaper00045263	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1305991	GPL200
WBPaper00045263	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1305992	GPL200
WBPaper00045374	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM567790	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1128182	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1128183	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1128184	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1128185	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000064	Hermaphrodite	N.A.	GSM1128186	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000036	Hermaphrodite	N.A.	GSM1128169	GPL200
