#sample_id	new_exp_id	WarmBase_exp	GEO_exp	comment
GSM634543	GSE25834	GSE25831,GSE25834	GSE25831,GSE25834	GSE25834 experiment consist of more samples
GSM634544	GSE25834	GSE25831,GSE25834	GSE25831,GSE25834	GSE25834 experiment consist of more samples
GSM634545	GSE25834	GSE25831,GSE25834	GSE25831,GSE25834	GSE25834 experiment consist of more samples
GSM635241	GSE25834	GSE25831,GSE25834	GSE25831,GSE25834	GSE25834 experiment consist of more samples
GSM635242	GSE25834	GSE25831,GSE25834	GSE25831,GSE25834	GSE25834 experiment consist of more samples
GSM635243	GSE25834	GSE25831,GSE25834	GSE25831,GSE25834	GSE25834 experiment consist of more samples
GSM685482	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685483	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685484	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685485	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685486	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685487	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685488	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685489	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685490	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685491	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685492	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685493	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685494	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685495	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685496	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685497	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685501	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685502	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685503	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685476	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685477	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685478	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685479	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685480	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685481	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685498	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685499	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM685500	GSE27677	GSE27677,GSE42689	GSE27677	GSE42689 experiment do not contain this sample 
GSM919250	GSE37433	GSE37432,GSE37433	GSE37432,GSE37433	GSE37433  experiment consist of more samples
GSM919251	GSE37433	GSE37432,GSE37433	GSE37432,GSE37433	GSE37433  experiment consist of more samples
GSM919252	GSE37433	GSE37432,GSE37433	GSE37432,GSE37433	GSE37433  experiment consist of more samples
GSM1008087	GSE41056	GSE41056,GSE41058	GSE41056,GSE41058	GSE41056  experiment consist of more samples
GSM1008088	GSE41056	GSE41056,GSE41058	GSE41056,GSE41058	GSE41056  experiment consist of more samples
GSM1008089	GSE41056	GSE41056,GSE41058	GSE41056,GSE41058	GSE41056  experiment consist of more samples
GSM1008090	GSE41056	GSE41056,GSE41058	GSE41056,GSE41058	GSE41056  experiment consist of more samples
GSM1008091	GSE41056	GSE41056,GSE41058	GSE41056,GSE41058	GSE41056  experiment consist of more samples
GSM1008092	GSE41056	GSE41056,GSE41058	GSE41056,GSE41058	GSE41056  experiment consist of more samples
GSM1008093	GSE41056	GSE41056,GSE41058	GSE41056,GSE41058	GSE41056  experiment consist of more samples
GSM1008094	GSE41056	GSE41056,GSE41058	GSE41056,GSE41058	GSE41056  experiment consist of more samples
GSM1074929	GSE43959	GSE43959,GSE43953,GSE43954	GSE43953,GSE43959	GSE43959 experiment contains all samples  
GSM1074930	GSE43959	GSE43959,GSE43953,GSE43954	GSE43953,GSE43959	GSE43959 experiment contains all samples  
GSM1074931	GSE43959	GSE43959,GSE43953,GSE43954	GSE43953,GSE43959	GSE43959 experiment contains all samples  
GSM1074932	GSE43959	GSE43959,GSE43953,GSE43954	GSE43953,GSE43959	GSE43959 experiment contains all samples  
GSM1074933	GSE43959	GSE43959,GSE43953,GSE43954	GSE43953,GSE43959	GSE43959 experiment contains all samples  
GSM1074934	GSE43959	GSE43959,GSE43953,GSE43954	GSE43953,GSE43959	GSE43959 experiment contains all samples  
GSM1074935	GSE43959	GSE43959,GSE43953,GSE43954	GSE43953,GSE43959	GSE43959 experiment contains all samples  
GSM1074936	GSE43959	GSE43959,GSE43953,GSE43954	GSE43953,GSE43959	GSE43959 experiment contains all samples  
GSM1074937	GSE43959	GSE43959,GSE43953,GSE43954	GSE43953,GSE43959	GSE43959 experiment contains all samples  
GSM1074944	GSE43959	GSE43959,GSE43953,GSE43954	GSE43954,GSE43959	GSE43959 experiment contains all samples  
GSM1074945	GSE43959	GSE43959,GSE43953,GSE43954	GSE43954,GSE43959	GSE43959 experiment contains all samples  
GSM1074946	GSE43959	GSE43959,GSE43953,GSE43954	GSE43954,GSE43959	GSE43959 experiment contains all samples  
GSM1074941	GSE43959	GSE43959,GSE43953,GSE43954	GSE43954,GSE43959	GSE43959 experiment contains all samples  
GSM1074942	GSE43959	GSE43959,GSE43953,GSE43954	GSE43954,GSE43959	GSE43959 experiment contains all samples  
GSM1074943	GSE43959	GSE43959,GSE43953,GSE43954	GSE43954,GSE43959	GSE43959 experiment contains all samples  
GSM1074938	GSE43959	GSE43959,GSE43953,GSE43954	GSE43954,GSE43959	GSE43959 experiment contains all samples  
GSM1074939	GSE43959	GSE43959,GSE43953,GSE43954	GSE43954,GSE43959	GSE43959 experiment contains all samples  
GSM1074940	GSE43959	GSE43959,GSE43953,GSE43954	GSE43954,GSE43959	GSE43959 experiment contains all samples  
