#GSM	GSE	ftp_adress	old_cel_name	new_cel_name
GSM1220540	GSE50513	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1220nnn/GSM1220540/suppl/GSM1220540_G_L4440_OP50.CEL.gz	GSM1220540_G_L4440_OP50.CEL.gz	GSM1220540.CEL.gz
GSM1220544	GSE50513	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1220nnn/GSM1220544/suppl/GSM1220544_H_L4440_OP50.CEL.gz	GSM1220544_H_L4440_OP50.CEL.gz	GSM1220544.CEL.gz
GSM1220548	GSE50513	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1220nnn/GSM1220548/suppl/GSM1220548_I_L4440_OP50.CEL.gz	GSM1220548_I_L4440_OP50.CEL.gz	GSM1220548.CEL.gz
GSM1220541	GSE50513	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1220nnn/GSM1220541/suppl/GSM1220541_G_L4440_PA14.CEL.gz	GSM1220541_G_L4440_PA14.CEL.gz	GSM1220541.CEL.gz
GSM1220545	GSE50513	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1220nnn/GSM1220545/suppl/GSM1220545_H_L4440_PA14.CEL.gz	GSM1220545_H_L4440_PA14.CEL.gz	GSM1220545.CEL.gz
GSM1220549	GSE50513	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1220nnn/GSM1220549/suppl/GSM1220549_I_L4440_PA14.CEL.gz	GSM1220549_I_L4440_PA14.CEL.gz	GSM1220549.CEL.gz
GSM1220542	GSE50513	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1220nnn/GSM1220542/suppl/GSM1220542_G_zip2_OP50.CEL.gz	GSM1220542_G_zip2_OP50.CEL.gz	GSM1220542.CEL.gz
GSM1220546	GSE50513	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1220nnn/GSM1220546/suppl/GSM1220546_H_zip2_OP50.CEL.gz	GSM1220546_H_zip2_OP50.CEL.gz	GSM1220546.CEL.gz
GSM1220550	GSE50513	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1220nnn/GSM1220550/suppl/GSM1220550_I_zip2_OP50.CEL.gz	GSM1220550_I_zip2_OP50.CEL.gz	GSM1220550.CEL.gz
GSM1220543	GSE50513	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1220nnn/GSM1220543/suppl/GSM1220543_G_zip2_PA14.CEL.gz	GSM1220543_G_zip2_PA14.CEL.gz	GSM1220543.CEL.gz
GSM1220547	GSE50513	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1220nnn/GSM1220547/suppl/GSM1220547_H_zip2_PA14.CEL.gz	GSM1220547_H_zip2_PA14.CEL.gz	GSM1220547.CEL.gz
GSM1220551	GSE50513	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1220nnn/GSM1220551/suppl/GSM1220551_I_zip2_PA14.CEL.gz	GSM1220551_I_zip2_PA14.CEL.gz	GSM1220551.CEL.gz
GSM756687	GSE30505	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM756nnn/GSM756687/suppl/GSM756687.CEL.gz	GSM756687.CEL.gz	GSM756687.CEL.gz
GSM756688	GSE30505	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM756nnn/GSM756688/suppl/GSM756688.CEL.gz	GSM756688.CEL.gz	GSM756688.CEL.gz
GSM756689	GSE30505	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM756nnn/GSM756689/suppl/GSM756689.CEL.gz	GSM756689.CEL.gz	GSM756689.CEL.gz
GSM756685	GSE30505	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM756nnn/GSM756685/suppl/GSM756685.CEL.gz	GSM756685.CEL.gz	GSM756685.CEL.gz
GSM756686	GSE30505	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM756nnn/GSM756686/suppl/GSM756686.CEL.gz	GSM756686.CEL.gz	GSM756686.CEL.gz
GSM756615	GSE30505	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM756nnn/GSM756615/suppl/GSM756615.CEL.gz	GSM756615.CEL.gz	GSM756615.CEL.gz
GSM756616	GSE30505	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM756nnn/GSM756616/suppl/GSM756616.CEL.gz	GSM756616.CEL.gz	GSM756616.CEL.gz
GSM756617	GSE30505	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM756nnn/GSM756617/suppl/GSM756617.CEL.gz	GSM756617.CEL.gz	GSM756617.CEL.gz
GSM756612	GSE30505	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM756nnn/GSM756612/suppl/GSM756612.CEL.gz	GSM756612.CEL.gz	GSM756612.CEL.gz
GSM756613	GSE30505	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM756nnn/GSM756613/suppl/GSM756613.CEL.gz	GSM756613.CEL.gz	GSM756613.CEL.gz
GSM756614	GSE30505	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM756nnn/GSM756614/suppl/GSM756614.CEL.gz	GSM756614.CEL.gz	GSM756614.CEL.gz
GSM589355	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589355/suppl/GSM589355_C.elegans_C18_4.CEL.gz	GSM589355_C.elegans_C18_4.CEL.gz	GSM589355.CEL.gz
GSM589360	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589360/suppl/GSM589360_C.elegans_C18_6.CEL.gz	GSM589360_C.elegans_C18_6.CEL.gz	GSM589360.CEL.gz
GSM589356	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589356/suppl/GSM589356_C.elegans_C22_4.CEL.gz	GSM589356_C.elegans_C22_4.CEL.gz	GSM589356.CEL.gz
GSM589361	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589361/suppl/GSM589361_C.elegans_C22_6.CEL.gz	GSM589361_C.elegans_C22_6.CEL.gz	GSM589361.CEL.gz
GSM589315	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589315/suppl/GSM589315_C.elegans_LD2_3.CEL.gz	GSM589315_C.elegans_LD2_3.CEL.gz	GSM589315.CEL.gz
GSM589327	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589327/suppl/GSM589327_C.elegans_LD2_4.CEL.gz	GSM589327_C.elegans_LD2_4.CEL.gz	GSM589327.CEL.gz
GSM589339	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589339/suppl/GSM589339_C.elegans_LD2_6.CEL.gz	GSM589339_C.elegans_LD2_6.CEL.gz	GSM589339.CEL.gz
GSM589362	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589362/suppl/GSM589362_C.elegans_WC2_1.CEL.gz	GSM589362_C.elegans_WC2_1.CEL.gz	GSM589362.CEL.gz
GSM589368	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589368/suppl/GSM589368_C.elegans_WC2_2.CEL.gz	GSM589368_C.elegans_WC2_2.CEL.gz	GSM589368.CEL.gz
GSM589374	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589374/suppl/GSM589374_C.elegans_WC2_3.CEL.gz	GSM589374_C.elegans_WC2_3.CEL.gz	GSM589374.CEL.gz
GSM589386	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589386/suppl/GSM589386_C.elegans_WC2_4.CEL.gz	GSM589386_C.elegans_WC2_4.CEL.gz	GSM589386.CEL.gz
GSM589398	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589398/suppl/GSM589398_C.elegans_WC2_6.CEL.gz	GSM589398_C.elegans_WC2_6.CEL.gz	GSM589398.CEL.gz
GSM589352	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589352/suppl/GSM589352_C.elegans_C6_4.CEL.gz	GSM589352_C.elegans_C6_4.CEL.gz	GSM589352.CEL.gz
GSM589316	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589316/suppl/GSM589316_C.elegans_LD6_3.CEL.gz	GSM589316_C.elegans_LD6_3.CEL.gz	GSM589316.CEL.gz
GSM589340	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589340/suppl/GSM589340_C.elegans_LD6_6.CEL.gz	GSM589340_C.elegans_LD6_6.CEL.gz	GSM589340.CEL.gz
GSM589363	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589363/suppl/GSM589363_C.elegans_WC6_1.CEL.gz	GSM589363_C.elegans_WC6_1.CEL.gz	GSM589363.CEL.gz
GSM589369	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589369/suppl/GSM589369_C.elegans_WC6_2.CEL.gz	GSM589369_C.elegans_WC6_2.CEL.gz	GSM589369.CEL.gz
GSM589375	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589375/suppl/GSM589375_C.elegans_WC6_3.CEL.gz	GSM589375_C.elegans_WC6_3.CEL.gz	GSM589375.CEL.gz
GSM589387	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589387/suppl/GSM589387_C.elegans_WC6_4.CEL.gz	GSM589387_C.elegans_WC6_4.CEL.gz	GSM589387.CEL.gz
GSM589399	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589399/suppl/GSM589399_C.elegans_WC6_6.CEL.gz	GSM589399_C.elegans_WC6_6.CEL.gz	GSM589399.CEL.gz
GSM589317	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589317/suppl/GSM589317_C.elegans_LD10_3.CEL.gz	GSM589317_C.elegans_LD10_3.CEL.gz	GSM589317.CEL.gz
GSM589329	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589329/suppl/GSM589329_C.elegans_LD10_4.CEL.gz	GSM589329_C.elegans_LD10_4.CEL.gz	GSM589329.CEL.gz
GSM589341	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589341/suppl/GSM589341_C.elegans_LD10_6.CEL.gz	GSM589341_C.elegans_LD10_6.CEL.gz	GSM589341.CEL.gz
GSM589364	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589364/suppl/GSM589364_C.elegans_WC10_1.CEL.gz	GSM589364_C.elegans_WC10_1.CEL.gz	GSM589364.CEL.gz
GSM589370	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589370/suppl/GSM589370_C.elegans_WC10_2.CEL.gz	GSM589370_C.elegans_WC10_2.CEL.gz	GSM589370.CEL.gz
GSM589376	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589376/suppl/GSM589376_C.elegans_WC10_3.CEL.gz	GSM589376_C.elegans_WC10_3.CEL.gz	GSM589376.CEL.gz
GSM589388	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589388/suppl/GSM589388_C.elegans_WC10_4.CEL.gz	GSM589388_C.elegans_WC10_4.CEL.gz	GSM589388.CEL.gz
GSM589400	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589400/suppl/GSM589400_C.elegans_WC10_6.CEL.gz	GSM589400_C.elegans_WC10_6.CEL.gz	GSM589400.CEL.gz
GSM589318	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589318/suppl/GSM589318_C.elegans_LD14_3.CEL.gz	GSM589318_C.elegans_LD14_3.CEL.gz	GSM589318.CEL.gz
GSM589330	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589330/suppl/GSM589330_C.elegans_LD14_4.CEL.gz	GSM589330_C.elegans_LD14_4.CEL.gz	GSM589330.CEL.gz
GSM589342	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589342/suppl/GSM589342_C.elegans_LD14_6.CEL.gz	GSM589342_C.elegans_LD14_6.CEL.gz	GSM589342.CEL.gz
GSM589365	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589365/suppl/GSM589365_C.elegans_WC14_1.CEL.gz	GSM589365_C.elegans_WC14_1.CEL.gz	GSM589365.CEL.gz
GSM589371	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589371/suppl/GSM589371_C.elegans_WC14_2.CEL.gz	GSM589371_C.elegans_WC14_2.CEL.gz	GSM589371.CEL.gz
GSM589377	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589377/suppl/GSM589377_C.elegans_WC14_3.CEL.gz	GSM589377_C.elegans_WC14_3.CEL.gz	GSM589377.CEL.gz
GSM589389	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589389/suppl/GSM589389_C.elegans_WC14_4.CEL.gz	GSM589389_C.elegans_WC14_4.CEL.gz	GSM589389.CEL.gz
GSM589401	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589401/suppl/GSM589401_C.elegans_WC14_6.CEL.gz	GSM589401_C.elegans_WC14_6.CEL.gz	GSM589401.CEL.gz
GSM589319	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589319/suppl/GSM589319_C.elegans_LD18_3.CEL.gz	GSM589319_C.elegans_LD18_3.CEL.gz	GSM589319.CEL.gz
GSM589343	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589343/suppl/GSM589343_C.elegans_LD18_6.CEL.gz	GSM589343_C.elegans_LD18_6.CEL.gz	GSM589343.CEL.gz
GSM589366	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589366/suppl/GSM589366_C.elegans_WC18_1.CEL.gz	GSM589366_C.elegans_WC18_1.CEL.gz	GSM589366.CEL.gz
GSM589372	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589372/suppl/GSM589372_C.elegans_WC18_2.CEL.gz	GSM589372_C.elegans_WC18_2.CEL.gz	GSM589372.CEL.gz
GSM589378	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589378/suppl/GSM589378_C.elegans_WC18_3.CEL.gz	GSM589378_C.elegans_WC18_3.CEL.gz	GSM589378.CEL.gz
GSM589390	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589390/suppl/GSM589390_C.elegans_WC18_4.CEL.gz	GSM589390_C.elegans_WC18_4.CEL.gz	GSM589390.CEL.gz
GSM589402	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589402/suppl/GSM589402_C.elegans_WC18_6.CEL.gz	GSM589402_C.elegans_WC18_6.CEL.gz	GSM589402.CEL.gz
GSM589320	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589320/suppl/GSM589320_C.elegans_LD22_3.CEL.gz	GSM589320_C.elegans_LD22_3.CEL.gz	GSM589320.CEL.gz
GSM589332	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589332/suppl/GSM589332_C.elegans_LD22_4.CEL.gz	GSM589332_C.elegans_LD22_4.CEL.gz	GSM589332.CEL.gz
GSM589344	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589344/suppl/GSM589344_C.elegans_LD22_6.CEL.gz	GSM589344_C.elegans_LD22_6.CEL.gz	GSM589344.CEL.gz
GSM589367	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589367/suppl/GSM589367_C.elegans_WC22_1.CEL.gz	GSM589367_C.elegans_WC22_1.CEL.gz	GSM589367.CEL.gz
GSM589373	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589373/suppl/GSM589373_C.elegans_WC22_2.CEL.gz	GSM589373_C.elegans_WC22_2.CEL.gz	GSM589373.CEL.gz
GSM589379	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589379/suppl/GSM589379_C.elegans_WC22_3.CEL.gz	GSM589379_C.elegans_WC22_3.CEL.gz	GSM589379.CEL.gz
GSM589391	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589391/suppl/GSM589391_C.elegans_WC22_4.CEL.gz	GSM589391_C.elegans_WC22_4.CEL.gz	GSM589391.CEL.gz
GSM589403	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589403/suppl/GSM589403_C.elegans_WC22_6.CEL.gz	GSM589403_C.elegans_WC22_6.CEL.gz	GSM589403.CEL.gz
GSM589380	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589380/suppl/GSM589380_C.elegans_CC26_3.CEL.gz	GSM589380_C.elegans_CC26_3.CEL.gz	GSM589380.CEL.gz
GSM589392	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589392/suppl/GSM589392_C.elegans_CC26_4.CEL.gz	GSM589392_C.elegans_CC26_4.CEL.gz	GSM589392.CEL.gz
GSM589404	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589404/suppl/GSM589404_C.elegans_CC26_6.CEL.gz	GSM589404_C.elegans_CC26_6.CEL.gz	GSM589404.CEL.gz
GSM589321	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589321/suppl/GSM589321_C.elegans_DD26_2.CEL.gz	GSM589321_C.elegans_DD26_2.CEL.gz	GSM589321.CEL.gz
GSM589333	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589333/suppl/GSM589333_C.elegans_DD26_4.CEL.gz	GSM589333_C.elegans_DD26_4.CEL.gz	GSM589333.CEL.gz
GSM589345	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589345/suppl/GSM589345_C.elegans_DD26_6.CEL.gz	GSM589345_C.elegans_DD26_6.CEL.gz	GSM589345.CEL.gz
GSM589393	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589393/suppl/GSM589393_C.elegans_CC30_4.CEL.gz	GSM589393_C.elegans_CC30_4.CEL.gz	GSM589393.CEL.gz
GSM589405	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589405/suppl/GSM589405_C.elegans_CC30_6.CEL.gz	GSM589405_C.elegans_CC30_6.CEL.gz	GSM589405.CEL.gz
GSM589322	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589322/suppl/GSM589322_C.elegans_DD30_2.CEL.gz	GSM589322_C.elegans_DD30_2.CEL.gz	GSM589322.CEL.gz
GSM589334	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589334/suppl/GSM589334_C.elegans_DD30_4.CEL.gz	GSM589334_C.elegans_DD30_4.CEL.gz	GSM589334.CEL.gz
GSM589346	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589346/suppl/GSM589346_C.elegans_DD30_6.CEL.gz	GSM589346_C.elegans_DD30_6.CEL.gz	GSM589346.CEL.gz
GSM589394	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589394/suppl/GSM589394_C.elegans_CC34_4.CEL.gz	GSM589394_C.elegans_CC34_4.CEL.gz	GSM589394.CEL.gz
GSM589406	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589406/suppl/GSM589406_C.elegans_CC34_6.CEL.gz	GSM589406_C.elegans_CC34_6.CEL.gz	GSM589406.CEL.gz
GSM589323	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589323/suppl/GSM589323_C.elegans_DD34_2.CEL.gz	GSM589323_C.elegans_DD34_2.CEL.gz	GSM589323.CEL.gz
GSM589335	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589335/suppl/GSM589335_C.elegans_DD34_4.CEL.gz	GSM589335_C.elegans_DD34_4.CEL.gz	GSM589335.CEL.gz
GSM589347	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589347/suppl/GSM589347_C.elegans_DD34_6.CEL.gz	GSM589347_C.elegans_DD34_6.CEL.gz	GSM589347.CEL.gz
GSM589383	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589383/suppl/GSM589383_C.elegans_CC38_3.CEL.gz	GSM589383_C.elegans_CC38_3.CEL.gz	GSM589383.CEL.gz
GSM589395	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589395/suppl/GSM589395_C.elegans_CC38_4.CEL.gz	GSM589395_C.elegans_CC38_4.CEL.gz	GSM589395.CEL.gz
GSM589324	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589324/suppl/GSM589324_C.elegans_DD38_2.CEL.gz	GSM589324_C.elegans_DD38_2.CEL.gz	GSM589324.CEL.gz
GSM589336	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589336/suppl/GSM589336_C.elegans_DD38_4.CEL.gz	GSM589336_C.elegans_DD38_4.CEL.gz	GSM589336.CEL.gz
GSM589348	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589348/suppl/GSM589348_C.elegans_DD38_6.CEL.gz	GSM589348_C.elegans_DD38_6.CEL.gz	GSM589348.CEL.gz
GSM589384	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589384/suppl/GSM589384_C.elegans_CC42_3.CEL.gz	GSM589384_C.elegans_CC42_3.CEL.gz	GSM589384.CEL.gz
GSM589396	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589396/suppl/GSM589396_C.elegans_CC42_4.CEL.gz	GSM589396_C.elegans_CC42_4.CEL.gz	GSM589396.CEL.gz
GSM589408	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589408/suppl/GSM589408_C.elegans_CC42_6.CEL.gz	GSM589408_C.elegans_CC42_6.CEL.gz	GSM589408.CEL.gz
GSM589325	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589325/suppl/GSM589325_C.elegans_DD42_2.CEL.gz	GSM589325_C.elegans_DD42_2.CEL.gz	GSM589325.CEL.gz
GSM589337	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589337/suppl/GSM589337_C.elegans_DD42_4.CEL.gz	GSM589337_C.elegans_DD42_4.CEL.gz	GSM589337.CEL.gz
GSM589349	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589349/suppl/GSM589349_C.elegans_DD42_6.CEL.gz	GSM589349_C.elegans_DD42_6.CEL.gz	GSM589349.CEL.gz
GSM589385	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589385/suppl/GSM589385_C.elegans_CC46_3.CEL.gz	GSM589385_C.elegans_CC46_3.CEL.gz	GSM589385.CEL.gz
GSM589397	GSE23528	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM589nnn/GSM589397/suppl/GSM589397_C.elegans_CC46_4.CEL.gz	GSM589397_C.elegans_CC46_4.CEL.gz	GSM589397.CEL.gz
