Paper	PMID	GSE	Platform	Experiment	Type	GSM	Tissue	Life_stage	Genotype	Species
WBPaper00004489	11134517	GSE3633	GPL3096,GPL3097,GPL3098(SMD2)	cgc4489_adult	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. N.A.	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00004489	11134517	GSE3633	GPL3096,GPL3097,GPL3098(SMD2)	cgc4489_egg	microarray	N.A.	N.A. vs. N.A.	WBls:0000003(embryo Ce) vs. N.A.	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00004489	11134517	GSE3633	GPL3096,GPL3097,GPL3098(SMD2)	cgc4489_L1	microarray	N.A.	N.A. vs. N.A.	WBls:0000024(L1 larva Ce) vs. N.A.	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00004489	11134517	GSE3633	GPL3096,GPL3097,GPL3098(SMD2)	cgc4489_L2	microarray	N.A.	N.A. vs. N.A.	WBls:0000027(L2 larva Ce) vs. N.A.	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00004489	11134517	GSE3633	GPL3096,GPL3097,GPL3098(SMD2)	cgc4489_L3	microarray	N.A.	N.A. vs. N.A.	WBls:0000035(L3 larva Ce) vs. N.A.	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00004489	11134517	GSE3633	GPL3096,GPL3097,GPL3098(SMD2)	cgc4489_L4	microarray	N.A.	N.A. vs. N.A.	WBls:0000038(L4 larva Ce) vs. N.A.	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00004489	11134517	GSE3633	GPL3096,GPL3097,GPL3098(SMD2)	cgc4489_male_herm	microarray	N.A.	N.A. vs. N.A.	WBls:0000056(adult male Ce) vs. WBls:0000057(adult hermaphrodite Ce)	N.A. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00004386	11052945	N.A.	GPL?(Affymetrix1)	Hill_2000_0hr	microarray	N.A.	N.A.	WBls:0000003(embryo Ce)	N.A.	Caenorhabditis elegans
WBPaper00004386	11052945	N.A.	GPL?(Affymetrix1)	Hill_2000_2weeks	microarray	N.A.	N.A.	WBls:0000070(7-10 days post-L4 adult hermaphrodite Ce)	N.A.	Caenorhabditis elegans
WBPaper00004386	11052945	N.A.	GPL?(Affymetrix1)	Hill_2000_12hr	microarray	N.A.	N.A.	WBls:0000024(L1 larva Ce)	N.A.	Caenorhabditis elegans
WBPaper00004386	11052945	N.A.	GPL?(Affymetrix1)	Hill_2000_24hr	microarray	N.A.	N.A.	WBls:0000027(L2 larva Ce),WBls:0000035(L3 larva Ce)	N.A.	Caenorhabditis elegans
WBPaper00004386	11052945	N.A.	GPL?(Affymetrix1)	Hill_2000_36hr	microarray	N.A.	N.A.	WBls:0000035(L3 larva Ce),WBls:0000038(L4 larva Ce)	N.A.	Caenorhabditis elegans
WBPaper00004386	11052945	N.A.	GPL?(Affymetrix1)	Hill_2000_48hr	microarray	N.A.	N.A.	WBls:0000038(L4 larva Ce),WBls:0000058(pre-reproductive stage adult hermaphrodite Ce)	N.A.	Caenorhabditis elegans
WBPaper00004386	11052945	N.A.	GPL?(Affymetrix1)	Hill_2000_60hr	microarray	N.A.	N.A.	WBls:0000060(reproductive stage adult hermaphrodite Ce)	N.A.	Caenorhabditis elegans
WBPaper00004386	11052945	N.A.	GPL?(Affymetrix1)	Hill_2000_oocytes	microarray	N.A.	WBbt:0006797(oocyte)	N.A.	N.A.	Caenorhabditis elegans
WBPaper00004966	11697852	GSE3680	GPL2646,GPL2655,GPL3097(SMD2)	WBPaper00004966:4a_DMSO_vs_4b_naph	microarray	GEO record: GSM85231	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
