#exp_id	sample_id	library_id	cutoff	PP_all	PP_protein	PP_intronic	PP_intergenic	all_reads	mapped_left	mapped_right	pr_mapped_left	pr_mapped_right	min_read_length	max_read_length	library_type	library_orientation
SRP003492	SRX026728	SRX026728	1	61.307	27.663	NA	1.693	73345377	55139325	31254840	75.178	42.613	76	76	paired	unstranded
SRP000401	SRX085286	SRX085286	1	46.429	21.016	NA	1.673	36457803	33431007	28861901	91.698	79.165	100	100	paired	unstranded
SRP000401	SRX036970	SRX036970	1	54.919	24.937	NA	1.102	93264596	72821827	NA	78.081	NA	76	76	single	unstranded
SRP000401	SRX037186	SRX037186	1	53.235	24.256	NA	2.081	90765593	60290165	NA	66.424	NA	76	76	single	unstranded
SRP000401	SRX037288	SRX037288	1	55.387	25.164	NA	1.387	91488132	54178003	NA	59.219	NA	76	76	single	unstranded
SRP000401	SRX036881	SRX036881	1	60.27	27.342	NA	0.755	80343573	59047650	NA	73.494	NA	76	76	single	unstranded
SRP000401	SRX036967	SRX036967	1	55.947	25.331	NA	1.081	76611276	50209804	NA	65.538	NA	76	76	single	unstranded
SRP000401	SRX036969	SRX036969	1	61.682	28.053	NA	1.244	71844903	53584188	NA	74.583	NA	76	76	single	unstranded
SRP003492	SRX026729	SRX026729	1	67.295	30.454	NA	1.51	29115135	20754012	17467173	71.283	59.993	76	76	paired	unstranded
SRP001010	SRX007173	SRX007173	1	74.626	34.212	NA	1.979	64420314	58859506	55893596	91.368	86.764	37	37	paired	unstranded
SRP000401	SRX047446	SRX047446	1	62.246	28.492	NA	2.713	58257296	34790558	NA	59.719	NA	76	76	single	unstranded
SRP000401	SRX036882	SRX036882	1	61.759	28.068	NA	1.244	53882365	35535867	NA	65.951	NA	76	76	single	unstranded
SRP000401	SRX035162	SRX035162	1	56.599	25.767	NA	1.306	42461244	28602875	NA	67.362	NA	76	76	single	unstranded
SRP000401	SRX008144	SRX008144	1	55.27	25.778	NA	1.265	65928109	62092360	NA	94.182	NA	36	36	single	unstranded
SRP000401	SRX099915	SRX099915	1	48.333	22.069	NA	2.081	23469028	19445264	NA	82.855	NA	101	101	single	unstranded
SRP001010	SRX007069	SRX007069	1	65.849	30.129	NA	1.632	53334656	45623938	NA	85.543	NA	35	37	single	unstranded
SRP000401	SRX047787	SRX047787	1	58.741	26.739	NA	1.163	29821913	21185954	NA	71.042	NA	76	76	single	unstranded
