#exp_id	sample_id	library_id	run_id	checksum	size_in_bytes
GSE41367	GSM1015702	SRX191947	SRR580383	NA	606582273
GSE41367	GSM1015703	SRX191948	SRR580384	NA	653185885
GSE41367	GSM1015704	SRX191949	SRR580385	NA	464846901
GSE41367	GSM1015705	SRX191950	SRR580386	NA	561186497
GSE41367	GSM1015706	SRX191951	SRR580387	NA	621378045
GSE41367	GSM1015707	SRX191952	SRR580388	NA	573060741
GSE16552	GSM415884	SRX006984	SRR019721	NA	393928564
GSE16552	GSM415885	SRX006985	SRR019722	NA	602167406
GSE16552	GSM415886	SRX006986	SRR019723	NA	609131833
GSE16552	GSM415887	SRX006987	SRR019724	NA	419137576
GSE16552	GSM415888	SRX006988	SRR019725	NA	569578539
GSE16552	GSM415889	SRX006989	SRR019726	NA	607730225
GSE22410	GSM577107	SRX028190	SRR068554	NA	377632977
GSE22410	GSM577107	SRX028190	SRR068553	NA	415925103
SRP000401	SRX004863	SRX004863	SRR016670	NA	733401198
SRP000401	SRX004863	SRX004863	SRR016669	NA	149633432
SRP000401	SRX004866	SRX004866	SRR016678	NA	497272124
SRP000401	SRX004866	SRX004866	SRR016676	NA	331022265
SRP000401	SRX004866	SRX004866	SRR016687	NA	179283034
SRP000401	SRX004866	SRX004866	SRR016677	NA	267071947
SRP001010	SRX007069	SRX007069	SRR069493	NA	1131332134
SRP001010	SRX007069	SRX007069	SRR070036	NA	155495647
SRP001010	SRX007069	SRX007069	SRR069576	NA	118198523
SRP001010	SRX007170	SRX007170	SRR069510	NA	968674248
SRP001010	SRX007170	SRX007170	SRR069577	NA	119944904
SRP001010	SRX007173	SRX007173	SRR069580	NA	2937500870
SRP000401	SRX008144	SRX008144	SRR023580	NA	390609587
SRP000401	SRX008144	SRX008144	SRR023579	NA	1017019026
SRP000401	SRX008144	SRX008144	SRR023581	NA	215204967
SRP003492	SRX026728	SRX026728	SRR065719	NA	7122741549
SRP003492	SRX026729	SRX026729	SRR065717	NA	3033081205
SRP000401	SRX035162	SRX035162	SRR085466	NA	1311922446
SRP000401	SRX035162	SRX035162	SRR085467	NA	441317676
SRP000401	SRX036881	SRX036881	SRR089405	NA	1182013635
SRP000401	SRX036881	SRX036881	SRR089407	NA	1115941354
SRP000401	SRX036881	SRX036881	SRR089406	NA	1240135557
SRP000401	SRX036882	SRX036882	SRR089302	NA	1317176049
SRP000401	SRX036882	SRX036882	SRR089304	NA	413482157
SRP000401	SRX036882	SRX036882	SRR089303	NA	600455486
SRP000401	SRX036967	SRX036967	SRR089353	NA	779350930
SRP000401	SRX036967	SRX036967	SRR089352	NA	1248165368
SRP000401	SRX036967	SRX036967	SRR089354	NA	1146412156
SRP000401	SRX036969	SRX036969	SRR089359	NA	1238930502
SRP000401	SRX036969	SRX036969	SRR089358	NA	1381685676
SRP000401	SRX036969	SRX036969	SRR089360	NA	443260724
SRP000401	SRX036970	SRX036970	SRR089363	NA	1290736101
SRP000401	SRX036970	SRX036970	SRR089361	NA	1342205114
SRP000401	SRX036970	SRX036970	SRR089362	NA	1333891900
SRP000401	SRX037186	SRX037186	SRR089784	NA	1283461408
SRP000401	SRX037186	SRX037186	SRR089786	NA	1203428519
SRP000401	SRX037186	SRX037186	SRR089785	NA	1252593948
SRP000401	SRX037197	SRX037197	SRR089795	NA	357261260
SRP000401	SRX037197	SRX037197	SRR089796	NA	586173251
SRP000401	SRX037288	SRX037288	SRR089822	NA	1232715647
SRP000401	SRX037288	SRX037288	SRR089823	NA	1157875579
SRP000401	SRX037288	SRX037288	SRR089821	NA	1282738118
SRP000401	SRX047446	SRX047446	SRR124255	NA	297864247
SRP000401	SRX047446	SRX047446	SRR124257	NA	1070229844
SRP000401	SRX047446	SRX047446	SRR124256	NA	1064814937
SRP000401	SRX047653	SRX047653	SRR125337	NA	1220428469
SRP000401	SRX047787	SRX047787	SRR125481	NA	1274883794
SRP000401	SRX050630	SRX050630	SRR139148	NA	80410649
SRP000401	SRX085217	SRX085217	SRR316753	NA	312807909
SRP000401	SRX085286	SRX085286	SRR316929	NA	4194018192
SRP000401	SRX085287	SRX085287	SRR316928	NA	225585875
SRP000401	SRX099901	SRX099901	SRR350955	NA	22883517
SRP000401	SRX099902	SRX099902	SRR350954	NA	112186573
SRP000401	SRX099907	SRX099907	SRR350957	NA	70382833
SRP000401	SRX099908	SRX099908	SRR350956	NA	343081353
SRP000401	SRX099915	SRX099915	SRR350958	NA	1482778793
SRP015688	SRX185637	SRX185637	SRR566365	NA	439810261
SRP015688	SRX185639	SRX185639	SRR566367	NA	277001913
SRP015688	SRX185660	SRX185660	SRR566368	NA	122804873
SRP015688	SRX185660	SRX185660	SRR566369	NA	234486917
SRP015688	SRX185661	SRX185661	SRR566370	NA	272027141
