"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"comment"	
"E-TABM-33"	"Transcription profiling of zebrafish development"	"We are performing microarray experiments for expression profiling of zebrafish embryogenesis, both as a baseline for future analysis of mutant and other conditions and to validate our microarray technology. For our purpose we used the Affymetrix zebrafish array which contains approximately 15,000 genes. This represents about 50 % of the estimated number of zebrafish genes. Total RNA was collected from embryos at 16 different stages (zygote, shield stage, 75 % epiboly, 90 % epiboly, bud stage, 5-somite stage, 14-somite stage, prim-5 stage, 32 hpf and long-pec stage, 4d post fertilization (dpf), 5 dpf, 14 dpf, 30 dpf, 90 dpf, adult). Microarray analysis was performed with these stages in single colour experiments. After normalization, differential expressed genes were selected and further analyzed with GeneSpring software. In order to validate the microarray data and to assign biological functions we chose a few genes to do semi-quantitative real-time PCR. Many of the differentially expressed genes are unknown and could be candidates for regulatory genes identified in mutagenesis experiments. We identified several genes known to be involved in zebrafish organogenesis as well as novel genes with unique temporal expression patterns."	"ArrayExpress"	"total"		
"E-MEXP-114"	"Transcription profiling of hypothalamus, liver, kidney, ovaries and testis from male and female humans and mice"	"Compared differentially express genes by sex in mouse for the following tissues: hypothalamus, liver, kidney, ovaries and testis (3 biological x 2 technical replicates for each tissues/sex). We used Affymetrix MOE430A Genechip arrays."	"ArrayExpress"	"partial"		
"E-AFMX-5"	"Transcription profiling of human cell lines and tissues (GNF/Novartis)"	"The tissue-specific pattern of mRNA expression can indicate important clues about gene function. High-density oligonucleotide arrays offer the opportunity to examine patterns of gene expression on a genome scale. Toward this end, we have designed custom arrays that interrogate the expression of the vast majority of protein-encoding human and mouse genes and have used them to profile a panel of 79 human and 61 mouse tissues. The resulting data set provides the expression patterns for thousands of predicted genes, as well as known and poorly characterized genes, from mice and humans. We have explored this data set for global trends in gene expression, evaluated commonly used lines of evidence in gene prediction methodologies, and investigated patterns indicative of chromosomal organization of transcription. We describe hundreds of regions of correlated transcription and show that some are subject to both tissue and parental allele-specific expression, suggesting a link between spatial expression and imprinting."	"ArrayExpress"	"total"		
"#E-HGMP-2"	"Transcription profiling of adult mouse tissues"	"To study gene expression profiles in adult mouse tissues. Aim: to generate a standard reference data set of the expression profiles of all genes represented on the Affymetrix U74Av2 chip"	"ArrayExpress"	"total"	"commented because strain C57/BL6"	
"E-AFMX-4"	"Transcription profiling of mouse cell types and tissues (GNF/Novartis)"	"The tissue-specific pattern of mRNA expression can indicate important clues about gene function. High-density oligonucleotide arrays offer the opportunity to examine patterns of gene expression on a genome scale. Toward this end, we have designed custom arrays that interrogate the expression of the vast majority of protein-encoding human and mouse genes and have used them to profile a panel of 79 human and 61 mouse tissues. The resulting data set provides the expression patterns for thousands of predicted genes, as well as known and poorly characterized genes, from mice and humans. We have explored this data set for global trends in gene expression, evaluated commonly used lines of evidence in gene prediction methodologies, and investigated patterns indicative of chromosomal organization of transcription. We describe hundreds of regions of correlated transcription and show that some are subject to both tissue and parental allele-specific expression, suggesting a link between spatial expression and imprinting."	"ArrayExpress"	"partial"		
"GSE4989"	"Transcription profiling of the response to chronic constant hypoxia in adult Zebrafish hearts"	"Gene expression profile of the response to chronic constant hypoxia in the heart of adult zebrafish Experiment Overall Design: 10 arrays (5 for hypoxia and 5 normoxia); in total 8 biological samples plus 2 technical replicates"	"GEO"	"partial"		
"GSE4201"	"Transcription profiling of Zebrafish embryos investigating the effect of miR-430 microRNA on deadenylation and clearance of maternal mRNAs"	"MicroRNAs comprise 1-3% of all vertebrate genes, but their in vivo functions and mechanisms of action remain largely unknown. Zebrafish miR-430 is expressed at the onset of zygotic transcription and regulates morphogenesis during early development. Using a microarray approach and in vivo target validation, we find that miR-430 directly regulates several hundred target mRNAs. Targets are highly enriched for maternal mRNAs that accumulate in the absence of miR-430. We also show that miR-430 accelerates the deadenylation of target mRNAs. These results suggest that miR-430 facilitates the deadenylation and clearance of maternal mRNAs during early embryogenesis. Experiment Overall Design: As a first step towards the identification of miR-430 targets, we compared the rate of mRNA degradation in wild type and maternal-zygotic (MZ) dicer mutant embryos, which are deficient in miRNA processing. We found that the rate of degradation of a target mRNA with partial complementarity to miR-430 is significantly reduced in MZdicer mutants. Providing miR-430 duplexes to MZdicer mutants restores the rate of target decay. These results indicate that miR-430 enhances the decay of target mRNAs. Experiment Overall Design: To identify miR-430 in vivo targets, we compared the mRNA expression profile of embryos that were wild-type, MZdicer, or MZdicer rescued with miR-430 (MZdicer+miR-430). This analysis identified ~600 genes that were upregulated in MZdicer, but not in MZdicer+miR-430. Experiment Overall Design: We have also analyzed the expression profile of the genes in the array at three different time points, one maternal stage(16 cell), and two Zygotic stages 5 hours and 9 hours"	"GEO"	"partial"		
"E-MEXP-737"	"Transcription profiling of two 24 hour old zebrafish embryos from the Tuebingen line"	"Transcriptome analyses of 24-hour zebrafish embryos from the Tuebingen line were performed using the Affymetrix GeneChip Zebrafish Genome Array (GeneChip 430)"	"ArrayExpress"	"total"		
"E-MEXP-886"	"Transcription profiling of ataxin-null (Atxn-null) vs. wild type mice to investigate spinocerebellar ataxia type 1 (SCA1)"	"Ataxin 1 (Atxn1) is a protein of unknown function associated with cerebellar neurodegeneration in spinocerebellar ataxia type 1 (SCA1). SCA1 is caused by an expanded polyglutamine within Atxn1 by gain-of-function mechanisms. Lack of Atxn1 in mice triggers motor deficits in the absence of neurodegeneration or apparent neuropathological abnormalities.We extracted RNA from cerebellum of 5 Atxn1-null mice and 5 WT. Cerebellar gene expression profiles at 15 weeks of age were generated usSCA1 ing Affymetrix MOE430A arrays. Identifying the molecular pathways regulated by Atxn1 can provide insights into the early molecular mechanisms underlying neuronal dysfunction."	"ArrayExpress"	"partial"		
"GSE7196"	"Transcription profiling of mouse hearts from mutants lacking estrogen-related receptor alpha (ERRalpha), a nuclear receptor"	"Total RNA was isolated from 3 WT and 3 ERRalpha null hearts and independent hybridizations were performed using MOE430 2.0 microarrays. Expression profiling was conducted to determine changes in gene expression in hearts lacking ERRa. The expression of genes involved in heart and muscle development, muscle contraction, lipid metabolism, OxPhos, protein metabolism and transcription were affected by the loss of ERRa. Experiment Overall Design: 3 hearts from WT and 3 hearts from ERRalpha-null mice were used in the study. The expression of genes in the ERRalpha KO hearts were compared to the reference WT hearts."	"GEO"	"partial"		
