"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"comment"
"GSE19972"	"Expression Data from Ectopic expression of SUMO-1 in C. elegans"	"Transgenic C. elegans strains that express human SUMO-1 under the control of pan-neuronal (aex-3) or pan muscular (myo-4) promoters were assayed for gene expression changes."	"GEO"	"partial"	"available, downloaded"
"GSE21784"	"Genome-wide expression analysis during aging in C. elegans"	"Aging has been shown to be under genetic control in C. elegans. We performed Affymetrix micorarray-based transcriptional profililng of wild type C. elegans strain Bristol N2 during aging to detect temporal changes in gene expression."	"GEO"	"total"	"available, downloaded"
"GSE23528"	"Light/dark- and temperature-regulated transcriptional rhythms in adult Caenorhabditis elegans"	"Most organisms have an endogenous circadian clock that is synchronized to environmental signals such as light and temperature. Although circadian rhythms have been described in the nematode C. elegans at the behavioral level, these rhythms appear to be relatively non-robust. Moreover, in contrast to other animal models, no circadian transcriptional rhythms have been identified. Thus, whether this simple nematode contains a bona fide circadian clock remains an open question.We used microarray experiments to identify light- and temperature-regulated transcriptional rhythms in C. elegans, and show that subsets of these transcripts are regulated in a circadian manner. In addition, we find that light and temperature also globally drive the expression of many genes, indicating that C. elegans exhibits systemic responses to these stimuli."	"GEO"	"total"	"available, downloaded"
"GSE25834"	"An MLL/COMPASS subunit functions in the C. elegans dosage compensation complex to target X chromosomes for transcriptional regulation of gene expression"		"GEO"	"partial"	"available, downloaded"
"GSE27867"	"Expression data from C. elegans (wild type vs. tag-24)"	"To provide insights into the mechanism underlying the enhanced immunity of tag-24/octr-1 animals, we used genome microarrays to find clusters of genes commonly misregulated in tag-24 relative to wild-type animals grown on live P. aeruginosa."	"GEO"	"partial"	"available, downloaded"
"#GSE30505"	"Members of the H3K4 trimethylation complex regulate lifespan in a germline-dependent manner in C. elegans"	"The plasticity of ageing suggests that longevity may be controlled epigenetically by specific alterations in chromatin state. The link between chromatin and ageing has mostly focused on histone deacetylation by the Sir2 family1, 2, but less is known about the role of other histone modifications in longevity. Histone methylation has a crucial role in development and in maintaining stem cell pluripotency in mammals3. Regulators of histone methylation have been associated with ageing in worms4, 5, 6, 7 and flies8, but characterization of their role and mechanism of action has been limited. Here we identify the ASH-2 trithorax complex9, which trimethylates histone H3 at lysine 4 (H3K4), as a regulator of lifespan in Caenorhabditis elegans in a directed RNA interference (RNAi) screen in fertile worms. Deficiencies in members of the ASH-2 complex—ASH-2 itself, WDR-5 and the H3K4 methyltransferase SET-2—extend worm lifespan. Conversely, the H3K4 demethylase RBR-2 is required for normal lifespan, consistent with the idea that an excess of H3K4 trimethylation—a mark associated with active chromatin—is detrimental for longevity. Lifespan extension induced by ASH-2 complex deficiency requires the presence of an intact adult germline and the continuous production of mature eggs. ASH-2 and RBR-2 act in the germline, at least in part, to regulate lifespan and to control a set of genes involved in lifespan determination. These results indicate that the longevity of the soma is regulated by an H3K4 methyltransferase/demethylase complex acting in the C. elegans germline."	"GEO"	"partial"	"larvae control treated with empty vector"
"#GSE32031"	"Expression data in C. elegans L2 larvae after nhr-23 inhibition and in controls"	"NHR-23, a conserved member of the nuclear receptor family of transcription factors, is required for normal development in C. elegans where it plays a critical role in growth and molting. In a search for NHR-23 dependent genes, we performed whole genome comparative expression microarrays on both control and nhr-23 inhibited synchronized larvae. Genes that decreased in response to nhr-23 RNAi included several collagen genes. Unexpectedly, several hedgehog-related genes were also down-regulated after nhr-23 RNAi. A homozygous nhr-23 deletion allele was used to confirm the RNAi knockdown phenotypes and the changes in gene expression. Our results indicate that NHR-23 is a critical coregulator of functionally linked genes involved in growth and molting and reveal evolutionary parallels among the ecdysozoa."	"GEO"	"partial"	"larvae control treated with LL4440 empty plasmid. There's no real wt"
"GSE32521"	"Toxicogenomic responses of C. elegans to gold nanoparticles"	"We used Au nanoparticles (Au-NPs) as a model for studying particle specific effects of manufactured nanomaterials (MNMs) by examining the toxicogenomic responses in a model soil organism, free living nematode Caenorhabditis elegans. Global genome expression for nematodes exposed to 4-nm citrate-coated Au-NPs at the LC10 (5.9 mg L-1) revealed significant differential expression of 797 genes. The levels of expression for five genes (apl-1, dyn-1, act-5, abu-11, and hsp-4) were confirmed independently with qRT-PCR. Seven common biological pathways associated with 38 of these genes were identified. Activation of 26 pqn/abu genes from noncanonical Unfolded Protein Response (UPR) pathway and up-regulation of molecular chaperones (hsp-16.1, hsp-70, hsp-3 and hsp-4) were observed and are likely indicative of endoplasmic reticulum stress. Inhibition of abu-11 with RNAi showed increase in mortality in Au-NP exposed nematodes suggesting possible involvement of abu-11 (a gene associated with specific to C. elegans UPR) in a protective mechanism against Au-NPs. Exposure to Au-NPs also caused activation of genes involved in apoptosis and necrosis and resulted ultimately in 10% mortality. These results demonstrate that Au-NPs are bioavailable and cause adverse effects to a model ecoreceptor which activate both general and specific biological pathways."	"GEO"	"partial"	"available, downloaded"
"GSE34026"	"Expression profiling by array"	"We exposed wild-type Vibrio cholerae E7496, multiple Vibrio cholerae virulence factor deleted genes with intact hemolysin A gene [CVD109] and without hemolysin A gene [CVD110] in E7946, and E.coli OP50 to wild-type C.elegans N2 for 18 hours. We used microarrays to detail the global gene expression and identified distinct classes of up-regulated and down-regulated genes during this process."	"GEO"	"partial"	"available, downloaded"
"GSE34113"	"Expression Profiling of Caenorabditis elegans tdp-1 loss-of-function mutant"	"Transactive response DNA-binding protein of 43 kDa (TDP-43), a heterogeneous nuclear ribonucleoprotein (hnRNP) with diverse activities, is a common denominator in several neurodegenerative disorders including amyotrophic lateral sclerosis (ALS) and frontotemporal lobar degeneration (FTLD). Orthologs of TDP-43 exist from mammals to invertebrates, but their functions in lower organisms remain poorly understood. Here we systematically studied mutant Caenorhabditis elegans lacking the nematode TDP-43 ortholog, TDP-1. To understand the global gene expression regulation induced by the loss of tdp-1, the C. elegans transcriptomes were compared between the N2 WT animals and the tdp-1(ok803lf) mutant. Transcriptional profiling demonstrated that the loss of TDP-1 altered expression of genes functioning in RNA processing and protein folding. These results suggest that the C. elegans TDP-1 as an RNA-processing protein may have a role in the regulation of protein homeostasis and aging. Global gene expression profiling was performed to compare the transcriptome of wild-type (N2) Caenorabditis elegans and that of tdp-1(ok803) loss-of-function mutant."	"GEO"	"partial"	"available, downloaded"
