#estLibraryId	stageId	anatEntityId	UberonId	estLibraryName
899	ZFS:0000028	ZFA:0001094	UBERON:0000468	Zebrafish ICRFzfls
944	ZFS:0000049	ZFA:0001094	UBERON:0000468	Appel Eisen zebrafish embryo 15 19hr
970	UBERON:0000068	ZFA:0001094	UBERON:0000468	zebrafish embryonic (subtraction)
1011	ZFS:0000019	ZFA:0001094	UBERON:0000468	Ekkerearly gastrulation zebrafish embryo
1012	ZFS:0000029	ZFA:0001094	UBERON:0000468	Ekkerpost segmentation zebrafish embryo
1028	UBERON:0000113	ZFA:0000108	UBERON:0008897	zebrafish fin day3 regeneration
1029	UBERON:0000113	ZFA:0000529	UBERON:0000080	zebrafish gridded kidney
1364	ZFS:0000028	ZFA:0001094	UBERON:0000468	Danio rerio 22h cDNA Library
1401	UBERON:0000113	ZFA:0000114	UBERON:0000948	ZF adult heart library
1471	UBERON:0000068	ZFA:0001094	UBERON:0000468	Zebrafish cDNA Library
1519	ZFS:0000049	ZFA:0001094	UBERON:0000468	Appel-Eisen zebrafish embryo 15-19 hr
1520	UBERON:0000113	ZFA:0000108	UBERON:0008897	zebrafish fin day0 regeneration
1521	UBERON:0000113	ZFA:0000108	UBERON:0008897	zebrafish fin day1 regeneration
1522	UBERON:0000113	ZFA:0000008	UBERON:0000955	zebrafish adult brain
1568	ZFS:0000035	ZFA:0000114	UBERON:0000948	Zebrafish Embryonic Heart cDNA Library
1612	UBERON:0000068	ZFA:0001094	UBERON:0000468	Danio rerio embryo 6 hr to 48 hr
1727	UBERON:0000113	ZFA:0001094	UBERON:0000468	Sugano Kawakami zebrafish DRA
2305	UBERON:0000113	ZFA:0000529	UBERON:0000080	RZPD library 575
2345	UBERON:0000113	ZFA:0000529	UBERON:0000080	Danio rerio kidney adult
3738	ZFS:0000000	ZFA:0000008	UBERON:0000955	pZIPLOX Danio rerio brain
3748	ZFS:0000020	ZFA:0001094	UBERON:0000468	Zebrafish gastrula posterior minus anterior subtracted library
4132	ZFS:0000049	ZFA:0001094	UBERON:0000468	Zebrafish 15-19hr embryonic cDNA
4264	UBERON:0000113	ZFA:0000152	UBERON:0000966	Zebrafish adult retina cDNA
4913	ZFS:0000000	ZFA:0000108	UBERON:0008897	Zebrafish Research Genetics C32 fin
7300	UBERON:0000109	ZFA:0001094	UBERON:0000468	zebrafish 6-9 hpf embryonic cDNA library
9618	ZFS:0000000	ZFA:0001094	UBERON:0000468	zebrafish T0304, Steve Ekker
9619	UBERON:0000109	ZFA:0001094	UBERON:0000468	zebrafish TO297, Steve Ekker
9620	UBERON:0000068	ZFA:0001094	UBERON:0000468	zebrafish T0315, Steve Ekker
9662	ZFS:0000049	ZFA:0001094	UBERON:0000468	segmentation stage cDNA library
9666	UBERON:0000068	ZFA:0001094	UBERON:0000468	random primed zebrafish embryo
9706	UBERON:0000113	ZFA:0000008	UBERON:0000955	Zebrafish neuronal
9766	UBERON:0000113	ZFA:0000108	UBERON:0008897	Zebrafish SJD day 8 fin regeneration
9767	UBERON:0000113	ZFA:0000403	UBERON:0000992	Gong zebrafish ovary
9768	UBERON:0000113	ZFA:0000598	UBERON:0000473	Gong zebrafish testis
9773	ZFS:0000019	ZFA:0001094	UBERON:0000468	Zebrafish shield stage whole embryo cDNA library MPMGp637
9774	ZFS:0000019	ZFA:0001094	UBERON:0000468	Zebrafish shield stage whole embryo
9830	UBERON:0000109	ZFA:0001094	UBERON:0000468	gastrula stage cDNA library
9874	UBERON:0000113	ZFA:0000403	UBERON:0000992	Campbell zebrafish ovary
