#estLibraryId	stageId	anatEntityId	UberonId	estLibraryName
573	HsapDv:0000087	EV:0100104	UBERON:0002367	NCI_CGAP_Pr1
891	UBERON:0000104	EV:0100104	UBERON:0002367	NCI_CGAP_Pr5
925	UBERON:0000104	EV:0100104	UBERON:0002367	NCI_CGAP_Pr9
928	UBERON:0000104	EV:0100104	UBERON:0002367	NCI_CGAP_Pr11
884	UBERON:0000104	EV:0100089	UBERON:0002107	NCI_CGAP_Li1
924	UBERON:0000104	EV:0100104	UBERON:0002367	NCI_CGAP_Pr21
910	UBERON:0000104	EV:0100104	UBERON:0002367	NCI_CGAP_Pr22
1045	UBERON:0000104	EV:0100096	UBERON:0002113	NCI_CGAP_Kid3
1025	UBERON:0000104	EV:0100124	UBERON:0000310	NCI_CGAP_Br4
1024	UBERON:0000104	EV:0100111	UBERON:0000992	NCI_CGAP_Ov5
1008	UBERON:0000104	EV:0100111	UBERON:0000992	NCI_CGAP_Ov6
1080	UBERON:0000104	EV:0100247	UBERON:0002038	NCI_CGAP_CNS1
1109	UBERON:0000104	EV:0100125	UBERON:0001911	NCI_CGAP_Br7
1081	UBERON:0000104	EV:0100373	UBERON:0000044	NCI_CGAP_PNS1
628	UBERON:0000104	EV:0100102	UBERON:0000473	Soares_testis_NHT
342	UBERON:0000104	EV:0100131	UBERON:0001905	Soares_pineal_gland_N3HPG
1042	HsapDv:0000037	EV:0100000	UBERON:0000467	Soares_NFL_T_GBC_S1
452	HsapDv:0000037	EV:0100000	UBERON:0000467	Soares_fetal_liver_spleen_1NFLS_S1
843	HsapDv:0000015	EHDAA2:0000002	UBERON:0000922	Soares_total_fetus_Nb2HF8_9w
897	HsapDv:0000083	EV:0100164	UBERON:0000955	Soares_NbHFB
589	HsapDv:0000087	EV:0100152	UBERON:0000014	Soares_NhHMPu_S1
424	HsapDv:0000037	EV:0100018	UBERON:0000948	Soares_fetal_heart_NbHH19W
474	HsapDv:0000087	EV:0100113	UBERON:0000995	Soares_pregnant_uterus_NbHPU
368	HsapDv:0000087	EV:0100119	UBERON:0001987	Soares_placenta_8to9weeks_2NbHP8to9W
415	HsapDv:0000037	EV:0100042	UBERON:0002048	Soares_fetal_lung_NbHL19W
1410	HsapDv:0000087	EV:0100104	UBERON:0002367	NCI_CGAP_Pr28
1494	UBERON:0000104	EV:0100096	UBERON:0002113	NCI_CGAP_Kid11
1445	HsapDv:0000087	EV:0100125	UBERON:0001911	NCI_CGAP_Br14
1	HsapDv:0000037	EV:0100164	UBERON:0000955	Fetal Brain, Bento Soares
3	HsapDv:0000087	EV:0100180	UBERON:0001954	Hippocampus, Ruben Moreno
6	HsapDv:0000084	EV:0100169	UBERON:0001871	Temporal Cortex, Stratagene (cat. #935205)
7	HsapDv:0000087	EV:0100164	UBERON:0000955	Whole Brain, Clontech mRNA, Ruben Moreno
