#feid	gene_name	gene_id	pub_ref	pub_desc	organism_id	assay	molecule_assayed	stage	sex	anatomy	expression_uniquename	anatomy_desc	anatomy_id	start_stage_name	start_stage_id	end_stage_name	end_stage_id
100080	Or42b	FBgn0033043	FBrf0208960	Bai et al., 2009, J. Neurosci. 29(41): 12940--12947	1	in situ	RNA	adult stage	not specified	adult olfactory receptor neuron Or42b	FBex0014101	adult olfactory receptor neuron Or42b	FBbt:00067046	adult stage	FBdv:00005369	adult stage	FBdv:00005369
100081	Or92a	FBgn0038798	FBrf0208960	Bai et al., 2009, J. Neurosci. 29(41): 12940--12947	1	in situ	RNA	adult stage	not specified	adult olfactory receptor neuron Or92a	FBex0014124	adult olfactory receptor neuron Or92a	FBbt:00067059	adult stage	FBdv:00005369	adult stage	FBdv:00005369
100082	Or59b	FBgn0034865	FBrf0208960	Bai et al., 2009, J. Neurosci. 29(41): 12940--12947	1	in situ	RNA	adult stage	not specified	adult olfactory receptor neuron Or59b	FBex0014108	adult olfactory receptor neuron Or59b	FBbt:00067003	adult stage	FBdv:00005369	adult stage	FBdv:00005369
100083	Or22a	FBgn0026398	FBrf0208960	Bai et al., 2009, J. Neurosci. 29(41): 12940--12947	1	in situ	RNA	adult stage	not specified	adult olfactory receptor neuron Or22	FBex0014097	adult olfactory receptor neuron Or22	FBbt:00067025	adult stage	FBdv:00005369	adult stage	FBdv:00005369
100084	Or85b	FBgn0037590	FBrf0208960	Bai et al., 2009, J. Neurosci. 29(41): 12940--12947	1	in situ	RNA	adult stage	not specified	adult olfactory receptor neuron Or85b/98b	FBex0014120	adult olfactory receptor neuron Or85b/98b	FBbt:00007389	adult stage	FBdv:00005369	adult stage	FBdv:00005369
100135	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 17	not specified	presumptive embryonic salivary gland	FBex0018692	presumptive embryonic salivary gland	FBbt:00005620	embryonic stage 15	FBdv:00005332	embryonic stage 17	FBdv:00005335
100136	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 17	not specified	embryonic proventriculus	FBex0018693	embryonic proventriculus	FBbt:00005607	embryonic stage 15	FBdv:00005332	embryonic stage 17	FBdv:00005335
100137	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 17	not specified	embryonic foregut	FBex0018694	embryonic foregut	FBbt:00005606	embryonic stage 15	FBdv:00005332	embryonic stage 17	FBdv:00005335
100138	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 17	not specified	embryonic epidermis	FBex0018695	embryonic epidermis	FBbt:00005397	embryonic stage 17	FBdv:00005335	embryonic stage 17	FBdv:00005335
100139	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 17	not specified	embryonic hindgut	FBex0018696	embryonic hindgut	FBbt:00005630	embryonic stage 13	FBdv:00005328	embryonic stage 17	FBdv:00005335
100140	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 16	not specified	embryonic midgut constriction	FBex0018697	embryonic midgut constriction	FBbt:00000457	embryonic stage 15	FBdv:00005332	embryonic stage 16	FBdv:00005334
100141	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 17	not specified	embryonic/larval posterior spiracle	FBex0018698	embryonic/larval posterior spiracle	FBbt:00000424	embryonic stage 13	FBdv:00005328	embryonic stage 17	FBdv:00005335
