"#libraryId"	"experimentId"	"platform"	"SRSId"	"anatId"	"anatName"	"stageId"	"stageName"	"url_GSM"	"infoOrgan"	"infoStage"	"anatAnnotationStatus"	"anatBiologicalStatus"	"stageAnnotationStatus"	"sex"	"strain"	"genotype"	"speciesId"	"protocol"	"protocolType"	"RNASelection"	"globin_reduction"	"replicate"	"sampleTitle"	"PATOid"	"PATOname"	"comment"	"condition"	"annotatorId"	"lastModificationDate"
"SRX006984"	"GSE16552"	"Illumina Genome Analyzer"	"SRS004375"	"UBERON:0000922"	"embryo"	"WBls:0000003"	"embryo Ce"		"whole embryo"	"embryo"	"perfect match"	"full sampling"	"perfect match"	"NA"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; 3 technical replicates; see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33"		"ANN"	"2018-01-30"
"SRX006985"	"GSE16552"	"Illumina Genome Analyzer"	"SRS004376"	"UBERON:0000922"	"embryo"	"WBls:0000003"	"embryo Ce"		"whole embryo"	"embryo"	"perfect match"	"full sampling"	"perfect match"	"NA"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; 3 technical replicates; see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33"		"ANN"	"2018-01-30"
"SRX006986"	"GSE16552"	"Illumina Genome Analyzer"	"SRS004377"	"UBERON:0000922"	"embryo"	"WBls:0000003"	"embryo Ce"		"whole embryo"	"embryo"	"perfect match"	"full sampling"	"perfect match"	"NA"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; 3 technical replicates; see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33"		"ANN"	"2018-01-30"
"SRX006987"	"GSE16552"	"Illumina Genome Analyzer"	"SRS004378"	"UBERON:0002548"	"larva"	"WBls:0000024"	"L1 larva Ce"		"starved larva"	"larva L1"	"perfect match"	"full sampling"	"perfect match"	"NA"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; 3 technical replicates; see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33"		"ANN"	"2018-01-30"
"SRX006988"	"GSE16552"	"Illumina Genome Analyzer"	"SRS004379"	"UBERON:0002548"	"larva"	"WBls:0000024"	"L1 larva Ce"		"starved larva"	"larva L1"	"perfect match"	"full sampling"	"perfect match"	"NA"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; 3 technical replicates; see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33"		"ANN"	"2018-01-30"
"SRX006989"	"GSE16552"	"Illumina Genome Analyzer"	"SRS004380"	"UBERON:0002548"	"larva"	"WBls:0000024"	"L1 larva Ce"		"starved larva"	"larva L1"	"perfect match"	"full sampling"	"perfect match"	"NA"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; 3 technical replicates; see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33"		"ANN"	"2018-01-30"
"SRX028190"	"GSE22410"	"Illumina Genome Analyzer II"	"SRS117221"	"UBERON:0000468"	"multi-cellular organism"	"UBERON:0000104"	"life cycle"		"whole mixed-stage hermaphrodite"	"mixed stages"	"other"	"full sampling"	"other"	"NA"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33"		"ANN"	"2018-01-29"
"SRX191947"	"GSE41367"	"Illumina Genome Analyzer IIx"	"SRS367358"	"UBERON:0007023"	"adult organism"	"WBls:0000041"	"adult Ce"		"whole animal"	"L4 & adult pseudo-females"	"other"	"full sampling"	"other"	"NA"	"JK574 fog-2(q71)"		6239			"polyA"		1				"Caenorhabditis elegans; from Wormbase, by Seb; Three biological replicates per sex per species were collected for a total of 30 samples"		"ANN"	"2016-02-01"
"SRX191948"	"GSE41367"	"Illumina HiSeq 2000"	"SRS367359"	"UBERON:0007023"	"adult organism"	"WBls:0000041"	"adult Ce"		"whole animal"	"L4 & adult pseudo-females"	"other"	"full sampling"	"other"	"NA"	"JK574 fog-2(q71)"		6239			"polyA"		2				"Caenorhabditis elegans; from Wormbase, by Seb; Three biological replicates per sex per species were collected for a total of 30 samples"		"ANN"	"2016-02-01"
"SRX191949"	"GSE41367"	"Illumina HiSeq 2000"	"SRS367360"	"UBERON:0007023"	"adult organism"	"WBls:0000041"	"adult Ce"		"whole animal"	"L4 & adult pseudo-females"	"other"	"full sampling"	"other"	"NA"	"JK574 fog-2(q71)"		6239			"polyA"		3				"Caenorhabditis elegans; from Wormbase, by Seb; Three biological replicates per sex per species were collected for a total of 30 samples"		"ANN"	"2016-02-01"
