#UnmappedId	UnmappedName	UberonID	UberonName	Comment
OlatDv:0000060	Medaka stage 3	UBERON:0007232	2 cell stage	
OlatDv:0000080	Medaka stage 5	UBERON:0007236	8 cell stage	
OlatDv:0000100	Medaka stage 7	UBERON:0000107	cleavage stage	
OlatDv:0000170	Medaka stage 14	UBERON:0000109	gastrula stage	
OlatDv:0000180	Medaka stage 15	UBERON:0000109	gastrula stage	
OlatDv:0000190	Medaka stage 16	UBERON:0000109	gastrula stage	
OlatDv:0000430	Medaka stage 40	UBERON:0000069	larval stage	
OlatDv:0000010	developmental stage	UBERON:0000104	life cycle	
OlatDv:0000200	Medaka stage 17	UBERON:0000110	neurula stage	
OlatDv:0000210	Medaka stage 18	UBERON:0000110	neurula stage	
OlatDv:0000240	Medaka stage 21	UBERON:0000111	organogenesis stage	
OlatDv:0000260	Medaka stage 23	UBERON:0000111	organogenesis stage	
OlatDv:0000270	Medaka stage 24	UBERON:0000111	organogenesis stage	
OlatDv:0000310	Medaka stage 28	UBERON:0000111	organogenesis stage	
OlatDv:0000350	Medaka stage 32	UBERON:0000111	organogenesis stage	
OlatDv:0000370	Medaka stage 34	UBERON:0000111	organogenesis stage	
OlatDv:0000390	Medaka stage 36	UBERON:0000111	organogenesis stage	
OlatDv:0000410	Medaka stage 38	UBERON:0000111	organogenesis stage	
