"#sourceStrain"	"targetStrain"	"speciesId"	"speciesName"
"Ago2 414"	"Ago2[414]"	7227	"drosophila melanogaster"
"Cambridge Oregon R"	"Oregon-R"	7227	"drosophila melanogaster"
"Canton S"	"Canton-S"	7227	"drosophila melanogaster"
"Canton SB"	"Canton-S"	7227	"drosophila melanogaster"
"Dahomey wild type"	"wDahomey"	7227	"drosophila melanogaster"
"F1 generation, by crossing virgin Canton S wild type females with Oregon R wild type males"	"Oregon-R male X Canton-S female"	7227	"drosophila melanogaster"
"France"	"Paris"	7227	"drosophila melanogaster"
"Glasgow Oregon R"	"Oregon-R"	7227	"drosophila melanogaster"
"isolines established from flies collected in Raleigh, NC in 1999"	"Raleigh"	7227	"drosophila melanogaster"
"Japan Oregon R (Hikone)"	"Oregon-R"	7227	"drosophila melanogaster"
"LHm"	"LHM"	7227	"drosophila melanogaster"
"Nos-Gal4 bgcn [QS2]/SM6 Roi Cy"	"wild-type"	7227	"drosophila melanogaster"
"Oregon R"	"Oregon-R"	7227	"drosophila melanogaster"
"OregonR"	"Oregon-R"	7227	"drosophila melanogaster"
"RAL315"	"DGRP-315"	7227	"drosophila melanogaster"
"RAL360"	"DGRP-360"	7227	"drosophila melanogaster"
"w"	"w1118"	7227	"drosophila melanogaster"
"w;iso"	"w1118"	7227	"drosophila melanogaster"
"W[1118]"	"w1118"	7227	"drosophila melanogaster"
"w1118"	"w1118"	7227	"drosophila melanogaster"
"wild-derived lines"	"wild-type"	7227	"drosophila melanogaster"
"Winters, CA"	"wild-type"	7227	"drosophila melanogaster"
"Y cn bw sp"	"Berkeley"	7227	"drosophila melanogaster"
"y[1] w[67c]"	"y1 w67c"	7227	"drosophila melanogaster"
"y1 w67c23"	"y1 w67c"	7227	"drosophila melanogaster"
"reciprocal crosses between HdR, Kaga and Cab"	"reciprocal crosses between Hd-rR, Kaga and Carolina Biological"	8090	"Oryzias latipes (medaka)"
"Cab"	"Carolina Biological"	8090	"Oryzias latipes (medaka)"
