Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[individual]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Material Type	Description	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[sample barcode offset]	Comment[sample barcode read]	Comment[sample barcode size]	Comment[single cell isolation]	Comment[spike in]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[BAM_URI]	Comment[read1 file]	Comment[FASTQ_URI]	Comment[read2 file]	Comment[FASTQ_URI]	Comment[index1 file]	Comment[FASTQ_URI]	Factor Value[organism part]	Factor Value[cell type]
FCA3_Ant_S1	ERS6860651	SAMEA9135850	Drosophila melanogaster	S1	w1118	5	day	EFO	UO_0000033	adult	mixed	wild type genotype	antenna	  	organism part	FCA3_Ant_S1	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	d5543d16__FCA3_MaleFemale_Antenna	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA3_Ant_S1_L002	group 21	sequencing assay	ERX5671943	FCA3_Ant_S1_L002.bam	FCA3_Ant_S1_L002.bam	ERR6032674	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032674/FCA3_Ant_S1_L002.bam	FCA3_Ant_S1_L002_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L002_R1_001.fastq.gz	FCA3_Ant_S1_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L002_R2_001.fastq.gz	FCA3_Ant_S1_L002_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L002_I1_001.fastq.gz	antenna	    
FCA3_Ant_S1	ERS6860651	SAMEA9135850	Drosophila melanogaster	S1	w1118	5	day	EFO	UO_0000033	adult	mixed	wild type genotype	antenna	  	organism part	FCA3_Ant_S1	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	d5543d16__FCA3_MaleFemale_Antenna	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA3_Ant_S1_L004	group 21	sequencing assay	ERX5671943	FCA3_Ant_S1_L004.bam	FCA3_Ant_S1_L004.bam	ERR6032676	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032676/FCA3_Ant_S1_L004.bam	FCA3_Ant_S1_L004_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L004_R1_001.fastq.gz	FCA3_Ant_S1_L004_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L004_R2_001.fastq.gz	FCA3_Ant_S1_L004_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA3_Ant_S1_L004_I1_001.fastq.gz	antenna	    
FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21	ERS6860659	SAMEA9135858	Drosophila melanogaster	S21	w1118	5	day	EFO	UO_0000033	adult	male	wild type genotype	antenna	  	organism part	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	6e294c34__FCA55_Male_antenna_adult_5dWT_Luo_sample2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	  	  	  	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21_L002	  	sequencing assay	ERX5671951	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21_L002.bam	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21_L002.bam	ERR6032687	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032687/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21_L002.bam	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21_L002_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21_L002_R1_001.fastq.gz	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S21_L002_R2_001.fastq.gz	  	  	antenna	    
FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29	ERS6860659	SAMEA9135858	Drosophila melanogaster	S29	w1118	5	day	EFO	UO_0000033	adult	male	wild type genotype	antenna	  	organism part	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	6e294c34__FCA55_Male_antenna_adult_5dWT_Luo_sample2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	  	  	  	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29_L002	  	sequencing assay	ERX5671951	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29_L002.bam	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29_L002.bam	ERR6032689	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032689/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29_L002.bam	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29_L002_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29_L002_R1_001.fastq.gz	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S29_L002_R2_001.fastq.gz	  	  	antenna	    
FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23	ERS6860659	SAMEA9135858	Drosophila melanogaster	S23	w1118	5	day	EFO	UO_0000033	adult	male	wild type genotype	antenna	  	organism part	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	6e294c34__FCA55_Male_antenna_adult_5dWT_Luo_sample2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	  	  	  	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23_L002	  	sequencing assay	ERX5671951	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23_L002.bam	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23_L002.bam	ERR6032688	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032688/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23_L002.bam	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23_L002_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23_L002_R1_001.fastq.gz	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S23_L002_R2_001.fastq.gz	  	  	antenna	    
FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33	ERS6860659	SAMEA9135858	Drosophila melanogaster	S33	w1118	5	day	EFO	UO_0000033	adult	male	wild type genotype	antenna	  	organism part	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	6e294c34__FCA55_Male_antenna_adult_5dWT_Luo_sample2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	  	  	  	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33_L002	  	sequencing assay	ERX5671951	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33_L002.bam	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33_L002.bam	ERR6032690	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032690/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33_L002.bam	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33_L002_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33_L002_R1_001.fastq.gz	FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA55_Male_antenna_adult_5dWT_Luo_sample2_S33_L002_R2_001.fastq.gz	  	  	antenna	    
FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46	ERS6860663	SAMEA9135862	Drosophila melanogaster	S46	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	antenna	  	organism part	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	6e38a0f8__FCA56_Female_antenna_adult_5dWT_Luo_sample2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	  	  	  	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46_L003	  	sequencing assay	ERX5671952	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46_L003.bam	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46_L003.bam	ERR6032691	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032691/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46_L003.bam	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46_L003_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46_L003_R1_001.fastq.gz	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S46_L003_R2_001.fastq.gz	  	  	antenna	    
FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52	ERS6860663	SAMEA9135862	Drosophila melanogaster	S52	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	antenna	  	organism part	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	6e38a0f8__FCA56_Female_antenna_adult_5dWT_Luo_sample2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	  	  	  	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52_L003	  	sequencing assay	ERX5671952	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52_L003.bam	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52_L003.bam	ERR6032692	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032692/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52_L003.bam	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52_L003_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52_L003_R1_001.fastq.gz	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S52_L003_R2_001.fastq.gz	  	  	antenna	    
FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53	ERS6860663	SAMEA9135862	Drosophila melanogaster	S53	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	antenna	  	organism part	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	6e38a0f8__FCA56_Female_antenna_adult_5dWT_Luo_sample2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	  	  	  	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53_L003	  	sequencing assay	ERX5671952	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53_L003.bam	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53_L003.bam	ERR6032693	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032693/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53_L003.bam	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53_L003_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53_L003_R1_001.fastq.gz	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S53_L003_R2_001.fastq.gz	  	  	antenna	    
FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54	ERS6860663	SAMEA9135862	Drosophila melanogaster	S54	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	antenna	  	organism part	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	6e38a0f8__FCA56_Female_antenna_adult_5dWT_Luo_sample2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	  	  	  	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54_L003	  	sequencing assay	ERX5671952	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54_L003.bam	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54_L003.bam	ERR6032694	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032694/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54_L003.bam	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54_L003_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54_L003_R1_001.fastq.gz	FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA56_Female_antenna_adult_5dWT_Luo_sample2_S54_L003_R2_001.fastq.gz	  	  	antenna	    
