bundle_uuid	bundle_version	file_name	file_format	read_index	file_size	file_uuid	file_version	file_sha256	file_content_type	cell_suspension.provenance.document_id	cell_suspension.biomaterial_core.biomaterial_id	cell_suspension.estimated_cell_count	cell_suspension.selected_cell_type	sequencing_process.provenance.document_id	sequencing_protocol.instrument_manufacturer_model	sequencing_protocol.paired_end	library_preparation_protocol.library_construction_approach	project.provenance.document_id	project.contributors.institution	project.contributors.laboratory	project.project_core.project_short_name	project.project_core.project_title	specimen_from_organism.provenance.document_id	specimen_from_organism.diseases	specimen_from_organism.organ	specimen_from_organism.organ_part	specimen_from_organism.preservation_storage.preservation_method	donor_organism.sex	donor_organism.biomaterial_core.biomaterial_id	donor_organism.provenance.document_id	donor_organism.genus_species	donor_organism.diseases	donor_organism.organism_age	donor_organism.organism_age_unit	cell_line.provenance.document_id	cell_line.biomaterial_core.biomaterial_id	organoid.provenance.document_id	organoid.biomaterial_core.biomaterial_id	organoid.model_organ	organoid.model_organ_part	_entity_type	sample.provenance.document_id	sample.biomaterial_core.biomaterial_id
a98141e5-630e-4eeb-8532-1486b2e329f1	2019-10-24T081750.128396Z	FCAImmP7579214_S1_L001_R1_001.fastq.gz	fastq.gz	read1	8263566565	5756416b-6522-41da-8db3-977c3f707a0e	2019-10-23T144935.505898Z	1ee01811344f5385c269f99b226fe4e69e1d0f727790254a7b7138a19d15f47c	application/gzip; dcp-type=data	de9d1258-715d-47f9-8480-5695c198f6cc	FCAImmP7579214_F45_KI_45P	0	kidney cell	83b474d3-c20f-48f6-95a0-b0fa2269f14d	Illumina HiSeq 4000	False	10X v2 sequencing	abe1a013-af7a-45ed-8c26-f3793c24a1f4	Department of Medicine,  University of Cambridge || European Bioinformatics Institute || University of Newcastle || Wellcome Sanger Institute	Behjati Lab || Clatworthy Lab || Haniffa Lab || Human Cell Atlas Data Coordination Platform || Teichmann Lab	KidneySingleCellAtlas	Spatio-temporal immune zonation of the human kidney	ddd10ecc-f7b7-4370-82cf-14e30987b751	normal	kidney		fresh	female	F45	b736af42-04c7-4845-a410-310f8f912eeb	Homo sapiens	normal	13.85	week							specimens	ddd10ecc-f7b7-4370-82cf-14e30987b751	F45_1
a97743d7-4381-4178-a9ce-0e0fed297ff4	2019-10-23T144855.605787Z	FCAImmP7579214_S1_L001_R1_001.fastq.gz	fastq.gz	read1	8263566565	5756416b-6522-41da-8db3-977c3f707a0e	2019-10-23T144935.505898Z	1ee01811344f5385c269f99b226fe4e69e1d0f727790254a7b7138a19d15f47c	application/gzip; dcp-type=data	de9d1258-715d-47f9-8480-5695c198f6cc	FCAImmP7579214_F45_KI_45P	0	kidney cell	83b474d3-c20f-48f6-95a0-b0fa2269f14d	Illumina HiSeq 4000	False	10X v2 sequencing	abe1a013-af7a-45ed-8c26-f3793c24a1f4	Department of Medicine,  University of Cambridge || European Bioinformatics Institute || University of Newcastle || Wellcome Sanger Institute	Behjati Lab || Clatworthy Lab || Haniffa Lab || Human Cell Atlas Data Coordination Platform || Teichmann Lab	KidneySingleCellAtlas	Spatio-temporal immune zonation of the human kidney	ddd10ecc-f7b7-4370-82cf-14e30987b751	normal	kidney		fresh	female	F45	b736af42-04c7-4845-a410-310f8f912eeb	Homo sapiens	normal	13.85	week							specimens	ddd10ecc-f7b7-4370-82cf-14e30987b751	F45_1
a98141e5-630e-4eeb-8532-1486b2e329f1	2019-10-24T081750.128396Z	FCAImmP7579214_S1_L001_R2_001.fastq.gz	fastq.gz	read2	28636209988	a2a60cf5-2597-4ba3-b9fa-7ecdde004c8c	2019-10-23T144935.806273Z	ad9fe409670b55a358153094a9a26580abb88ac9dc5bfa32da959c24a8f8a746	application/gzip; dcp-type=data	de9d1258-715d-47f9-8480-5695c198f6cc	FCAImmP7579214_F45_KI_45P	0	kidney cell	83b474d3-c20f-48f6-95a0-b0fa2269f14d	Illumina HiSeq 4000	False	10X v2 sequencing	abe1a013-af7a-45ed-8c26-f3793c24a1f4	Department of Medicine,  University of Cambridge || European Bioinformatics Institute || University of Newcastle || Wellcome Sanger Institute	Behjati Lab || Clatworthy Lab || Haniffa Lab || Human Cell Atlas Data Coordination Platform || Teichmann Lab	KidneySingleCellAtlas	Spatio-temporal immune zonation of the human kidney	ddd10ecc-f7b7-4370-82cf-14e30987b751	normal	kidney		fresh	female	F45	b736af42-04c7-4845-a410-310f8f912eeb	Homo sapiens	normal	13.85	week							specimens	ddd10ecc-f7b7-4370-82cf-14e30987b751	F45_1
a97743d7-4381-4178-a9ce-0e0fed297ff4	2019-10-23T144855.605787Z	FCAImmP7579214_S1_L001_R2_001.fastq.gz	fastq.gz	read2	28636209988	a2a60cf5-2597-4ba3-b9fa-7ecdde004c8c	2019-10-23T144935.806273Z	ad9fe409670b55a358153094a9a26580abb88ac9dc5bfa32da959c24a8f8a746	application/gzip; dcp-type=data	de9d1258-715d-47f9-8480-5695c198f6cc	FCAImmP7579214_F45_KI_45P	0	kidney cell	83b474d3-c20f-48f6-95a0-b0fa2269f14d	Illumina HiSeq 4000	False	10X v2 sequencing	abe1a013-af7a-45ed-8c26-f3793c24a1f4	Department of Medicine,  University of Cambridge || European Bioinformatics Institute || University of Newcastle || Wellcome Sanger Institute	Behjati Lab || Clatworthy Lab || Haniffa Lab || Human Cell Atlas Data Coordination Platform || Teichmann Lab	KidneySingleCellAtlas	Spatio-temporal immune zonation of the human kidney	ddd10ecc-f7b7-4370-82cf-14e30987b751	normal	kidney		fresh	female	F45	b736af42-04c7-4845-a410-310f8f912eeb	Homo sapiens	normal	13.85	week							specimens	ddd10ecc-f7b7-4370-82cf-14e30987b751	F45_1
7af1d91c-572e-4beb-a768-0e3b0a167f82	2019-10-23T144855.605812Z	FCAImmP7579215_S1_L001_I1_001.fastq.gz	fastq.gz	index1	2559298831	b58109d6-0e7e-49cb-abd5-4ca20e43046e	2019-10-23T144935.581314Z	c97a6eb18f24dcbd7b67fe23d7a2a8439c64f5a975ccfbdeca64ebb19fd6b064	application/gzip; dcp-type=data	0d6404e4-f507-4c6d-aa26-4c83c058b623	FCAImmP7579215_F45_KI_45N	0	kidney cell	44b8ad82-1109-4543-a534-a85b34c2c301	Illumina HiSeq 4000	False	10X v2 sequencing	abe1a013-af7a-45ed-8c26-f3793c24a1f4	Department of Medicine,  University of Cambridge || European Bioinformatics Institute || University of Newcastle || Wellcome Sanger Institute	Behjati Lab || Clatworthy Lab || Haniffa Lab || Human Cell Atlas Data Coordination Platform || Teichmann Lab	KidneySingleCellAtlas	Spatio-temporal immune zonation of the human kidney	ddd10ecc-f7b7-4370-82cf-14e30987b751	normal	kidney		fresh	female	F45	b736af42-04c7-4845-a410-310f8f912eeb	Homo sapiens	normal	13.85	week							specimens	ddd10ecc-f7b7-4370-82cf-14e30987b751	F45_1
91ab75dc-bffd-41eb-80b7-efab01e55454	2019-10-24T070143.835153Z	FCAImmP7579215_S1_L001_I1_001.fastq.gz	fastq.gz	index1	2559298831	b58109d6-0e7e-49cb-abd5-4ca20e43046e	2019-10-23T144935.581314Z	c97a6eb18f24dcbd7b67fe23d7a2a8439c64f5a975ccfbdeca64ebb19fd6b064	application/gzip; dcp-type=data	0d6404e4-f507-4c6d-aa26-4c83c058b623	FCAImmP7579215_F45_KI_45N	0	kidney cell	44b8ad82-1109-4543-a534-a85b34c2c301	Illumina HiSeq 4000	False	10X v2 sequencing	abe1a013-af7a-45ed-8c26-f3793c24a1f4	Department of Medicine,  University of Cambridge || European Bioinformatics Institute || University of Newcastle || Wellcome Sanger Institute	Behjati Lab || Clatworthy Lab || Haniffa Lab || Human Cell Atlas Data Coordination Platform || Teichmann Lab	KidneySingleCellAtlas	Spatio-temporal immune zonation of the human kidney	ddd10ecc-f7b7-4370-82cf-14e30987b751	normal	kidney		fresh	female	F45	b736af42-04c7-4845-a410-310f8f912eeb	Homo sapiens	normal	13.85	week							specimens	ddd10ecc-f7b7-4370-82cf-14e30987b751	F45_1
91ab75dc-bffd-41eb-80b7-efab01e55454	2019-10-24T070143.835153Z	FCAImmP7579215_S1_L001_R2_001.fastq.gz	fastq.gz	read2	26928156069	ee6f108e-efd4-4eb3-8e51-76fcef37455b	2019-10-23T144936.093968Z	d912bdc68b99f51cc4e0631fed1853cd5572af6b5465a258e1f932b5649cf10e	application/gzip; dcp-type=data	0d6404e4-f507-4c6d-aa26-4c83c058b623	FCAImmP7579215_F45_KI_45N	0	kidney cell	44b8ad82-1109-4543-a534-a85b34c2c301	Illumina HiSeq 4000	False	10X v2 sequencing	abe1a013-af7a-45ed-8c26-f3793c24a1f4	Department of Medicine,  University of Cambridge || European Bioinformatics Institute || University of Newcastle || Wellcome Sanger Institute	Behjati Lab || Clatworthy Lab || Haniffa Lab || Human Cell Atlas Data Coordination Platform || Teichmann Lab	KidneySingleCellAtlas	Spatio-temporal immune zonation of the human kidney	ddd10ecc-f7b7-4370-82cf-14e30987b751	normal	kidney		fresh	female	F45	b736af42-04c7-4845-a410-310f8f912eeb	Homo sapiens	normal	13.85	week							specimens	ddd10ecc-f7b7-4370-82cf-14e30987b751	F45_1
7af1d91c-572e-4beb-a768-0e3b0a167f82	2019-10-23T144855.605812Z	FCAImmP7579215_S1_L001_R2_001.fastq.gz	fastq.gz	read2	26928156069	ee6f108e-efd4-4eb3-8e51-76fcef37455b	2019-10-23T144936.093968Z	d912bdc68b99f51cc4e0631fed1853cd5572af6b5465a258e1f932b5649cf10e	application/gzip; dcp-type=data	0d6404e4-f507-4c6d-aa26-4c83c058b623	FCAImmP7579215_F45_KI_45N	0	kidney cell	44b8ad82-1109-4543-a534-a85b34c2c301	Illumina HiSeq 4000	False	10X v2 sequencing	abe1a013-af7a-45ed-8c26-f3793c24a1f4	Department of Medicine,  University of Cambridge || European Bioinformatics Institute || University of Newcastle || Wellcome Sanger Institute	Behjati Lab || Clatworthy Lab || Haniffa Lab || Human Cell Atlas Data Coordination Platform || Teichmann Lab	KidneySingleCellAtlas	Spatio-temporal immune zonation of the human kidney	ddd10ecc-f7b7-4370-82cf-14e30987b751	normal	kidney		fresh	female	F45	b736af42-04c7-4845-a410-310f8f912eeb	Homo sapiens	normal	13.85	week							specimens	ddd10ecc-f7b7-4370-82cf-14e30987b751	F45_1
0658d9aa-bd5a-4957-99f7-576d2871b72e	2019-10-23T144855.605443Z	4834STDY7002875_S1_L001_R2_001.fastq.gz	fastq.gz	read2	48816315438	caf7fc00-38ab-4af5-beda-c70c1fb4448e	2019-10-23T144936.268172Z	e3ebb27123311c9e9794b64da7e1fed26efa8aec159440284b72298e7faec5cb	application/gzip; dcp-type=data	2dea8819-57bd-4acf-bb26-7a8031df87fb	4834STDY7002875_F16_KI_45P	0	kidney cell	157ba915-28d7-4d80-89ad-71c8291dbc05	Illumina HiSeq 4000	False	10X v2 sequencing	abe1a013-af7a-45ed-8c26-f3793c24a1f4	Department of Medicine,  University of Cambridge || European Bioinformatics Institute || University of Newcastle || Wellcome Sanger Institute	Behjati Lab || Clatworthy Lab || Haniffa Lab || Human Cell Atlas Data Coordination Platform || Teichmann Lab	KidneySingleCellAtlas	Spatio-temporal immune zonation of the human kidney	17aea4fd-cd72-4c36-8ded-d686162804b4	normal	kidney		fresh	male	F16	8ef48580-339e-4c23-b5bd-04c8692cab5f	Homo sapiens	normal	8.14	week							specimens	17aea4fd-cd72-4c36-8ded-d686162804b4	F16_1
4a93a63a-53b9-4625-ae17-102a94bc6e6b	2019-10-24T212959.067729Z	4834STDY7002875_S1_L001_R2_001.fastq.gz	fastq.gz	read2	48816315438	caf7fc00-38ab-4af5-beda-c70c1fb4448e	2019-10-23T144936.268172Z	e3ebb27123311c9e9794b64da7e1fed26efa8aec159440284b72298e7faec5cb	application/gzip; dcp-type=data	2dea8819-57bd-4acf-bb26-7a8031df87fb	4834STDY7002875_F16_KI_45P	0	kidney cell	157ba915-28d7-4d80-89ad-71c8291dbc05	Illumina HiSeq 4000	False	10X v2 sequencing	abe1a013-af7a-45ed-8c26-f3793c24a1f4	Department of Medicine,  University of Cambridge || European Bioinformatics Institute || University of Newcastle || Wellcome Sanger Institute	Behjati Lab || Clatworthy Lab || Haniffa Lab || Human Cell Atlas Data Coordination Platform || Teichmann Lab	KidneySingleCellAtlas	Spatio-temporal immune zonation of the human kidney	17aea4fd-cd72-4c36-8ded-d686162804b4	normal	kidney		fresh	male	F16	8ef48580-339e-4c23-b5bd-04c8692cab5f	Homo sapiens	normal	8.14	week							specimens	17aea4fd-cd72-4c36-8ded-d686162804b4	F16_1
