"#libraryId"	"experimentId"	"comments"	"annotatorId"	"lastModificationDate"
"SRX4218974"	"SRP128511"	"OXFORD_NANOPORE"	"ANN"	"2018-10-23"
"SRX4218973"	"SRP128511"	"OXFORD_NANOPORE"	"ANN"	"2018-10-23"
"SRX4218972"	"SRP128511"	"OXFORD_NANOPORE"	"ANN"	"2018-10-23"
"SRX4218970"	"SRP128511"	"PACBIO_SMRT"	"ANN"	"2018-10-23"
"SRX4515335"	"SRP128511"	"PACBIO_SMRT"	"ANN"	"2018-10-23"
"SRX1456546"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456547"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456548"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456549"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456550"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456551"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456552"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456553"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456554"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456555"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456556"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456557"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456558"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456559"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456560"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456561"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456562"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456563"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456564"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456565"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456566"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456567"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456568"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456569"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456570"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456571"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456572"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456573"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456574"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456575"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456576"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456577"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456578"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456579"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456580"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456581"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456582"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456583"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456584"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456585"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456586"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456587"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456588"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456589"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456590"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456591"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456592"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456593"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456594"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456595"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456596"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456597"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456598"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456599"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456600"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456601"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456602"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456603"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456604"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456605"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456606"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456607"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456608"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456609"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456610"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456611"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456612"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456613"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456614"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456615"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456616"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456617"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456618"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456619"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456620"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456621"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456622"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456623"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456624"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456625"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456626"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456627"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456628"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456629"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456630"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456631"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456632"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456633"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456634"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456635"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456636"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456637"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456638"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456639"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456640"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456641"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456642"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456643"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456644"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456645"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456646"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456647"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456648"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456649"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456650"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456651"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456652"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456653"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456654"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456655"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456656"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456657"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456658"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456659"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456660"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456661"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456662"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456663"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456664"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456665"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456666"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456667"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456668"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456669"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456670"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456671"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456672"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456673"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456674"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456675"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456676"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456677"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456678"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456679"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456680"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456681"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456682"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456683"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456684"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
"SRX1456685"	"SRP066834"	"cells from organoids"	"ANN"	"2018-10-29"
