"#libraryId"	"experimentId"	"platform"	"organId"	"organName"	"uberonId1"	"uberonName1"	"ECO ID1"	"ECO name1"	"uberonId2"	"uberonName2"	"ECO ID2"	"ECO name2"	"genotype"	"stageId"	"stageName"	"Prior cell-type1"	"Post-sequencing cell-type2"	"infoStage"	"sampleTitle"	"sampleSource"	"sampleDescription"	"sampleCharacteristics"	"organAnnotationStatus"	"organBiologicalStatus"	"stageAnnotationStatus"	"stageBiologicalStatus"	"sex"	"strain"	"speciesId"	"comment"	"annotatorId"	"lastModificationDate"	"replicate"	"infoReplicate"	"SRSId"	"tags"	"protocol"	"protocol type"
"#SRX185667"	"SRP015688"	"Illumina HiSeq 2000"			"WBbt:0005062"	"linker cell"								"WBls:0000035"	"Individual C. elegans linker cell, L3, no. 1"	"larva"		"larva L3"					"perfect match"	"not documented"	"perfect match"	"not documented"	"NA"	"N2"	6239	"Info sex from the paper, PMID:22991463"	"ANN"	"2018-02-27"	2		"SRS361813"	"scRNA-seq"		
"#SRX185668"	"SRP015688"	"Illumina HiSeq 2000"			"WBbt:0005062"	"linker cell"								"WBls:0000035"	"Individual C. elegans linker cell, L3, no. 2"	"larva"		"larva L3"					"perfect match"	"not documented"	"perfect match"	"not documented"	"NA"	"N2"	6239		"ANN"	"2018-02-27"	3		"SRS361814"	"scRNA-seq"		
"#SRX185669"	"SRP015688"	"Illumina HiSeq 2000"			"WBbt:0005062"	"linker cell"								"WBls:0000035"	"Individual C. elegans linker cell, L3, no. 3"	"larva"		"larva L3"					"perfect match"	"not documented"	"perfect match"	"not documented"	"NA"	"N2"	6239		"ANN"	"2018-02-27"	4		"SRS361815"	"scRNA-seq"		
"#SRX185670"	"SRP015688"	"Illumina HiSeq 2000"			"WBbt:0005062"	"linker cell"								"WBls:0000035"	"Individual C. elegans linker cell, L3, no. 4"	"larva"		"larva L3"					"perfect match"	"not documented"	"perfect match"	"not documented"	"NA"	"N2"	6239		"ANN"	"2018-02-27"	5		"SRS361816"	"scRNA-seq"		
"#SRX185672"	"SRP015688"	"Illumina HiSeq 2000"			"WBbt:0005062"	"linker cell"								"WBls:0000035"	"Individual C. elegans linker cell, L3, no. 5"	"larva"		"larva L3"					"perfect match"	"not documented"	"perfect match"	"not documented"	"NA"	"N2"	6239		"ANN"	"2018-02-27"	6		"SRS361817"	"scRNA-seq"		
"#SRX185674"	"SRP015688"	"Illumina HiSeq 2000"			"WBbt:0005062"	"linker cell"								"WBls:0000038"	"Individual C. elegans linker cell, L4, no. 1"	"larva"		"larva L4"					"perfect match"	"not documented"	"perfect match"	"not documented"	"NA"	"N2"	6239		"ANN"	"2018-02-27"	2		"SRS361818"	"scRNA-seq"		
"#SRX185676"	"SRP015688"	"Illumina HiSeq 2000"			"WBbt:0005062"	"linker cell"								"WBls:0000038"	"Individual C. elegans linker cell, L4, no. 2"	"larva"		"larva L4"					"perfect match"	"not documented"	"perfect match"	"not documented"	"NA"	"N2"	6239		"ANN"	"2018-02-27"	3		"SRS361819"	"scRNA-seq"		
"#SRX185678"	"SRP015688"	"Illumina HiSeq 2000"			"WBbt:0005062"	"linker cell"								"WBls:0000038"	"Individual C. elegans linker cell, L4, no. 3"	"larva"		"larva L4"					"perfect match"	"not documented"	"perfect match"	"not documented"	"NA"	"N2"	6239		"ANN"	"2018-02-27"	4		"SRS361820"	"scRNA-seq"		
"#SRX185680"	"SRP015688"	"Illumina HiSeq 2000"			"WBbt:0005062"	"linker cell"								"WBls:0000038"	"Individual C. elegans linker cell, L4, no. 4"	"larva"		"larva L4"					"perfect match"	"not documented"	"perfect match"	"not documented"	"NA"	"N2"	6239		"ANN"	"2018-02-27"	5		"SRS361821"	"scRNA-seq"		
"#SRX185681"	"SRP015688"	"Illumina HiSeq 2000"			"WBbt:0005062"	"linker cell"								"WBls:0000038"	"Individual C. elegans linker cell, L4, no. 5"	"larva"		"larva L4"					"perfect match"	"not documented"	"perfect match"	"not documented"	"NA"	"N2"	6239		"ANN"	"2018-02-27"	6		"SRS361822"	"scRNA-seq"		
"SRX1585626"	"SRP070155"	"Illumina HiSeq 2500"			"CL:0002321"	"embryonic cell"		"embryo dissection"						"Wbls:0000085"	"24-cell embryo Ce (C elegans)"	"embryonic cell"	"tossed"	"16-cell"							"other"	"not documented"	"NA"	"N2"	6239	"PMID:27554860 'We note that due to asynchronous cell divisions there is no true 16-cell stage, but we use this term for convenience (details in Experimental Methods)....As a result, whenever we refer to the 16-cell stage we are actually referring to the 24-cell stage collected in 16 samples; 8 samples are single (posterior) cells, and 8 samples are pairs of newborn sister (anterior) cells. This is illustrated by the end of the cell lineage tree in Figure 1A.'"	"ANN"	"2019-01-28"			"SRS1305330"	"scRNA-seq"	"SMARTer Ultra Low"	"Full-length"
"SRX1585625"	"SRP070155"	"Illumina HiSeq 2500"			"CL:0002321"	"embryonic cell"		"embryo dissection"						"Wbls:0000085"	"24-cell embryo Ce (C elegans)"	"embryonic cell"	"tossed"	"16-cell"							"other"	"not documented"	"NA"	"N2"	6239	"PMID:27554860 'We note that due to asynchronous cell divisions there is no true 16-cell stage, but we use this term for convenience (details in Experimental Methods)....As a result, whenever we refer to the 16-cell stage we are actually referring to the 24-cell stage collected in 16 samples; 8 samples are single (posterior) cells, and 8 samples are pairs of newborn sister (anterior) cells. This is illustrated by the end of the cell lineage tree in Figure 1A.'"	"ANN"	"2019-01-28"			"SRS1305331"	"scRNA-seq"	"SMARTer Ultra Low"	"Full-length"
