"experimentId"	"uberonId"	"uberonName"	"whitelist"	"cell_type"	"cell_type_harmonization"	"cellTypeId"	"cellTypeName"	"cellTypeAnnotationStatus"	"marker_gene_name_for_cell_type"	"markerGene_ID_UniProt_Ensembl"	"PMID"	"source"	"comment"	"annotatorId"	"lastModificationDate"	"tags"	"protocol"	"protocol_type"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"macrophage"	"Macrophage"	"CL:0000235"	"macrophage"	"other"	"VIM"	"P08670"	30315278	"Fig.1d"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"macrophage"	"Macrophage"	"CL:0000235"	"macrophage"	"other"	"CD14"	"P08571"	30315278	"Fig.1d"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"macrophage"	"Macrophage"	"CL:0000235"	"macrophage"	"other"	"CD163"	"Q86VB7"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"macrophage"	"Macrophage"	"CL:0000235"	"macrophage"	"other"	"S100A4"	"P26447"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"macrophage"	"Macrophage"	"CL:0000235"	"macrophage"	"other"	"TYROBP"	"O43914"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"macrophage"	"Macrophage"	"CL:0000235"	"macrophage"	"other"	"LYZ"	"P61626"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"macrophage"	"Macrophage"	"CL:0000235"	"macrophage"	"other"	"RGS1"	"Q08116"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"endothelial cell"	"endothelial cell"	"CL:0000115"	"endothelial cell"	"other"	"VIM"	"P08670"	30315278	"Fig.1d"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"endothelial cell"	"endothelial cell"	"CL:0000115"	"endothelial cell"	"other"	"VWF"	"P04275"	30315278	"Fig.1d"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"endothelial cell"	"endothelial cell"	"CL:0000115"	"endothelial cell"	"other"	"EPAS1"	"Q99814"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"endothelial cell"	"endothelial cell"	"CL:0000115"	"endothelial cell"	"other"	"TGFBR2"	"P37173"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"endothelial cell"	"endothelial cell"	"CL:0000115"	"endothelial cell"	"other"	"NOSTRIN"	"Q8IVI9"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"endothelial cell"	"endothelial cell"	"CL:0000115"	"endothelial cell"	"other"	"PALMD"	"Q9NP74"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"endothelial cell"	"endothelial cell"	"CL:0000115"	"endothelial cell"	"other"	"POSTN"	"Q15063"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"myoid cell"	"myoid cell"	"CL:0002481"	"peritubular myoid cell"	"perfect match"	"VIM"	"P08670"	30315278	"Fig.1d"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"myoid cell"	"myoid cell"	"CL:0002481"	"peritubular myoid cell"	"perfect match"	"ACTA2"	"P62736"	30315278	"Fig.1d"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"myoid cell"	"myoid cell"	"CL:0002481"	"peritubular myoid cell"	"perfect match"	"MYH11"	"P35749"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"myoid cell"	"myoid cell"	"CL:0002481"	"peritubular myoid cell"	"perfect match"	"TPM1"	"P09493"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"myoid cell"	"myoid cell"	"CL:0002481"	"peritubular myoid cell"	"perfect match"	"TPM2"	"P07951"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"myoid cell"	"myoid cell"	"CL:0002481"	"peritubular myoid cell"	"perfect match"	"TPM4"	"P67936"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"myoid cell"	"myoid cell"	"CL:0002481"	"peritubular myoid cell"	"perfect match"	"MYL9"	"P24844"	30315278	"Fig.S2a"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"Leydig cell"	"Leydig cell"	"CL:0000178"	"Leydig cell"	"perfect match"	"VIM"	"P08670"	30315278	"Fig.1d"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
"SRP135999"	"UBERON:0000473"	"testis"	"v2"	"Leydig cell"	"Leydig cell"	"CL:0000178"	"Leydig cell"	"perfect match"	"DLK1"	"P80370"	30315278	"Fig.1d"		"ANN"	"30.09.19"	"scRNA-seq"	"10X Genomics"	"3'end"
