Gene stable ID	Transcript stable ID	AFFY MG U74Av2 probe
ENSMUSG00000089083	ENSMUST00000158458	94206_at
ENSMUSG00000076033	ENSMUST00000102079	99872_s_at
ENSMUSG00000080683	ENSMUST00000117033	160727_at
ENSMUSG00000088895	ENSMUST00000158270	93089_at
ENSMUSG00000065514	ENSMUST00000083580	93356_at
ENSMUSG00000080478	ENSMUST00000116828	94022_at
ENSMUSG00000099006	ENSMUST00000184381	102630_s_at
ENSMUSG00000099006	ENSMUST00000184381	100327_at
ENSMUSG00000099248	ENSMUST00000183562	93873_s_at
ENSMUSG00000077685	ENSMUST00000104497	95109_at
ENSMUSG00000080465	ENSMUST00000116815	160400_at
ENSMUSG00000099063	ENSMUST00000183860	93939_at
ENSMUSG00000065006	ENSMUST00000083072	103770_at
ENSMUSG00000072837	ENSMUST00000102105	95161_at
ENSMUSG00000088217	ENSMUST00000157592	98606_s_at
ENSMUSG00000076038	ENSMUST00000102084	99872_s_at
ENSMUSG00000065272	ENSMUST00000083338	95109_at
ENSMUSG00000077220	ENSMUST00000104032	98530_at
ENSMUSG00000077220	ENSMUST00000104032	98531_g_at
ENSMUSG00000106595	ENSMUST00000199263	101654_at
ENSMUSG00000098327	ENSMUST00000184840	95023_at
ENSMUSG00000065289	ENSMUST00000083355	95109_at
ENSMUSG00000064925	ENSMUST00000082991	97750_at
ENSMUSG00000093828	ENSMUST00000107987	100972_s_at
ENSMUSG00000093828	ENSMUST00000107987	100973_i_at
ENSMUSG00000094179	ENSMUST00000178497	104089_at
ENSMUSG00000076012	ENSMUST00000102058	95618_at
ENSMUSG00000076129	ENSMUST00000102175	101741_at
ENSMUSG00000076129	ENSMUST00000102175	101558_s_at
ENSMUSG00000094516	ENSMUST00000177901	102814_f_at
ENSMUSG00000094516	ENSMUST00000177901	92812_f_at
ENSMUSG00000077185	ENSMUST00000103997	96290_f_at
ENSMUSG00000095763	ENSMUST00000178318	103865_at
ENSMUSG00000093816	ENSMUST00000177557	99872_s_at
ENSMUSG00000092680	ENSMUST00000174939	100732_at
ENSMUSG00000091105	ENSMUST00000164169	97252_at
ENSMUSG00000074412	ENSMUST00000098864	96358_at
ENSMUSG00000062783	ENSMUST00000078827	101846_r_at
ENSMUSG00000062783	ENSMUST00000078827	101845_s_at
ENSMUSG00000105232	ENSMUST00000198845	96630_at
ENSMUSG00000092650	ENSMUST00000174909	96573_at
ENSMUSG00000062461	ENSMUST00000080866	101680_at
ENSMUSG00000062461	ENSMUST00000080866	101573_f_at
ENSMUSG00000094820	ENSMUST00000180129	92244_at
ENSMUSG00000095585	ENSMUST00000179075	96950_at
ENSMUSG00000065782	ENSMUST00000083848	97838_at
ENSMUSG00000093314	ENSMUST00000175573	104195_at
ENSMUSG00000094474	ENSMUST00000177582	103865_at
ENSMUSG00000098996	ENSMUST00000183491	94748_g_at
ENSMUSG00000098996	ENSMUST00000183491	94747_at
ENSMUSG00000077886	ENSMUST00000104694	95954_at
ENSMUSG00000076275	ENSMUST00000102320	93028_at
ENSMUSG00000035521	ENSMUST00000115154	98621_at
ENSMUSG00000094054	ENSMUST00000179487	101846_r_at
ENSMUSG00000094054	ENSMUST00000179487	93778_at
ENSMUSG00000094054	ENSMUST00000179487	101845_s_at
