Gene stable ID	Transcript stable ID	AFFY RAE230A probe
ENSRNOG00000043866	ENSRNOT00000069133	1375651_at
ENSRNOG00000032112	ENSRNOT00000049156	1375651_at
ENSRNOG00000030644	ENSRNOT00000047550	1375651_at
ENSRNOG00000030644	ENSRNOT00000047550	1375340_at
ENSRNOG00000029301	ENSRNOT00000051008	1375340_at
ENSRNOG00000033545	ENSRNOT00000049396	1387617_at
ENSRNOG00000032274	ENSRNOT00000042644	1375340_at
ENSRNOG00000031033	ENSRNOT00000040993	1389956_a_at
ENSRNOG00000031033	ENSRNOT00000040993	1375340_at
ENSRNOG00000029677	ENSRNOT00000046073	1389956_a_at
ENSRNOG00000033932	ENSRNOT00000044320	1387617_at
ENSRNOG00000033932	ENSRNOT00000044320	1369410_at
ENSRNOG00000032609	ENSRNOT00000048525	1387617_at
ENSRNOG00000032609	ENSRNOT00000048525	1369410_at
ENSRNOG00000031333	ENSRNOT00000045310	1369410_at
ENSRNOG00000029954	ENSRNOT00000051860	1369410_at
ENSRNOG00000034234	ENSRNOT00000050156	1375107_at
ENSRNOG00000034234	ENSRNOT00000050156	1389956_a_at
ENSRNOG00000031685	ENSRNOT00000051129	1375107_at
ENSRNOG00000030371	ENSRNOT00000043693	1375107_at
ENSRNOG00000029070	ENSRNOT00000041978	1375108_at
ENSRNOG00000033299	ENSRNOT00000046201	1375108_at
ENSRNOG00000031979	ENSRNOT00000046108	1375108_at
ENSRNOG00000030700	ENSRNOT00000049683	1375108_at
ENSRNOG00000029389	ENSRNOT00000048050	1375108_at
ENSRNOG00000033615	ENSRNOT00000041241	1375108_at
ENSRNOG00000029971	ENSRNOT00000048767	1388159_at
ENSRNOG00000031766	ENSRNOT00000042098	1377719_a_at
ENSRNOG00000031766	ENSRNOT00000042098	1383161_a_at
ENSRNOG00000031766	ENSRNOT00000042098	1388159_at
ENSRNOG00000031766	ENSRNOT00000042098	1377720_x_at
ENSRNOG00000031766	ENSRNOT00000042098	1383162_at
ENSRNOG00000030339	ENSRNOT00000040611	1377719_a_at
ENSRNOG00000030339	ENSRNOT00000040611	1383161_a_at
ENSRNOG00000030339	ENSRNOT00000040611	1377720_x_at
ENSRNOG00000030339	ENSRNOT00000040611	1383162_at
ENSRNOG00000018791	ENSRNOT00000025386	1372882_at
ENSRNOG00000018791	ENSRNOT00000076156	1372882_at
ENSRNOG00000018791	ENSRNOT00000076487	1372882_at
ENSRNOG00000042213	ENSRNOT00000076827	1375446_at
ENSRNOG00000042213	ENSRNOT00000075888	1375446_at
ENSRNOG00000042213	ENSRNOT00000076796	1375446_at
ENSRNOG00000042213	ENSRNOT00000039687	1375446_at
ENSRNOG00000018876	ENSRNOT00000061669	1389961_at
ENSRNOG00000018876	ENSRNOT00000061669	1371706_at
ENSRNOG00000018876	ENSRNOT00000088578	1389961_at
ENSRNOG00000018876	ENSRNOT00000088578	1371706_at
ENSRNOG00000018876	ENSRNOT00000089705	1371706_at
ENSRNOG00000000479	ENSRNOT00000065349	1376185_at
ENSRNOG00000000479	ENSRNOT00000092584	1376185_at
ENSRNOG00000038085	ENSRNOT00000017197	1389202_at
ENSRNOG00000038085	ENSRNOT00000079495	1389202_at
ENSRNOG00000038085	ENSRNOT00000079912	1390093_at
ENSRNOG00000042111	ENSRNOT00000061861	1370943_at
ENSRNOG00000047369	ENSRNOT00000089450	1369531_at
ENSRNOG00000047369	ENSRNOT00000085330	1369531_at
ENSRNOG00000047369	ENSRNOT00000061864	1369531_at
ENSRNOG00000031833	ENSRNOT00000050420	1369531_at
ENSRNOG00000031833	ENSRNOT00000082579	1369531_at
ENSRNOG00000006894	ENSRNOT00000064660	1375357_at
ENSRNOG00000006894	ENSRNOT00000093649	1375357_at
ENSRNOG00000001795	ENSRNOT00000076955	1398358_a_at
ENSRNOG00000001795	ENSRNOT00000076955	1370802_at
ENSRNOG00000045838	ENSRNOT00000087083	1387096_at
ENSRNOG00000045838	ENSRNOT00000087083	1387996_a_at
ENSRNOG00000001795	ENSRNOT00000049974	1398358_a_at
ENSRNOG00000001795	ENSRNOT00000049974	1370802_at
ENSRNOG00000045838	ENSRNOT00000081133	1387996_a_at
ENSRNOG00000045838	ENSRNOT00000077623	1387996_a_at
ENSRNOG00000045838	ENSRNOT00000081496	1387996_a_at
ENSRNOG00000045838	ENSRNOT00000021278	1387996_a_at
ENSRNOG00000007532	ENSRNOT00000076637	1372971_at
ENSRNOG00000007532	ENSRNOT00000010115	1372971_at
ENSRNOG00000000780	ENSRNOT00000001013	1372477_at
ENSRNOG00000000780	ENSRNOT00000078362	1372477_at
ENSRNOG00000000780	ENSRNOT00000088757	1372477_at
ENSRNOG00000000781	ENSRNOT00000001014	1368662_at
ENSRNOG00000000781	ENSRNOT00000084548	1368662_at
ENSRNOG00000000781	ENSRNOT00000080122	1368662_at
ENSRNOG00000049537	ENSRNOT00000076888	1377675_at
ENSRNOG00000040215	ENSRNOT00000081413	1369531_at
ENSRNOG00000040215	ENSRNOT00000061896	1369531_at
ENSRNOG00000017536	ENSRNOT00000092531	1399074_at
ENSRNOG00000017536	ENSRNOT00000092305	1399074_at
ENSRNOG00000017536	ENSRNOT00000090674	1399074_at
ENSRNOG00000017536	ENSRNOT00000023736	1399074_at
ENSRNOG00000050885	ENSRNOT00000040879	1369531_at
ENSRNOG00000017285	ENSRNOT00000067904	1372912_at
ENSRNOG00000050885	ENSRNOT00000092159	1369531_at
ENSRNOG00000021815	ENSRNOT00000076739	1392807_at
ENSRNOG00000021815	ENSRNOT00000076739	1374010_at
ENSRNOG00000021815	ENSRNOT00000055982	1392807_at
ENSRNOG00000021815	ENSRNOT00000084076	1392807_at
ENSRNOG00000021815	ENSRNOT00000084076	1374010_at
ENSRNOG00000013557	ENSRNOT00000018293	1374196_at
ENSRNOG00000013557	ENSRNOT00000018293	1371494_at
ENSRNOG00000016539	ENSRNOT00000022221	1376705_a_at
ENSRNOG00000000480	ENSRNOT00000092247	1389370_at
ENSRNOG00000021468	ENSRNOT00000031714	1371243_at
ENSRNOG00000021468	ENSRNOT00000031714	1369391_at
ENSRNOG00000016539	ENSRNOT00000076436	1376705_a_at
ENSRNOG00000000480	ENSRNOT00000059548	1389370_at
ENSRNOG00000021468	ENSRNOT00000056996	1369391_at
ENSRNOG00000016539	ENSRNOT00000077031	1376705_a_at
ENSRNOG00000016539	ENSRNOT00000021946	1376705_a_at
ENSRNOG00000016539	ENSRNOT00000021946	1370416_at
ENSRNOG00000000480	ENSRNOT00000092668	1389370_at
ENSRNOG00000016410	ENSRNOT00000022134	1371620_at
ENSRNOG00000000480	ENSRNOT00000092650	1389370_at
ENSRNOG00000016410	ENSRNOT00000076622	1371620_at
ENSRNOG00000000480	ENSRNOT00000092667	1389370_at
ENSRNOG00000016410	ENSRNOT00000091320	1371620_at
ENSRNOG00000009766	ENSRNOT00000078103	1374644_at
ENSRNOG00000000480	ENSRNOT00000092254	1389370_at
ENSRNOG00000000480	ENSRNOT00000091364	1389370_at
ENSRNOG00000018052	ENSRNOT00000024418	1389368_at
ENSRNOG00000001794	ENSRNOT00000076114	1388006_at
ENSRNOG00000018052	ENSRNOT00000082931	1389368_at
ENSRNOG00000001794	ENSRNOT00000002444	1388006_at
ENSRNOG00000002548	ENSRNOT00000003452	1379331_at
ENSRNOG00000011081	ENSRNOT00000093401	1371143_at
ENSRNOG00000011081	ENSRNOT00000014739	1371143_at
ENSRNOG00000040195	ENSRNOT00000047615	1370943_at
ENSRNOG00000020339	ENSRNOT00000076452	1390639_at
