Gene stable ID	Transcript stable ID	AFFY HG U95D probe
ENSG00000274882	ENST00000624011	76451_at
ENSG00000274882	ENST00000623709	76451_at
ENSG00000262826	ENST00000576030	73597_at
ENSG00000262826	ENST00000575952	73597_at
ENSG00000281723	ENST00000629827	88056_at
ENSG00000275051	ENST00000613226	76330_r_at
ENSG00000275051	ENST00000632888	76330_r_at
ENSG00000275051	ENST00000634077	76330_r_at
ENSG00000275051	ENST00000633272	76330_r_at
ENSG00000275051	ENST00000633252	76330_r_at
ENSG00000275051	ENST00000634115	76330_r_at
ENSG00000275051	ENST00000633042	76330_r_at
ENSG00000280839	ENST00000631298	89358_at
ENSG00000280839	ENST00000628335	89358_at
ENSG00000280839	ENST00000631219	89358_at
ENSG00000280839	ENST00000627554	89358_at
ENSG00000262102	ENST00000572659	79456_at
ENSG00000281942	ENST00000633007	72542_at
ENSG00000281949	ENST00000633492	83883_at
ENSG00000280971	ENST00000628901	85516_at
ENSG00000282753	ENST00000631713	77553_at
ENSG00000275326	ENST00000620000	82538_at
ENSG00000275326	ENST00000614172	82538_at
ENSG00000281513	ENST00000631207	85516_at
ENSG00000281690	ENST00000627759	81164_at
ENSG00000281690	ENST00000630537	81164_at
ENSG00000281690	ENST00000630002	81164_at
ENSG00000278759	ENST00000633825	72172_at
ENSG00000281537	ENST00000628019	70664_at
ENSG00000262795	ENST00000573079	75317_s_at
ENSG00000262795	ENST00000571550	75317_s_at
ENSG00000262795	ENST00000576463	75317_s_at
ENSG00000262795	ENST00000573887	75317_s_at
ENSG00000276230	ENST00000621211	90021_s_at
ENSG00000276230	ENST00000632262	90021_s_at
ENSG00000276230	ENST00000619599	90021_s_at
ENSG00000276230	ENST00000632954	90021_s_at
ENSG00000276230	ENST00000633378	90021_s_at
ENSG00000276230	ENST00000631544	90021_s_at
ENSG00000276230	ENST00000631652	90021_s_at
ENSG00000276230	ENST00000632527	90021_s_at
ENSG00000276230	ENST00000633287	90021_s_at
ENSG00000276230	ENST00000612988	90021_s_at
ENSG00000276230	ENST00000617351	90021_s_at
ENSG00000276230	ENST00000618184	90021_s_at
ENSG00000273772	ENST00000628000	79152_at
ENSG00000263160	ENST00000573757	75102_at
ENSG00000263160	ENST00000571778	75102_at
ENSG00000263160	ENST00000570948	75102_at
ENSG00000275987	ENST00000618083	75749_at
ENSG00000263140	ENST00000575401	76427_i_at
ENSG00000263140	ENST00000575401	90342_at
ENSG00000263140	ENST00000575401	76429_r_at
ENSG00000263140	ENST00000571181	76427_i_at
ENSG00000263140	ENST00000571181	90342_at
ENSG00000263140	ENST00000571181	76429_r_at
ENSG00000263140	ENST00000575623	76427_i_at
ENSG00000263140	ENST00000575623	90342_at
ENSG00000263140	ENST00000575623	76429_r_at
ENSG00000263140	ENST00000573397	76427_i_at
ENSG00000263140	ENST00000573397	90342_at
ENSG00000263140	ENST00000573397	76429_r_at
ENSG00000263140	ENST00000571434	76427_i_at
ENSG00000263140	ENST00000571434	90342_at
ENSG00000263140	ENST00000571434	76429_r_at
ENSG00000280072	ENST00000625183	68490_at
ENSG00000262938	ENST00000576372	71225_at
ENSG00000262938	ENST00000576061	71225_at
ENSG00000262938	ENST00000573131	71225_at
ENSG00000281658	ENST00000630608	90413_at
ENSG00000282176	ENST00000632787	67255_at
ENSG00000275272	ENST00000615500	83578_at
ENSG00000275272	ENST00000615500	91604_at
ENSG00000275272	ENST00000613637	91604_at
ENSG00000275272	ENST00000627168	91604_at
ENSG00000275338	ENST00000611004	75038_g_at
ENSG00000275338	ENST00000633920	75038_g_at
ENSG00000275338	ENST00000633920	75036_at
ENSG00000275338	ENST00000631977	75038_g_at
ENSG00000275338	ENST00000633099	75038_g_at
ENSG00000275338	ENST00000632539	75038_g_at
ENSG00000275338	ENST00000633334	75038_g_at
ENSG00000275338	ENST00000633334	75036_at
ENSG00000275338	ENST00000633721	75038_g_at
ENSG00000275338	ENST00000633721	75036_at
ENSG00000275338	ENST00000610934	75038_g_at
ENSG00000276910	ENST00000628423	71658_at
ENSG00000276910	ENST00000425596	71658_at
ENSG00000276910	ENST00000612581	71658_at
ENSG00000276910	ENST00000630101	71658_at
ENSG00000274058	ENST00000621758	69149_at
ENSG00000281761	ENST00000629839	90744_at
ENSG00000281216	ENST00000629409	72863_at
ENSG00000281216	ENST00000629409	79425_at
ENSG00000281734	ENST00000628819	67534_at
ENSG00000276561	ENST00000631879	74528_s_at
ENSG00000276561	ENST00000633943	74528_s_at
ENSG00000276561	ENST00000621391	74528_s_at
ENSG00000276561	ENST00000632827	74528_s_at
ENSG00000276561	ENST00000632853	74528_s_at
ENSG00000276561	ENST00000632816	74528_s_at
ENSG00000276561	ENST00000633869	74528_s_at
ENSG00000276561	ENST00000631944	74528_s_at
ENSG00000276561	ENST00000612534	74528_s_at
ENSG00000276561	ENST00000617397	74528_s_at
ENSG00000274703	ENST00000610985	83455_r_at
ENSG00000274703	ENST00000614003	83455_r_at
ENSG00000274703	ENST00000616232	83455_r_at
ENSG00000274703	ENST00000620283	83455_r_at
ENSG00000274703	ENST00000614057	83455_r_at
ENSG00000281650	ENST00000627823	92162_r_at
ENSG00000273511	ENST00000612406	83455_r_at
ENSG00000273511	ENST00000617622	83455_r_at
ENSG00000273511	ENST00000619631	83455_r_at
ENSG00000273511	ENST00000619170	83455_r_at
ENSG00000273511	ENST00000612543	83455_r_at
ENSG00000274126	ENST00000630349	81029_at
ENSG00000274126	ENST00000619279	81029_at
ENSG00000274126	ENST00000618752	81029_at
ENSG00000235589	ENST00000436574	91278_at
ENSG00000235589	ENST00000490260	91278_at
ENSG00000275644	ENST00000612953	83455_r_at
ENSG00000275644	ENST00000620647	83455_r_at
ENSG00000275644	ENST00000611719	83455_r_at
ENSG00000275644	ENST00000621328	83455_r_at
ENSG00000275644	ENST00000622275	83455_r_at
ENSG00000277088	ENST00000614380	83455_r_at
ENSG00000277088	ENST00000612289	83455_r_at
ENSG00000277088	ENST00000610915	83455_r_at
ENSG00000277088	ENST00000622288	83455_r_at
ENSG00000277088	ENST00000618058	83455_r_at
ENSG00000280677	ENST00000631191	76301_at
ENSG00000237051	ENST00000418225	82572_at
ENSG00000237051	ENST00000458612	82572_at
ENSG00000237051	ENST00000440316	82572_at
ENSG00000237051	ENST00000496339	82572_at
ENSG00000237051	ENST00000475876	82572_at
ENSG00000237051	ENST00000448754	82572_at
ENSG00000237051	ENST00000464091	82572_at
ENSG00000275571	ENST00000630731	70514_at
ENSG00000169260	ENST00000474196	91278_at
ENSG00000169260	ENST00000383655	91278_at
ENSG00000274540	ENST00000610320	90350_at
ENSG00000233831	ENST00000458265	91278_at
ENSG00000233831	ENST00000484052	91278_at
ENSG00000275736	ENST00000621284	83455_r_at
ENSG00000275736	ENST00000621290	83455_r_at
ENSG00000275736	ENST00000616227	83455_r_at
ENSG00000275736	ENST00000611535	83455_r_at
ENSG00000275736	ENST00000619287	83455_r_at
ENSG00000275736	ENST00000613426	83455_r_at
ENSG00000275736	ENST00000621788	83455_r_at
ENSG00000275736	ENST00000611789	83455_r_at
ENSG00000275736	ENST00000615074	83455_r_at
ENSG00000275736	ENST00000613814	83455_r_at
ENSG00000206511	ENST00000383638	82572_at
ENSG00000206511	ENST00000383636	82572_at
ENSG00000206511	ENST00000383637	82572_at
ENSG00000206511	ENST00000466873	82572_at
ENSG00000206511	ENST00000476629	82572_at
ENSG00000206511	ENST00000495153	82572_at
ENSG00000206511	ENST00000383639	82572_at
ENSG00000235178	ENST00000429714	91278_at
ENSG00000235178	ENST00000466714	91278_at
ENSG00000281317	ENST00000630153	70672_at
ENSG00000280542	ENST00000629658	79781_at
ENSG00000280542	ENST00000625414	79781_at
ENSG00000206466	ENST00000383542	82572_at
ENSG00000206466	ENST00000383537	82572_at
ENSG00000206466	ENST00000383541	82572_at
ENSG00000206466	ENST00000495291	82572_at
ENSG00000206466	ENST00000482350	82572_at
ENSG00000206466	ENST00000383543	82572_at
ENSG00000206466	ENST00000493602	82572_at
ENSG00000278461	ENST00000613100	76436_at
ENSG00000278461	ENST00000620855	76436_at
ENSG00000278461	ENST00000618428	76436_at
ENSG00000278378	ENST00000617993	83455_r_at
ENSG00000278378	ENST00000618710	83455_r_at
ENSG00000278378	ENST00000621506	83455_r_at
ENSG00000278378	ENST00000617210	83455_r_at
ENSG00000278378	ENST00000611450	83455_r_at
ENSG00000223687	ENST00000452316	91278_at
ENSG00000223687	ENST00000487312	91278_at
ENSG00000225351	ENST00000426120	91278_at
ENSG00000225351	ENST00000481554	91278_at
ENSG00000237112	ENST00000425097	82572_at
ENSG00000237112	ENST00000446436	82572_at
ENSG00000237112	ENST00000443440	82572_at
ENSG00000237112	ENST00000466282	82572_at
ENSG00000237112	ENST00000475099	82572_at
ENSG00000237112	ENST00000417759	82572_at
ENSG00000237112	ENST00000471103	82572_at
ENSG00000232569	ENST00000439457	82572_at
ENSG00000232569	ENST00000452300	82572_at
ENSG00000232569	ENST00000419674	82572_at
ENSG00000232569	ENST00000481198	82572_at
ENSG00000232569	ENST00000477417	82572_at
ENSG00000232569	ENST00000449163	82572_at
ENSG00000232569	ENST00000489750	82572_at
ENSG00000232569	ENST00000546913	82572_at
ENSG00000232632	ENST00000438094	82572_at
ENSG00000232632	ENST00000486623	82572_at
ENSG00000232632	ENST00000434660	82572_at
ENSG00000232632	ENST00000423604	82572_at
ENSG00000232632	ENST00000414980	82572_at
ENSG00000232632	ENST00000470098	82572_at
ENSG00000232632	ENST00000487021	82572_at
ENSG00000234669	ENST00000446005	74546_s_at
ENSG00000234669	ENST00000553137	74546_s_at
ENSG00000234669	ENST00000547911	74546_s_at
ENSG00000223858	ENST00000416974	74546_s_at
ENSG00000223858	ENST00000552898	74546_s_at
ENSG00000223858	ENST00000552809	74546_s_at
ENSG00000232099	ENST00000448114	74546_s_at
ENSG00000232099	ENST00000548337	74546_s_at
ENSG00000232099	ENST00000548001	74546_s_at
ENSG00000206510	ENST00000383628	74546_s_at
ENSG00000206510	ENST00000552987	74546_s_at
