Gene stable ID	Transcript stable ID	AFFY MOE430A probe
ENSMUSG00000064367	ENSMUST00000082418	1426088_at
ENSMUSG00000065208	ENSMUST00000083274	1450934_at
ENSMUSG00000096305	ENSMUST00000177661	1427598_at
ENSMUSG00000094150	ENSMUST00000178321	1427598_at
ENSMUSG00000105118	ENSMUST00000199618	1416661_at
ENSMUSG00000076387	ENSMUST00000102432	1452170_at
ENSMUSG00000089083	ENSMUST00000158458	1416522_a_at
ENSMUSG00000076033	ENSMUST00000102079	1422302_s_at
ENSMUSG00000076033	ENSMUST00000102079	1418364_a_at
ENSMUSG00000064621	ENSMUST00000082687	1428055_at
ENSMUSG00000080683	ENSMUST00000117033	1460672_at
ENSMUSG00000088895	ENSMUST00000158270	1450934_at
ENSMUSG00000065514	ENSMUST00000083580	1416030_a_at
ENSMUSG00000065514	ENSMUST00000083580	1416031_s_at
ENSMUSG00000065514	ENSMUST00000083580	1439269_x_at
ENSMUSG00000065514	ENSMUST00000083580	1438320_s_at
ENSMUSG00000080478	ENSMUST00000116828	1423803_s_at
ENSMUSG00000080478	ENSMUST00000116828	1452409_at
ENSMUSG00000099006	ENSMUST00000184381	1420353_at
ENSMUSG00000095479	ENSMUST00000178782	1427598_at
ENSMUSG00000099248	ENSMUST00000183562	1452400_a_at
ENSMUSG00000080465	ENSMUST00000116815	1428090_at
ENSMUSG00000084549	ENSMUST00000122600	1427580_a_at
ENSMUSG00000094837	ENSMUST00000180126	1427598_at
ENSMUSG00000099063	ENSMUST00000183860	1450183_a_at
ENSMUSG00000070175	ENSMUST00000093665	1453752_at
ENSMUSG00000065006	ENSMUST00000083072	1435572_at
ENSMUSG00000077604	ENSMUST00000104416	1436677_at
ENSMUSG00000104771	ENSMUST00000199558	1452540_a_at
ENSMUSG00000064844	ENSMUST00000082910	1453752_at
ENSMUSG00000064844	ENSMUST00000082910	1435791_x_at
ENSMUSG00000064844	ENSMUST00000082910	1436822_x_at
ENSMUSG00000093155	ENSMUST00000175414	1454007_a_at
ENSMUSG00000084708	ENSMUST00000122759	1430980_a_at
ENSMUSG00000072837	ENSMUST00000102105	1451075_s_at
ENSMUSG00000095060	ENSMUST00000179963	1427598_at
ENSMUSG00000065322	ENSMUST00000083388	1429077_x_at
ENSMUSG00000065322	ENSMUST00000083388	1455767_x_at
ENSMUSG00000105580	ENSMUST00000198541	1452540_a_at
ENSMUSG00000092915	ENSMUST00000175174	1418185_at
ENSMUSG00000088217	ENSMUST00000157592	1425106_a_at
ENSMUSG00000076038	ENSMUST00000102084	1422302_s_at
ENSMUSG00000076236	ENSMUST00000102281	1460543_x_at
ENSMUSG00000076236	ENSMUST00000102281	1416217_a_at
ENSMUSG00000065272	ENSMUST00000083338	1455035_s_at
ENSMUSG00000065272	ENSMUST00000083338	1426533_at
ENSMUSG00000077220	ENSMUST00000104032	1455904_at
ENSMUSG00000077220	ENSMUST00000104032	1436222_at
ENSMUSG00000094391	ENSMUST00000179532	1424537_at
ENSMUSG00000098543	ENSMUST00000183800	1428083_at
ENSMUSG00000099152	ENSMUST00000183777	1438612_a_at
ENSMUSG00000099152	ENSMUST00000183777	1415805_at
ENSMUSG00000098327	ENSMUST00000184840	1426940_at
ENSMUSG00000065289	ENSMUST00000083355	1455035_s_at
ENSMUSG00000065289	ENSMUST00000083355	1426533_at
ENSMUSG00000064925	ENSMUST00000082991	1448245_at
ENSMUSG00000064925	ENSMUST00000082991	1416196_at
ENSMUSG00000093828	ENSMUST00000177905	1419188_s_at
ENSMUSG00000093828	ENSMUST00000107987	1434962_x_at
ENSMUSG00000093828	ENSMUST00000107987	1419188_s_at
ENSMUSG00000093828	ENSMUST00000107987	1430375_a_at
ENSMUSG00000093971	ENSMUST00000177982	1427598_at
ENSMUSG00000098562	ENSMUST00000184090	1424874_a_at
ENSMUSG00000094179	ENSMUST00000178497	1428529_at
ENSMUSG00000064542	ENSMUST00000082608	1455319_x_at
ENSMUSG00000064542	ENSMUST00000082608	1437610_x_at
ENSMUSG00000076012	ENSMUST00000102058	1427405_s_at
ENSMUSG00000064721	ENSMUST00000082787	1433675_at
ENSMUSG00000079222	ENSMUST00000111423	1435660_at
ENSMUSG00000098550	ENSMUST00000184697	1455245_x_at
