Gene stable ID	Transcript stable ID	AFFY Zebrafish probe
ENSDARG00000063344	ENSDART00000131829	Dr.891.1.S1_at
ENSDARG00000063344	ENSDART00000144883	Dr.891.1.S1_at
ENSDARG00000036008	ENSDART00000137179	Dr.21734.1.A1_at
ENSDARG00000069301	ENSDART00000100744	Dr.3515.1.A1_at
ENSDARG00000104901	ENSDART00000167980	Dr.3685.1.S1_at
ENSDARG00000030463	ENSDART00000144327	Dr.23293.1.A1_at
ENSDARG00000030463	ENSDART00000178732	Dr.23293.1.A1_at
ENSDARG00000070447	ENSDART00000103397	Dr.14897.1.A1_at
ENSDARG00000036109	ENSDART00000052422	Dr.14691.1.A1_at
ENSDARG00000029612	ENSDART00000047912	Dr.26531.1.A1_at
ENSDARG00000029612	ENSDART00000047912	Dr.4814.1.A1_at
ENSDARG00000068484	ENSDART00000173122	Dr.6594.1.A1_at
ENSDARG00000068484	ENSDART00000160129	Dr.6594.1.A1_at
ENSDARG00000057635	ENSDART00000080347	Dr.11572.1.A1_at
ENSDARG00000057635	ENSDART00000123238	Dr.11572.1.A1_at
ENSDARG00000053517	ENSDART00000156885	Dr.4927.1.A1_at
ENSDARG00000053517	ENSDART00000157087	Dr.4927.1.A1_at
ENSDARG00000044573	ENSDART00000155746	Dr.26344.3.S1_a_at
ENSDARG00000044573	ENSDART00000155746	Dr.26344.3.S1_at
ENSDARG00000044573	ENSDART00000155746	Dr.4697.2.A1_at
ENSDARG00000044573	ENSDART00000154158	Dr.26344.3.S1_a_at
ENSDARG00000044573	ENSDART00000154158	Dr.26344.2.S1_a_at
ENSDARG00000044573	ENSDART00000180571	Dr.26344.3.S1_a_at
ENSDARG00000044573	ENSDART00000180571	Dr.26344.3.S1_at
ENSDARG00000044573	ENSDART00000180571	Dr.4697.2.A1_at
ENSDARG00000044573	ENSDART00000189685	Dr.26344.3.S1_a_at
ENSDARG00000023058	ENSDART00000030773	Dr.14771.1.S1_at
ENSDARG00000023058	ENSDART00000030773	Dr.14771.2.S1_x_at
ENSDARG00000058893	ENSDART00000148548	Dr.13708.1.A1_at
ENSDARG00000058893	ENSDART00000171123	Dr.13708.1.A1_at
ENSDARG00000039490	ENSDART00000132028	Dr.12713.1.S1_at
ENSDARG00000039490	ENSDART00000057697	Dr.12713.1.S1_at
ENSDARG00000020986	ENSDART00000164426	Dr.16543.1.S1_at
ENSDARG00000020986	ENSDART00000017850	Dr.16543.1.S1_at
ENSDARG00000003175	ENSDART00000146315	Dr.14973.2.S1_at
ENSDARG00000003175	ENSDART00000146315	Dr.14973.1.S1_at
ENSDARG00000003175	ENSDART00000021121	Dr.14973.2.S1_at
ENSDARG00000033099	ENSDART00000041577	Dr.18327.1.S1_at
ENSDARG00000033099	ENSDART00000166519	Dr.18327.1.S1_at
ENSDARG00000024184	ENSDART00000007053	Dr.76.2.A1_a_at
ENSDARG00000090804	ENSDART00000186786	Dr.22083.1.A1_at
ENSDARG00000016977	ENSDART00000021092	Dr.11554.1.A1_at
ENSDARG00000058538	ENSDART00000101204	Dr.25316.1.S1_at
ENSDARG00000054533	ENSDART00000140081	Dr.23162.1.S1_at
ENSDARG00000054533	ENSDART00000138182	Dr.23162.1.S1_at
ENSDARG00000037652	ENSDART00000054843	Dr.24980.1.S1_at
ENSDARG00000037652	ENSDART00000138630	Dr.24980.1.S1_at
ENSDARG00000095680	ENSDART00000141352	Dr.19465.1.A1_at
ENSDARG00000077950	ENSDART00000139813	Dr.9489.1.S1_a_at
ENSDARG00000077950	ENSDART00000111699	Dr.9489.1.S1_a_at
ENSDARG00000044251	ENSDART00000064968	Dr.13285.1.A1_at
ENSDARG00000096398	ENSDART00000151672	Dr.11236.1.A1_at
ENSDARG00000016968	ENSDART00000150812	Dr.4892.1.A1_at
ENSDARG00000016968	ENSDART00000150812	Dr.16172.1.A1_s_at
ENSDARG00000016968	ENSDART00000128743	Dr.4892.1.A1_at
ENSDARG00000016968	ENSDART00000128743	Dr.16172.1.A1_s_at
ENSDARG00000090063	ENSDART00000121859	Dr.13145.1.A1_at
ENSDARG00000033789	ENSDART00000142069	Dr.13424.1.S1_at
ENSDARG00000033789	ENSDART00000043933	Dr.13424.1.S1_at
ENSDARG00000077860	ENSDART00000169072	Dr.7647.1.S1_at
ENSDARG00000077860	ENSDART00000147947	Dr.7647.1.S1_at
ENSDARG00000101490	ENSDART00000163138	Dr.6204.1.A1_at
ENSDARG00000101490	ENSDART00000170007	Dr.6204.1.A1_at
ENSDARG00000041340	ENSDART00000060594	Dr.488.1.A1_at
ENSDARG00000087757	ENSDART00000154409	Dr.14535.1.S1_at
ENSDARG00000045641	ENSDART00000155698	Dr.6883.1.S1_at
ENSDARG00000103025	ENSDART00000167613	Dr.2051.1.S1_at
ENSDARG00000052520	ENSDART00000138301	Dr.14540.1.A1_at
ENSDARG00000074253	ENSDART00000111052	Dr.4155.1.A1_at
ENSDARG00000078768	ENSDART00000109990	Dr.13048.1.A1_at
ENSDARG00000068711	ENSDART00000099479	Dr.14717.1.A1_at
ENSDARG00000090854	ENSDART00000140321	Dr.15509.2.A1_at
ENSDARG00000090854	ENSDART00000129676	Dr.15509.2.A1_at
