Gene stable ID	Transcript stable ID	AFFY MG U74Bv2 probe
ENSMUSG00000064370	ENSMUST00000082421	112748_at
ENSMUSG00000064367	ENSMUST00000082418	112748_at
ENSMUSG00000080683	ENSMUST00000117033	117145_at
ENSMUSG00000065608	ENSMUST00000083674	117065_at
ENSMUSG00000077704	ENSMUST00000104516	109300_at
ENSMUSG00000065564	ENSMUST00000083630	117065_at
ENSMUSG00000106436	ENSMUST00000199525	116907_at
ENSMUSG00000077515	ENSMUST00000104327	111829_at
ENSMUSG00000084607	ENSMUST00000122658	111153_at
ENSMUSG00000077604	ENSMUST00000104416	113654_at
ENSMUSG00000088264	ENSMUST00000157639	115520_at
ENSMUSG00000092949	ENSMUST00000175208	108860_at
ENSMUSG00000092687	ENSMUST00000174946	108339_at
ENSMUSG00000092687	ENSMUST00000174946	109103_f_at
ENSMUSG00000064525	ENSMUST00000082591	105846_at
ENSMUSG00000064437	ENSMUST00000082503	113649_at
ENSMUSG00000095278	ENSMUST00000175060	108875_at
ENSMUSG00000064899	ENSMUST00000082965	162841_i_at
ENSMUSG00000065430	ENSMUST00000083496	107505_at
ENSMUSG00000076309	ENSMUST00000102354	112278_at
ENSMUSG00000094293	ENSMUST00000178882	163600_at
ENSMUSG00000096237	ENSMUST00000177565	163600_at
ENSMUSG00000093172	ENSMUST00000175431	105599_at
ENSMUSG00000065516	ENSMUST00000083582	115219_at
ENSMUSG00000073554	ENSMUST00000051629	107889_at
ENSMUSG00000088529	ENSMUST00000157904	111515_at
ENSMUSG00000098670	ENSMUST00000184536	105166_at
ENSMUSG00000084751	ENSMUST00000122802	115461_at
ENSMUSG00000104740	ENSMUST00000196236	111515_at
ENSMUSG00000099080	ENSMUST00000184847	111084_at
ENSMUSG00000106493	ENSMUST00000199907	107299_at
ENSMUSG00000098600	ENSMUST00000185077	112081_at
ENSMUSG00000093044	ENSMUST00000175303	116022_at
ENSMUSG00000098661	ENSMUST00000184821	109810_f_at
ENSMUSG00000098790	ENSMUST00000184464	107989_at
ENSMUSG00000097052	ENSMUST00000181621	111070_at
ENSMUSG00000099096	ENSMUST00000184300	115561_at
ENSMUSG00000093351	ENSMUST00000175610	112937_at
ENSMUSG00000092988	ENSMUST00000175247	107299_at
ENSMUSG00000064994	ENSMUST00000083060	110288_at
ENSMUSG00000099197	ENSMUST00000184682	115027_at
ENSMUSG00000098641	ENSMUST00000184171	116081_at
ENSMUSG00000063897	ENSMUST00000077235	109696_at
ENSMUSG00000063897	ENSMUST00000077235	109697_at
ENSMUSG00000065649	ENSMUST00000083715	111896_at
ENSMUSG00000095087	ENSMUST00000175013	108243_at
ENSMUSG00000065734	ENSMUST00000083800	113649_at
ENSMUSG00000064387	ENSMUST00000082453	162914_i_at
ENSMUSG00000094887	ENSMUST00000179700	114366_r_at
ENSMUSG00000093009	ENSMUST00000175268	109103_f_at
ENSMUSG00000074922	ENSMUST00000099556	113136_at
ENSMUSG00000074922	ENSMUST00000099556	110440_at
ENSMUSG00000096646	ENSMUST00000178723	163600_at
ENSMUSG00000084497	ENSMUST00000122548	115308_at
ENSMUSG00000094836	ENSMUST00000097490	114366_r_at
ENSMUSG00000002658	ENSMUST00000002733	108354_at
ENSMUSG00000105904	ENSMUST00000198479	112085_at
ENSMUSG00000098259	ENSMUST00000184547	104782_at
ENSMUSG00000065533	ENSMUST00000083599	110084_at
ENSMUSG00000094668	ENSMUST00000083099	114983_at
ENSMUSG00000105477	ENSMUST00000198489	107294_at
ENSMUSG00000098394	ENSMUST00000183539	163120_at
ENSMUSG00000104618	ENSMUST00000196359	163462_at
