Gene stable ID	Transcript stable ID	AFFY MG U74C probe
ENSMUSG00000065422	ENSMUST00000083488	136191_at
ENSMUSG00000099068	ENSMUST00000183920	133024_at
ENSMUSG00000065272	ENSMUST00000083338	137608_f_at
ENSMUSG00000065272	ENSMUST00000083338	137607_f_at
ENSMUSG00000065110	ENSMUST00000083176	139841_at
ENSMUSG00000099221	ENSMUST00000184470	129568_at
ENSMUSG00000065289	ENSMUST00000083355	137608_f_at
ENSMUSG00000065289	ENSMUST00000083355	137607_f_at
ENSMUSG00000093096	ENSMUST00000175355	137409_f_at
ENSMUSG00000093096	ENSMUST00000175355	129945_f_at
ENSMUSG00000087938	ENSMUST00000157313	140429_f_at
ENSMUSG00000087938	ENSMUST00000157313	140428_i_at
ENSMUSG00000087938	ENSMUST00000157313	132223_at
ENSMUSG00000105465	ENSMUST00000196757	139178_f_at
ENSMUSG00000105465	ENSMUST00000196757	139179_r_at
ENSMUSG00000076012	ENSMUST00000102058	139261_at
ENSMUSG00000079222	ENSMUST00000111423	131389_at
ENSMUSG00000093816	ENSMUST00000177557	135498_at
ENSMUSG00000065469	ENSMUST00000083535	133132_at
ENSMUSG00000098846	ENSMUST00000184005	132620_r_at
ENSMUSG00000077202	ENSMUST00000104014	139538_at
ENSMUSG00000088631	ENSMUST00000158006	130012_at
ENSMUSG00000069475	ENSMUST00000092094	140565_f_at
ENSMUSG00000064741	ENSMUST00000082807	134043_at
ENSMUSG00000094474	ENSMUST00000177582	130548_at
ENSMUSG00000090853	ENSMUST00000163881	139831_f_at
ENSMUSG00000098395	ENSMUST00000184902	139503_at
ENSMUSG00000080669	ENSMUST00000117019	136675_at
ENSMUSG00000084564	ENSMUST00000122615	139516_g_at
ENSMUSG00000096728	ENSMUST00000178296	130586_at
ENSMUSG00000089280	ENSMUST00000158655	139834_at
ENSMUSG00000065574	ENSMUST00000083640	134794_at
ENSMUSG00000064796	ENSMUST00000082862	129443_at
ENSMUSG00000091037	ENSMUST00000170317	141036_f_at
ENSMUSG00000091037	ENSMUST00000170317	141035_i_at
ENSMUSG00000098536	ENSMUST00000184680	133024_at
ENSMUSG00000080533	ENSMUST00000116883	133737_at
ENSMUSG00000065817	ENSMUST00000083883	135584_at
ENSMUSG00000077564	ENSMUST00000104376	133729_at
ENSMUSG00000088139	ENSMUST00000157514	131634_at
ENSMUSG00000098623	ENSMUST00000184382	138129_at
ENSMUSG00000084565	ENSMUST00000122616	139209_at
ENSMUSG00000076451	ENSMUST00000103252	138993_r_at
ENSMUSG00000098599	ENSMUST00000183644	139503_at
ENSMUSG00000077387	ENSMUST00000104199	133458_at
ENSMUSG00000095523	ENSMUST00000180303	130548_at
ENSMUSG00000105468	ENSMUST00000198998	137714_at
ENSMUSG00000098251	ENSMUST00000183864	131704_at
ENSMUSG00000092972	ENSMUST00000175231	138139_at
ENSMUSG00000065259	ENSMUST00000083325	130336_at
ENSMUSG00000065471	ENSMUST00000083537	136191_at
ENSMUSG00000098749	ENSMUST00000184649	133024_at
ENSMUSG00000089317	ENSMUST00000158692	134513_f_at
ENSMUSG00000098963	ENSMUST00000183553	132620_r_at
ENSMUSG00000092870	ENSMUST00000175129	138545_at
ENSMUSG00000096550	ENSMUST00000178337	130548_at
ENSMUSG00000098362	ENSMUST00000184489	131452_at
ENSMUSG00000065485	ENSMUST00000083551	138192_at
ENSMUSG00000104656	ENSMUST00000197203	141102_f_at
ENSMUSG00000104656	ENSMUST00000197203	136904_f_at
ENSMUSG00000112290	ENSMUST00000218518	133707_at
ENSMUSG00000021585	ENSMUST00000222588	133673_f_at
ENSMUSG00000021585	ENSMUST00000223206	133673_f_at
ENSMUSG00000021585	ENSMUST00000221873	130315_at
ENSMUSG00000021585	ENSMUST00000221208	130315_at
ENSMUSG00000087424	ENSMUST00000127521	134337_at
ENSMUSG00000087424	ENSMUST00000130099	134337_at
ENSMUSG00000051220	ENSMUST00000056904	133431_at
ENSMUSG00000072780	ENSMUST00000075095	135485_r_at
ENSMUSG00000072780	ENSMUST00000233759	135485_r_at
ENSMUSG00000072780	ENSMUST00000232985	135485_r_at
ENSMUSG00000009418	ENSMUST00000067414	140438_at
ENSMUSG00000009418	ENSMUST00000040599	140438_at
ENSMUSG00000020137	ENSMUST00000218842	134709_r_at
ENSMUSG00000020137	ENSMUST00000020346	134709_r_at
