Gene stable ID	Transcript stable ID	AFFY MOE430B probe
ENSMUSG00000078129	ENSMUST00000104928	1430227_at
ENSMUSG00000076387	ENSMUST00000102432	1453846_at
ENSMUSG00000092644	ENSMUST00000174903	1459265_at
ENSMUSG00000070072	ENSMUST00000093564	1453446_at
ENSMUSG00000104914	ENSMUST00000198082	1443111_at
ENSMUSG00000104914	ENSMUST00000198082	1458884_at
ENSMUSG00000098710	ENSMUST00000184412	1428152_a_at
ENSMUSG00000065608	ENSMUST00000083674	1440357_at
ENSMUSG00000104858	ENSMUST00000199494	1431094_at
ENSMUSG00000098253	ENSMUST00000184508	1436219_at
ENSMUSG00000077704	ENSMUST00000104516	1440344_at
ENSMUSG00000065564	ENSMUST00000083630	1440357_at
ENSMUSG00000077515	ENSMUST00000104327	1455010_at
ENSMUSG00000084607	ENSMUST00000122658	1441002_at
ENSMUSG00000084514	ENSMUST00000122565	1429914_at
ENSMUSG00000064722	ENSMUST00000082788	1457341_at
ENSMUSG00000077604	ENSMUST00000104416	1453344_at
ENSMUSG00000098582	ENSMUST00000184815	1440243_at
ENSMUSG00000065438	ENSMUST00000083504	1440097_at
ENSMUSG00000043623	ENSMUST00000061046	1430085_at
ENSMUSG00000092687	ENSMUST00000174946	1441081_a_at
ENSMUSG00000089214	ENSMUST00000158589	1446130_at
ENSMUSG00000077384	ENSMUST00000104196	1443024_at
ENSMUSG00000087938	ENSMUST00000157313	1430059_at
ENSMUSG00000092679	ENSMUST00000174938	1454200_at
ENSMUSG00000064437	ENSMUST00000082503	1447936_at
ENSMUSG00000076012	ENSMUST00000102058	1434314_s_at
ENSMUSG00000106154	ENSMUST00000197929	1460489_at
ENSMUSG00000056682	ENSMUST00000056675	1453862_at
ENSMUSG00000065469	ENSMUST00000083535	1441232_at
ENSMUSG00000094958	ENSMUST00000178992	1453764_at
ENSMUSG00000094741	ENSMUST00000178291	1445849_at
ENSMUSG00000105743	ENSMUST00000199259	1441272_at
ENSMUSG00000105743	ENSMUST00000199259	1431235_at
ENSMUSG00000088059	ENSMUST00000157434	1441272_at
ENSMUSG00000088059	ENSMUST00000157434	1431235_at
ENSMUSG00000094293	ENSMUST00000178882	1447937_a_at
ENSMUSG00000094293	ENSMUST00000178882	1447938_at
ENSMUSG00000094293	ENSMUST00000178882	1447939_a_at
ENSMUSG00000096237	ENSMUST00000177565	1447937_a_at
ENSMUSG00000096237	ENSMUST00000177565	1447938_at
ENSMUSG00000096237	ENSMUST00000177565	1447939_a_at
ENSMUSG00000099189	ENSMUST00000184425	1458435_at
ENSMUSG00000093172	ENSMUST00000175431	1455523_at
ENSMUSG00000073554	ENSMUST00000051629	1429268_at
ENSMUSG00000070076	ENSMUST00000093568	1453446_at
ENSMUSG00000088544	ENSMUST00000157919	1446550_at
ENSMUSG00000035521	ENSMUST00000038973	1436526_at
ENSMUSG00000084751	ENSMUST00000122802	1430560_at
ENSMUSG00000069890	ENSMUST00000093146	1430261_at
ENSMUSG00000065541	ENSMUST00000083607	1447339_at
ENSMUSG00000098617	ENSMUST00000184085	1452905_at
ENSMUSG00000064585	ENSMUST00000082651	1437311_at
ENSMUSG00000095798	ENSMUST00000116956	1432964_at
ENSMUSG00000098831	ENSMUST00000185054	1441984_at
ENSMUSG00000098600	ENSMUST00000185077	1432073_at
ENSMUSG00000089396	ENSMUST00000158771	1430232_at
ENSMUSG00000064797	ENSMUST00000082863	1442289_at
ENSMUSG00000064797	ENSMUST00000082863	1457292_at
ENSMUSG00000097052	ENSMUST00000181621	1437538_at
ENSMUSG00000098919	ENSMUST00000184148	1432542_at
ENSMUSG00000080669	ENSMUST00000117019	1435124_at
ENSMUSG00000099070	ENSMUST00000183371	1439145_at
ENSMUSG00000099070	ENSMUST00000183371	1439146_s_at
ENSMUSG00000084535	ENSMUST00000122586	1452905_at
ENSMUSG00000093351	ENSMUST00000175610	1457030_at
ENSMUSG00000092988	ENSMUST00000175247	1459905_at
ENSMUSG00000064634	ENSMUST00000082700	1442289_at
ENSMUSG00000064634	ENSMUST00000082700	1457292_at
ENSMUSG00000077563	ENSMUST00000104375	1428152_a_at
ENSMUSG00000065262	ENSMUST00000083328	1442454_at
ENSMUSG00000099197	ENSMUST00000184682	1435031_at
ENSMUSG00000049202	ENSMUST00000057521	1432157_at
ENSMUSG00000088141	ENSMUST00000157516	1433143_at
ENSMUSG00000065454	ENSMUST00000083520	1444510_at
ENSMUSG00000054379	ENSMUST00000090704	1432302_s_at
ENSMUSG00000077227	ENSMUST00000104039	1445139_at
ENSMUSG00000096728	ENSMUST00000178296	1445849_at
ENSMUSG00000063897	ENSMUST00000077235	1456484_at
ENSMUSG00000065649	ENSMUST00000083715	1436796_at
ENSMUSG00000065437	ENSMUST00000083503	1458712_at
ENSMUSG00000098499	ENSMUST00000184879	1445915_at
ENSMUSG00000065226	ENSMUST00000083292	1442289_at
ENSMUSG00000065444	ENSMUST00000083510	1447339_at
ENSMUSG00000065734	ENSMUST00000083800	1447936_at
ENSMUSG00000084462	ENSMUST00000122513	1431500_at
ENSMUSG00000105165	ENSMUST00000200604	1447352_at
ENSMUSG00000091037	ENSMUST00000170317	1445621_at
ENSMUSG00000064387	ENSMUST00000082453	1433789_at
ENSMUSG00000094887	ENSMUST00000179700	1455830_s_at
ENSMUSG00000046145	ENSMUST00000052502	1430844_at
ENSMUSG00000065427	ENSMUST00000083493	1443736_at
ENSMUSG00000093009	ENSMUST00000175268	1441081_a_at
ENSMUSG00000092966	ENSMUST00000175225	1431894_at
ENSMUSG00000096646	ENSMUST00000178723	1447937_a_at
ENSMUSG00000096646	ENSMUST00000178723	1447938_at
ENSMUSG00000096646	ENSMUST00000178723	1447939_a_at
ENSMUSG00000052241	ENSMUST00000064013	1436942_at
ENSMUSG00000065589	ENSMUST00000083655	1458130_at
ENSMUSG00000089417	ENSMUST00000158792	1446959_at
ENSMUSG00000094836	ENSMUST00000097490	1455830_s_at
ENSMUSG00000098259	ENSMUST00000184547	1438663_at
ENSMUSG00000065533	ENSMUST00000083599	1430655_at
ENSMUSG00000088139	ENSMUST00000157514	1442366_at
ENSMUSG00000088493	ENSMUST00000157868	1458721_at
ENSMUSG00000065887	ENSMUST00000083953	1456544_at
ENSMUSG00000105477	ENSMUST00000198489	1460540_at
ENSMUSG00000106081	ENSMUST00000200651	1434847_at
ENSMUSG00000104618	ENSMUST00000196359	1436369_at
ENSMUSG00000093745	ENSMUST00000176676	1437681_at
ENSMUSG00000065491	ENSMUST00000083557	1440843_at
ENSMUSG00000076372	ENSMUST00000102417	1437598_at
ENSMUSG00000076372	ENSMUST00000102417	1439128_at
ENSMUSG00000096236	ENSMUST00000177853	1445849_at
ENSMUSG00000098752	ENSMUST00000184790	1455839_at
ENSMUSG00000099101	ENSMUST00000184358	1430084_at
ENSMUSG00000095552	ENSMUST00000179644	1447937_a_at
ENSMUSG00000095552	ENSMUST00000179644	1447938_at
ENSMUSG00000106561	ENSMUST00000198146	1444500_at
ENSMUSG00000098462	ENSMUST00000184740	1429060_at
ENSMUSG00000054116	ENSMUST00000066954	1432841_at
ENSMUSG00000065715	ENSMUST00000083781	1440345_at
ENSMUSG00000089509	ENSMUST00000158884	1440001_at
ENSMUSG00000116275	ENSMUST00000027736	1415764_at
ENSMUSG00000065548	ENSMUST00000083614	1460033_at
ENSMUSG00000084583	ENSMUST00000122634	1430808_at
ENSMUSG00000080665	ENSMUST00000117015	1429953_at
ENSMUSG00000080665	ENSMUST00000117015	1440194_at
ENSMUSG00000095010	ENSMUST00000179974	1445875_at
ENSMUSG00000106366	ENSMUST00000198802	1447993_a_at
ENSMUSG00000106366	ENSMUST00000198802	1457041_at
ENSMUSG00000093571	ENSMUST00000176987	1455390_at
ENSMUSG00000065353	ENSMUST00000083419	1433789_at
ENSMUSG00000084592	ENSMUST00000122643	1458450_at
ENSMUSG00000084592	ENSMUST00000122643	1443002_at
ENSMUSG00000092730	ENSMUST00000174989	1447896_s_at
ENSMUSG00000093120	ENSMUST00000175379	1436711_at
ENSMUSG00000088181	ENSMUST00000157556	1445876_at
ENSMUSG00000064493	ENSMUST00000082559	1456256_at
ENSMUSG00000065663	ENSMUST00000083729	1457292_at
ENSMUSG00000095728	ENSMUST00000179146	1445849_at
ENSMUSG00000048406	ENSMUST00000049927	1455492_at
ENSMUSG00000099324	ENSMUST00000184992	1439787_at
ENSMUSG00000099324	ENSMUST00000184992	1419853_a_at
ENSMUSG00000095111	ENSMUST00000157353	1457292_at
ENSMUSG00000099209	ENSMUST00000183418	1440474_at
ENSMUSG00000098419	ENSMUST00000183535	1457561_at
ENSMUSG00000099075	ENSMUST00000184964	1434351_at
ENSMUSG00000093124	ENSMUST00000175383	1448079_at
ENSMUSG00000065126	ENSMUST00000083192	1440254_at
ENSMUSG00000106355	ENSMUST00000197675	1443280_at
ENSMUSG00000092928	ENSMUST00000175187	1444359_at
ENSMUSG00000095755	ENSMUST00000178837	1447937_a_at
ENSMUSG00000095755	ENSMUST00000178837	1447938_at
ENSMUSG00000095755	ENSMUST00000178837	1447939_a_at
ENSMUSG00000099284	ENSMUST00000184384	1447349_s_at
ENSMUSG00000073179	ENSMUST00000084451	1442120_at
ENSMUSG00000104863	ENSMUST00000199921	1436796_at
ENSMUSG00000076335	ENSMUST00000102380	1444324_at
ENSMUSG00000077350	ENSMUST00000104162	1446276_at
ENSMUSG00000071586	ENSMUST00000096145	1458198_at
ENSMUSG00000104996	ENSMUST00000198919	1455125_at
ENSMUSG00000104996	ENSMUST00000198919	1434874_x_at
ENSMUSG00000104996	ENSMUST00000198919	1434873_a_at
ENSMUSG00000098663	ENSMUST00000184207	1452706_a_at
ENSMUSG00000092876	ENSMUST00000175135	1447281_at
ENSMUSG00000064867	ENSMUST00000082933	1445409_at
ENSMUSG00000099151	ENSMUST00000183763	1459443_at
ENSMUSG00000093107	ENSMUST00000175366	1436369_at
ENSMUSG00000077457	ENSMUST00000104269	1447936_at
ENSMUSG00000065502	ENSMUST00000083568	1447352_at
ENSMUSG00000064780	ENSMUST00000082846	1440120_at
ENSMUSG00000098490	ENSMUST00000184522	1445995_at
ENSMUSG00000088947	ENSMUST00000158322	1439969_at
ENSMUSG00000092787	ENSMUST00000175046	1436706_at
ENSMUSG00000065453	ENSMUST00000083519	1436540_at
ENSMUSG00000098859	ENSMUST00000183622	1459443_at
ENSMUSG00000064858	ENSMUST00000082924	1437538_at
ENSMUSG00000071036	ENSMUST00000095186	1444649_at
ENSMUSG00000088789	ENSMUST00000158164	1447993_a_at
ENSMUSG00000088789	ENSMUST00000158164	1457041_at
ENSMUSG00000098399	ENSMUST00000184402	1443858_at
ENSMUSG00000077711	ENSMUST00000104523	1437196_x_at
ENSMUSG00000098979	ENSMUST00000185069	1437418_at
ENSMUSG00000077192	ENSMUST00000104004	1437538_at
ENSMUSG00000088075	ENSMUST00000157450	1457644_s_at
ENSMUSG00000065524	ENSMUST00000083590	1437418_at
ENSMUSG00000093355	ENSMUST00000175614	1455878_at
ENSMUSG00000105200	ENSMUST00000198300	1438775_at
ENSMUSG00000065410	ENSMUST00000083476	1456752_at
ENSMUSG00000079764	ENSMUST00000115902	1447938_at
ENSMUSG00000079764	ENSMUST00000115902	1447939_a_at
ENSMUSG00000065282	ENSMUST00000083348	1442289_at
ENSMUSG00000098431	ENSMUST00000183849	1456899_at
ENSMUSG00000089317	ENSMUST00000158692	1429027_at
ENSMUSG00000105884	ENSMUST00000197029	1440254_at
ENSMUSG00000095507	ENSMUST00000158155	1429378_x_at
ENSMUSG00000072898	ENSMUST00000101158	1459267_at
ENSMUSG00000065669	ENSMUST00000083735	1456803_at
ENSMUSG00000088702	ENSMUST00000158077	1438591_at
