Gene stable ID	Transcript stable ID	AFFY Mu11KsubA probe
ENSMUSG00000064339	ENSMUST00000082390	c76068_rc_at
ENSMUSG00000064339	ENSMUST00000082390	c76068_rc_g_at
ENSMUSG00000064338	ENSMUST00000082389	c76068_rc_at
ENSMUSG00000064338	ENSMUST00000082389	c76068_rc_g_at
ENSMUSG00000064337	ENSMUST00000082388	c76068_rc_at
ENSMUSG00000064337	ENSMUST00000082388	c76068_rc_g_at
ENSMUSG00000064336	ENSMUST00000082387	c76068_rc_at
ENSMUSG00000064336	ENSMUST00000082387	c76068_rc_g_at
ENSMUSG00000089083	ENSMUST00000158458	AC002397_geneC10_f_at
ENSMUSG00000076033	ENSMUST00000102079	j04716_f_at
ENSMUSG00000080683	ENSMUST00000117033	AA472277_s_at
ENSMUSG00000080683	ENSMUST00000117033	aa059839_s_at
ENSMUSG00000065514	ENSMUST00000083580	D26091_s_at
ENSMUSG00000080478	ENSMUST00000116828	aa511120_g_at
ENSMUSG00000080478	ENSMUST00000116828	aa511120_at
ENSMUSG00000099006	ENSMUST00000184381	m17015_at
ENSMUSG00000099006	ENSMUST00000184381	m17015_g_at
ENSMUSG00000099248	ENSMUST00000183562	u20369_at
ENSMUSG00000080465	ENSMUST00000116815	aa105029_at
ENSMUSG00000080465	ENSMUST00000116815	aa105029_g_at
ENSMUSG00000065006	ENSMUST00000083072	c76989_rc_at
ENSMUSG00000065006	ENSMUST00000083072	c76989_rc_g_at
ENSMUSG00000072837	ENSMUST00000102105	c77340_rc_s_at
ENSMUSG00000070109	ENSMUST00000093601	aa189586_g_at
ENSMUSG00000076038	ENSMUST00000102084	j04716_f_at
ENSMUSG00000065272	ENSMUST00000083338	aa607833_at
ENSMUSG00000098543	ENSMUST00000183800	aa543871_at
ENSMUSG00000099152	ENSMUST00000183777	aa611440_at
ENSMUSG00000098327	ENSMUST00000184840	aa271939_s_at
ENSMUSG00000065289	ENSMUST00000083355	aa607833_at
ENSMUSG00000064925	ENSMUST00000082991	C78471_rc_f_at
ENSMUSG00000064925	ENSMUST00000082991	j02870_s_at
ENSMUSG00000089255	ENSMUST00000158630	AA396262_at
ENSMUSG00000093828	ENSMUST00000177905	aa681993_s_at
ENSMUSG00000093828	ENSMUST00000107987	aa681993_s_at
ENSMUSG00000064542	ENSMUST00000082608	C78229_rc_f_at
ENSMUSG00000076012	ENSMUST00000102058	c76517_rc_at
ENSMUSG00000077185	ENSMUST00000103997	U93863_s_at
ENSMUSG00000095763	ENSMUST00000178318	aa589943_at
ENSMUSG00000093816	ENSMUST00000177557	j04716_f_at
ENSMUSG00000091105	ENSMUST00000164169	aa672475_s_at
ENSMUSG00000098531	ENSMUST00000183891	D78572_s_at
ENSMUSG00000092650	ENSMUST00000174909	m21495_f_at
ENSMUSG00000051548	ENSMUST00000054711	aa184455_at
ENSMUSG00000064741	ENSMUST00000082807	aa543724_f_at
ENSMUSG00000095585	ENSMUST00000179075	aa137292_s_at
ENSMUSG00000065782	ENSMUST00000083848	aa543872_s_at
ENSMUSG00000093314	ENSMUST00000175573	aa265907_s_at
ENSMUSG00000094474	ENSMUST00000177582	aa589943_at
ENSMUSG00000098996	ENSMUST00000183491	M34397_s_at
ENSMUSG00000077886	ENSMUST00000104694	aa437728_at
ENSMUSG00000096506	ENSMUST00000115904	aa137292_s_at
ENSMUSG00000076036	ENSMUST00000102082	j04716_f_at
ENSMUSG00000093148	ENSMUST00000175407	m21495_f_at
ENSMUSG00000065642	ENSMUST00000083708	aa518802_s_at
ENSMUSG00000065087	ENSMUST00000083153	aa543872_s_at
ENSMUSG00000098346	ENSMUST00000184483	aa154864_at
ENSMUSG00000094403	ENSMUST00000102081	j04716_f_at
ENSMUSG00000064981	ENSMUST00000083047	m93980_f_at
ENSMUSG00000098661	ENSMUST00000184821	aa240803_s_at
ENSMUSG00000098661	ENSMUST00000184821	aa240803_r_at
ENSMUSG00000064797	ENSMUST00000082863	aa266126_at
ENSMUSG00000097052	ENSMUST00000181621	AA028426_at
ENSMUSG00000098291	ENSMUST00000183646	u16985_s_at
ENSMUSG00000099043	ENSMUST00000183749	aa451220_g_at
ENSMUSG00000099043	ENSMUST00000183749	aa451220_at
ENSMUSG00000106252	ENSMUST00000196622	aa461946_s_at
ENSMUSG00000065818	ENSMUST00000083884	AA408475_rc_s_at
ENSMUSG00000098445	ENSMUST00000184774	k01496_f_at
ENSMUSG00000064634	ENSMUST00000082700	aa266126_at
ENSMUSG00000105497	ENSMUST00000196210	AA275329_at
ENSMUSG00000064791	ENSMUST00000082857	u73744_f_at
ENSMUSG00000117327	ENSMUST00000232683	c76949_rc_s_at
ENSMUSG00000078032	ENSMUST00000104838	aa437728_at
ENSMUSG00000105060	ENSMUST00000199062	C78522_rc_f_at
ENSMUSG00000063897	ENSMUST00000077235	c80877_rc_at
ENSMUSG00000065579	ENSMUST00000083645	AA275329_at
ENSMUSG00000098608	ENSMUST00000184293	AA175706_s_at
ENSMUSG00000065226	ENSMUST00000083292	aa266126_at
ENSMUSG00000093264	ENSMUST00000175523	m21495_f_at
ENSMUSG00000064424	ENSMUST00000082490	k02241_f_at
ENSMUSG00000096730	ENSMUST00000178970	af011412_s_at
ENSMUSG00000096730	ENSMUST00000178970	af011411_f_at
ENSMUSG00000096730	ENSMUST00000096791	af011412_s_at
ENSMUSG00000096730	ENSMUST00000096791	af011411_f_at
ENSMUSG00000096730	ENSMUST00000071277	af011412_s_at
ENSMUSG00000096730	ENSMUST00000071277	af011411_f_at
ENSMUSG00000096730	ENSMUST00000179115	af011412_s_at
ENSMUSG00000096730	ENSMUST00000179115	af011411_f_at
ENSMUSG00000077709	ENSMUST00000104521	M20632_f_at
ENSMUSG00000077709	ENSMUST00000104521	D17920_rc_at
ENSMUSG00000105913	ENSMUST00000198528	AA408475_rc_s_at
ENSMUSG00000002658	ENSMUST00000002733	aa154593_s_at
ENSMUSG00000093003	ENSMUST00000175262	d78141_s_at
ENSMUSG00000105904	ENSMUST00000198479	c78378_rc_at
ENSMUSG00000105904	ENSMUST00000198479	c78378_rc_g_at
ENSMUSG00000077564	ENSMUST00000104376	U93863_s_at
ENSMUSG00000106344	ENSMUST00000197752	aa518937_g_at
ENSMUSG00000098281	ENSMUST00000184975	M62952_f_at
ENSMUSG00000089571	ENSMUST00000158946	AA265569_s_at
ENSMUSG00000079794	ENSMUST00000115931	AA536676_rc_at
ENSMUSG00000077426	ENSMUST00000104238	AA409561_rc_f_at
ENSMUSG00000065887	ENSMUST00000083953	C77858_rc_g_at
ENSMUSG00000065887	ENSMUST00000083953	C77858_rc_at
ENSMUSG00000098811	ENSMUST00000184244	aa000750_s_at
ENSMUSG00000065305	ENSMUST00000083371	aa543872_s_at
ENSMUSG00000094661	ENSMUST00000118540	aa137292_s_at
ENSMUSG00000065680	ENSMUST00000083746	C78229_rc_f_at
ENSMUSG00000063586	ENSMUST00000072982	aa152590_f_at
ENSMUSG00000078240	ENSMUST00000105038	L08651_f_at
ENSMUSG00000065280	ENSMUST00000083346	aa543872_s_at
ENSMUSG00000105196	ENSMUST00000198092	aa254104_s_at
ENSMUSG00000064768	ENSMUST00000082834	aa008853_s_at
ENSMUSG00000065378	ENSMUST00000083444	aa543872_s_at
ENSMUSG00000080342	ENSMUST00000116692	U70209_s_at
ENSMUSG00000116275	ENSMUST00000027736	aa240590_s_at
ENSMUSG00000087993	ENSMUST00000157368	u52823_s_at
ENSMUSG00000092819	ENSMUST00000175078	aa688938_s_at
ENSMUSG00000098955	ENSMUST00000183615	m21495_f_at
ENSMUSG00000098798	ENSMUST00000184215	M62952_f_at
ENSMUSG00000064602	ENSMUST00000082668	C78522_rc_f_at
ENSMUSG00000065434	ENSMUST00000083500	aa388667_f_at
ENSMUSG00000098737	ENSMUST00000183853	L33416_s_at
ENSMUSG00000098931	ENSMUST00000183568	D18044_rc_at
ENSMUSG00000070167	ENSMUST00000093658	aa265907_s_at
ENSMUSG00000095118	ENSMUST00000083424	u73744_f_at
ENSMUSG00000065599	ENSMUST00000083665	c78378_rc_at
ENSMUSG00000065599	ENSMUST00000083665	c78378_rc_g_at
ENSMUSG00000098465	ENSMUST00000184114	aa204482_s_at
ENSMUSG00000098381	ENSMUST00000184178	r75131_rc_s_at
ENSMUSG00000067017	ENSMUST00000086725	U16740_s_at
ENSMUSG00000096271	ENSMUST00000178765	af001980_s_at
ENSMUSG00000088835	ENSMUST00000158210	ac002397_geneBAP_f_at
ENSMUSG00000098457	ENSMUST00000185150	aa215251_s_at
ENSMUSG00000104813	ENSMUST00000196157	AA276699_at
ENSMUSG00000088909	ENSMUST00000158284	aa607833_at
ENSMUSG00000065336	ENSMUST00000083402	aa238264_s_at
ENSMUSG00000093365	ENSMUST00000175624	m21495_f_at
ENSMUSG00000098625	ENSMUST00000184745	aa018019_s_at
ENSMUSG00000099270	ENSMUST00000185090	u20369_at
ENSMUSG00000095523	ENSMUST00000180303	aa589943_at
ENSMUSG00000065219	ENSMUST00000083285	AA408475_rc_s_at
ENSMUSG00000088712	ENSMUST00000158087	U65313_s_at
ENSMUSG00000084575	ENSMUST00000122626	C79025_rc_at
ENSMUSG00000077212	ENSMUST00000104024	aa041888_s_at
