Gene stable ID	Transcript stable ID	AFFY Drosophila 2 probe
FBgn0053882	FBtr0091886	1635666_at
FBgn0053882	FBtr0091886	1623281_s_at
FBgn0035648	FBtr0113148	1640392_at
FBgn0035648	FBtr0331563	1640392_at
FBgn0032726	FBtr0342927	1626086_at
FBgn0032726	FBtr0342926	1626086_at
FBgn0032726	FBtr0081191	1626086_at
FBgn0034948	FBtr0072204	1638701_at
FBgn0036842	FBtr0075037	1637453_at
FBgn0036842	FBtr0332648	1637453_at
FBgn0029656	FBtr0070536	1627457_at
FBgn0039558	FBtr0085269	1626659_at
FBgn0025814	FBtr0077243	1631058_s_at
FBgn0025814	FBtr0077242	1627643_at
FBgn0025814	FBtr0077242	1631058_s_at
FBgn0025814	FBtr0345919	1627643_at
FBgn0025814	FBtr0345919	1631058_s_at
FBgn0035235	FBtr0072826	1633635_s_at
FBgn0035235	FBtr0072827	1633635_s_at
FBgn0030509	FBtr0073811	1641715_at
FBgn0037022	FBtr0078276	1627993_at
FBgn0046114	FBtr0084336	1640552_at
FBgn0046114	FBtr0334605	1640552_at
FBgn0045474	FBtr0078281	1639836_at
FBgn0050103	FBtr0086929	1624630_at
FBgn0013323	FBtr0346650	1632646_at
FBgn0013323	FBtr0346726	1632646_at
FBgn0013323	FBtr0333746	1632646_at
FBgn0039495	FBtr0085114	1640983_at
FBgn0023213	FBtr0089243	1637560_at
FBgn0023213	FBtr0289951	1637560_at
FBgn0023213	FBtr0112904	1637560_at
FBgn0022986	FBtr0339537	1631768_at
FBgn0022986	FBtr0071843	1631768_at
FBgn0022986	FBtr0346637	1631768_at
FBgn0035270	FBtr0332881	1628791_at
FBgn0035270	FBtr0072792	1628791_at
FBgn0028369	FBtr0309500	1633888_s_at
FBgn0028369	FBtr0309501	1633888_s_at
FBgn0028369	FBtr0070559	1633514_at
FBgn0028369	FBtr0070559	1633888_s_at
FBgn0028369	FBtr0309499	1633888_s_at
FBgn0028369	FBtr0070560	1633888_s_at
FBgn0028369	FBtr0309498	1633888_s_at
FBgn0028369	FBtr0332492	1633514_at
FBgn0028369	FBtr0332492	1633888_s_at
FBgn0267348	FBtr0076382	1632666_at
FBgn0267348	FBtr0345031	1632666_at
