Gene stable ID	Transcript stable ID	AFFY HG U95E probe
ENSG00000210127	ENST00000387392	88289_at
ENSG00000210135	ENST00000387400	88289_at
ENSG00000210140	ENST00000387405	88289_at
ENSG00000210144	ENST00000387409	88289_at
ENSG00000277044	ENST00000615600	67115_at
ENSG00000277044	ENST00000627060	67115_at
ENSG00000277044	ENST00000625570	67115_at
ENSG00000261992	ENST00000576342	68606_at
ENSG00000282233	ENST00000634173	81578_at
ENSG00000274746	ENST00000614218	75301_at
ENSG00000281076	ENST00000627412	73545_r_at
ENSG00000281076	ENST00000625544	73545_r_at
ENSG00000281076	ENST00000631262	73545_r_at
ENSG00000281076	ENST00000629569	73545_r_at
ENSG00000263322	ENST00000575446	69883_r_at
ENSG00000281830	ENST00000625835	82690_at
ENSG00000281775	ENST00000625846	70629_at
ENSG00000281775	ENST00000625714	70629_at
ENSG00000281775	ENST00000628730	70629_at
ENSG00000281775	ENST00000625428	70629_at
ENSG00000281775	ENST00000629394	70629_at
ENSG00000282715	ENST00000632223	86004_at
ENSG00000277429	ENST00000613172	77978_at
ENSG00000277429	ENST00000625862	77978_at
ENSG00000277429	ENST00000627838	77978_at
ENSG00000262860	ENST00000575811	87881_at
ENSG00000262860	ENST00000570462	87881_at
ENSG00000262860	ENST00000575697	87881_at
ENSG00000262860	ENST00000570386	87881_at
ENSG00000281645	ENST00000629767	84726_at
ENSG00000281733	ENST00000626916	81245_at
ENSG00000281733	ENST00000631114	81245_at
ENSG00000281783	ENST00000629833	81245_at
ENSG00000278728	ENST00000633326	90959_at
ENSG00000278728	ENST00000633607	90959_at
ENSG00000278728	ENST00000613345	90959_at
ENSG00000278728	ENST00000632946	90959_at
ENSG00000281240	ENST00000627970	84726_at
ENSG00000262911	ENST00000572540	88692_at
ENSG00000262911	ENST00000571432	88692_at
ENSG00000262911	ENST00000573306	88692_at
ENSG00000262911	ENST00000615701	88692_at
ENSG00000275581	ENST00000614527	77978_at
ENSG00000275581	ENST00000625868	77978_at
ENSG00000275581	ENST00000627451	77978_at
ENSG00000275581	ENST00000630567	77978_at
ENSG00000281111	ENST00000629396	84726_at
ENSG00000281261	ENST00000629621	81245_at
ENSG00000281261	ENST00000629626	81245_at
ENSG00000281829	ENST00000631036	81245_at
ENSG00000281060	ENST00000627953	67709_at
ENSG00000281633	ENST00000627821	84726_at
ENSG00000281618	ENST00000625556	88716_at
ENSG00000281618	ENST00000630256	88716_at
ENSG00000281618	ENST00000626709	88716_at
ENSG00000281915	ENST00000630550	67709_at
ENSG00000275873	ENST00000632043	86304_s_at
ENSG00000275873	ENST00000632043	86306_r_at
ENSG00000275873	ENST00000621319	86304_s_at
ENSG00000275873	ENST00000621319	86306_r_at
ENSG00000272835	ENST00000607293	77862_at
ENSG00000274112	ENST00000615504	77862_at
ENSG00000275272	ENST00000615500	75057_r_at
ENSG00000275272	ENST00000615500	87919_at
ENSG00000275272	ENST00000615500	75055_i_at
ENSG00000275272	ENST00000613637	75057_r_at
ENSG00000275272	ENST00000613637	87919_at
ENSG00000275272	ENST00000613637	75055_i_at
ENSG00000275272	ENST00000627168	75057_r_at
ENSG00000275272	ENST00000627168	87919_at
ENSG00000275272	ENST00000627168	75055_i_at
ENSG00000275272	ENST00000629100	75055_i_at
ENSG00000275272	ENST00000625493	75057_r_at
ENSG00000275272	ENST00000625493	87919_at
ENSG00000275272	ENST00000625493	75055_i_at
ENSG00000282810	ENST00000634046	83467_at
ENSG00000276482	ENST00000611005	79349_at
ENSG00000276482	ENST00000611005	68587_at
ENSG00000274780	ENST00000633057	72609_at
ENSG00000274780	ENST00000633057	76647_at
ENSG00000274780	ENST00000616346	72609_at
ENSG00000274780	ENST00000616346	76647_at
ENSG00000274780	ENST00000633631	72609_at
ENSG00000274780	ENST00000633631	76647_at
ENSG00000274780	ENST00000632297	72609_at
ENSG00000274780	ENST00000632297	76647_at
ENSG00000274780	ENST00000634091	72609_at
ENSG00000274780	ENST00000634091	76647_at
ENSG00000276910	ENST00000628423	89507_at
ENSG00000276910	ENST00000425596	89507_at
ENSG00000276910	ENST00000612581	89507_at
ENSG00000276910	ENST00000630101	89507_at
ENSG00000276910	ENST00000630141	89507_at
ENSG00000276910	ENST00000626864	89507_at
