Gene stable ID	Transcript stable ID	AFFY HG Focus probe
ENSG00000278704	ENST00000618686	220771_at
ENSG00000277044	ENST00000615600	206563_s_at
ENSG00000277044	ENST00000627060	206563_s_at
ENSG00000277044	ENST00000625570	206563_s_at
ENSG00000277339	ENST00000612646	221358_at
ENSG00000274861	ENST00000616134	214561_at
ENSG00000274861	ENST00000617148	214561_at
ENSG00000275442	ENST00000619672	214561_at
ENSG00000275442	ENST00000611558	214561_at
ENSG00000276310	ENST00000610627	210890_x_at
ENSG00000274782	ENST00000613580	210890_x_at
ENSG00000275416	ENST00000621155	207314_x_at
ENSG00000275416	ENST00000612733	207314_x_at
ENSG00000274120	ENST00000617447	214561_at
ENSG00000274120	ENST00000617950	214561_at
ENSG00000278850	ENST00000620550	207314_x_at
ENSG00000278850	ENST00000616854	207314_x_at
ENSG00000273738	ENST00000617256	207674_at
ENSG00000273738	ENST00000622737	207674_at
ENSG00000273738	ENST00000616046	207674_at
ENSG00000273738	ENST00000610284	207674_at
ENSG00000273738	ENST00000611130	207674_at
ENSG00000273738	ENST00000611871	207674_at
ENSG00000273738	ENST00000622646	207674_at
ENSG00000276243	ENST00000619394	214561_at
ENSG00000276243	ENST00000615630	214561_at
ENSG00000277963	ENST00000621249	214561_at
ENSG00000277963	ENST00000618910	214561_at
ENSG00000275946	ENST00000614018	211410_x_at
ENSG00000275750	ENST00000612504	210890_x_at
ENSG00000275637	ENST00000617741	217088_s_at
ENSG00000275637	ENST00000617565	217088_s_at
ENSG00000275637	ENST00000616589	217088_s_at
ENSG00000275637	ENST00000622620	217088_s_at
ENSG00000275637	ENST00000611792	217088_s_at
ENSG00000275637	ENST00000614704	217088_s_at
ENSG00000275637	ENST00000616564	217088_s_at
ENSG00000276392	ENST00000617974	211410_x_at
ENSG00000275436	ENST00000620281	211410_x_at
ENSG00000278758	ENST00000613891	207314_x_at
ENSG00000278758	ENST00000612018	207314_x_at
ENSG00000276424	ENST00000618616	207314_x_at
ENSG00000276424	ENST00000615712	207314_x_at
ENSG00000277267	ENST00000616869	214561_at
ENSG00000277267	ENST00000610868	214561_at
ENSG00000276247	ENST00000617953	214561_at
ENSG00000276247	ENST00000619288	214561_at
ENSG00000273528	ENST00000618307	214561_at
ENSG00000273528	ENST00000610692	214561_at
ENSG00000276004	ENST00000622024	207314_x_at
ENSG00000276004	ENST00000610507	207314_x_at
ENSG00000275937	ENST00000615969	211410_x_at
ENSG00000278306	ENST00000613265	208122_x_at
ENSG00000278414	ENST00000610920	211410_x_at
ENSG00000278442	ENST00000613610	207314_x_at
ENSG00000278442	ENST00000616626	207314_x_at
ENSG00000277833	ENST00000610327	210890_x_at
ENSG00000275289	ENST00000621268	214561_at
ENSG00000275289	ENST00000615486	214561_at
ENSG00000274788	ENST00000620686	214561_at
ENSG00000274788	ENST00000614877	214561_at
ENSG00000274707	ENST00000611411	211410_x_at
ENSG00000278116	ENST00000621273	211410_x_at
ENSG00000274676	ENST00000611422	211410_x_at
ENSG00000276882	ENST00000610587	207314_x_at
ENSG00000276882	ENST00000622574	207314_x_at
ENSG00000275083	ENST00000617957	207314_x_at
ENSG00000275083	ENST00000617481	207314_x_at
ENSG00000278474	ENST00000611628	207314_x_at
ENSG00000278474	ENST00000613586	207314_x_at
ENSG00000276357	ENST00000614753	207314_x_at
ENSG00000276357	ENST00000613029	207314_x_at
ENSG00000274722	ENST00000617354	207314_x_at
ENSG00000274722	ENST00000612138	207314_x_at
ENSG00000276985	ENST00000614202	207674_at
ENSG00000276985	ENST00000614226	207674_at
ENSG00000276985	ENST00000620956	207674_at
ENSG00000276985	ENST00000615109	207674_at
ENSG00000276985	ENST00000620270	207674_at
ENSG00000276985	ENST00000618328	207674_at
ENSG00000276985	ENST00000618271	207674_at
ENSG00000274842	ENST00000618685	214561_at
ENSG00000274842	ENST00000610968	214561_at
ENSG00000275629	ENST00000616438	207314_x_at
ENSG00000275629	ENST00000622784	207314_x_at
ENSG00000275269	ENST00000620603	207674_at
ENSG00000275269	ENST00000619385	207674_at
ENSG00000275269	ENST00000619626	207674_at
ENSG00000275269	ENST00000618082	207674_at
ENSG00000275269	ENST00000620873	207674_at
ENSG00000275269	ENST00000616340	207674_at
ENSG00000275269	ENST00000620822	207674_at
ENSG00000274826	ENST00000617830	214561_at
ENSG00000274826	ENST00000617116	214561_at
ENSG00000275970	ENST00000617510	207674_at
ENSG00000275970	ENST00000620801	207674_at
ENSG00000275970	ENST00000613689	207674_at
ENSG00000275970	ENST00000618598	207674_at
ENSG00000275970	ENST00000611018	207674_at
ENSG00000275970	ENST00000621004	207674_at
ENSG00000275970	ENST00000621755	207674_at
ENSG00000278025	ENST00000618798	217088_s_at
ENSG00000278025	ENST00000615417	217088_s_at
ENSG00000278025	ENST00000619741	217088_s_at
