Gene stable ID	Transcript stable ID	AFFY HG U95C probe
ENSG00000276876	ENST00000616597	66072_at
ENSG00000276876	ENST00000621996	66072_at
ENSG00000273738	ENST00000622737	54741_at
ENSG00000274891	ENST00000628660	53247_at
ENSG00000274891	ENST00000630734	53247_at
ENSG00000280770	ENST00000630900	66301_at
ENSG00000280830	ENST00000627048	58556_r_at
ENSG00000261992	ENST00000576342	64410_at
ENSG00000281935	ENST00000631855	55825_at
ENSG00000281935	ENST00000633424	55825_at
ENSG00000280066	ENST00000623683	66781_at
ENSG00000263309	ENST00000574480	48684_at
ENSG00000263309	ENST00000571258	48684_at
ENSG00000263309	ENST00000571504	48684_at
ENSG00000281617	ENST00000627510	49999_at
ENSG00000281617	ENST00000626596	49999_at
ENSG00000281617	ENST00000627348	49999_at
ENSG00000274657	ENST00000610688	52299_at
ENSG00000262102	ENST00000572659	58216_at
ENSG00000276256	ENST00000612465	65973_at
ENSG00000281020	ENST00000629200	57928_at
ENSG00000281020	ENST00000627321	57928_at
ENSG00000281020	ENST00000625507	57928_at
ENSG00000281020	ENST00000630403	57928_at
ENSG00000263270	ENST00000570815	58150_at
ENSG00000263270	ENST00000574620	58150_at
ENSG00000263270	ENST00000572477	58150_at
ENSG00000281651	ENST00000628634	63242_i_at
ENSG00000281651	ENST00000628634	63243_r_at
ENSG00000276856	ENST00000620361	61683_r_at
ENSG00000278759	ENST00000612762	59719_at
ENSG00000278759	ENST00000612762	58799_at
ENSG00000278759	ENST00000632595	59719_at
ENSG00000278759	ENST00000632595	58799_at
ENSG00000278759	ENST00000633166	59719_at
ENSG00000278759	ENST00000633166	58799_at
ENSG00000278759	ENST00000633381	59719_at
ENSG00000278759	ENST00000633381	58799_at
ENSG00000282367	ENST00000633628	59524_at
ENSG00000282367	ENST00000633628	59522_at
ENSG00000282367	ENST00000633722	59524_at
ENSG00000282367	ENST00000633406	59524_at
ENSG00000282367	ENST00000633502	59524_at
ENSG00000282367	ENST00000633502	59522_at
ENSG00000282367	ENST00000632264	59524_at
ENSG00000282367	ENST00000632264	59522_at
ENSG00000282443	ENST00000631838	62902_at
ENSG00000262634	ENST00000571751	59976_f_at
ENSG00000262634	ENST00000571751	59977_r_at
ENSG00000280541	ENST00000630590	52095_at
ENSG00000274679	ENST00000618495	59811_at
ENSG00000274679	ENST00000618495	65127_at
ENSG00000274679	ENST00000621926	59811_at
ENSG00000274679	ENST00000621926	65127_at
ENSG00000263160	ENST00000573757	60894_at
ENSG00000263160	ENST00000571778	52862_r_at
ENSG00000263160	ENST00000571778	60894_at
ENSG00000263160	ENST00000570948	60894_at
ENSG00000263160	ENST00000573374	52862_r_at
ENSG00000263160	ENST00000572455	52862_r_at
ENSG00000263160	ENST00000573687	52862_r_at
ENSG00000262788	ENST00000575702	63117_at
ENSG00000262788	ENST00000633692	63117_at
ENSG00000262788	ENST00000632079	63117_at
ENSG00000262788	ENST00000634106	63252_i_at
ENSG00000262788	ENST00000634106	63253_r_at
ENSG00000262788	ENST00000634106	63117_at
ENSG00000262788	ENST00000632786	63117_at
ENSG00000262788	ENST00000631549	63117_at
ENSG00000262788	ENST00000631675	63117_at
ENSG00000262788	ENST00000631541	63117_at
ENSG00000262788	ENST00000633173	63117_at
