Gene stable ID	Transcript stable ID	AFFY HuGeneFL probe
ENSG00000211459	ENST00000389680	Z70759_at
ENSG00000210077	ENST00000387342	Z70759_at
ENSG00000210082	ENST00000387347	Z70759_at
ENSG00000277044	ENST00000615600	U30185_at
ENSG00000277044	ENST00000627060	U30185_at
ENSG00000277044	ENST00000625570	U30185_at
ENSG00000276876	ENST00000613234	M96980_at
ENSG00000276876	ENST00000616648	M96980_at
ENSG00000276218	ENST00000611207	L41268_f_at
ENSG00000277484	ENST00000611369	L41268_f_at
ENSG00000273738	ENST00000617256	X54150_at
ENSG00000273738	ENST00000622737	X54150_at
ENSG00000273738	ENST00000616046	X54150_at
ENSG00000273738	ENST00000610284	X54150_at
ENSG00000273738	ENST00000611130	X54150_at
ENSG00000273738	ENST00000611871	X54150_at
ENSG00000273738	ENST00000622646	X54150_at
ENSG00000278306	ENST00000613265	L76670_f_at
ENSG00000274402	ENST00000619702	L41268_f_at
ENSG00000276985	ENST00000614202	X54150_at
ENSG00000276985	ENST00000614226	X54150_at
ENSG00000276985	ENST00000620956	X54150_at
ENSG00000276985	ENST00000615109	X54150_at
ENSG00000276985	ENST00000620270	X54150_at
ENSG00000276985	ENST00000618328	X54150_at
ENSG00000276985	ENST00000618271	X54150_at
ENSG00000275269	ENST00000620603	X54150_at
ENSG00000275269	ENST00000619385	X54150_at
ENSG00000275269	ENST00000619626	X54150_at
ENSG00000275269	ENST00000618082	X54150_at
ENSG00000275269	ENST00000620873	X54150_at
ENSG00000275269	ENST00000616340	X54150_at
ENSG00000275269	ENST00000620822	X54150_at
ENSG00000277554	ENST00000614792	L41268_f_at
ENSG00000275970	ENST00000617510	X54150_at
ENSG00000275970	ENST00000620801	X54150_at
ENSG00000275970	ENST00000613689	X54150_at
ENSG00000275970	ENST00000618598	X54150_at
ENSG00000275970	ENST00000611018	X54150_at
ENSG00000275970	ENST00000621004	X54150_at
ENSG00000275970	ENST00000621755	X54150_at
ENSG00000280030	ENST00000623538	M74509_s_at
ENSG00000274108	ENST00000617593	L41268_f_at
ENSG00000278091	ENST00000615320	U35376_at
ENSG00000278091	ENST00000613159	U35376_at
ENSG00000278091	ENST00000612293	U35376_at
ENSG00000277163	ENST00000614725	L76670_f_at
ENSG00000276858	ENST00000612952	X54150_at
ENSG00000276858	ENST00000613199	X54150_at
ENSG00000276858	ENST00000616248	X54150_at
ENSG00000276858	ENST00000613080	X54150_at
ENSG00000276858	ENST00000620162	X54150_at
ENSG00000276858	ENST00000615040	X54150_at
ENSG00000276858	ENST00000622470	X54150_at
ENSG00000278817	ENST00000613204	X96484_at
ENSG00000279566	ENST00000624335	X59244_f_at
ENSG00000279566	ENST00000623359	X59244_f_at
ENSG00000279566	ENST00000624732	X59244_f_at
ENSG00000279566	ENST00000623648	X59244_f_at
ENSG00000263243	ENST00000572470	D78367_at
ENSG00000263057	ENST00000576098	X73501_at
ENSG00000262808	ENST00000573871	X63337_at
ENSG00000275517	ENST00000625471	K03204_f_at
ENSG00000275517	ENST00000625471	S80905_f_at
ENSG00000275517	ENST00000620127	K03204_f_at
ENSG00000275517	ENST00000620127	S80905_f_at
ENSG00000275517	ENST00000628976	K03204_f_at
ENSG00000275517	ENST00000628976	S80905_f_at
ENSG00000275517	ENST00000615646	K03204_f_at
ENSG00000275517	ENST00000615646	S80905_f_at
ENSG00000275517	ENST00000612920	K03204_f_at
ENSG00000275517	ENST00000612920	S80905_f_at
ENSG00000279612	ENST00000624784	D55643_s_at
ENSG00000262156	ENST00000623492	U03891_at
ENSG00000262156	ENST00000570508	U03891_at
ENSG00000281151	ENST00000628732	D82346_at
ENSG00000281151	ENST00000629338	D82346_at
ENSG00000281151	ENST00000628790	D82346_at
ENSG00000281151	ENST00000628544	D82346_at
ENSG00000281151	ENST00000627948	D82346_at
ENSG00000281151	ENST00000627416	D82346_at
ENSG00000281151	ENST00000626723	D82346_at
ENSG00000281151	ENST00000629641	D82346_at
ENSG00000281151	ENST00000626962	D82346_at
ENSG00000281151	ENST00000629518	D82346_at
ENSG00000281151	ENST00000626100	D82346_at
ENSG00000281151	ENST00000630648	D82346_at
ENSG00000281151	ENST00000625248	D82346_at
ENSG00000281151	ENST00000627088	D82346_at
ENSG00000281151	ENST00000629665	D82346_at
ENSG00000262795	ENST00000573079	U05875_at
ENSG00000262795	ENST00000571550	U05875_at
ENSG00000262795	ENST00000576463	U05875_at
ENSG00000262795	ENST00000573887	U05875_at
ENSG00000276230	ENST00000621211	X13973_at
ENSG00000276230	ENST00000632262	X13973_at
ENSG00000276230	ENST00000619599	X13973_at
ENSG00000276230	ENST00000632954	X13973_at
ENSG00000276230	ENST00000633378	X13973_at
ENSG00000276230	ENST00000631544	X13973_at
ENSG00000276230	ENST00000631652	X13973_at
ENSG00000276230	ENST00000632527	X13973_at
ENSG00000276230	ENST00000633287	X13973_at
ENSG00000276230	ENST00000612988	X13973_at
ENSG00000276230	ENST00000617351	X13973_at
ENSG00000276230	ENST00000634214	X13973_at
ENSG00000276230	ENST00000618184	X13973_at
ENSG00000281289	ENST00000630343	S81221_at
ENSG00000281289	ENST00000626535	S81221_at
ENSG00000281289	ENST00000630761	S81221_at
ENSG00000281289	ENST00000630761	U22526_at
ENSG00000281289	ENST00000627118	S81221_at
ENSG00000281289	ENST00000630702	S81221_at
ENSG00000281289	ENST00000630702	U22526_at
ENSG00000273772	ENST00000614773	U80017_rna3_at
ENSG00000273772	ENST00000627341	U80017_rna3_at
ENSG00000273772	ENST00000631104	U80017_rna3_at
ENSG00000273772	ENST00000628642	U80017_rna3_at
ENSG00000273772	ENST00000628000	U80017_rna3_at
ENSG00000273772	ENST00000614610	U80017_rna3_at
ENSG00000277033	ENST00000621596	U79265_at
ENSG00000277033	ENST00000631453	U79265_at
ENSG00000277033	ENST00000633330	U79265_at
ENSG00000273793	ENST00000625578	U27193_at
ENSG00000273793	ENST00000617829	U27193_at
ENSG00000278165	ENST00000629053	U27193_at
ENSG00000278165	ENST00000610856	U27193_at
ENSG00000262473	ENST00000574289	X54199_s_at
ENSG00000262473	ENST00000573055	X54199_s_at
ENSG00000262473	ENST00000575273	X54199_s_at
ENSG00000262473	ENST00000571089	X54199_s_at
ENSG00000262473	ENST00000574017	X54199_s_at
ENSG00000276536	ENST00000631627	V00574_s_at
ENSG00000276536	ENST00000631627	J00277_at
ENSG00000276536	ENST00000631967	V00574_s_at
ENSG00000276536	ENST00000631967	J00277_at
ENSG00000276536	ENST00000631404	V00574_s_at
ENSG00000276536	ENST00000631404	J00277_at
ENSG00000276536	ENST00000634098	V00574_s_at
ENSG00000276536	ENST00000634098	J00277_at
ENSG00000276536	ENST00000632658	V00574_s_at
ENSG00000276536	ENST00000632658	J00277_at
ENSG00000276536	ENST00000615062	V00574_s_at
ENSG00000276536	ENST00000615062	J00277_at
ENSG00000276536	ENST00000632849	V00574_s_at
ENSG00000276536	ENST00000632849	J00277_at
ENSG00000276536	ENST00000633137	V00574_s_at
ENSG00000276536	ENST00000633700	V00574_s_at
ENSG00000276536	ENST00000616241	V00574_s_at
ENSG00000276536	ENST00000616241	J00277_at
ENSG00000276536	ENST00000610977	V00574_s_at
ENSG00000276536	ENST00000610977	J00277_at
ENSG00000278327	ENST00000611990	L41268_f_at
ENSG00000275349	ENST00000629122	U80017_rna3_at
ENSG00000275349	ENST00000628353	U80017_rna3_at
ENSG00000275349	ENST00000628043	U80017_rna3_at
ENSG00000275349	ENST00000630432	U80017_rna3_at
ENSG00000275349	ENST00000626580	U80017_rna3_at
ENSG00000276068	ENST00000626150	U80017_rna2_at
ENSG00000276068	ENST00000625431	U80017_rna2_at
ENSG00000276068	ENST00000619206	U80017_rna2_at
ENSG00000273859	ENST00000631421	M91083_at
ENSG00000273859	ENST00000620201	M91083_at
ENSG00000273859	ENST00000632673	M91083_at
ENSG00000273859	ENST00000622100	M91083_at
ENSG00000273859	ENST00000622905	M91083_at
ENSG00000273859	ENST00000632833	M91083_at
ENSG00000276016	ENST00000613981	U01147_at
ENSG00000276016	ENST00000628336	U01147_at
ENSG00000276016	ENST00000620170	U01147_at
ENSG00000272532	ENST00000607853	X07618_s_at
ENSG00000272532	ENST00000619390	X07618_s_at
ENSG00000275211	ENST00000625976	X07618_s_at
ENSG00000275211	ENST00000615454	X07618_s_at
ENSG00000275211	ENST00000628592	X07618_s_at
ENSG00000275211	ENST00000612990	X07618_s_at
ENSG00000276910	ENST00000628423	U80017_rna1_at
ENSG00000276910	ENST00000425596	U80017_rna1_at
ENSG00000276910	ENST00000612581	U80017_rna1_at
ENSG00000276910	ENST00000630101	U80017_rna1_at
ENSG00000276910	ENST00000630141	U80017_rna1_at
ENSG00000272000	ENST00000607223	X07618_s_at
ENSG00000272000	ENST00000606649	X07618_s_at
ENSG00000263181	ENST00000574062	X07618_s_at
ENSG00000263181	ENST00000575319	X07618_s_at
ENSG00000263181	ENST00000575319	X07619_s_at
ENSG00000263181	ENST00000614621	X07618_s_at
ENSG00000263181	ENST00000619036	X07618_s_at
ENSG00000263181	ENST00000619036	X07619_s_at
ENSG00000278088	ENST00000618719	X07618_s_at
ENSG00000278088	ENST00000629682	X07618_s_at
ENSG00000278088	ENST00000620741	X07618_s_at
ENSG00000278088	ENST00000620741	X07619_s_at
ENSG00000278088	ENST00000627911	X07618_s_at
ENSG00000278088	ENST00000627911	X07619_s_at
ENSG00000278088	ENST00000617651	X07618_s_at
ENSG00000278088	ENST00000617651	X07619_s_at
ENSG00000278088	ENST00000616376	X07618_s_at
ENSG00000277132	ENST00000611777	U08854_s_at
ENSG00000262055	ENST00000573149	X07618_s_at
ENSG00000262024	ENST00000574943	U19345_at
ENSG00000262024	ENST00000576946	U19345_at
ENSG00000262024	ENST00000574269	U19345_at
ENSG00000273785	ENST00000629261	X07618_s_at
ENSG00000276461	ENST00000621408	U19345_at
ENSG00000276461	ENST00000619505	U19345_at
ENSG00000276461	ENST00000627133	U19345_at
ENSG00000273936	ENST00000621877	U70321_at
ENSG00000273936	ENST00000617968	U70321_at
ENSG00000273936	ENST00000630160	U70321_at
ENSG00000273936	ENST00000625292	U70321_at
ENSG00000273936	ENST00000627817	U70321_at
ENSG00000273936	ENST00000629696	U70321_at
ENSG00000276561	ENST00000631879	U53830_at
ENSG00000276561	ENST00000633943	U53830_at
ENSG00000276561	ENST00000621391	U53830_at
ENSG00000276561	ENST00000633274	U53830_at
ENSG00000276561	ENST00000632753	U53830_at
ENSG00000276561	ENST00000634105	U53830_at
ENSG00000276561	ENST00000633006	U53830_at
ENSG00000276561	ENST00000632827	U53830_at
ENSG00000276561	ENST00000632194	U53830_at
ENSG00000276561	ENST00000632853	U53830_at
ENSG00000276561	ENST00000612534	U53830_at
ENSG00000276561	ENST00000617397	U53830_at
ENSG00000262446	ENST00000572338	J03060_at
ENSG00000262446	ENST00000574670	J03060_at
ENSG00000262446	ENST00000571897	J03060_at
ENSG00000262446	ENST00000570340	J03060_at
ENSG00000262446	ENST00000574935	J03060_at
ENSG00000262446	ENST00000576421	J03060_at
ENSG00000262446	ENST00000613861	J03060_at
ENSG00000262446	ENST00000618489	J03060_at
ENSG00000277733	ENST00000621875	S82470_at
ENSG00000277733	ENST00000621146	S82470_at
ENSG00000277733	ENST00000612567	S82470_at
ENSG00000278081	ENST00000610953	U14971_at
ENSG00000278081	ENST00000630852	U14971_at
ENSG00000262635	ENST00000573403	U32989_at
ENSG00000262635	ENST00000576270	U32989_at
ENSG00000276825	ENST00000611962	S76942_s_at
ENSG00000263238	ENST00000573499	X77383_at
ENSG00000224395	ENST00000458051	L35475_at
ENSG00000224395	ENST00000435958	L35475_at
ENSG00000224395	ENST00000415581	L35475_at
ENSG00000224395	ENST00000494944	L35475_at
ENSG00000224395	ENST00000486630	L35475_at
ENSG00000224395	ENST00000438840	L35475_at
ENSG00000275444	ENST00000617136	Z71389_at
ENSG00000274405	ENST00000615672	X67697_at
ENSG00000274405	ENST00000620054	X67697_at
ENSG00000274405	ENST00000613163	X67697_at
ENSG00000274405	ENST00000617162	X67697_at
ENSG00000274405	ENST00000617378	X67697_at
ENSG00000276935	ENST00000617012	S82470_at
ENSG00000276935	ENST00000622772	S82470_at
ENSG00000276935	ENST00000613056	S82470_at
ENSG00000276935	ENST00000619104	S82470_at
ENSG00000276935	ENST00000614279	S82470_at
ENSG00000261893	ENST00000572269	L29218_at
ENSG00000261893	ENST00000574445	L29218_at
ENSG00000261893	ENST00000570717	L29218_at
ENSG00000261893	ENST00000576584	L29218_at
ENSG00000261893	ENST00000574877	L29218_at
ENSG00000278322	ENST00000621612	S82470_at
ENSG00000278322	ENST00000611602	S82470_at
ENSG00000278322	ENST00000620636	S82470_at
ENSG00000206516	ENST00000400713	L35475_at
ENSG00000206516	ENST00000400714	L35475_at
ENSG00000206516	ENST00000383644	L35475_at
ENSG00000206516	ENST00000461453	L35475_at
ENSG00000206516	ENST00000460440	L35475_at
ENSG00000206516	ENST00000400712	L35475_at
ENSG00000274626	ENST00000616928	U14971_at
ENSG00000274626	ENST00000626065	U14971_at
ENSG00000206471	ENST00000400693	L35475_at
ENSG00000206471	ENST00000400694	L35475_at
ENSG00000206471	ENST00000383550	L35475_at
ENSG00000206471	ENST00000490560	L35475_at
ENSG00000206471	ENST00000483331	L35475_at
ENSG00000206471	ENST00000400689	L35475_at
ENSG00000276345	ENST00000612848	Z49254_at
ENSG00000262785	ENST00000571194	M15465_s_at
ENSG00000262785	ENST00000571194	D10326_s_at
ENSG00000262785	ENST00000572740	M15465_s_at
ENSG00000262785	ENST00000572740	D10326_s_at
ENSG00000229408	ENST00000449826	L35475_at
ENSG00000229408	ENST00000439879	L35475_at
ENSG00000229408	ENST00000446161	L35475_at
ENSG00000229408	ENST00000498404	L35475_at
ENSG00000229408	ENST00000488377	L35475_at
ENSG00000229408	ENST00000418376	L35475_at
ENSG00000273592	ENST00000614745	S82470_at
ENSG00000273592	ENST00000619855	S82470_at
ENSG00000273592	ENST00000610921	S82470_at
ENSG00000273592	ENST00000614760	S82470_at
ENSG00000273592	ENST00000620371	S82470_at
ENSG00000274646	ENST00000620940	U14971_at
ENSG00000274646	ENST00000615346	U14971_at
ENSG00000274646	ENST00000616107	U14971_at
ENSG00000274646	ENST00000610765	U14971_at
ENSG00000274646	ENST00000610796	U14971_at
ENSG00000274646	ENST00000615013	U14971_at
ENSG00000274646	ENST00000621001	U14971_at
ENSG00000274646	ENST00000621621	U14971_at
ENSG00000274646	ENST00000616625	U14971_at
ENSG00000274646	ENST00000621080	U14971_at
ENSG00000274646	ENST00000616082	U14971_at
ENSG00000274646	ENST00000627616	U14971_at
ENSG00000236561	ENST00000447285	Z48051_rna1_at
ENSG00000236561	ENST00000419309	Z48051_rna1_at
ENSG00000236561	ENST00000417639	Z48051_rna1_at
ENSG00000236561	ENST00000441138	Z48051_rna1_at
ENSG00000236561	ENST00000419274	Z48051_rna1_at
ENSG00000236561	ENST00000442244	Z48051_rna1_at
ENSG00000236561	ENST00000457090	Z48051_rna1_at
ENSG00000236561	ENST00000483865	Z48051_rna1_at
ENSG00000236561	ENST00000470227	Z48051_rna1_at
ENSG00000236561	ENST00000433500	Z48051_rna1_at
ENSG00000236561	ENST00000438803	Z48051_rna1_at
ENSG00000236561	ENST00000553111	Z48051_rna1_at
ENSG00000277273	ENST00000613505	L20320_at
ENSG00000277273	ENST00000615305	L20320_at
ENSG00000277273	ENST00000615854	L20320_at
ENSG00000277273	ENST00000617026	L20320_at
ENSG00000277273	ENST00000618909	L20320_at
ENSG00000277273	ENST00000614858	L20320_at
ENSG00000277273	ENST00000618188	L20320_at
ENSG00000277273	ENST00000629972	L20320_at
ENSG00000282349	ENST00000633479	D38502_at
ENSG00000277263	ENST00000613328	X00274_at
ENSG00000276464	ENST00000615241	U10099_s_at
ENSG00000276464	ENST00000619075	U10099_s_at
ENSG00000276464	ENST00000632234	U10099_s_at
ENSG00000276464	ENST00000633323	U10099_s_at
ENSG00000276464	ENST00000631876	U10099_s_at
ENSG00000232984	ENST00000412956	L35475_at
ENSG00000232984	ENST00000443407	L35475_at
ENSG00000232984	ENST00000421808	L35475_at
ENSG00000232984	ENST00000492722	L35475_at
ENSG00000232984	ENST00000491531	L35475_at
ENSG00000232984	ENST00000431658	L35475_at
ENSG00000229125	ENST00000454071	L35475_at
ENSG00000229125	ENST00000453467	L35475_at
ENSG00000229125	ENST00000440557	L35475_at
ENSG00000229125	ENST00000493309	L35475_at
ENSG00000229125	ENST00000489416	L35475_at
ENSG00000229125	ENST00000416582	L35475_at
ENSG00000276336	ENST00000621348	D63483_at
ENSG00000276336	ENST00000631462	D63483_at
ENSG00000276336	ENST00000632694	D63483_at
ENSG00000276336	ENST00000632317	D63483_at
ENSG00000276336	ENST00000633740	D63483_at
ENSG00000276336	ENST00000616905	D63483_at
ENSG00000235132	ENST00000436167	L35475_at
ENSG00000235132	ENST00000456657	L35475_at
ENSG00000235132	ENST00000440672	L35475_at
ENSG00000235132	ENST00000487930	L35475_at
